,r,l,t
0,-518.321678,5000,29.909802000000003
1,-434.484875,10000,57.559923
2,-907.421075,15000,85.297298
3,-693.707139,20000,112.882677
4,-855.551166,25000,140.793916
5,-803.349741,30000,168.520246
6,-647.645808,35000,196.37282199999999
7,-629.9135759999999,40000,224.295844
8,-877.50096,45000,252.9035
9,-452.310063,50000,281.72868700000004
10,-704.192279,55000,311.270866
11,-500.357428,60000,343.895175
12,-403.13774900000004,65000,372.226154
13,-360.09173799999996,70000,400.53247400000004
14,-854.849027,75000,430.94057999999995
15,-522.668034,80000,459.505204
16,-425.47419699999995,85000,491.61917400000004
17,-717.217095,90000,530.1365139999999
18,-456.714481,95000,566.0905190000001
19,-501.51871600000004,100000,603.951114
20,-440.31221100000005,105000,636.704266
21,-382.63223,110000,673.155143
22,-424.647082,115000,705.2802849999999
23,-461.583909,120000,738.198913
24,-289.02927400000004,125000,769.0143780000001
25,-286.704226,130000,801.889768
26,-398.758685,135000,835.4328059999999
27,-287.954594,140000,869.55601
28,-310.76849100000004,145000,903.802968
29,-691.575807,150000,936.343091
30,-178.66507099999998,155000,966.214042
31,-290.837367,160000,994.9808310000001
32,-192.276519,165000,1023.2776859999999
33,-847.1186210000001,170000,1051.8745789999998
34,-331.61611600000003,175000,1082.515833
35,-168.743806,180000,1110.747251
36,-367.817363,185000,1139.195381
37,-777.09299,190000,1167.313661
38,-182.092774,195000,1195.266719
39,-203.56618500000002,200000,1224.1457070000001
40,-158.950693,205000,1253.298928
41,-121.89163700000002,210000,1283.196729
42,-145.737557,215000,1311.5139689999999
43,-161.278098,220000,1343.0070660000001
44,-197.149951,225000,1377.120821
45,-181.420568,230000,1412.181239
46,-220.3534,235000,1442.7721119999999
47,-212.46075,240000,1472.721585
48,-185.888074,245000,1506.253726
49,-176.923843,250000,1541.17848
50,-156.061938,255000,1576.701318
51,-162.508057,260000,1608.173161
52,-225.375299,265000,1637.5363439999999
53,-193.475924,270000,1671.946094
54,-284.761548,275000,1705.943349
55,-210.46052400000002,280000,1736.6767
56,-261.264905,285000,1768.462474
57,-188.95914199999999,290000,1798.8636600000002
58,-225.49216,295000,1834.0037350000002
59,-156.199698,300000,1867.4007219999999
60,-532.948833,305000,1899.744727
61,-234.832492,310000,1931.4665730000002
62,-162.83973999999998,315000,1965.512257
63,-159.63898799999998,320000,1995.9099600000002
64,-188.745529,325000,2025.904187
65,-172.37336100000002,330000,2058.763121
66,-154.785436,335000,2088.534125
67,-174.072393,340000,2118.02602
68,-704.1712660000001,345000,2150.213092
69,-164.519685,350000,2186.564714
70,-172.214227,355000,2221.4676280000003
71,-133.45423799999998,360000,2254.302268
72,-137.495436,365000,2288.931169
73,-171.618761,370000,2322.210188
74,-227.973109,375000,2357.275037
75,-231.615529,380000,2392.036285
76,-135.05297099999999,385000,2424.684021
77,-159.959471,390000,2456.081753
78,-159.56536200000002,395000,2489.166045
79,-153.324676,400000,2525.06536
80,-202.831067,405000,2559.095832
81,-157.77908200000002,410000,2594.118961
82,-171.31913799999998,415000,2629.198873
83,-124.90998300000001,420000,2656.675342
84,-141.413249,425000,2692.020364
85,-153.450979,430000,2726.754089
86,-129.668566,435000,2759.715405
87,-120.95441399999999,440000,2794.3496010000003
88,-117.787516,445000,2828.155671
89,-131.855742,450000,2863.451246
90,-144.973041,455000,2896.7376
91,-147.19569099999998,460000,2933.026471
92,-128.4018,465000,2968.8166899999997
93,-136.95122800000001,470000,3001.506681
94,-120.99779099999999,475000,3034.913314
95,-107.683851,480000,3070.507689
96,-113.54751100000001,485000,3102.910352
97,-124.60061599999999,490000,3136.068974
98,-211.73332200000002,495000,3173.717211
99,-252.52036099999998,500000,3207.054161
100,-250.443541,505000,3241.049402
101,-134.47663400000002,510000,3274.524205
102,-141.16411200000002,515000,3306.4363789999998
103,-172.000294,520000,3338.156995
104,-131.335456,525000,3370.8407039999997
105,-119.81331200000001,530000,3405.0758020000003
106,-354.782889,535000,3435.526088
107,-162.588957,540000,3465.2645439999997
108,-289.391389,545000,3495.0407210000003
109,-170.619784,550000,3525.7763200000004
110,-142.711843,555000,3552.840607
111,-376.745297,560000,3585.3207369999996
112,-132.20058400000002,565000,3614.968229
113,-665.978016,570000,3644.8172729999997
114,-201.637586,575000,3674.284654
115,-159.036357,580000,3701.689579
116,-138.968078,585000,3735.232954
117,-165.10951599999999,590000,3769.2911329999997
118,-147.155372,595000,3800.307058
119,-149.549949,600000,3829.2538090000003
120,-149.082151,605000,3858.7660020000003
121,-130.142387,610000,3892.5005950000004
122,-148.55816000000002,615000,3927.0730909999997
123,-150.873393,620000,3959.9430479999996
124,-113.70411100000001,625000,3994.2713240000003
125,-145.20091599999998,630000,4030.777895
126,-157.749786,635000,4062.506883
127,-128.40483600000002,640000,4098.080785
128,-128.472029,645000,4130.019797999999
129,-133.480265,650000,4164.815813
130,-183.8408,655000,4199.649539
131,-137.856249,660000,4230.996824
132,-652.773719,665000,4264.663752
133,-139.045513,670000,4292.510990999999
134,-144.348152,675000,4322.4697049999995
135,-159.412492,680000,4355.663551
136,-623.4746769999999,685000,4389.822597
137,-182.946401,690000,4420.843251
138,-669.870188,695000,4451.26479
139,-217.92108,700000,4487.745465999999
140,-738.084248,705000,4527.307455
