,r,l,t
0,-212.344056,5000,33.657538
1,-544.0183490000001,10000,63.871485
2,-346.76846,15000,91.52917099999999
3,-428.86757,20000,119.879236
4,-348.968927,25000,153.006605
5,-273.06654199999997,30000,182.345476
6,-520.831407,35000,210.865321
7,-196.42501000000001,40000,239.990603
8,-70.19578,45000,269.310187
9,-72.34798599999999,50000,298.102221
10,-78.24841500000001,55000,327.062125
11,-80.496928,60000,355.994499
12,-97.196386,65000,385.015106
13,-128.407226,70000,414.217426
14,-86.451098,75000,443.73350899999997
15,-86.496121,80000,472.901832
16,-216.12565099999998,85000,502.88791100000003
17,-183.981593,90000,532.6857
18,-79.465447,95000,562.504863
19,-81.43817800000001,100000,592.369001
20,-78.184312,105000,622.219507
21,-82.003473,110000,652.139628
22,-51.534509,115000,683.201375
23,-45.552033,120000,714.131213
24,-48.31896,125000,744.69442
25,-46.660919,130000,775.232406
26,-47.42624,135000,805.119274
27,-52.329141,140000,834.383831
28,-46.239004,145000,863.2874390000001
29,-40.020216,150000,892.2439539999999
30,-47.870574,155000,921.355245
31,-38.38731,160000,950.433216
32,-35.685835,165000,979.9647880000001
33,-44.202296000000004,170000,1009.117414
34,-43.883345,175000,1037.896319
35,-35.209377,180000,1066.810402
36,-37.426619,185000,1095.8452519999998
37,-34.749271,190000,1125.5504119999998
38,-31.912038,195000,1155.865965
39,-24.447762,200000,1185.589316
40,-27.958686,205000,1215.104312
41,-29.239928999999997,210000,1244.718073
42,-27.167326,215000,1274.3262619999998
43,-24.059435999999998,220000,1304.0976449999998
44,-17.799618,225000,1333.99291
45,-18.974432999999998,230000,1364.268054
46,-19.266706,235000,1393.703683
47,-21.650565,240000,1423.307882
48,-23.758607,245000,1452.9579
49,-35.221717,250000,1482.336707
50,-29.109926,255000,1512.007856
51,-27.884427000000002,260000,1541.607796
52,-21.616417000000002,265000,1571.113631
53,-24.573211999999998,270000,1601.310866
54,-30.241975,275000,1631.534255
55,-34.821126,280000,1661.75521
56,-80.40221899999999,285000,1691.899051
57,-28.981878000000002,290000,1722.060175
58,-27.116103999999996,295000,1752.358296
59,-27.809763,300000,1782.0578510000003
60,-25.132579,305000,1811.106059
61,-51.84046,310000,1840.155511
62,-28.123036,315000,1869.11433
63,-23.40091,320000,1898.085557
64,-16.174885,325000,1927.09735
65,-16.367527,330000,1956.631403
66,-16.377803,335000,2001.4073399999997
67,-21.843504,340000,2062.512709
68,-20.9188,345000,2123.586004
69,-25.726682,350000,2184.6216510000004
70,-14.001106,355000,2245.715448
71,-17.113961,360000,2306.852045
72,-15.164420999999999,365000,2367.085789
73,-16.292559,370000,3122.1350820000002
74,-17.062762,375000,3182.616924
75,-17.555401,380000,3236.306983
76,-16.765219000000002,385000,3262.960532
