,r,l,t
0,-453.982013,5000,36.120765000000006
1,-514.906758,10000,65.31352199999999
2,-629.512393,15000,94.75288499999999
3,-134.545164,20000,126.236722
4,-131.959686,25000,157.501577
5,-573.184282,30000,185.925142
6,-269.140975,35000,218.888067
7,-189.39141899999998,40000,251.08142400000003
8,-122.302823,45000,284.516977
9,-153.988665,50000,314.64645099999996
10,-207.919476,55000,344.021697
11,-123.80181200000001,60000,375.866392
12,-159.85699,65000,408.46547000000004
13,-137.57329,70000,438.022771
14,-108.479418,75000,467.763462
15,-130.07048899999998,80000,497.731415
16,-117.039318,85000,529.35265
17,-126.869152,90000,559.604924
18,-121.927121,95000,588.93795
19,-124.82431399999999,100000,618.4598269999999
20,-153.969076,105000,648.192805
21,-95.935891,110000,679.514266
22,-99.26735,115000,711.876535
23,-55.62243,120000,742.212539
24,-71.584071,125000,775.060462
25,-75.015006,130000,806.438944
26,-62.015944999999995,135000,837.030134
27,-61.293976,140000,865.987443
28,-68.867188,145000,894.542915
29,-79.750517,150000,925.983324
30,-68.107375,155000,959.89785
31,-66.584066,160000,992.934527
32,-62.749047,165000,1029.2959019999998
33,-60.804149,170000,1064.681573
34,-48.658075,175000,1095.986202
35,-54.398368999999995,180000,1125.110375
36,-60.521508,185000,1155.825537
37,-60.529104000000004,190000,1186.526065
38,-45.868351000000004,195000,1217.5380460000001
39,-48.899201,200000,1248.287228
40,-52.720117,205000,1281.6423539999998
41,-59.491754,210000,1311.030754
42,-74.412186,215000,1340.500252
43,-55.81424200000001,220000,1369.298784
44,-45.245252,225000,1397.7575769999999
45,-36.241509,230000,1430.676935
46,-42.646002,235000,1462.824993
47,-37.342951,240000,1496.8621369999998
48,-34.270983,245000,1527.776553
49,-37.377876,250000,1557.043063
50,-36.43485,255000,1584.1442710000001
51,-27.669102000000002,260000,1611.106728
52,-34.423838,265000,1637.68842
53,-34.781192,270000,1663.91821
54,-31.819156,275000,1690.0644579999998
55,-35.934722,280000,1720.1363489999999
56,-60.003542,285000,1753.9860210000002
57,-138.942394,290000,1787.851868
58,-39.104167,295000,1818.052888
59,-41.854124,300000,1846.583286
60,-22.588721,305000,1876.463717
61,-42.535911999999996,310000,1902.9344
62,-26.860759,315000,1929.154146
63,-35.333081,320000,1955.385779
64,-26.550387,325000,1982.2045890000002
65,-35.155590999999994,330000,2015.9439730000001
66,-41.077769,335000,2050.0719879999997
67,-37.956858000000004,340000,2082.184081
68,-33.212070000000004,345000,2117.265512
69,-34.90376,350000,2148.156816
70,-25.975567,355000,2174.82282
71,-30.941335,360000,2202.399763
72,-32.782356,365000,2236.5566010000002
73,-66.320038,370000,2269.789018
74,-39.218659,375000,2300.341666
75,-534.2837089999999,380000,2334.42287
76,-708.919747,385000,2365.534147
77,-39.754695,390000,2396.2579370000003
78,-877.180166,395000,2430.802754
79,-788.840415,400000,2463.518956
80,-299.03824,405000,2498.496602
81,-82.265189,410000,2532.65142
82,-121.138957,415000,2566.167066
83,-99.448135,420000,2593.403577
84,-82.211903,425000,2629.781893
85,-58.061855,430000,2665.130404
86,-79.784008,435000,2697.560443
87,-125.50994399999999,440000,2732.983436
88,-125.61787,445000,2767.9930170000002
89,-106.732794,450000,2802.1553510000003
90,-70.147375,455000,2836.778625
91,-59.27100600000001,460000,2873.388668
92,-107.989581,465000,2905.434018
93,-46.188418,470000,2936.2866510000003
94,-556.309864,475000,2968.259435
95,-63.744735999999996,480000,2998.1278199999997
96,-45.505832,485000,3027.583879
97,-44.465585,490000,3063.203876
98,-54.046774,495000,3092.98376
99,-46.987551,500000,3122.1637760000003
100,-48.098321999999996,505000,3151.849012
101,-57.060157999999994,510000,3185.074878
102,-46.743473,515000,3214.61609
103,-58.351511,520000,3242.773809
104,-44.639784999999996,525000,3275.60968
105,-71.237353,530000,3306.47602
106,-34.663759999999996,535000,3339.180996
107,-40.672787,540000,3370.994395
108,-40.250365,545000,3402.8569729999995
109,-47.159324,550000,3430.8773090000004
110,-51.845499,555000,3458.794124
111,-52.458879,560000,3486.336482
112,-36.172855,565000,3513.9903229999995
