r,l,t
-439.788599,5000,31.341237
-496.367169,10000,60.804401
-575.054226,15000,87.212325
-715.642906,20000,119.950871
-593.635683,25000,150.357884
-734.212891,30000,179.31609
-420.191628,35000,211.178417
-133.860699,40000,246.00743
-140.378202,45000,278.962195
-277.377773,50000,312.566574
-116.564487,55000,338.825093
-161.388116,60000,365.437544
-224.555614,65000,392.041566
-237.335772,70000,418.631057
-150.237625,75000,445.049388
-111.695142,80000,473.12617
-147.813546,85000,505.638286
-366.889575,90000,540.407012
-128.172716,95000,577.650525
-90.156351,100000,609.615182
-91.601851,105000,641.015371
-344.017966,110000,677.005831
-156.170581,115000,708.375694
-136.408378,120000,744.242121
-255.353026,125000,785.580619
-172.002082,130000,818.313698
-128.26043,135000,849.707204
-160.861723,140000,880.873021
-151.79201,145000,918.519124
-132.693619,150000,950.806823
-113.830623,155000,982.730711
-123.998632,160000,1011.624149
-78.314965,165000,1042.531039
-91.741749,170000,1072.279842
-102.127179,175000,1099.139349
-101.106408,180000,1129.297434
-95.035137,185000,1162.918827
-84.692609,190000,1195.078021
-97.800236,195000,1226.717245
-94.152275,200000,1255.036737
-134.500018,205000,1283.846291
-86.496004,210000,1317.004865
-92.38648,215000,1351.122807
-157.511885,220000,1383.554959
-97.918737,225000,1416.398045
-143.996755,230000,1448.642813
-84.4032,235000,1480.788434
-101.962393,240000,1516.627847
-100.266987,245000,1554.564073
-124.871143,250000,1588.776986
-94.164282,255000,1620.599109
-86.968041,260000,1653.530195
-164.895768,265000,1685.428013
-98.744405,270000,1717.059533
-120.3389,275000,1747.735696
-103.157717,280000,1780.943222
-519.476794,285000,1809.919963
-89.832221,290000,1836.682527
-120.029387,295000,1863.454735
-242.839961,300000,1894.489885
-144.50915,305000,1927.342202
-136.635038,310000,1954.969221
-103.736634,315000,1985.290062
-102.071786,320000,2016.422347
-78.382547,325000,2048.132861
-90.168879,330000,2079.261388
-129.952622,335000,2114.198767
-146.350395,340000,2149.330686
-106.491262,345000,2185.348075
-688.794076,350000,2212.908409
-190.605747,355000,2239.891842
-530.357793,360000,2266.611569
-88.634112,365000,2293.469035
-85.777465,370000,2320.192877
-105.76175,375000,2346.804747
-95.731728,380000,2377.001703
-83.698666,385000,2404.33618
-85.894819,390000,2431.495488
-106.435039,395000,2460.586519
-140.02261,400000,2490.970091
-108.033244,405000,2521.181368
-86.186918,410000,2551.886261
-106.377924,415000,2582.014775
-513.588491,420000,2611.413368
-90.173502,425000,2640.791998
-138.283781,430000,2670.912617
-172.02249,435000,2698.960977
-124.346591,440000,2727.845907
-144.202663,445000,2756.195586
-100.452709,450000,2788.844105
-124.21327,455000,2824.105272
-113.709707,460000,2857.317435
-796.352991,465000,2888.473494
-108.181792,470000,2922.568745
-147.223747,475000,2952.365189
-114.484637,480000,2980.613716
-107.517648,485000,3009.624711
-122.832394,490000,3039.236225
-82.407721,495000,3068.609303
-491.043127,500000,3100.907783
-694.166179,505000,3132.186351
-102.83031,510000,3164.740901
