,r,l,t
0,-638.075605,5000,32.434304
1,-547.265729,10000,60.06173100000001
2,-803.962561,15000,87.485487
3,-687.6275519999999,20000,115.033201
4,-899.173503,25000,142.817609
5,-911.53162,30000,170.44647
6,-524.855838,35000,198.122526
7,-582.327441,40000,226.02813799999998
8,-318.596703,45000,253.842775
9,-287.523416,50000,282.697981
10,-291.561709,55000,312.529623
11,-400.78781499999997,60000,339.81748
12,-204.05853100000002,65000,367.114666
13,-222.836746,70000,393.63930600000003
14,-281.741892,75000,420.546216
15,-258.172437,80000,447.090108
16,-250.45940699999997,85000,474.28374800000006
17,-230.720074,90000,501.29604800000004
18,-271.599708,95000,528.387043
19,-136.603616,100000,555.67629
20,-279.304527,105000,582.706056
21,-214.278615,110000,608.854926
22,-168.085401,115000,634.954901
23,-166.407465,120000,661.8829559999999
24,-793.9121349999999,125000,688.89787
25,-268.37175,130000,716.084892
26,-246.82391,135000,742.636332
27,-264.65934300000004,140000,768.856529
28,-190.876579,145000,795.079946
29,-222.413162,150000,821.591235
30,-191.74358600000002,155000,847.891536
31,-137.950208,160000,874.708451
32,-246.73002999999997,165000,901.711365
33,-272.849541,170000,929.0938130000001
34,-116.10576200000001,175000,955.704403
35,-501.010646,180000,982.3625689999999
36,-117.46817,185000,1008.857885
37,-119.29425400000001,190000,1035.0617710000001
38,-811.062827,195000,1061.190033
39,-149.3922,200000,1087.409955
40,-137.645282,205000,1113.808999
41,-787.83627,210000,1140.263583
42,-347.30383,215000,1166.675254
43,-402.390517,220000,1193.112626
44,-185.053201,225000,1219.603605
45,-183.583943,230000,1246.293866
46,-188.939843,235000,1273.328075
47,-133.052999,240000,1300.83245
48,-139.957207,245000,1327.600349
49,-142.266901,250000,1354.283908
50,-143.279286,255000,1380.7675
51,-139.472171,260000,1407.3392
52,-205.22034299999999,265000,1433.9194710000002
53,-858.022139,270000,1460.588736
54,-160.572124,275000,1487.230618
55,-760.917762,280000,1513.864873
56,-228.947603,285000,1540.594423
57,-151.932379,290000,1567.270899
58,-571.40095,295000,1593.906874
59,-170.459708,300000,1620.590676
60,-420.574577,305000,1647.244145
61,-312.77002400000003,310000,1673.9771369999999
62,-202.29671000000002,315000,1700.6524829999998
63,-168.404045,320000,1727.4126019999999
64,-166.82392099999998,325000,1754.0994219999998
65,-167.94366399999998,330000,1780.926884
66,-293.416387,335000,1807.464918
67,-318.646953,340000,1834.2689440000001
68,-273.74674100000004,345000,1860.878722
