,r,l,t
0,-464.270488,5000,30.482207
1,-864.095736,10000,57.889522
2,-359.201527,15000,85.218115
3,-713.418179,20000,112.88492600000001
4,-831.07035,25000,140.47515
5,-888.728199,30000,167.97188
6,-187.329064,35000,195.499244
7,-190.615158,40000,223.255119
8,-218.254906,45000,250.57746600000002
9,-187.641952,50000,278.030771
10,-345.181559,55000,305.167825
11,-156.197994,60000,333.65817799999996
12,-139.970245,65000,361.549637
13,-182.237471,70000,390.447127
14,-231.748215,75000,417.489757
15,-298.199096,80000,444.51268799999997
16,-381.16254399999997,85000,471.412831
17,-653.58431,90000,498.29740300000003
18,-241.083867,95000,525.198563
19,-278.055346,100000,552.157745
20,-226.00173700000002,105000,579.17391
21,-213.57767400000003,110000,606.2330519999999
22,-892.546037,115000,633.229478
23,-138.990218,120000,660.230152
24,-98.493228,125000,688.7459269999999
25,-152.515458,130000,716.031105
26,-136.08409699999999,135000,743.124905
27,-152.749799,140000,770.111349
28,-155.518482,145000,797.087127
29,-114.21539299999999,150000,824.037594
30,-149.731732,155000,851.0406300000001
31,-232.607465,160000,878.047242
32,-288.08522400000004,165000,905.111857
33,-433.992586,170000,932.1317970000001
34,-118.19698799999999,175000,960.7951609999999
35,-234.746502,180000,988.264716
36,-143.836595,185000,1015.27136
37,-107.274004,190000,1042.316798
38,-787.020044,195000,1069.2530689999999
39,-184.768886,200000,1096.1783480000001
40,-233.22380499999997,205000,1123.1729369999998
41,-154.48251399999998,210000,1150.243131
42,-200.39296299999998,215000,1177.224535
43,-97.138388,220000,1204.295201
44,-141.93256100000002,225000,1231.469039
45,-143.805099,230000,1258.509126
46,-145.23596899999998,235000,1285.58222
47,-135.839743,240000,1312.786817
48,-179.871937,245000,1339.875082
49,-150.147062,250000,1366.891564
50,-209.155659,255000,1393.95379
51,-197.043051,260000,1420.9779119999998
52,-245.10268900000003,265000,1449.030083
53,-133.448956,270000,1477.855294
54,-118.51291200000001,275000,1506.610225
55,-122.08173300000001,280000,1535.174024
56,-149.016804,285000,1562.139626
57,-164.282775,290000,1589.623195
58,-162.859507,295000,1616.475579
59,-192.37644699999998,300000,1643.5832369999998
60,-138.276423,305000,1670.5555769999999
61,-222.700832,310000,1697.6155469999999
62,-168.894282,315000,1724.5143719999999
63,-179.27950900000002,320000,1751.3345350000002
64,-851.4264210000001,325000,1778.2583530000002
65,-201.594721,330000,1805.525507
66,-115.183118,335000,1832.478607
67,-105.65803600000001,340000,1859.4155050000002
68,-131.201153,345000,1886.2554940000002
69,-129.494938,350000,1913.285893
70,-133.463942,355000,1940.390566
71,-109.12977099999999,360000,1969.4198030000002
72,-105.96963400000001,365000,1996.116165
73,-119.39576399999999,370000,2022.9480760000001
74,-566.620854,375000,2049.744675
75,-111.36786599999999,380000,2077.03089
76,-145.312177,385000,2106.786042
77,-499.583076,390000,2136.779947
78,-857.7083769999999,395000,2163.689064
79,-112.822856,400000,2190.506746
80,-102.13945,405000,2220.502882
81,-155.493698,410000,2259.084212
82,-282.352095,415000,2286.3711510000003
83,-369.156204,420000,2318.5964940000003
84,-106.990431,425000,2350.6609559999997
85,-108.09705500000001,430000,2381.286637
86,-112.50416299999999,435000,2408.18188
87,-114.758804,440000,2435.011027
88,-159.719798,445000,2461.985188
89,-129.871216,450000,2488.917532
90,-105.42356000000001,455000,2515.8895789999997
91,-127.821774,460000,2542.919231
92,-131.991376,465000,2569.987208
93,-111.556702,470000,2597.124074
94,-131.426185,475000,2624.222955
95,-175.335576,480000,2654.1368620000003
96,-117.77603400000001,485000,2685.672713
97,-133.64539,490000,2716.086997
98,-121.364021,495000,2743.282781
99,-113.303832,500000,2770.514291
100,-112.906853,505000,2797.484913
101,-164.205826,510000,2824.489641
102,-182.498303,515000,2851.632655
103,-119.21692900000001,520000,2878.759909
104,-109.449203,525000,2905.841743
105,-120.915679,530000,2932.8861850000003
106,-134.840812,535000,2960.224428
107,-229.14732,540000,2987.354722
108,-125.776655,545000,3014.5588789999997
109,-124.680154,550000,3042.0180149999997
110,-220.846927,555000,3069.178085
111,-148.879888,560000,3096.30735
112,-117.564575,565000,3123.464216
113,-120.953154,570000,3151.440086
114,-176.381282,575000,3179.222501
115,-189.596399,580000,3206.670009
116,-196.038959,585000,3233.851778
117,-125.232721,590000,3261.01353
118,-155.05271000000002,595000,3288.088531
119,-148.991508,600000,3315.2843510000002
120,-146.37426200000002,605000,3342.518593
121,-172.725358,610000,3369.6542299999996
122,-647.41102,615000,3396.8137549999997
123,-244.890129,620000,3423.978027
124,-369.856859,625000,3452.061365
125,-147.74527,630000,3479.425685
126,-114.453682,635000,3506.721419
127,-142.32108200000002,640000,3533.984057
128,-118.04753899999999,645000,3561.1692270000003
129,-122.43271200000001,650000,3588.315934
130,-150.710695,655000,3615.517995
131,-141.684474,660000,3642.64816
132,-121.921454,665000,3669.7859719999997
133,-128.649226,670000,3696.944335
134,-122.56643400000002,675000,3724.3880229999995
135,-101.110908,680000,3751.6211369999996
136,-159.851869,685000,3783.4947060000004
137,-159.473305,690000,3810.744969
138,-203.908472,695000,3838.1590049999995
139,-720.134712,700000,3865.802063
140,-94.880557,705000,3893.238844
141,-141.66843799999998,710000,3921.076205
142,-103.337916,715000,3952.3686350000003
143,-104.985257,720000,3984.951579
144,-118.114276,725000,4016.201335
145,-105.18805400000001,730000,5404.630688
146,-101.220168,735000,6498.960857
147,-166.279506,740000,7302.786478
148,-113.78888300000001,745000,7332.197317
149,-186.815461,750000,7361.6582180000005
150,-136.54034099999998,755000,7390.586447
151,-298.33995699999997,760000,7419.107364
152,-821.126987,765000,7451.543557999999
153,-177.24434,770000,7484.315568999999
154,-133.861126,775000,7515.578668000001
155,-131.094199,780000,7551.76588
156,-95.958966,785000,7588.1236180000005
157,-113.768156,790000,7622.040927
158,-127.91066599999999,795000,7653.683188
159,-126.36446399999998,800000,7695.960848000001
160,-120.51491399999999,805000,7728.565217
161,-126.87563,810000,7760.317962
162,-181.93067299999998,815000,7798.232478
163,-510.001921,820000,7835.920908
164,-231.36512000000002,825000,7871.575320999999
165,-193.11961100000002,830000,7905.174945000001
166,-186.509761,835000,7936.411017
167,-196.053233,840000,7968.850234999999
168,-166.891157,845000,8003.478604999999
169,-139.80742,850000,8036.426262000001
170,-327.988561,855000,8065.95714
171,-345.474336,860000,8095.128933
172,-135.233239,865000,8123.720056
173,-109.42468799999999,870000,8151.824062000001
174,-334.518396,875000,8180.121017
175,-608.472,880000,8208.711044
176,-190.3021,885000,8241.423547
177,-133.531831,890000,8275.885481
178,-154.303117,895000,8307.369705
179,-115.35158899999999,900000,8340.938431
180,-106.47278100000001,905000,8372.917322
181,-624.5929980000001,910000,8402.605798999999
182,-136.08043999999998,915000,8432.806181
183,-127.91766899999999,920000,8461.489301000001
184,-100.218006,925000,8490.758726
185,-116.92643000000001,930000,8520.610772
186,-99.978285,935000,8550.075697
187,-141.723966,940000,8578.743024
188,-128.609478,945000,8610.18275
189,-127.808917,950000,8637.919747
190,-139.457199,955000,8664.700515999999
191,-178.767301,960000,8696.843668000001
192,-145.484996,965000,8728.782356
193,-133.12233700000002,970000,8761.319075
194,-134.631426,975000,8794.884055
195,-293.177122,980000,8826.558389
196,-130.55816299999998,985000,8856.79891
197,-134.726582,990000,8887.367762
198,-162.19506299999998,995000,8918.593652
199,-182.995103,1000000,8949.936351
