,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1756.900481,2000,12.850364,-0.0019093517000000001,-0.14815491,-0.04399415,-0.21561828,-0.04643816,-0.13925996,-0.15771623,-0.07312529,-0.13593993,-0.03344447
1,-1572.00944,4000,27.071723,-0.00041433732000000005,-0.13553195,-0.03905891,-0.22070412,-0.044998217,-0.14662339,-0.15709437,-0.07122598,-0.1371236,-0.033265203
2,-1673.776474,6000,42.282814,0.0026505946000000002,-0.1373906,-0.043256406,-0.22215775,-0.042247724,-0.15231967,-0.15990184,-0.06808296,-0.1359298,-0.040152896
3,-1701.5967870000002,8000,56.366983999999995,0.0011202414,-0.15062106,-0.05439241,-0.22878379999999998,-0.049872886,-0.1593741,-0.16941579,-0.067025565,-0.13363151,-0.045145124
4,-1502.664653,10000,69.97191,0.009655764,-0.18044022,-0.04419392,-0.21103565,-0.06127762,-0.2117331,-0.16252469,-0.07582877,-0.13272147,-0.03394103
5,-1131.950892,12000,85.10319399999999,0.011168013999999999,-0.18161903,-0.044774722,-0.1857037,-0.05190756,-0.18797313,-0.14343925,-0.06959432,-0.12599345,-0.039001428
6,-1191.864983,14000,99.647369,-0.01164293,-0.21262401,-0.043157488,-0.21800584,-0.054152787,-0.2574091,-0.1350509,-0.06828651599999999,-0.119282514,-0.011330692
7,-1536.092926,16000,113.018119,-0.062479634000000006,-0.21612771,-0.05940102,-0.14632396,-0.10639915,-0.30796555,-0.13121778,-0.09631295,-0.15819743,-0.026745812999999997
8,-1219.0832,18000,126.87201,-0.032611127999999996,-0.08134049,-0.0025700706,-0.010175474,-0.035786446,-0.25810942,-0.11971889,-0.09502139,-0.17787501,-0.15679963
9,-1647.056982,20000,140.340679,-0.07858741,-0.07448510000000001,0.030062295,0.047545265,-0.062451895,-0.20651928,-0.084115595,-0.062526375,-0.21229869,-0.11238873
10,-1732.673484,22000,153.82163,-0.080853805,-0.04939864,0.04692774,0.09721637,-0.07223818,-0.19133231,-0.034561478,0.00010443389999999999,-0.2637401,-0.035116900000000006
11,-1345.321351,24000,167.232031,-0.08329165,-0.0008630974000000001,0.00019268389,0.09508256,-0.04611491400000001,-0.14444865,-0.036230687000000004,0.012550543,-0.3024616,0.0029108752000000003
12,-1352.468272,26000,180.829376,-0.07809898,0.041332223,0.015293997,0.090243116,-0.04362165,-0.16801627,-0.032458656,0.02362169,-0.32602575,-0.009239148
13,-1792.148729,28000,194.546423,-0.095533915,0.079425454,0.010865856,0.076165654,-0.026963987999999998,-0.18765174,-0.034184917999999995,0.02744169,-0.33922779999999997,-0.03618428
14,-733.590779,30000,208.028317,-0.090534166,0.10915215,0.009652537,0.08213089999999999,-0.061262902,-0.21052004,-0.04278016,0.06573589,-0.36138886,-0.06452659
15,-1079.8777949999999,32000,222.7428,-0.104639806,0.101408586,0.06649388,0.10696607,-0.06253842,-0.23578186,-0.033344753,0.058240756,-0.33905554,-0.105160326
16,-1011.803942,34000,236.30125099999998,-0.12020723,0.085659735,0.08804072,0.1475892,-0.06457654,-0.23922898,-0.04965142,0.05282475,-0.33386886,-0.10012139
17,-1028.479806,36000,249.871746,-0.12831869999999998,0.08776971,0.052637555,0.16287066,-0.078173794,-0.2233837,-0.038589045,0.07316784,-0.32622615,-0.10790557
18,-829.653108,38000,263.44224199999996,-0.14162125,0.09753097,0.056356605,0.18285921,-0.061400514,-0.24127807,-0.03371142,0.10160889,-0.33181009999999994,-0.10974139
19,-946.975942,40000,279.24796499999997,-0.19484089999999998,0.10227354,0.06073335,0.20386985,-0.046327323,-0.29859176,-0.026561587999999997,0.10064749,-0.31325477,-0.10012573
20,-902.7034150000001,42000,293.501528,-0.20990875,0.0859715,0.04686861,0.19387063,-0.036516602999999995,-0.33270076,-0.039516035,0.09406965,-0.31347936,-0.07216328400000001
21,-1308.942452,44000,306.96344700000003,-0.21152021,0.060869716,0.04545291,0.18603855,-0.03504669,-0.31764004,-0.042009517999999996,0.09258168,-0.30488187,-0.06416029
22,-1121.3167640000001,46000,320.346657,-0.19739886,0.030813016000000002,0.044831283,0.20837228,-0.037038032,-0.28501645,-0.07014506,0.106571734,-0.29296836,-0.05809621
