,r,l,t
0,-1630.435108,2000,16.94726
1,-1539.202558,4000,33.491785
2,-1816.8172600000003,6000,48.21118
3,-1654.213248,8000,60.631009999999996
4,-1462.048546,10000,72.25409300000001
5,-1592.55096,12000,85.351028
6,-1305.9866470000002,14000,98.18287
7,-1422.0005449999999,16000,112.144548
8,-1594.523482,18000,124.58386399999999
9,-1365.0081369999998,20000,136.294768
10,-1559.117119,22000,147.674587
11,-1469.9067400000001,24000,159.01074
12,-1257.91596,26000,169.793656
13,-1714.614777,28000,183.218863
14,-1756.1905,30000,194.371556
15,-1675.659974,32000,205.373354
16,-1706.95335,34000,216.76081200000002
17,-1650.9004400000001,36000,229.43226299999998
18,-1547.331494,38000,240.497773
19,-1283.976568,40000,252.263625
20,-1475.545435,42000,263.255746
21,-1259.852369,44000,275.178991
22,-1273.830598,46000,287.104785
23,-1260.302536,48000,298.953361
24,-1327.825578,50000,309.607443
25,-1272.00278,52000,321.75663199999997
26,-1318.633274,54000,334.530924
27,-1483.153468,56000,347.221
28,-1518.56979,58000,360.07716
29,-1469.089856,60000,372.534149
30,-1230.006285,62000,384.861903
31,-1511.0000949999999,64000,398.256818
32,-1489.064568,66000,411.33777299999997
33,-1350.975332,68000,424.50608200000005
34,-1513.8170890000001,70000,437.22392699999995
35,-1393.538292,72000,448.5759019999999
36,-1225.230235,74000,461.636667
37,-1342.948963,76000,476.43050199999993
38,-1527.929896,78000,487.864427
39,-1429.823119,80000,499.653157
40,-1413.7009480000002,82000,510.905616
41,-1450.2240789999998,84000,523.022051
42,-1345.920261,86000,534.642014
43,-1302.519723,88000,545.351231
44,-1417.491587,90000,555.8258
45,-1502.601492,92000,566.627519
46,-1488.623953,94000,577.8436320000001
47,-1538.840937,96000,588.9470769999999
48,-1397.9663380000002,98000,601.161161
49,-1126.301023,100000,612.779938
50,-1110.120086,102000,626.232075
51,-1274.7667880000001,104000,638.828849
52,-973.2153490000001,106000,650.237841
53,-1046.799077,108000,663.8487269999999
54,-1120.296515,110000,676.994966
55,-1653.841578,112000,689.89254
56,-1473.028606,114000,702.03105
57,-1158.551363,116000,714.735634
58,-1355.663508,118000,727.105071
59,-1467.509495,120000,738.990448
60,-1301.975081,122000,751.810477
61,-1482.652676,124000,763.533715
62,-1490.26702,126000,775.866134
63,-1279.646767,128000,788.220772
64,-1367.674259,130000,799.737435
65,-1565.9661,132000,811.2275099999999
66,-1266.686191,134000,822.743376
67,-1435.861822,136000,834.578066
68,-1405.865465,138000,846.0035730000001
69,-881.5360410000001,140000,857.471443
70,-1064.762788,142000,870.6474410000001
71,-1481.182945,144000,883.45788
72,-1057.295331,146000,896.103811
73,-1433.466057,148000,908.9687949999999
74,-1356.561901,150000,921.2056130000001
75,-1425.6977470000002,152000,933.1648240000001
76,-1258.562875,154000,946.2381869999999
77,-1039.72417,156000,959.580243
78,-1188.54251,158000,973.051262
79,-1235.17289,160000,984.655675
80,-1483.247867,162000,997.09934
81,-1480.831229,164000,1009.6419539999999
82,-976.3483369999999,166000,1021.0124699999999
83,-1323.592413,168000,1031.108259
84,-1059.6315630000001,170000,1042.352797
85,-1542.8882429999999,172000,1053.8738150000001
86,-1264.950585,174000,1065.4201460000002
87,-1513.282392,176000,1077.482575
88,-1326.5243189999999,178000,1089.4943560000002
89,-1441.73576,180000,1101.669041
90,-1452.878225,182000,1114.282509
91,-1322.394547,184000,1126.775067
92,-1472.180057,186000,1139.150143
93,-1195.606232,188000,1152.493563
94,-1005.417767,190000,1164.310847
95,-1287.676367,192000,1177.364074
96,-1468.375358,194000,1189.3818199999998
97,-1275.424466,196000,1202.3885109999999
98,-1287.287028,198000,1214.8026730000001
99,-1631.55059,200000,1226.995876
100,-1521.0029869999998,202000,1238.7306199999998
101,-1414.266006,204000,1251.573223
102,-1544.925636,206000,1263.593244
103,-1559.9285439999999,208000,1276.368308
104,-1511.825591,210000,1288.3771279999999
105,-1495.1982480000001,212000,1300.372312
106,-1172.4020970000001,214000,1312.100089
107,-1551.9701380000001,216000,1324.0109320000001
108,-1287.9880039999998,218000,1335.484173
109,-1740.666152,220000,1347.012997
110,-1473.742703,222000,1358.672157
111,-1342.869946,224000,1370.77108
112,-1496.777199,226000,1382.848778
113,-1289.444105,228000,1395.501948
114,-1656.892777,230000,1408.890527
