,r,l,t
0,-1739.5968870000002,2000,13.702763000000001
1,-1700.6674829999997,4000,26.567249
2,-1605.08841,6000,37.683116999999996
3,-1592.2047189999998,8000,48.743518
4,-1574.42811,10000,60.768060999999996
5,-1351.834244,12000,71.881232
6,-1548.30731,14000,83.70760200000001
7,-1512.9555189999999,16000,95.9422
8,-1505.669283,18000,109.00553300000001
9,-1476.299835,20000,121.260352
10,-1565.485825,22000,131.875496
11,-1616.857952,24000,144.20254599999998
12,-1559.81724,26000,156.51072
13,-1624.807482,28000,168.849001
14,-1467.142052,30000,182.96813999999998
15,-1788.3306109999999,32000,194.835602
16,-1827.1190629999999,34000,206.331703
17,-1610.5634929999999,36000,220.3131
18,-1686.918238,38000,231.953521
19,-1540.682949,40000,242.018754
20,-1650.848185,42000,252.003608
21,-1724.8697149999998,44000,261.852576
22,-1647.079056,46000,275.252773
23,-1611.3239019999999,48000,285.96166
24,-1642.36757,50000,298.552446
25,-1729.5603449999999,52000,308.467031
26,-1704.066911,54000,318.49121099999996
27,-1603.720961,56000,328.99071299999997
28,-1753.3824719999998,58000,339.898602
29,-1750.790532,60000,351.90819700000003
30,-1785.469021,62000,363.802925
31,-1509.69531,64000,374.093673
32,-1623.678096,66000,385.79346400000003
33,-1619.1674380000002,68000,396.041466
34,-1775.131975,70000,405.808933
35,-1621.0768050000001,72000,415.635966
36,-1724.855454,74000,425.57497699999993
37,-1086.226216,76000,436.01017300000007
38,-1648.863183,78000,447.10536900000005
39,-1674.688582,80000,459.65085
40,-1742.7515190000001,82000,471.4732
41,-1695.8148670000003,84000,482.842959
42,-1756.1463440000002,86000,492.813932
43,-1722.5553129999998,88000,502.68276299999997
44,-1416.982002,90000,512.637925
45,-1389.7705939999998,92000,522.580553
46,-1391.014249,94000,533.601418
47,-1605.162902,96000,546.2675009999999
48,-1283.49162,98000,557.1955849999999
49,-1623.2289349999999,100000,568.16297
50,-1650.883953,102000,579.460961
51,-1616.636264,104000,590.303939
52,-1683.454356,106000,601.449938
53,-1628.325195,108000,611.757961
54,-1749.5408730000001,110000,622.916778
55,-1546.624126,112000,634.4677519999999
56,-1552.177357,114000,644.9635
57,-1568.417956,116000,654.943501
58,-1186.2874550000001,118000,665.679758
59,-1460.7417169999999,120000,677.207394
60,-1265.721125,122000,689.034109
61,-1520.174072,124000,699.1016
62,-1601.730146,126000,708.885541
63,-1208.7930789999998,128000,718.685958
64,-1524.781419,130000,728.453347
65,-1733.8716940000002,132000,738.192484
66,-1760.2116219999998,134000,749.4659330000001
67,-1431.851048,136000,760.138269
68,-1688.327242,138000,769.9626360000001
69,-1393.727208,140000,780.928795
70,-1351.7660939999998,142000,791.5111820000001
71,-1193.37345,144000,802.071342
72,-1584.07567,146000,812.045237
73,-1394.306832,148000,822.998276
74,-1604.716591,150000,833.13387
75,-1688.005295,152000,843.290056
76,-1621.9234529999999,154000,853.317512
77,-1501.644311,156000,863.221326
78,-1490.5680439999999,158000,873.322744
79,-1456.167133,160000,883.471718
80,-1594.383034,162000,893.504058
81,-1241.1390039999999,164000,903.4605869999999
82,-1078.115722,166000,913.6136869999999
83,-1221.511378,168000,925.9629890000001
84,-1577.084727,170000,936.4062130000001
85,-1532.902626,172000,946.455992
86,-1556.685702,174000,958.794361
87,-1390.775632,176000,970.002135
88,-1026.879584,178000,981.8815199999999
89,-1613.093867,180000,996.01576
90,-1604.180584,182000,1008.2301140000001
91,-1309.6085859999998,184000,1020.085692
92,-1850.0389739999998,186000,1032.10688
93,-1501.049905,188000,1045.889108
94,-1445.9442589999999,190000,1058.77834
95,-1455.788584,192000,1070.588574
96,-1364.312494,194000,1081.013251
97,-1443.226482,196000,1092.006973
98,-1338.338517,198000,1102.175102
99,-1314.815433,200000,1112.428999
100,-1625.7139550000002,202000,1122.620886
101,-1545.567234,204000,1132.7943480000001
102,-1529.885773,206000,1143.214817
103,-1647.4131439999999,208000,1153.595448
104,-1735.3367510000003,210000,1164.21493
105,-1466.264679,212000,1174.639132
106,-1419.806085,214000,1184.74579
107,-1488.979744,216000,1194.910201
108,-1290.449498,218000,1204.953907
109,-1796.6140129999999,220000,1215.5967660000001
110,-1172.219383,222000,1229.628382
111,-1018.290383,224000,1241.1609429999999
112,-1258.984135,226000,1254.9964220000002
113,-1303.003962,228000,1266.947557
114,-1317.49895,230000,1280.4480640000002
115,-1315.0592869999998,232000,1292.3999119999999
116,-1110.179168,234000,1304.6711619999999
117,-1453.119506,236000,1316.590124
118,-1137.664863,238000,1329.330653
119,-1017.762618,240000,1340.023234
120,-1089.815085,242000,1351.192961
121,-1369.157512,244000,1361.155687
122,-1324.157045,246000,1370.941944
123,-1098.3972449999999,248000,1380.786128
124,-986.433889,250000,1390.574263
125,-1095.8913289999998,252000,1401.687242
126,-872.758909,254000,1411.838109
127,-1157.631893,256000,1422.980026
128,-1369.313496,258000,1432.9384810000001
129,-1291.2898380000001,260000,1442.943212
130,-1067.615293,262000,1452.9459470000002
131,-1309.947406,264000,1462.728576
132,-1320.322155,266000,1472.586204
133,-1439.795951,268000,1482.458245
134,-1494.362099,270000,1492.273916
135,-1007.953042,272000,1502.105869
136,-1394.835316,274000,1512.031727
137,-1603.9565929999999,276000,1521.902882
138,-1587.723037,278000,1531.835031
139,-1338.414751,280000,1541.906765
140,-1025.842068,282000,1551.711914
141,-1648.218049,284000,1562.422023
142,-1225.174606,286000,1575.239728
143,-970.552491,288000,1585.374342
144,-1186.2611650000001,290000,1595.389473
145,-1139.4746460000001,292000,1606.553398
146,-1615.86907,294000,1616.986638
147,-1327.770874,296000,1628.007208
148,-1654.5306289999999,298000,1639.099393
149,-1724.840089,300000,1649.700397
150,-1193.63328,302000,1660.025732
151,-925.1705509999999,304000,1670.417981
152,-1622.086061,306000,1680.6997170000002
153,-1713.3499550000001,308000,1690.9627460000002
154,-1627.947355,310000,1701.3498530000002
155,-1674.204647,312000,1711.720243
156,-1341.710609,314000,1722.1396120000002
157,-1683.1191829999998,316000,1732.3314079999998
158,-1729.881066,318000,1742.536386
159,-1704.005624,320000,1752.8026730000001
160,-1463.587925,322000,1762.985353
161,-1329.207682,324000,1773.1978379999998
162,-1785.040452,326000,1783.555159
163,-1607.572289,328000,1793.8348629999998
164,-1504.810043,330000,1805.983226
165,-1534.460868,332000,1818.063966
166,-1699.066178,334000,1828.186291
167,-1362.376381,336000,1838.431675
168,-1698.8252730000002,338000,1849.2764670000001
169,-3536.1695799999998,340000,1860.2309989999999
170,-1257.646688,342000,1871.5347629999999
171,-1374.587642,344000,1883.468166
172,-889.062989,346000,1893.5187899999999
173,-1296.046663,348000,1903.421874
174,-1726.4707629999998,350000,1914.296493
175,-1402.666604,352000,1924.50771
176,-925.0388109999999,354000,1934.6842960000001
177,-1291.228304,356000,1945.1780010000002
178,-1428.360863,358000,1955.361562
179,-888.0210000000001,360000,1965.586654
180,-1040.072261,362000,1975.72973
181,-1421.38409,364000,1985.992084
182,-840.654275,366000,1996.233389
183,-1550.278118,368000,2007.5849600000001
184,-1241.2948789999998,370000,2017.7300260000002
185,-843.546578,372000,2027.8367739999999
186,-1132.668007,374000,2038.155412
187,-775.677315,376000,2048.610566
188,-828.457898,378000,2060.035599
189,-1089.106367,380000,2070.24388
190,-1061.0146539999998,382000,2080.4947460000003
191,-1291.769297,384000,2090.6772140000003
192,-1667.293207,386000,2101.057649
