,r,l,t
0,-1607.031434,2000,14.113802
1,-1539.885147,4000,29.107674
2,-1726.5010140000002,6000,40.381374
3,-1599.24702,8000,50.331722
4,-1751.672873,10000,60.848969
5,-1565.09625,12000,72.56158
6,-1796.5291809999999,14000,84.059513
7,-1553.729086,16000,95.44888900000001
8,-1390.110332,18000,108.220859
9,-913.2036810000001,20000,120.398715
10,-1144.639394,22000,134.19374
11,-1085.180136,24000,146.461237
12,-1169.113903,26000,158.35163500000002
13,-1074.418476,28000,169.555601
14,-1047.8575369999999,30000,179.700601
15,-1629.3354570000001,32000,191.274194
16,-845.3377289999999,34000,203.723892
17,-1704.182591,36000,218.85493799999998
18,-1027.648291,38000,232.905633
19,-1300.194715,40000,246.574994
20,-1227.712329,42000,259.185366
21,-1245.769815,44000,272.337817
22,-1130.128962,46000,285.570064
23,-871.79299,48000,299.381096
24,-1109.1956109999999,50000,309.28119
25,-855.951583,52000,320.039411
26,-1236.111618,54000,331.60445699999997
27,-1114.694525,56000,342.333997
28,-869.7093980000001,58000,352.661452
29,-990.7516310000001,60000,362.877303
30,-1208.184632,62000,374.57386099999997
31,-1645.399018,64000,385.765418
32,-1059.6099279999999,66000,396.837292
33,-902.2805279999999,68000,407.564862
34,-1383.733584,70000,419.315052
35,-937.0804400000001,72000,430.25154299999997
36,-1487.3182960000001,74000,442.034813
37,-1207.4585949999998,76000,457.143374
38,-958.883682,78000,469.38263099999995
39,-945.9001699999999,80000,479.84512699999993
40,-1123.5074730000001,82000,490.404242
41,-1257.614151,84000,501.71867199999997
42,-1004.34928,86000,516.20748
43,-1650.9536460000002,88000,528.09816
44,-1523.921329,90000,539.2180480000001
45,-1661.585453,92000,550.341282
46,-1122.785827,94000,561.692892
47,-1108.3150779999999,96000,571.619421
48,-1157.1306539999998,98000,582.357038
49,-1503.029169,100000,593.439965
50,-1429.510234,102000,604.86696
51,-836.907732,104000,616.406733
52,-1013.038388,106000,627.68389
53,-1149.4354039999998,108000,637.494067
54,-1017.559925,110000,647.323143
55,-824.656862,112000,657.143193
56,-1366.077532,114000,668.14795
57,-1012.246031,116000,677.938914
58,-851.722301,118000,687.94447
59,-912.921843,120000,699.0187269999999
60,-866.023631,122000,710.198716
61,-1261.541064,124000,721.776532
62,-1182.947985,126000,733.279146
63,-1017.678233,128000,744.746192
64,-1280.296958,130000,755.069671
65,-1097.321126,132000,766.725371
66,-1147.60743,134000,778.076125
67,-888.288534,136000,789.467001
68,-1371.531777,138000,800.380855
69,-749.701333,140000,813.669667
70,-1042.4401560000001,142000,830.924182
71,-811.878992,144000,842.23085
72,-807.7699709999999,146000,853.766738
73,-731.253613,148000,865.176959
74,-964.2197269999999,150000,877.984538
75,-951.1529109999999,152000,889.127474
76,-739.270308,154000,900.3915900000001
77,-767.4738980000001,156000,911.4334
78,-909.56975,158000,922.8088789999999
79,-667.1476200000001,160000,934.088369
80,-665.620566,162000,946.4821609999999
81,-759.2303,164000,958.5369400000001
82,-777.845846,166000,969.942856
83,-1121.405861,168000,981.160149
84,-1451.178689,170000,991.7709060000001
85,-1109.904813,172000,1002.6993130000001
86,-1066.919303,174000,1013.494566
87,-681.554288,176000,1024.233891
88,-1282.255643,178000,1035.215709
89,-661.917543,180000,1046.059452
90,-1407.39022,182000,1058.852895
91,-1331.027662,184000,1070.063276
92,-912.6990380000001,186000,1081.4138599999999
93,-875.62345,188000,1092.981895
94,-727.668221,190000,1104.160714
95,-819.760533,192000,1115.855087
96,-924.829317,194000,1127.8012130000002
97,-995.4588449999999,196000,1139.232625
98,-902.498898,198000,1150.434949
99,-693.687707,200000,1161.257623
100,-937.177654,202000,1171.982217
101,-983.943361,204000,1183.213975
102,-818.111787,206000,1194.4683
103,-1044.419306,208000,1205.727414
104,-936.429657,210000,1218.150345
105,-1297.266019,212000,1229.522768
106,-1390.152963,214000,1240.976756
107,-957.8026960000001,216000,1254.855228
108,-923.538386,218000,1268.419187
109,-831.117989,220000,1280.147904
110,-909.445324,222000,1291.042627
111,-887.680485,224000,1301.8659109999999
112,-852.473824,226000,1314.411936
113,-678.024192,228000,1327.046367
114,-781.803596,230000,1340.827285
115,-1036.696082,232000,1352.2661349999998
116,-755.4445440000001,234000,1362.585673
117,-1384.265607,236000,1372.6765890000001
118,-850.960732,238000,1382.613499
119,-1226.695492,240000,1392.568302
120,-1017.6180199999999,242000,1402.4891699999998
121,-1260.4969939999999,244000,1412.381733
122,-1055.6181980000001,246000,1423.2199970000001
123,-1689.894191,248000,1433.131834
124,-1214.545159,250000,1446.792019
125,-1152.38792,252000,1462.263794
126,-1167.58544,254000,1477.367436
127,-1339.970016,256000,1487.347284
128,-1273.0883019999999,258000,1498.279121
129,-1139.551324,260000,1509.297209
130,-1370.5542599999999,262000,1520.341718
131,-1054.588558,264000,1531.423926
132,-1095.086124,266000,1542.1512300000002
133,-1588.6698880000001,268000,1554.565167
134,-1060.425856,270000,1567.98278
135,-909.130431,272000,1581.034317
136,-934.5535570000001,274000,1594.721245
137,-904.2585320000001,276000,1608.322424
138,-1631.040749,278000,1623.171924
139,-892.351889,280000,1635.4481460000002
140,-785.836232,282000,1648.9749789999998
141,-709.781821,284000,1660.529696
