,r,l,t
0,-1473.266543,2000,15.622385999999999
1,-1516.361809,4000,29.495990999999997
2,-1670.966374,6000,40.602384
3,-1682.38067,8000,52.154726000000004
4,-1591.480472,10000,62.24246899999999
5,-1177.551605,12000,73.052465
6,-1505.596307,14000,84.54513399999999
7,-767.206518,16000,96.246737
8,-1169.490881,18000,108.72693799999999
9,-1599.6298980000001,20000,118.851679
10,-1167.0873210000002,22000,128.618521
11,-1284.914701,24000,138.331536
12,-1046.5453009999999,26000,148.037016
13,-845.5430279999999,28000,157.790392
14,-1243.675833,30000,167.465711
15,-1064.242747,32000,177.118292
16,-1527.2936710000001,34000,186.832294
17,-1544.706344,36000,196.886113
18,-1232.513358,38000,206.932309
19,-1056.147861,40000,216.67076400000002
20,-1377.6016300000001,42000,226.385054
21,-1291.940418,44000,236.132031
22,-1719.878578,46000,245.908606
23,-1308.515455,48000,255.62532799999997
24,-1177.767948,50000,265.363694
25,-1452.651966,52000,275.139457
26,-1269.354264,54000,284.864369
27,-1238.9091460000002,56000,294.609102
28,-968.181252,58000,304.393292
29,-1343.823955,60000,314.17474
30,-1396.973478,62000,323.964197
31,-1361.942157,64000,333.709213
32,-962.740617,66000,343.470269
33,-1020.267477,68000,353.19662200000005
34,-1252.8134929999999,70000,362.917782
35,-1092.910736,72000,372.683224
36,-974.5404609999999,74000,382.376782
37,-1002.012766,76000,392.05870699999997
38,-1562.683634,78000,401.7854
39,-1092.835891,80000,411.487924
40,-1110.571653,82000,421.476143
41,-1575.88304,84000,431.20403799999997
42,-1512.155679,86000,440.81989699999997
43,-1000.5732039999999,88000,450.430446
44,-780.265375,90000,460.06401500000004
45,-910.745481,92000,469.67018499999995
46,-925.219442,94000,479.30977699999994
47,-1555.435466,96000,488.95068899999995
48,-976.0213980000001,98000,498.548901
49,-892.3413429999999,100000,508.14869100000004
50,-923.8243359999999,102000,517.77478
51,-1098.052933,104000,527.382617
52,-1304.380968,106000,537.0053280000001
53,-1238.3898550000001,108000,546.653194
54,-1330.437945,110000,556.277232
55,-1256.239326,112000,565.9159639999999
56,-725.8951599999999,114000,575.55652
57,-1479.203264,116000,586.4778349999999
58,-846.2462300000001,118000,596.156188
59,-829.61924,120000,605.902351
60,-1687.191615,122000,615.743602
61,-1143.263897,124000,625.4222900000001
62,-1629.111666,126000,635.189162
63,-1289.777016,128000,644.832227
64,-1045.788849,130000,654.53708
65,-1019.430956,132000,664.2366400000001
66,-1310.515339,134000,673.905267
67,-810.945588,136000,683.6155160000001
68,-885.700834,138000,693.251637
69,-1148.46713,140000,702.9498940000001
70,-767.961267,142000,712.5926900000001
71,-868.5427119999999,144000,722.243541
72,-921.3599839999999,146000,731.932425
73,-1362.215233,148000,741.558912
74,-1086.591183,150000,751.21028
75,-921.1456119999999,152000,760.870886
76,-1035.343622,154000,773.8488070000001
77,-1085.127243,156000,785.474144
78,-998.125258,158000,798.161873
79,-889.552635,160000,809.5607620000001
80,-843.151392,162000,820.9213129999999
81,-781.187944,164000,830.734103
82,-724.354081,166000,840.474157
83,-895.4934390000001,168000,852.849055
84,-1032.1601150000001,170000,864.2255359999999
85,-1429.070614,172000,876.840768
86,-1225.679034,174000,889.642129
87,-1177.170627,176000,901.821593
88,-1208.720458,178000,913.080231
89,-1112.9477060000002,180000,923.0284
90,-1465.785405,182000,932.623548
91,-1276.49639,184000,942.2600890000001
92,-1448.682055,186000,951.844556
93,-971.7299820000001,188000,961.902034
94,-874.569885,190000,972.607678
95,-824.748691,192000,983.047824
96,-867.560811,194000,993.0930890000001
97,-982.376899,196000,1002.807234
98,-713.101085,198000,1013.558641
99,-770.43577,200000,1025.168677
100,-923.164935,202000,1034.768304
101,-1250.258492,204000,1044.952364
102,-689.663918,206000,1055.8941869999999
103,-757.606284,208000,1068.464335
104,-756.1744769999999,210000,1081.201578
105,-1317.5082960000002,212000,1093.742825
106,-1049.149279,214000,1106.232919
107,-912.005019,216000,1118.922601
108,-1347.584144,218000,1130.6154080000001
109,-607.080598,220000,1143.438063
110,-728.547501,222000,1157.609873
111,-1338.553978,224000,1169.135505
112,-655.866002,226000,1181.265615
113,-756.680795,228000,1193.7844289999998
114,-711.260893,230000,1206.400188
115,-651.946146,232000,1219.343218
116,-828.251792,234000,1231.7932859999999
117,-712.531105,236000,1244.671264
118,-1237.731546,238000,1256.499574
119,-785.8673759999999,240000,1267.53348
120,-1179.672908,242000,1279.428536
121,-798.454606,244000,1291.182961
122,-932.3676320000001,246000,1303.857037
