,r,l,t
0,-1631.381558,2000,65.109966
1,-1386.00359,4000,125.518055
2,-1373.980964,6000,176.8095
3,-676.0482,8000,226.92392599999997
4,-1085.5971539999998,10000,276.486586
5,-1055.337672,12000,318.862143
6,-1373.469412,14000,361.799646
7,-623.7649200000001,16000,405.28276800000003
8,-995.8293289999999,18000,455.098621
9,-785.350174,20000,497.933829
10,-725.6804950000001,22000,540.5798120000001
11,-1394.997027,24000,583.357639
12,-803.638173,26000,627.51598
13,-1374.688111,28000,670.330526
14,-1255.7872300000001,30000,713.47517
15,-939.214968,32000,756.1509440000001
16,-879.3028810000001,34000,799.603869
17,-884.0370039999999,36000,842.570569
18,-880.6761,38000,885.508327
19,-1485.36015,40000,928.6542289999999
20,-763.1153929999999,42000,970.6594550000001
21,-653.5969299999999,44000,1013.759267
22,-930.523112,46000,1056.608395
23,-667.1161490000001,48000,1099.613748
24,-900.832172,50000,1142.30091
25,-1633.456038,52000,1185.033759
26,-631.7085559999999,54000,1227.5588050000001
27,-653.311158,56000,1270.1465050000002
28,-629.429731,58000,1312.730084
29,-1536.499068,60000,1355.699816
30,-665.697942,62000,1398.892923
31,-837.18564,64000,1441.460844
32,-731.561498,66000,1484.3661849999999
33,-876.387216,68000,1527.845079
34,-1095.608526,70000,1571.102939
35,-1485.82618,72000,1614.9168359999999
36,-1056.1920220000002,74000,1657.998833
37,-683.821853,76000,1701.661768
38,-818.0595950000001,78000,1744.3373809999998
39,-764.631231,80000,1787.9758239999999
40,-758.997038,82000,1831.004848
41,-854.2678210000001,84000,1874.0988710000001
42,-900.839876,86000,1916.449193
43,-847.1267460000001,88000,1958.956678
44,-1056.686501,90000,2001.688168
45,-992.798397,92000,2044.6796329999997
46,-630.615499,94000,2087.616932
47,-957.758193,96000,2130.087381
48,-698.4665200000001,98000,2172.501889
49,-804.021998,100000,2215.057682
50,-895.285748,102000,2258.160759
51,-736.146613,104000,2301.468169
52,-902.69206,106000,2344.921879
53,-801.2394730000001,108000,2387.137662
54,-729.7392530000001,110000,2430.051351
55,-1403.263639,112000,2472.0156629999997
56,-1392.246101,114000,2514.5867980000003
57,-746.922567,116000,2557.650006
58,-864.031913,118000,2601.562083
59,-706.826931,120000,2644.81525
60,-923.4935300000001,122000,2688.527862
61,-1002.7002039999999,124000,2731.460036
62,-1108.2456789999999,126000,2773.88005
63,-893.182766,128000,2816.9696879999997
64,-764.909534,130000,2860.0644780000002
65,-1135.778792,132000,2903.193148
66,-1559.158585,134000,2945.748956
67,-816.9965030000001,136000,2989.492057
68,-774.642964,138000,3031.245389
69,-631.823531,140000,3074.563218
70,-682.4765219999999,142000,3117.183175
71,-1103.091463,144000,3159.9718420000004
72,-623.332864,146000,3202.242626
73,-1216.098175,148000,3252.880084
74,-1013.3984839999999,150000,3296.277312
75,-991.2686279999999,152000,3337.354128
76,-718.762294,154000,3380.6343799999995
77,-739.4123179999999,156000,3424.9464840000005
78,-1119.608314,158000,3468.670894
79,-642.427096,160000,3513.8659369999996
80,-679.793514,162000,3557.8145159999995
81,-688.473671,164000,3601.430826
82,-731.884867,166000,3643.5546219999997
83,-1223.5104119999999,168000,3687.6208020000004
84,-728.3969179999999,170000,3731.532231
85,-824.633804,172000,3775.817899
86,-669.7769440000001,174000,3818.667692
87,-655.624286,176000,3862.567675
88,-782.047863,178000,3906.118955
89,-583.466368,180000,3949.669139
90,-677.2816019999999,182000,3999.566225
91,-782.632718,184000,4044.1824229999997
92,-682.245146,186000,4087.396153
93,-728.118949,188000,4130.013172
94,-708.716591,190000,4173.568882
95,-650.77622,192000,4215.693528
96,-581.793029,194000,4258.790331
97,-1319.5442449999998,196000,4310.105898
98,-708.742958,198000,4352.505403
99,-611.804246,200000,4395.785629999999
100,-1416.124438,202000,4438.467767
101,-844.815831,204000,4480.958057
102,-1214.863356,206000,4525.720628
103,-853.387406,208000,4570.0249539999995
104,-770.737722,210000,4613.091859
105,-822.9070320000001,212000,4656.174026
106,-703.094738,214000,4699.986795000001
107,-718.881615,216000,4743.035568
108,-691.124564,218000,4786.071013000001
109,-643.826033,220000,4828.625811999999
110,-677.346267,222000,4871.061669
111,-568.842905,224000,4913.662683
112,-645.252768,226000,4963.431651
113,-558.35545,228000,5007.664162
114,-639.922808,230000,5057.907397
115,-546.459856,232000,5101.116064
116,-661.813524,234000,5151.552611
117,-652.900691,236000,5194.251967
118,-522.827021,238000,5236.799693999999
119,-548.30071,240000,5286.229685
120,-793.544023,242000,5329.007697
121,-626.467678,244000,5371.859635
122,-654.822438,246000,5414.769225
123,-1762.622362,248000,5457.812373
124,-946.890103,250000,5500.885979
125,-1500.689707,252000,5543.1085140000005
126,-939.8108380000001,254000,5586.557823
127,-690.4504469999999,256000,5630.679015
128,-642.2958,258000,5674.346066
129,-530.557225,260000,5717.829988
130,-514.397057,262000,5761.39694
131,-511.35257300000006,264000,5811.413404
132,-518.9031679999999,266000,5860.904006000001
133,-654.470226,268000,5903.584319
134,-640.027775,270000,5948.111492
135,-601.811016,272000,5992.374977
136,-674.371857,274000,6037.02881
137,-593.501611,276000,6079.77723
138,-576.852245,278000,6122.066540999999
139,-595.867917,280000,6165.54737
140,-644.585442,282000,6208.518043
141,-661.336783,284000,6251.286188
142,-1.0,286000,6292.6322740000005
143,-1.0,288000,6346.870887
144,-1.0,290000,6393.368670000001
145,-1.0,292000,6440.676069
146,-1.0,294000,6489.609590999999
147,-1.0,296000,6537.298818
148,-1.0,298000,6584.61028
149,-1.0,300000,6632.564491
150,-1.0,302000,6681.3825990000005
151,-1.0,304000,6729.2160969999995
152,-1.0,306000,6776.842665000001
153,-1.0,308000,6823.2333069999995
154,-1.0,310000,6870.390556
155,-1.0,312000,6917.855579000001
156,-1.0,314000,6966.268739
157,-1.0,316000,7014.642159999999
158,-1.0,318000,7062.561109
159,-1.0,320000,7109.970829000001
160,-1.0,322000,7157.822669
161,-1.0,324000,7206.656244
162,-1.0,326000,7254.051705
163,-1.0,328000,7302.226506
164,-1.0,330000,7350.362252
165,-1.0,332000,7397.030353
166,-1.0,334000,7444.417477
167,-1.0,336000,7491.3115290000005
168,-1.0,338000,7540.540926000001
169,-1.0,340000,7587.435406999999
170,-1.0,342000,7635.810946
171,-1.0,344000,7683.118858
172,-1.0,346000,7730.609178
173,-1.0,348000,7778.030178
174,-1.0,350000,7825.454035
175,-1.0,352000,7871.975211
176,-1.0,354000,7919.0137079999995
177,-1.0,356000,7965.849994
178,-1.0,358000,8012.348525
179,-1.0,360000,8060.056798999999
180,-1.0,362000,8107.882890999999
181,-1.0,364000,8155.284812999999
182,-1.0,366000,8203.207331
183,-1.0,368000,8251.734065999999
184,-1.0,370000,8300.510257
185,-1.0,372000,8347.351537999999
186,-1.0,374000,8394.390916
187,-1.0,376000,8441.906745
188,-1.0,378000,8489.903426
189,-1.0,380000,8537.972078
190,-1.0,382000,8585.454547
191,-1.0,384000,8631.888732
192,-1.0,386000,8679.525779000001
193,-1.0,388000,8726.42595
194,-1.0,390000,8774.271762
195,-1.0,392000,8821.060092
196,-1.0,394000,8869.361245999999
197,-1.0,396000,8918.1033
198,-1.0,398000,8964.464142
199,-1.0,400000,9011.996634000001
200,-1.0,402000,9059.936628
201,-1.0,404000,9107.594106
202,-1.0,406000,9155.485334
203,-1.0,408000,9204.328556999999
204,-1.0,410000,9252.600166
205,-1.0,412000,9301.545219
206,-1.0,414000,9349.328851
207,-1.0,416000,9396.375412000001
208,-1.0,418000,9444.486176
209,-1.0,420000,9491.659401
210,-1.0,422000,9538.959372
211,-1.0,424000,9586.477515
212,-1.0,426000,9634.764162000001
213,-1.0,428000,9682.193522
214,-1.0,430000,9729.425263
215,-1.0,432000,9777.242587
216,-1.0,434000,9823.749921999999
217,-1.0,436000,9871.584649
218,-1.0,438000,9919.180374
219,-1.0,440000,9966.127621
220,-1.0,442000,10012.945898
221,-1.0,444000,10061.438886
222,-1.0,446000,10109.724994
223,-1.0,448000,10157.454053
224,-1.0,450000,10204.658597
225,-1.0,452000,10252.796386
226,-1.0,454000,10300.563637000001
227,-1.0,456000,10347.682804
228,-1.0,458000,10394.794761
229,-1.0,460000,10442.228916
230,-1.0,462000,10489.377772
231,-1.0,464000,10537.472838
232,-1.0,466000,10583.712274
233,-1.0,468000,10631.238384999999
234,-1.0,470000,10678.794767
235,-1.0,472000,10725.964188
236,-1.0,474000,10772.519948000001
237,-1.0,476000,10819.677345999999
238,-1.0,478000,10867.441152
239,-1.0,480000,10915.671095
240,-1.0,482000,10962.921987
241,-1.0,484000,11011.030837
242,-1.0,486000,11058.623774
243,-1.0,488000,11106.746778
244,-1.0,490000,11153.731770999999
245,-1.0,492000,11200.413672
246,-1.0,494000,11247.546065999999
247,-1.0,496000,11294.792822
248,-1.0,498000,11342.099018
249,-1.0,500000,11390.043212999999
250,-1.0,502000,11437.328953
251,-1.0,504000,11485.136553
252,-1.0,506000,11532.228111
253,-1.0,508000,11579.753427
254,-1.0,510000,11626.283820999999
255,-1.0,512000,11675.100814
256,-1.0,514000,11722.508209
257,-1.0,516000,11770.102737000001
258,-1.0,518000,11819.054876
259,-1.0,520000,11866.418767000001
260,-1.0,522000,11914.876365
261,-1.0,524000,11963.155353
262,-1.0,526000,12010.292270999998
263,-1.0,528000,12057.170312999999
264,-1.0,530000,12104.070564
265,-1.0,532000,12152.876223000001
266,-1.0,534000,12200.317934
267,-1.0,536000,12246.388545
268,-1.0,538000,12294.256487
269,-1.0,540000,12341.859553
270,-1.0,542000,12388.429962999999
271,-1.0,544000,12436.178149
272,-1.0,546000,12483.648791
273,-1.0,548000,12530.884377
274,-1.0,550000,12579.048922
275,-1.0,552000,12625.639841
276,-1.0,554000,12672.869747
277,-1.0,556000,12719.72069
278,-1.0,558000,12767.266373
279,-1.0,560000,12815.114059
280,-1.0,562000,12862.790598
281,-1.0,564000,12909.312962
282,-1.0,566000,12958.185061
283,-1.0,568000,13005.70355
284,-1.0,570000,13053.903257
285,-1.0,572000,13102.821587999999
286,-1.0,574000,13150.284136
287,-1.0,576000,13196.408476999999
288,-1.0,578000,13243.666895
289,-1.0,580000,13290.513478
290,-1.0,582000,13338.767539
291,-1.0,584000,13386.250783
292,-1.0,586000,13433.234713
293,-1.0,588000,13480.485506
294,-1.0,590000,13527.293977000001
295,-1.0,592000,13574.474988999998
296,-1.0,594000,13622.134447999999
297,-1.0,596000,13669.042083000002
298,-1.0,598000,13715.838915999999
299,-1.0,600000,13763.582332
300,-1.0,602000,13810.536338999998
301,-1.0,604000,13859.335116
302,-1.0,606000,13907.274833000001
303,-1.0,608000,13954.357156999999
304,-1.0,610000,14002.775963
305,-1.0,612000,14049.230862
306,-1.0,614000,14096.686650999998
307,-1.0,616000,14144.201155
308,-1.0,618000,14191.877428
309,-1.0,620000,14240.287006999999
310,-1.0,622000,14287.654243
311,-1.0,624000,14336.528322
312,-1.0,626000,14385.293832
313,-1.0,628000,14432.884192
314,-1.0,630000,14480.83875
315,-1.0,632000,14529.958005
316,-1.0,634000,14576.697909
317,-1.0,636000,14624.385493000002
318,-1.0,638000,14672.686406
319,-1.0,640000,14720.832275
320,-1.0,642000,14768.078194999998
321,-1.0,644000,14815.990775999999
322,-1.0,646000,14864.521861000001
323,-1.0,648000,14912.117553
324,-1.0,650000,14959.152563
325,-1.0,652000,15007.745561000002
326,-1.0,654000,15054.762695
327,-1.0,656000,15101.917048
