,r,l,t
0,-730.362201,2000,18.218232999999998
1,-589.004776,4000,33.009184000000005
2,-467.099437,6000,44.501684000000004
3,-508.451899,8000,55.9924
4,-595.4745230000001,10000,66.679445
5,-664.207925,12000,77.376364
6,-498.156497,14000,88.057885
7,-554.597713,16000,98.740974
8,-502.07521799999995,18000,109.44746599999999
9,-489.085829,20000,120.17411200000001
10,-422.37111200000004,22000,130.89288200000001
11,-391.91682599999996,24000,142.329857
12,-399.292389,26000,153.782392
13,-546.858925,28000,164.494992
14,-632.306793,30000,175.271518
15,-515.023237,32000,185.994753
16,-509.899012,34000,196.72333899999998
17,-748.438847,36000,207.473048
18,-326.761569,38000,218.24306800000002
19,-461.503859,40000,229.75220699999997
20,-432.885488,42000,240.501756
21,-449.178834,44000,251.24435499999998
22,-411.00375299999996,46000,262.01899199999997
23,-556.806916,48000,272.753442
24,-466.416501,50000,283.574685
25,-520.546044,52000,294.345589
26,-459.612525,54000,305.14161
27,-501.08004800000003,56000,315.912761
28,-479.189976,58000,326.690457
29,-471.588172,60000,337.504503
30,-357.46999300000004,62000,348.26721000000003
31,-394.057269,64000,359.21504300000004
32,-344.68158,66000,370.066853
33,-403.080333,68000,380.84020699999996
34,-392.330669,70000,391.61053799999996
35,-486.04694400000005,72000,402.430604
36,-457.273831,74000,413.21732000000003
37,-450.044998,76000,424.054754
38,-346.85416200000003,78000,434.845204
39,-360.227475,80000,445.63467
40,-406.520336,82000,456.45246
41,-372.595052,84000,467.28820700000006
42,-506.67691900000005,86000,478.081217
43,-510.029839,88000,488.93217000000004
44,-381.071819,90000,499.76313600000003
45,-314.755564,92000,510.581991
46,-370.265214,94000,522.202331
47,-341.131817,96000,533.0409950000001
48,-411.364271,98000,543.915587
49,-536.751445,100000,554.8296339999999
50,-691.724553,102000,565.69595
51,-521.289047,104000,576.5747759999999
52,-637.015047,106000,587.398441
53,-691.025713,108000,598.229898
54,-742.291183,110000,609.0996610000001
55,-715.488303,112000,619.968759
56,-770.2432230000001,114000,630.815528
57,-749.320202,116000,641.6710820000001
58,-725.035939,118000,652.481769
59,-723.481817,120000,663.316113
60,-465.24515499999995,122000,674.142789
61,-501.98567199999997,124000,685.146031
62,-308.263738,126000,695.978507
63,-337.972453,128000,707.5344230000001
64,-316.602331,130000,718.381101
65,-270.450988,132000,729.2582269999999
66,-344.23777,134000,740.820244
67,-399.871836,136000,751.645991
68,-374.802717,138000,762.555824
69,-350.30303399999997,140000,773.456957
70,-356.35261,142000,784.298331
71,-309.776142,144000,795.1439280000001
72,-728.51907,146000,805.983228
73,-332.411265,148000,816.861721
74,-327.24035699999996,150000,827.768877
75,-361.653968,152000,838.6192990000001
76,-358.94939500000004,154000,849.4878470000001
77,-354.566679,156000,860.337838
78,-273.88574,158000,871.166975
79,-350.643104,160000,882.034041
80,-328.55219700000004,162000,892.888198
81,-421.440154,164000,903.766668
82,-343.64593199999996,166000,914.611292
83,-385.56105299999996,168000,925.4503980000001
84,-348.39032599999996,170000,936.296865
85,-357.56464900000003,172000,947.1560119999999
86,-473.602737,174000,958.000714
87,-441.194199,176000,968.850468
88,-398.565421,178000,979.692967
89,-502.29900599999996,180000,990.532775
90,-469.424979,182000,1001.386892
91,-662.438984,184000,1012.233147
92,-421.491835,186000,1023.073009
93,-458.369329,188000,1033.903431
94,-380.550314,190000,1044.769361
95,-337.350752,192000,1055.636223
96,-305.23405299999996,194000,1066.477557
97,-325.18802400000004,196000,1077.319305
98,-503.020404,198000,1088.182302
99,-377.230679,200000,1099.0658460000002
100,-356.159961,202000,1109.920349
101,-412.94183,204000,1120.795969
102,-350.690221,206000,1131.6655210000001
103,-434.421711,208000,1142.511609
104,-316.617572,210000,1153.3469300000002
105,-347.41103300000003,212000,1164.1893029999999
106,-373.052223,214000,1175.031544
107,-329.579502,216000,1185.885358
108,-746.942846,218000,1196.750817
109,-563.93441,220000,1207.6007949999998
110,-348.94856699999997,222000,1218.448835
111,-229.53993799999998,224000,1229.283629
112,-243.054117,226000,1240.885774
113,-371.005537,228000,1251.7637869999999
114,-391.817959,230000,1262.596853
115,-417.056305,232000,1273.449162
116,-327.364488,234000,1284.278438
117,-428.13313700000003,236000,1295.135751
118,-476.954607,238000,1305.981814
119,-283.953131,240000,1316.827372
120,-308.00410800000003,242000,1327.710269
121,-268.119571,244000,1338.582289
122,-250.14491800000002,246000,1349.450972
123,-237.39149300000003,248000,1360.321613
124,-239.964035,250000,1371.256996
125,-610.686673,252000,1382.126892
126,-285.094113,254000,1393.023209
127,-270.600094,256000,1403.888994
128,-796.791068,258000,1414.76898
129,-426.78943399999997,260000,1425.630775
130,-840.535626,262000,1436.529481
131,-830.7720419999999,264000,1447.4005029999998
132,-852.0181039999999,266000,1458.2407210000001
133,-814.620179,268000,1469.077014
134,-742.788467,270000,1479.958934
135,-283.412025,272000,1490.837711
