,r,l,t
0,-1157.955778,2000,72.994484
1,-915.870075,4000,140.16991000000002
2,-1216.724092,6000,189.549331
3,-1080.526844,8000,232.18907400000003
4,-983.9289859999999,10000,274.988719
5,-1098.120704,12000,317.36497099999997
6,-1220.276293,14000,359.429668
7,-1064.108307,16000,402.221764
8,-819.902094,18000,444.637434
9,-845.4100880000001,20000,493.64724800000005
10,-860.1305970000001,22000,536.029459
11,-892.502443,24000,577.7737940000001
12,-934.510924,26000,619.5035
13,-979.6784240000001,28000,661.6361
14,-1110.310178,30000,704.671508
15,-973.652077,32000,747.330203
16,-1078.438842,34000,789.653506
17,-1037.416699,36000,831.793684
18,-1043.288136,38000,874.3641130000001
19,-875.3081490000001,40000,917.186601
20,-860.0085460000001,42000,959.5623949999999
21,-1123.394434,44000,1002.2865400000001
22,-736.092147,46000,1044.7431119999999
23,-893.29896,48000,1093.48153
24,-941.270697,50000,1136.999763
25,-1002.6203289999999,52000,1182.0636
26,-848.015034,54000,1225.3647130000002
27,-789.671721,56000,1268.396882
28,-942.2581869999999,58000,1311.1962839999999
29,-574.538437,60000,1353.372108
30,-906.44156,62000,1402.754537
31,-563.455527,64000,1444.71676
32,-853.862491,66000,1494.5378970000002
33,-948.1593,68000,1536.553458
34,-757.467443,70000,1579.9772970000001
35,-900.706069,72000,1622.569232
36,-831.946658,74000,1664.989696
37,-886.367619,76000,1706.6566149999999
38,-836.134355,78000,1749.409523
39,-567.8845769999999,80000,1791.72327
40,-619.0421809999999,82000,1834.393623
41,-869.5331800000001,84000,1877.3617789999998
42,-570.728201,86000,1920.2562850000002
43,-596.178678,88000,1963.47883
44,-642.541734,90000,2005.8107969999999
45,-730.352116,92000,2048.425461
46,-692.4740559999999,94000,2090.267921
47,-775.137967,96000,2132.400397
48,-897.179707,98000,2174.616013
49,-498.279271,100000,2216.441913
50,-1019.2490460000001,102000,2266.4164809999997
51,-638.361422,104000,2309.7234550000003
52,-840.656881,106000,2352.114068
53,-822.829321,108000,2394.37291
54,-941.8560539999999,110000,2437.3518489999997
55,-908.6158960000001,112000,2481.043374
56,-690.402938,114000,2524.643912
57,-492.395559,116000,2567.57211
58,-515.960224,118000,2618.1785370000002
59,-615.873653,120000,2661.572741
60,-950.375868,122000,2705.199578
61,-780.7719480000001,124000,2747.666958
62,-901.249539,126000,2792.387873
63,-688.355516,128000,2834.9759
64,-438.742351,130000,2877.341467
65,-498.799672,132000,2927.849834
66,-456.307579,134000,2970.933463
67,-431.043975,136000,3014.226883
68,-480.31579800000003,138000,3064.3314600000003
69,-911.7200439999999,140000,3106.8257510000003
70,-461.00181100000003,142000,3149.3896879999998
71,-457.36667800000004,144000,3191.803965
72,-478.24179699999996,146000,3234.712723
73,-453.441805,148000,3278.2890350000002
74,-817.80042,150000,3321.074593
75,-725.149586,152000,3363.283714
76,-457.082042,154000,3405.504375
77,-879.6058199999999,156000,3448.9444689999996
78,-777.390906,158000,3492.526172
79,-766.975507,160000,3535.309308
80,-1016.0735890000001,162000,3578.081086
81,-843.9003140000001,164000,3620.4941310000004
82,-241.914994,166000,3662.8492420000002
83,-229.885304,168000,3713.395836
84,-952.4815130000001,170000,3763.321403
85,-926.138387,172000,3806.486107
86,-345.391261,174000,3849.6256369999996
87,-519.1497,176000,3893.201326
88,-360.32189900000003,178000,3936.750643
89,-382.09427,180000,3978.570073
90,-318.549011,182000,4020.491528
91,-527.624307,184000,4062.3429409999994
92,-929.191058,186000,4104.436388
93,-503.619362,188000,4146.785816
94,-859.175344,190000,4190.462805
95,-280.57671400000004,192000,4233.98739
96,-430.746462,194000,4276.416601
97,-267.608331,196000,4319.8766829999995
98,-283.128719,198000,4362.943643
99,-898.5105900000001,200000,4405.848744
100,-505.724068,202000,4448.956384
101,-630.935204,204000,4491.811231000001
102,-624.733104,206000,4535.0426640000005
103,-428.16502,208000,4578.535583
104,-482.045802,210000,4621.14189
105,-305.15885,212000,4663.621115
106,-160.417869,214000,4706.057645
107,-251.62279300000003,216000,4755.165792
108,-274.416184,218000,4798.994313
109,-445.385849,220000,4841.699301
110,-278.144796,222000,4884.432505
111,-201.663405,224000,4927.189317
112,-829.698623,226000,4970.323428
113,-854.5039859999999,228000,5013.002326
114,-711.622199,230000,5054.412152
115,-201.955304,232000,5097.570911
116,-169.94106100000002,234000,5140.5278100000005
117,-321.76099500000004,236000,5183.387052
118,-936.1751949999999,238000,5225.921219
119,-324.74258399999997,240000,5267.767793
120,-452.893875,242000,5310.2299920000005
121,-323.048374,244000,5353.495099
122,-204.12532,246000,5397.137192
123,-339.406528,248000,5439.7781
124,-221.382914,250000,5482.383938
125,-170.054728,252000,5524.998064
126,-364.059771,254000,5566.6661030000005
127,-1063.108983,256000,5609.070227
128,-889.292226,258000,5651.489459
129,-718.086856,260000,5694.225659000001
130,-688.337552,262000,5737.223148
131,-587.31674,264000,5780.132804999999
132,-496.52377,266000,5822.859511
133,-271.173638,268000,5865.379446
134,-871.971668,270000,5907.965399000001
135,-642.512613,272000,5950.4366
136,-210.38347400000004,274000,5993.803054999999
137,-819.329679,276000,6037.153737
138,-239.691105,278000,6079.618576
139,-195.231192,280000,6122.197594
140,-506.04787400000004,282000,6165.283649
141,-376.672139,284000,6208.501878
142,-544.5423450000001,286000,6252.0449579999995
143,-708.628377,288000,6294.611234
144,-911.7342789999999,290000,6336.393063
145,-222.29119500000002,292000,6378.693725
146,-727.398304,294000,6420.32409
147,-718.472775,296000,6463.042125999999
148,-393.483781,298000,6505.379931
149,-220.67637599999998,300000,6547.132422
150,-179.29413,302000,6589.023508
151,-174.372605,304000,6632.439067
152,-988.016893,306000,6675.779659000001
153,-162.26521699999998,308000,6718.4945099999995
154,-1040.2439949999998,310000,6761.33795
155,-282.923599,312000,6803.140909000001
156,-246.048982,314000,6845.340419
157,-190.860268,316000,6888.388733
158,-648.848144,318000,6930.427973999999
159,-183.989092,320000,6973.736272
160,-548.90268,322000,7016.824333
161,-731.753146,324000,7059.158305
162,-551.28967,326000,7101.589002
163,-796.1086740000001,328000,7144.877976999999
164,-838.413971,330000,7187.890447
165,-163.168723,332000,7231.733383
166,-850.8173009999999,334000,7274.825729000001
167,-653.725686,336000,7317.594879
168,-545.013733,338000,7359.896822
169,-325.729637,340000,7401.2403030000005
170,-692.335431,342000,7443.751543
171,-301.389157,344000,7487.020490000001
