,r,l,t
0,-1602.230156,2000,12.658009
1,-1593.567716,4000,26.480265000000003
2,-1675.469578,6000,37.49566
3,-1584.462946,8000,47.479729
4,-1345.692992,10000,61.72630600000001
5,-1657.54295,12000,76.241387
6,-758.42854,14000,89.447788
7,-922.1869949999999,16000,104.325748
8,-925.5541619999999,18000,118.305577
9,-1120.945526,20000,130.732541
10,-920.8842970000001,22000,144.912308
11,-747.842853,24000,156.467241
12,-1251.968497,26000,170.075246
13,-1268.517082,28000,181.70945600000002
14,-698.789891,30000,194.025329
15,-644.315145,32000,206.089725
16,-796.9609059999999,34000,219.601098
17,-1118.848997,36000,232.336658
18,-611.8014870000001,38000,246.324127
19,-1193.63211,40000,259.441483
20,-546.813133,42000,272.251108
21,-554.913547,44000,287.596062
22,-729.656947,46000,301.0823
23,-870.185175,48000,315.117523
24,-778.765729,50000,326.207922
25,-700.806137,52000,337.81336
26,-760.201682,54000,350.60143
27,-681.212209,56000,361.874938
28,-859.827157,58000,373.975101
29,-857.130766,60000,387.382359
30,-612.98359,62000,399.700145
31,-649.870532,64000,412.596267
32,-529.6058889999999,66000,424.274466
33,-900.913135,68000,437.776557
34,-1096.366481,70000,449.61308899999995
35,-562.5301440000001,72000,462.31555199999997
36,-1481.225811,74000,475.34110599999997
37,-771.739077,76000,488.807909
38,-1237.4607740000001,78000,501.90314800000004
39,-876.626391,80000,514.847674
40,-1155.231327,82000,527.510833
41,-1023.4649890000001,84000,541.4815480000001
42,-416.41833399999996,86000,556.031996
43,-437.191362,88000,571.4479769999999
44,-481.365322,90000,583.036868
45,-475.105694,92000,597.810429
46,-704.924896,94000,611.2239480000001
47,-772.101091,96000,624.268818
48,-1152.239242,98000,638.8995940000001
49,-530.558682,100000,651.8584599999999
50,-1152.866859,102000,664.605403
51,-800.389583,104000,677.3127
52,-974.06121,106000,690.350613
53,-386.66409300000004,108000,703.013513
54,-426.269529,110000,717.921514
55,-876.76329,112000,730.66632
56,-1020.5453539999999,114000,744.371643
57,-1027.043203,116000,756.3292299999999
58,-690.947556,118000,768.605332
59,-1164.593918,120000,781.108477
60,-691.502676,122000,794.301732
61,-845.862933,124000,805.382401
62,-1185.667038,126000,818.002032
63,-1024.000651,128000,831.453644
64,-621.822775,130000,845.2744050000001
65,-528.66791,132000,858.725051
66,-634.099782,134000,870.8445230000001
67,-916.5927529999999,136000,882.985399
68,-642.0081759999999,138000,895.041043
69,-1158.924956,140000,907.330092
70,-371.379703,142000,919.543081
71,-1532.8356390000001,144000,934.012376
72,-546.0181200000001,146000,946.336426
73,-1288.5308949999999,148000,958.859708
74,-1308.156033,150000,971.010085
75,-594.802232,152000,983.065234
76,-1676.090309,154000,995.131807
77,-1144.706923,156000,1007.22189
78,-693.775885,158000,1019.255248
