,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1516.2608699999998,2000,13.201602,-0.011425311,-0.18853968,0.08893604,-0.13704660000000002,0.039492648,-0.10059454,0.16609894,-0.24462494,-0.020779492,0.08073399
1,-1639.042585,4000,28.45164,-0.019007806000000002,-0.20042662,0.09030819,-0.13933069,0.039156206,-0.1037586,0.15939945,-0.25686622,-0.02213617,0.0839091
2,-1623.527525,6000,42.170052,-0.020990696,-0.18150069,0.09618008,-0.14806594,0.04232645,-0.11289359,0.16146125,-0.19693567,-0.023252942000000002,0.08738318
3,-1426.402205,8000,55.68310699999999,-0.006278573000000001,-0.1632108,0.09476049,-0.14337225,0.040943537,-0.12019260000000001,0.18680854,-0.18579634,-0.016133593,0.08030378
4,-1293.97382,10000,68.92299799999999,0.02136468,-0.15164788,0.0959078,-0.07676767599999999,0.044827893,-0.1311735,0.2452494,-0.18526594,-0.006497666,0.06982157
5,-1451.564808,12000,82.714866,0.04207909,-0.14955302,0.091158606,-0.075593695,0.041267537,-0.13697831,0.22465307,-0.17159562,0.015567721000000001,0.080912665
6,-1562.48945,14000,93.873529,0.046179283,-0.13757917,0.08316074,-0.071336836,0.047168184,-0.13761169,0.23110656,-0.16033913,0.038887408,0.06925257
7,-1613.204569,16000,105.243753,0.040337354,-0.13461515,0.08171828,-0.068512894,0.046360273,-0.14639899,0.24660067,-0.15680571,0.05545176,0.061900537
8,-1648.5205050000002,18000,116.644122,0.02861008,-0.11666206,0.078843065,-0.060523596,0.062126506,-0.15513177,0.26459357,-0.16767132,0.033048876,0.079422705
9,-1704.99247,20000,127.880422,0.08299005,-0.09806367,0.10083992,-0.051740363,0.09081905,-0.14533912,0.26218020000000003,-0.15779082,0.02621278,0.07142168
10,-1173.426583,22000,139.20930800000002,0.09950565,-0.06725127,0.06949604,-0.055841483,0.085860014,-0.1399331,0.27763292,-0.15397766,0.033807468,0.08276625
11,-845.620654,24000,151.938889,0.105861045,-0.072015755,0.09825999,-0.06073532,0.102766976,-0.14871283,0.26996437,-0.13956834,0.02926295,0.096431926
12,-1564.783117,26000,164.72520500000002,0.09443926,-0.07146458,0.09766921,-0.075549096,0.113708444,-0.14770712,0.26996303,-0.1186611,0.035235886,0.09256159
13,-1040.138742,28000,176.453904,0.08088580000000001,-0.06384669,0.07307342,-0.06982566,0.10781051,-0.15038189999999999,0.2655927,-0.1506835,0.025433304,0.067225076
14,-1516.651525,30000,188.20078700000002,0.11334133,-0.055605825,0.058326065999999996,-0.056930352000000004,0.13000946,-0.1354952,0.26727656,-0.16810894,0.02832434,0.07383272
15,-970.198555,32000,200.001365,0.11594385,-0.06146764,0.056026495999999995,-0.04817754,0.14748134,-0.11207659,0.2723339,-0.1847576,0.042638055999999994,0.10802279
16,-1777.800887,34000,211.21333399999997,0.15024242,-0.06420759,0.12391157400000001,-0.044080734,0.16255815,-0.10164542,0.2669822,-0.16615056,0.05906030000000001,0.13009739
17,-765.372314,36000,222.41334700000002,0.1455004,-0.05478424,0.16652676,-0.046395935,0.18027897,-0.09620468,0.27949288,-0.15045653,0.059764516,0.124913126
18,-754.673436,38000,235.228296,0.15502366,-0.037596773,0.19018044,-0.051663447,0.17960377,-0.084119424,0.2726804,-0.15123825,0.073840864,0.10548907
19,-1541.366389,40000,248.16659700000002,0.15364063,-0.0025490194,0.21418442,-0.06180108,0.15720427,-0.0721495,0.27586195,-0.15498029,0.06024291,0.105104685
20,-765.836308,42000,259.464004,0.12478505,0.005108784,0.21666676,-0.054807197,0.14678474,-0.079155646,0.28570867,-0.16395341,0.05532911,0.10456869
21,-742.588663,44000,270.772728,0.10897763,-0.0010655051,0.22610795,-0.047932524000000004,0.13811442,-0.09539026,0.29161426,-0.16673392,0.05081779,0.10109028
22,-1001.257584,46000,283.582336,0.10231126,0.0017597823999999998,0.22034429,-0.046539214,0.11996178,-0.096549325,0.28841424,-0.16531523,0.029483786,0.09520457
23,-788.262354,48000,294.884353,0.1056672,0.0031414966,0.21647625,-0.04395051,0.12613261,-0.08097899,0.27406392,-0.17565946,0.0077081076,0.09439088
24,-504.73447999999996,50000,306.150969,0.10058536,0.0015132651999999998,0.21609655,-0.037568606000000004,0.12880015,-0.07408539,0.26560473,-0.17769873,-0.00025866693,0.085436076
25,-911.8346740000001,52000,319.06154399999997,0.08126861,0.0030590865999999997,0.2087986,-0.04557079,0.12231169,-0.07396549,0.27023837,-0.18830301,-0.004994131,0.08426689999999999
26,-518.8992599999999,54000,330.42258599999997,0.088667534,0.0038271367,0.20962214,-0.04828194,0.10604949999999999,-0.07810729,0.28712547,-0.19163899,-0.005854631999999999,0.09120588
