,r,l,t
0,-1679.539821,2000,13.191276
1,-1568.3546310000002,4000,29.476203
2,-1473.704821,6000,45.760253000000006
3,-1582.4474480000001,8000,58.60539
4,-1430.2591949999999,10000,69.375516
5,-1451.323808,12000,82.327247
6,-1380.992889,14000,92.74375699999999
7,-1498.149023,16000,105.850131
8,-1542.9716970000002,18000,116.887525
9,-1414.128349,20000,128.94358300000002
10,-1513.956674,22000,141.31153999999998
11,-1778.868481,24000,154.10361
12,-1530.9973730000002,26000,166.907039
13,-1228.21886,28000,178.568676
14,-1394.677688,30000,192.380102
15,-1434.382299,32000,204.47593899999998
16,-1169.448046,34000,216.30205
17,-1365.079138,36000,230.291537
18,-1608.682507,38000,244.82479700000002
19,-1411.817973,40000,256.57243
20,-1422.89561,42000,267.180579
21,-1366.794538,44000,277.475795
22,-1407.035313,46000,287.595555
23,-1495.132943,48000,297.32680899999997
24,-1553.4343390000001,50000,307.937272
25,-1632.4057289999998,52000,317.63831
26,-1456.362417,54000,327.79132200000004
27,-1502.605106,56000,338.447438
28,-1459.2714039999998,58000,348.538072
29,-1421.150249,60000,358.43762799999996
30,-1379.2934400000001,62000,370.30893
31,-1356.845172,64000,383.12278399999997
32,-1699.255151,66000,393.717621
33,-1373.351303,68000,403.428897
34,-1402.309593,70000,413.589436
35,-1430.1379029999998,72000,423.294253
36,-1436.977173,74000,433.34595
37,-1480.803359,76000,443.60038499999996
38,-1445.487834,78000,453.798072
39,-1452.056646,80000,464.537059
40,-1420.6947480000001,82000,475.013544
41,-1363.958028,84000,485.610368
42,-1488.463889,86000,495.327204
43,-1352.674354,88000,505.824255
44,-1238.193435,90000,516.3434530000001
45,-1346.2191779999998,92000,528.672276
46,-1300.334039,94000,540.1883429999999
47,-1423.129886,96000,552.233339
48,-1610.761283,98000,565.319539
49,-1155.642715,100000,579.282944
50,-1339.424263,102000,592.926756
51,-1362.288894,104000,605.391887
52,-1340.636972,106000,619.0427030000001
53,-1325.143689,108000,632.166328
54,-1524.440635,110000,645.0912599999999
55,-1708.53422,112000,656.639062
56,-1498.4715210000002,114000,667.440654
57,-1356.6821539999999,116000,678.582807
58,-1104.3110960000001,118000,690.367953
59,-1658.797028,120000,703.270632
60,-1138.4791380000001,122000,716.6039559999999
61,-1399.091443,124000,729.211326
62,-1341.0516,126000,741.958579
63,-1443.162752,128000,754.0381219999999
64,-1381.092689,130000,765.865986
65,-1552.521952,132000,778.6237940000001
66,-1194.21605,134000,791.562987
67,-1172.748776,136000,802.678844
68,-1274.896741,138000,814.134549
69,-1277.0163810000001,140000,826.6842740000001
70,-1304.888945,142000,838.225372
71,-1405.757118,144000,850.972003
72,-1479.825659,146000,862.7497890000001
73,-1377.520435,148000,874.457728
74,-1601.860189,150000,887.23675
75,-1340.273646,152000,899.146633
76,-1226.380561,154000,910.056182
77,-1278.705171,156000,920.795276
78,-1220.485099,158000,932.343239
79,-1513.26429,160000,943.1926869999999
80,-1419.23583,162000,954.5433419999999
81,-1333.038299,164000,965.7396949999999
82,-1498.9727679999999,166000,976.943491
83,-1567.5622449999998,168000,986.8595240000001
84,-1596.083405,170000,998.522515
85,-1425.656053,172000,1009.4370039999999
86,-1578.640095,174000,1019.2173730000001
87,-1230.3803580000001,176000,1029.5736220000001
88,-1179.488313,178000,1040.645007
89,-1243.2428519999999,180000,1052.314678
90,-1236.435835,182000,1064.9035310000002
91,-1178.5893019999999,184000,1076.745011
92,-1212.375913,186000,1087.4801439999999
93,-1703.2484350000002,188000,1099.318367
94,-1324.218985,190000,1111.3090650000001
95,-1329.014241,192000,1123.050536
96,-1376.7027039999998,194000,1135.162242
97,-1170.851339,196000,1147.395501
98,-1169.6128310000001,198000,1159.185377
99,-1140.483902,200000,1169.608496
100,-1156.1222539999999,202000,1180.5516810000001
101,-1583.3166310000001,204000,1191.054574
102,-1112.750218,206000,1201.524692
103,-1082.792325,208000,1212.8257939999999
104,-1134.195011,210000,1228.599967
105,-977.7597910000001,212000,1240.194932
106,-1539.643429,214000,1252.325707
107,-983.903702,216000,1263.0352990000001
108,-883.526433,218000,1274.032948
109,-1062.018429,220000,1286.066594
110,-1224.770235,222000,1295.8950710000001
111,-907.988015,224000,1306.7245710000002
112,-992.073531,226000,1318.52697
113,-948.468116,228000,1329.752069
114,-990.061919,230000,1340.611646
115,-1310.021292,232000,1351.845901
116,-1336.113793,234000,1362.068632
117,-1147.700613,236000,1372.4362
118,-1330.891066,238000,1382.920475
119,-1408.925823,240000,1394.007207
120,-1322.575043,242000,1404.723923
121,-893.768891,244000,1416.634219
122,-1028.420296,246000,1427.1553210000002
123,-1382.7583140000002,248000,1437.961564
124,-1312.578754,250000,1449.067809
125,-1388.973417,252000,1460.325674
126,-1295.3203130000002,254000,1471.1749960000002
127,-1337.685248,256000,1481.572819
128,-1273.29878,258000,1491.714112
129,-1290.566988,260000,1502.317344
130,-907.4699929999999,262000,1513.578017
131,-919.531881,264000,1525.808924
132,-1358.1767,266000,1537.202498
133,-1165.445396,268000,1548.1317210000002
134,-1261.3556019999999,270000,1560.25019
135,-1174.0038220000001,272000,1571.707128
136,-1056.313889,274000,1583.854328
137,-1139.658097,276000,1595.756007
138,-1282.789016,278000,1609.2149960000002
139,-962.6643210000001,280000,1621.317652
140,-1229.876636,282000,1633.847364
141,-1166.660148,284000,1646.6506880000002
142,-1322.588052,286000,1660.4202400000001
143,-980.498907,288000,1672.9869429999999
144,-1462.672084,290000,1684.6183239999998
145,-1575.5248179999999,292000,1695.498343
146,-1441.927415,294000,1707.2376
147,-1465.92057,296000,1719.569355
148,-1133.8997769999999,298000,1730.59082
149,-1072.895585,300000,1742.410611
150,-1244.338593,302000,1754.656555
151,-1194.451092,304000,1767.371704
152,-1286.440972,306000,1778.573727
153,-1284.657466,308000,1791.195495
154,-1089.388516,310000,1803.334796
155,-1278.242728,312000,1816.1647850000002
156,-1062.044065,314000,1828.852728
157,-1219.001167,316000,1841.00972
158,-1218.797841,318000,1852.640491
159,-1383.147903,320000,1864.4947809999999
160,-1160.256175,322000,1875.810427
161,-1087.614427,324000,1888.054649
162,-1108.584239,326000,1899.911869
163,-1197.481002,328000,1911.291575
164,-1558.5440859999999,330000,1921.8008170000003
165,-959.6051679999999,332000,1932.0360190000001
166,-1166.431473,334000,1941.838169
167,-866.3198560000001,336000,1951.6289510000001
168,-1136.9716460000002,338000,1962.8472629999999
169,-1360.640236,340000,1973.4981480000001
170,-1101.6499939999999,342000,1987.2204570000001
171,-934.393284,344000,2000.0324100000003
172,-1357.720996,346000,2012.5531469999999
173,-1611.626887,348000,2023.1351829999999
174,-1016.2858550000001,350000,2034.3401820000001
175,-1002.641493,352000,2045.4538739999998
176,-1064.968435,354000,2057.258977
177,-1247.086384,356000,2067.664041
178,-1532.624966,358000,2077.592506
179,-1414.000223,360000,2087.790181
180,-859.763157,362000,2098.214867
181,-1044.0752949999999,364000,2110.51791
182,-964.1541490000001,366000,2120.752704
183,-910.086888,368000,2131.774947
184,-1814.008439,370000,2142.494896
185,-1465.905039,372000,2153.305524
186,-900.821757,374000,2163.88781
187,-1249.7650390000001,376000,2174.342118
188,-1063.8339449999999,378000,2184.92166
189,-998.499019,380000,2197.382702
190,-987.669707,382000,2208.540411
191,-984.617044,384000,2220.325818
192,-887.0400460000001,386000,2232.220502
193,-870.846825,388000,2242.946653
194,-868.3252640000001,390000,2254.0978670000004
195,-921.595476,392000,2265.444924
196,-1004.391293,394000,2275.4017879999997
197,-1098.3632539999999,396000,2286.045995
198,-908.097216,398000,2296.399048
199,-878.7082300000001,400000,2306.709307
200,-888.5362289999999,402000,2316.437445
201,-957.083333,404000,2326.257692
202,-1066.089999,406000,2336.761419
203,-985.231177,408000,2346.902367
204,-939.251689,410000,2357.481665
205,-846.48544,412000,2367.96792
206,-843.35361,414000,2380.277075
207,-895.8185609999999,416000,2392.511371
208,-846.611682,418000,2402.7074620000003
209,-1059.042155,420000,2412.536579
210,-1010.869551,422000,2422.310664
211,-1073.027208,424000,2432.754175
212,-1138.467975,426000,2444.719928
213,-977.9297039999999,428000,2458.5130879999997
214,-1058.298932,430000,2470.875547
215,-1086.82541,432000,2485.6211949999997
216,-1109.569186,434000,2498.60938
217,-1028.191986,436000,2511.10483
218,-1076.576716,438000,2526.5533370000003
219,-1018.2505289999999,440000,2538.241304
220,-1001.0691810000001,442000,2551.133691
221,-1097.255293,444000,2562.78617
222,-1438.9575320000001,446000,2574.513976
223,-1081.621959,448000,2585.321546
224,-1027.716558,450000,2597.243844
225,-1063.951465,452000,2608.7440579999998
226,-1327.10055,454000,2620.0298980000002
227,-1123.636117,456000,2631.091651
228,-997.9537650000001,458000,2642.2568539999997
229,-1117.415967,460000,2652.996061
230,-1127.317625,462000,2664.595013
231,-1072.067748,464000,2676.2451760000004
232,-1105.177019,466000,2687.691248
233,-1112.7602359999998,468000,2698.475378
234,-1441.457499,470000,2709.507101
235,-1027.357799,472000,2720.314266
236,-1276.362198,474000,2732.323687
237,-991.755511,476000,2745.4183780000003
238,-1028.549959,478000,2757.187309
239,-1155.458604,480000,2767.8470429999998
240,-1091.479654,482000,2779.245134
241,-993.995452,484000,2790.543754
242,-988.693032,486000,2801.880855
243,-1106.154538,488000,2813.512073
244,-1067.985114,490000,2825.73275
245,-919.805458,492000,2837.100872
