,r,l,t
0,-1777.2033149999997,2000,68.50146600000001
1,-1688.872768,4000,131.390968
2,-1674.3852,6000,185.496925
3,-1645.519968,8000,239.11653199999998
4,-1824.0691920000002,10000,292.11609
5,-1369.252225,12000,337.429994
6,-1668.367444,14000,392.100888
7,-1094.660759,16000,437.305054
8,-1347.21777,18000,490.58337800000004
9,-969.120031,20000,536.249654
10,-708.208016,22000,588.867538
11,-1547.8454800000002,24000,641.970642
12,-1603.0037109999998,26000,687.989953
13,-1620.178292,28000,733.657313
14,-1313.1165720000001,30000,778.826831
15,-884.9329869999999,32000,824.0878690000001
16,-893.348068,34000,869.799698
17,-983.3673349999999,36000,917.8363710000001
18,-880.698228,38000,964.1513359999999
19,-925.077274,40000,1008.9377390000001
20,-1053.24101,42000,1053.270625
21,-970.667867,44000,1097.179637
22,-820.769462,46000,1141.6907939999999
23,-835.2471230000001,48000,1185.76293
24,-786.891496,50000,1229.93366
25,-1214.315031,52000,1273.707612
26,-759.274504,54000,1318.348111
27,-919.7392039999999,56000,1362.327867
28,-904.098116,58000,1407.787822
29,-803.808871,60000,1452.276357
30,-780.630074,62000,1497.487711
31,-1052.509893,64000,1541.324235
32,-771.296882,66000,1585.779313
33,-1086.72684,68000,1630.891582
34,-711.511695,70000,1676.12214
35,-827.3742490000001,72000,1720.790907
36,-787.8764259999999,74000,1765.2265129999998
37,-1075.732988,76000,1809.526813
38,-631.99707,78000,1854.9349079999997
39,-672.170629,80000,1906.5890960000002
40,-682.707863,82000,1951.360338
41,-1094.760358,84000,1996.5511
42,-593.847386,86000,2042.189996
43,-634.860009,88000,2096.017527
44,-665.281968,90000,2141.0562600000003
45,-659.236123,92000,2186.578317
46,-769.434611,94000,2231.123365
47,-761.960116,96000,2275.141911
48,-727.6365030000001,98000,2319.152638
49,-819.412471,100000,2364.164168
50,-1427.133925,102000,2408.142818
51,-1107.219885,104000,2454.05451
52,-1013.045421,106000,2498.8314800000003
53,-700.718282,108000,2544.737805
54,-649.198211,110000,2589.0139489999997
55,-658.428733,112000,2632.846437
56,-959.006967,114000,2677.942877
57,-604.707184,116000,2723.070718
58,-557.110383,118000,2768.5508579999996
59,-988.174775,120000,2820.4906100000003
60,-669.106351,122000,2866.102961
61,-729.762879,124000,2911.571458
62,-651.604202,126000,2956.151057
63,-567.913821,128000,3002.022646
64,-706.919679,130000,3047.3265079999996
65,-697.7319160000001,132000,3091.940801
66,-778.592443,134000,3136.743086
67,-705.662914,136000,3182.093656
68,-1223.995698,138000,3227.033505
69,-639.948065,140000,3271.4650850000003
70,-668.523859,142000,3316.73406
71,-922.6244820000001,144000,3362.036658
72,-575.626164,146000,3406.7338630000004
73,-620.936143,148000,3452.374565
74,-585.415697,150000,3497.2782159999997
75,-533.294432,152000,3542.1923920000004
76,-506.451397,154000,3595.381383
77,-539.824329,156000,3648.4484469999998
78,-573.3420269999999,158000,3692.9624770000005
79,-630.7080900000001,160000,3738.348176
80,-677.267857,162000,3783.3774359999998
81,-628.2997429999999,164000,3828.943757
82,-785.1635980000001,166000,3874.710781
83,-609.076905,168000,3920.5707859999998
84,-643.335601,170000,3965.8490659999998
85,-587.719752,172000,4011.226847
86,-574.915211,174000,4056.748573
87,-495.34583200000003,176000,4102.043659
88,-587.316059,178000,4155.979826
89,-567.332001,180000,4201.3121009999995
90,-695.829087,182000,4247.304139
91,-646.480358,184000,4292.349526
92,-565.115466,186000,4338.414838000001
93,-539.147899,188000,4384.25917
94,-460.419022,190000,4430.0164
95,-522.81905,192000,4482.81723
96,-584.85524,194000,4528.642743
97,-582.717437,196000,4574.757847
98,-497.54481,198000,4620.451988000001
99,-477.01701299999996,200000,4665.655983
100,-533.768416,202000,4710.20226
101,-596.2582769999999,204000,4757.0299509999995
102,-416.46718799999996,206000,4802.699709
103,-425.268528,208000,4855.576635
104,-445.39472300000006,210000,4900.821674
105,-541.539597,212000,4945.885303
106,-498.35714299999995,214000,4991.460603
107,-437.85840199999996,216000,5036.7717600000005
108,-498.67217300000004,218000,5082.23708
109,-404.29401,220000,5127.580636
110,-496.58547699999997,222000,5179.960897
111,-482.37292,224000,5225.701948
112,-426.734096,226000,5270.689631
113,-445.25218499999994,228000,5316.1666780000005
114,-406.338071,230000,5360.736509
115,-666.193649,232000,5406.2383039999995
116,-566.732795,234000,5450.5739619999995
117,-589.359233,236000,5495.202631
118,-443.98054800000006,238000,5539.574031
119,-422.95621500000004,240000,5584.301967
120,-568.583685,242000,5628.972355
121,-505.758917,244000,5673.8054
122,-496.169238,246000,5719.2359289999995
123,-419.06829799999997,248000,5764.532848
124,-379.182024,250000,5809.450158
125,-394.394661,252000,5861.759652000001
126,-385.307949,254000,5907.012222
127,-396.101348,256000,5952.116857
128,-426.85117699999995,258000,5996.913684
129,-385.367937,260000,6042.725771
130,-405.93831600000004,262000,6088.07774
131,-478.561094,264000,6133.479199
132,-1031.649287,266000,6177.738974
133,-447.083917,268000,6223.520563
134,-564.510025,270000,6268.603468
135,-374.221302,272000,6313.049665
136,-375.883122,274000,6365.315543
137,-408.404406,276000,6410.613502
138,-380.858338,278000,6456.235897
139,-404.84891,280000,6501.106493
140,-378.389535,282000,6546.807689
141,-391.373805,284000,6592.837964
142,-388.72291,286000,6637.727513
143,-405.76264199999997,288000,6683.371546
144,-388.20777000000004,290000,6728.557592
145,-367.100673,292000,6773.188155
146,-389.60986,294000,6826.220712
147,-338.859805,296000,6871.813290000001
148,-356.901244,298000,6923.548329000001
149,-356.62175099999996,300000,6968.647264
150,-381.52164,302000,7014.059689
151,-351.96495699999997,304000,7059.294406
152,-369.06305699999996,306000,7103.682609
153,-351.810648,308000,7147.832348999999
154,-366.20153799999997,310000,7193.446766
155,-353.326291,312000,7239.196915
156,-358.114683,314000,7284.635498999999
157,-355.205455,316000,7329.813256999999
158,-375.42021800000003,318000,7374.245132999999
159,-398.981657,320000,7419.310815000001
160,-392.155119,322000,7464.844506
161,-355.73124900000005,324000,7510.096529
162,-367.223458,326000,7555.363216
163,-382.759595,328000,7600.4657640000005
164,-337.903564,330000,7645.344287000001
165,-346.973669,332000,7697.794556999999
166,-313.774171,334000,7743.248933
167,-349.714776,336000,7794.305466
168,-1144.746814,338000,7839.723701999999
169,-368.24539599999997,340000,7884.931081000001
170,-1213.610575,342000,7929.882597
171,-1105.246455,344000,7975.5352
172,-1514.1531320000001,346000,8021.474867
173,-759.865049,348000,8066.215002
174,-329.851316,350000,8111.649721
175,-357.287016,352000,8156.676914
176,-420.44247800000005,354000,8202.522968000001
177,-373.62692599999997,356000,8247.819279000001
178,-349.737662,358000,8294.603545
179,-378.048382,360000,8339.87502
180,-371.059396,362000,8385.042494
181,-373.347895,364000,8430.019062000001
182,-363.626223,366000,8475.082528
183,-359.37671800000004,368000,8520.076090999999
184,-492.264188,370000,8565.48763
185,-370.941435,372000,8611.612457
186,-379.921048,374000,8657.428801
187,-363.012173,376000,8702.918845
188,-461.456563,378000,8747.834539
189,-1380.118396,380000,8794.18145
190,-1244.8839289999999,382000,8839.5658
191,-853.889512,384000,8886.152298
192,-341.045412,386000,8931.987679
193,-337.671894,388000,8976.914498
194,-311.654245,390000,9022.850239
195,-416.012025,392000,9075.211378
196,-447.658425,394000,9120.330590000001
197,-342.379719,396000,9165.820432999999
198,-276.99971,398000,9212.536951
199,-317.464243,400000,9265.723269
200,-935.422983,402000,9311.646477
201,-306.027062,404000,9357.058524
202,-353.292776,406000,9401.935443
203,-869.2170150000001,408000,9447.800490000001
204,-681.488661,410000,9494.166139
205,-270.907407,412000,9539.070114
206,-398.112845,414000,9591.693339
207,-336.045229,416000,9637.151323
208,-248.264158,418000,9683.209846
209,-238.822229,420000,9735.381373999999
210,-393.179536,422000,9789.029812
211,-330.47880499999997,424000,9833.647733
212,-225.503426,426000,9878.239831
213,-270.12296000000003,428000,9930.978436
214,-264.418482,430000,9977.498506999998
215,-261.451025,432000,10023.408009
216,-271.472616,434000,10068.284849
217,-246.94121299999998,436000,10112.741418000001
218,-305.76002400000004,438000,10158.159817
219,-265.68400099999997,440000,10203.315981
220,-299.441698,442000,10249.872408
221,-1056.6237390000001,444000,10295.519935
222,-457.221056,446000,10340.486694
223,-269.308084,448000,10386.187048
224,-856.810134,450000,10432.466174
225,-333.75725,452000,10478.014419
226,-302.683444,454000,10523.485706
227,-281.958004,456000,10569.192659
228,-327.078684,458000,10614.0683
229,-277.716092,460000,10660.14277
230,-340.556376,462000,10705.297551
231,-293.422763,464000,10751.397341
232,-429.30123,466000,10796.702686
233,-834.4186480000001,468000,10841.776869
234,-644.6734349999999,470000,10886.608944
235,-242.020206,472000,10932.277454000001
236,-616.800624,474000,10977.284869
237,-227.966829,476000,11022.934752
238,-224.16537799999998,478000,11068.444223
239,-251.434539,480000,11120.824002
240,-256.221262,482000,11166.27747
241,-262.583009,484000,11211.889826999999
242,-252.569024,486000,11257.376261
243,-256.783008,488000,11302.901541
244,-289.76555,490000,11348.759893999999
245,-249.978498,492000,11393.155596999999
246,-278.825489,494000,11438.137354999999
247,-259.148449,496000,11483.629753
248,-262.150754,498000,11528.107537
249,-282.87694,500000,11574.431239
