r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1339.003137,2000,20.793326,-0.0040093297,0.10123151,-0.12260959,0.20232472,0.20798351,-0.180999,0.08892224,-0.17658068,-0.05580832,-0.05561795
-1583.902729,4000,45.698,0.0004080162,0.09823993,-0.11995296,0.2040771,0.20341556,-0.17423105,0.09465023,-0.18931192,-0.05898875,-0.0592886
-1170.21932,6000,68.330731,0.003193177,0.097868614,-0.11548077,0.20607288,0.19485943,-0.16896038,0.10357781,-0.18173568,-0.06388559,-0.058682084
-919.072492,8000,92.214561,-0.007935634,0.105757885,-0.10821966,0.1969619,0.18329792,-0.1609166,0.09637074,-0.18508726,-0.08156062,-0.046157733
-1223.207067,10000,115.587019,-0.02917694,0.10261421,-0.11041081,0.19083238,0.17082264,-0.16549936,0.08951299,-0.19744343,-0.08329595,-0.035683893
-1045.747523,12000,138.989481,-0.036982447,0.10288625,-0.11386306,0.19190241,0.16153051,-0.17785202,0.08470135,-0.18149264,-0.07710426,-0.02808934
-1710.473497,14000,161.807307,-0.053637087,0.09171037,-0.10747929,0.17043865,0.16102515,-0.17780863,0.08018358,-0.17255585,-0.07806389,-0.026110418
-759.450938,16000,184.788624,-0.0601419,0.07564058,-0.1030844,0.15242498,0.16849513,-0.18332225,0.083874196,-0.16909218,-0.06871054,-0.026220003
-1041.93279,18000,209.853691,-0.052851837,0.086496636,-0.10011047,0.14562377,0.19097762,-0.18232042,0.08157868,-0.16125883,-0.063623756,-0.030242316
-1146.488763,20000,232.059002,-0.052666865,0.08819455,-0.102307156,0.15360892,0.20047538,-0.19074331,0.08604888,-0.16082337,-0.066089086,-0.042444926
-1673.181823,22000,254.339768,-0.03865453,0.09914088,-0.107629545,0.1585272,0.20666036,-0.20203318,0.07792662,-0.15729648,-0.068241544,-0.042668678
-1321.681839,24000,276.169055,-0.038805876,0.088840306,-0.11374518,0.15008274,0.20945951,-0.20176329,0.079242475,-0.15922038,-0.06981762,-0.04656713
-1615.315888,26000,298.007448,-0.022058254,0.0815479,-0.11107522,0.14785668,0.19757004,-0.20287652,0.086171016,-0.13255158,-0.069905765,-0.032855988
-1834.166816,28000,319.786907,-0.0073452946,0.081089504,-0.105390966,0.14645809,0.1863836,-0.20009412,0.07825399,-0.12624316,-0.081487395,-0.027819756
-1276.180444,30000,341.564442,0.0021457935,0.07054921,-0.098207705,0.12911403,0.19375616,-0.18557411,0.071542926,-0.11859133,-0.07940241,-0.026846616
-1680.77859,32000,364.211025,0.018801391,0.0665884,-0.10199681,0.11898462,0.19830519,-0.17227373,0.072363496,-0.12370775,-0.077753425,-0.0214608
-1285.764365,34000,386.952926,0.044133645,0.07233991,-0.10563255,0.10616667,0.19957153,-0.1677199,0.0718843,-0.12132799,-0.07864007,-0.009088249
-1614.227111,36000,409.361675,0.029991064,0.06765509,-0.11328533,0.0956986,0.20565066,-0.16468267,0.07653008,-0.12933695,-0.08338694,-0.004812923
-1375.643212,38000,432.777204,0.038948305,0.06647295,-0.1303063,0.09075938,0.20358177,-0.18489821,0.07951911,-0.14663732,-0.08201804,-0.0025838297
-1105.790914,40000,454.783971,0.046461165,0.06395249,-0.15195395,0.08710739,0.196587,-0.18426335,0.0542754,-0.15902965,-0.093238875,0.003919
-1260.283467,42000,476.254016,0.04104459,0.06146145,-0.16788886,0.07456613,0.18664333,-0.19732444,0.031652756,-0.16314316,-0.092411175,0.016616503
-1245.300909,44000,497.451877,0.037684467,0.06372752,-0.18092065,0.06184849,0.18615198,-0.1905549,0.041088015,-0.17689118,-0.079237126,0.024827568
-1216.474637,46000,518.513183,0.013158891,0.07189747,-0.18746093,0.04438519,0.20556164,-0.18093736,0.034607105,-0.20265335,-0.07201285,0.02693343
-1235.104422,48000,540.182106,0.025709592,0.0811324,-0.19030619,0.02197455,0.23213966,-0.1704808,0.011472273,-0.21529593,-0.07281555,0.030191159
-1433.993428,50000,563.074429,0.038944524,0.07700383,-0.19167729,0.009012973,0.24184453,-0.15593052,-0.011053768,-0.21882556,-0.0650989,0.032010112
-1146.63622,52000,585.76498,0.048919775,0.07402224,-0.21096206,0.009495268,0.26203007,-0.15236208,-0.031685155,-0.23220724,-0.061352983,0.03167585
-1144.25941,54000,608.288544,0.051275767,0.05247654,-0.21827866,0.005115836,0.28105813,-0.16359144,-0.054249708,-0.24208385,-0.056984995,0.024594205
-1189.287049,56000,630.953223,0.01665758,0.039287776,-0.21487984,0.014533767,0.27739838,-0.1608912,-0.043123852,-0.24849826,-0.06287854,0.017185368
-989.331331,58000,654.202065,-0.0043742927,0.012324884,-0.21281229,0.019668024,0.26224008,-0.15394172,-0.031876802,-0.2530562,-0.063519016,0.0007380206
-862.406437,60000,677.20143,-0.017497452,0.009527991,-0.225695,0.017961236,0.2721218,-0.15706575,-0.04400084,-0.25199342,-0.07127474,-0.0022973942
-842.314078,62000,699.72236,-0.016723514,0.015057722,-0.2065845,0.021353377,0.25785154,-0.15780672,-0.07092382,-0.27532372,-0.081654444,-0.0074966573
-773.433269,64000,722.136576,-0.02192294,0.012037543,-0.18874368,0.016530657,0.25241998,-0.14433487,-0.075491734,-0.2668183,-0.101028286,-0.027296312
-1336.714495,66000,744.701612,-0.022159701,-0.00021228845,-0.17712218,0.03167849,0.23690136,-0.13345939,-0.077852145,-0.2544597,-0.11092917,-0.035027936
-1440.907703,68000,767.829164,-0.02629317,-0.003520412,-0.19446126,0.033699013,0.22743061,-0.12929755,-0.0643859,-0.2595051,-0.12729423,-0.035393987
-1427.035135,70000,789.606193,-0.040633917,0.009301879,-0.20117521,0.05012431,0.23676576,-0.15516642,-0.060249403,-0.24705164,-0.12681057,-0.030283045
-1357.234262,72000,812.545489,-0.0547152,0.018255105,-0.20442861,0.053350553,0.23001318,-0.1748639,-0.043380972,-0.25421044,-0.1312204,-0.018034307
-1108.409696,74000,837.336137,-0.057835802,0.032266192,-0.18536775,0.056390006,0.2349019,-0.18413526,-0.030228736,-0.25091025,-0.12651403,-0.018431664
-958.948057,76000,859.411508,-0.066569835,0.038015433,-0.18008046,0.058071606,0.23285757,-0.17924455,-0.02931694,-0.25104037,-0.11962798,-0.016059803
-1213.503573,78000,881.305588,-0.07093478,0.03131061,-0.18193418,0.05582113,0.23180199,-0.17833662,-0.032697055,-0.24040774,-0.111706175,-0.0132016605
-781.095594,80000,902.469423,-0.06610525,0.03196009,-0.18517554,0.039454862,0.21623714,-0.19026355,-0.02794034,-0.25027072,-0.11724961,-0.00922503
-1172.311658,82000,923.840541,-0.07664998,0.030574208,-0.18991005,0.01876126,0.21594983,-0.16669548,-0.03417388,-0.25101662,-0.1152802,-0.008756139
-1689.561696,84000,945.042914,-0.07276496,0.039293844,-0.20760156,0.020326829,0.2189956,-0.16824603,-0.027041752,-0.24684593,-0.11592762,-0.020456363
-1673.515211,86000,966.517877,-0.052735634,0.054710943,-0.22742417,0.05953246,0.23202477,-0.14107664,-0.025971016,-0.2225493,-0.12793112,-0.04983328
-1427.767655,88000,987.935565,-0.032984108,0.05225204,-0.21732904,0.08585637,0.23566584,-0.16291465,-0.019283526,-0.20244408,-0.13742173,-0.06181906
-820.861578,90000,1009.442431,-0.022458987,0.055160314,-0.22274345,0.07138062,0.22831571,-0.1742442,-0.041748613,-0.201514,-0.1469414,-0.09530157
-1361.463131,92000,1031.579239,-0.024291985,0.054863743,-0.22389808,0.069479175,0.23181486,-0.18960701,-0.06463074,-0.20586537,-0.14770532,-0.085405484
-1634.304923,94000,1053.785739,-0.02221428,0.049400274,-0.22899428,0.081536934,0.237457,-0.22864816,-0.06869328,-0.20753671,-0.1383678,-0.09533793
-1377.494645,96000,1075.108836,-0.022387363,0.058151856,-0.22662802,0.08679505,0.25844988,-0.218379,-0.08247103,-0.19938898,-0.13264196,-0.1191741
-1657.403498,98000,1095.493403,-0.024875253,0.07033685,-0.22744723,0.08401436,0.2647671,-0.19149473,-0.081001885,-0.20448714,-0.13936204,-0.12663096
-756.550537,100000,1117.908517,-0.04751357,0.06903001,-0.22999595,0.035672154,0.2553472,-0.1720613,-0.06594606,-0.19967437,-0.12108477,-0.1404832
-1055.677766,102000,1141.318881,-0.054164194,0.06572554,-0.22324668,-0.0012660946,0.24292137,-0.18765202,-0.050340284,-0.18256246,-0.11034355,-0.1387917
-839.266527,104000,1163.286448,-0.08499783,0.063338906,-0.22331068,-0.006630228,0.23636813,-0.20370258,-0.04500133,-0.1839036,-0.112267405,-0.18078536
-758.299772,106000,1186.089224,-0.0882465,0.062543906,-0.23232862,-0.012521272,0.24872242,-0.23606326,-0.036879633,-0.17826825,-0.11857343,-0.20563418
-1199.441356,108000,1209.807465,-0.101961605,0.056782816,-0.23696856,-0.026812859,0.2688018,-0.24829865,-0.037851654,-0.20918564,-0.11285939,-0.22839592
-1069.853981,110000,1231.576969,-0.09921947,0.053263415,-0.24070875,-0.030081807,0.27061167,-0.23046637,-0.05494645,-0.21180865,-0.10410807,-0.22275937
-645.613402,112000,1257.257432,-0.09276381,0.0559471,-0.25004068,-0.030009767,0.2786025,-0.2024571,-0.118471436,-0.19404255,-0.10082161,-0.21136479
-910.694634,114000,1283.675743,-0.105138615,0.05256297,-0.24668524,-0.033668164,0.27062097,-0.21014899,-0.14141819,-0.19185783,-0.07536955,-0.1858071
-1445.638963,116000,1306.386891,-0.117484435,0.028012756,-0.22992204,-0.03591386,0.25019044,-0.18720153,-0.13473131,-0.20477656,-0.04691691,-0.18496273
-666.636714,118000,1330.139852,-0.1346427,-0.011471628,-0.22442266,-0.039030887,0.25727695,-0.17288381,-0.14830217,-0.21366058,-0.04137773,-0.1858162
-1064.663364,120000,1351.199133,-0.1189024,-0.019208664,-0.19408593,-0.051524673,0.25636,-0.12679493,-0.19321431,-0.21838278,-0.05809487,-0.20444658
-1537.383485,122000,1371.935414,-0.11843533,-0.026071507,-0.21468571,-0.041598465,0.2559279,-0.13567632,-0.19417441,-0.2369756,-0.06424264,-0.20187281
-807.490461,124000,1392.093689,-0.12139518,-0.038598705,-0.2006092,-0.031565648,0.25587586,-0.16003373,-0.14252743,-0.26085287,-0.032192882,-0.1832411
-935.710726,126000,1412.310723,-0.10690765,-0.047564033,-0.22631823,-0.06095836,0.31026992,-0.16857168,-0.14710219,-0.24417289,0.011583282,-0.16879135
-1359.974839,128000,1432.504069,-0.12468263,-0.07093258,-0.23487328,-0.07068385,0.34996068,-0.15679207,-0.14319587,-0.25418523,0.027184479,-0.15518638
-1783.515378,130000,1453.9766,-0.123014905,-0.09908007,-0.26381665,-0.062276002,0.3879299,-0.19735341,-0.10532434,-0.2683642,0.043714423,-0.13070251
-1112.493471,132000,1475.781004,-0.1653863,-0.105084516,-0.27340904,-0.083207816,0.3959355,-0.27249885,-0.09467582,-0.29723284,0.0807193,-0.110267736
-1160.920468,134000,1497.46435,-0.22745089,-0.10559928,-0.24851157,-0.12137621,0.39902905,-0.31124008,-0.1001417,-0.30446956,0.05322183,-0.12157295
-908.599757,136000,1520.577229,-0.26214296,-0.110590935,-0.19885533,-0.12531385,0.40526807,-0.3315902,-0.09556745,-0.29587063,0.047638834,-0.16075844
-815.780476,138000,1544.802717,-0.27343777,-0.14922008,-0.19132139,-0.14101638,0.40143847,-0.3367419,-0.097379595,-0.3019432,0.08410397,-0.1795133
-787.558377,140000,1565.106865,-0.25193724,-0.17989552,-0.2145044,-0.1255962,0.405963,-0.36939502,-0.10629759,-0.31468758,0.077997774,-0.23324354
-972.164869,142000,1584.763731,-0.2289515,-0.19136168,-0.19403948,-0.13096951,0.3987312,-0.3800433,-0.1283109,-0.30159158,0.070750006,-0.26117358
-775.969992,144000,1604.613007,-0.24273087,-0.20429304,-0.18629576,-0.151435,0.37017018,-0.49234647,-0.12762873,-0.29432636,0.024151236,-0.28990048
-765.262259,146000,1624.4045,-0.27919167,-0.21524088,-0.1892386,-0.16451032,0.3528753,-0.5486596,-0.14150813,-0.2809458,-0.023885205,-0.32948595
-958.716029,148000,1644.559146,-0.3094339,-0.21613652,-0.17738171,-0.14308952,0.32545644,-0.5976819,-0.14117658,-0.27375138,-0.051652223,-0.36002243
-834.366916,150000,1665.243137,-0.32720888,-0.20338719,-0.18898061,-0.13536398,0.30619252,-0.58792,-0.13647157,-0.25928044,-0.06881136,-0.38687629
-951.548301,152000,1686.19217,-0.33485296,-0.17751627,-0.17447668,-0.14887609,0.27399674,-0.5846157,-0.14337033,-0.25994566,-0.082658775,-0.3861862
-1266.234216,154000,1706.904548,-0.3414023,-0.14991736,-0.13116577,-0.16900653,0.21863535,-0.5921285,-0.17648156,-0.24529302,-0.11746165,-0.37977704
-717.907815,156000,1727.34901,-0.3374907,-0.14393458,-0.087044716,-0.19601552,0.15861031,-0.58373564,-0.19614545,-0.24709713,-0.112955585,-0.35840806
-734.904212,158000,1748.266847,-0.3831141,-0.15261057,-0.007861233,-0.22481863,0.14878154,-0.5514013,-0.1768263,-0.27041394,-0.11261205,-0.34744218
-1457.697646,160000,1768.385495,-0.4080116,-0.1517114,-0.009898795,-0.28326133,0.16705172,-0.59213275,-0.146695,-0.30303532,-0.13054444,-0.35619748
-1285.313669,162000,1789.600778,-0.38458067,-0.16247146,0.0021572646,-0.3027041,0.21138671,-0.59958434,-0.15116835,-0.3369437,-0.15170236,-0.36333477
-1118.224586,164000,1813.342989,-0.35752472,-0.15036008,-0.0059416904,-0.2856391,0.24887718,-0.59966564,-0.13492014,-0.3564732,-0.19803664,-0.3548878
-860.517586,166000,1836.652855,-0.3410731,-0.14522111,0.01567447,-0.31387666,0.27458692,-0.6140791,-0.11388851,-0.39775708,-0.20224948,-0.37205043
-1281.597145,168000,1858.986739,-0.31305546,-0.14111422,0.0061540026,-0.3418725,0.2331957,-0.6271961,-0.14558734,-0.49159336,-0.2166638,-0.40863892
-725.84948,170000,1883.876294,-0.3300027,-0.14666189,-0.00085682765,-0.3525571,0.26384607,-0.622245,-0.17149793,-0.5189287,-0.23672698,-0.43320888
-804.599384,172000,1907.671985,-0.38678244,-0.14823437,0.024605205,-0.36045766,0.28011015,-0.63803005,-0.1574658,-0.46223718,-0.23978513,-0.4253307
-770.974353,174000,1931.087466,-0.37884974,-0.14718859,0.062741764,-0.3641398,0.3010124,-0.6212931,-0.12515485,-0.35669297,-0.266939,-0.4242902
-827.174922,176000,1954.153685,-0.35051143,-0.16704609,0.107995026,-0.3659545,0.33048975,-0.5442955,-0.090340205,-0.3095052,-0.25286427,-0.40901044
-677.127432,178000,1975.905881,-0.28506288,-0.18633974,0.08190022,-0.3342471,0.38590473,-0.41848132,-0.10073914,-0.22964592,-0.2515907,-0.3754675
-812.425178,180000,1999.865221,-0.24457675,-0.22188708,0.066770345,-0.34143853,0.39555272,-0.38512778,-0.0628772,-0.23976868,-0.27396634,-0.36474898
-1197.076308,182000,2024.247901,-0.2765275,-0.27147833,0.044223532,-0.31540903,0.38244915,-0.3653768,-0.04027815,-0.26075256,-0.29281646,-0.40504044
-810.76859,184000,2046.394035,-0.2647619,-0.29129326,0.041705247,-0.25913364,0.383335,-0.2743206,-0.056557305,-0.27820814,-0.29118773,-0.4515969
-901.919357,186000,2068.067093,-0.32895544,-0.29444006,0.06213017,-0.33950177,0.37944886,-0.25502905,-0.06832518,-0.32540414,-0.2874358,-0.48143286
-1300.303877,188000,2093.084571,-0.35279545,-0.2751983,-0.021534914,-0.44152403,0.39942744,-0.3082743,-0.12211696,-0.37472135,-0.24170835,-0.54296345
-970.18787,190000,2117.264585,-0.48095235,-0.26875734,0.007699791,-0.5437349,0.4185773,-0.3130929,-0.17245461,-0.36220834,-0.24089928,-0.5615581
-940.181979,192000,2140.588781,-0.4927247,-0.2893055,-0.02786739,-0.6451665,0.43964452,-0.26622283,-0.20348634,-0.4001514,-0.2121898,-0.61247444
-978.154437,194000,2163.903382,-0.50342095,-0.27318084,-0.037433904,-0.7307949,0.42429644,-0.20478207,-0.14596996,-0.43057543,-0.16895321,-0.69447005
-941.817613,196000,2186.993264,-0.48335505,-0.24663374,-0.018096324,-0.84510756,0.40968394,-0.18973918,-0.14248636,-0.46608084,-0.15293781,-0.6751352
-921.323904,198000,2209.549597,-0.5330231,-0.22127405,0.0015823545,-0.86636496,0.4220591,-0.16505001,-0.16334753,-0.43935192,-0.15725166,-0.7430683
