,r,l,t
0,-838.740895,2000,17.392993
1,-784.4758009999999,4000,31.154378
2,-785.664388,6000,43.317896000000005
3,-462.965303,8000,54.874582
4,-582.239017,10000,67.41687399999999
5,-448.403688,12000,78.830683
6,-415.520896,14000,91.444612
7,-808.614899,16000,103.829356
8,-411.58337400000005,18000,117.01250700000001
9,-445.57284400000003,20000,133.098727
10,-656.084753,22000,144.364304
11,-452.207082,24000,155.552281
12,-361.435563,26000,166.859856
13,-774.405538,28000,179.18211499999998
14,-507.939096,30000,190.310219
15,-640.8284480000001,32000,201.519644
16,-607.774847,34000,212.766211
17,-471.985956,36000,223.991125
18,-593.2736150000001,38000,235.39461400000002
19,-481.890431,40000,246.760502
20,-447.498472,42000,258.12874500000004
21,-441.550536,44000,269.40097000000003
22,-497.083408,46000,280.551018
23,-486.06475300000005,48000,291.81622999999996
24,-610.714362,50000,303.325044
25,-409.29190800000003,52000,314.778978
26,-399.397163,54000,326.37443199999996
27,-430.252777,56000,337.96889500000003
28,-450.90487699999994,58000,349.34569
29,-495.11304900000005,60000,360.831627
30,-711.247962,62000,372.356537
31,-618.11883,64000,383.793502
32,-624.542563,66000,395.100331
33,-599.319967,68000,406.405955
34,-769.636532,70000,417.695857
35,-758.007233,72000,429.27561299999996
36,-523.040321,74000,440.86711900000006
37,-664.171186,76000,452.353311
38,-653.8364730000001,78000,463.70173200000005
39,-650.2539230000001,80000,475.04748099999995
40,-539.413216,82000,486.490107
41,-525.846006,84000,497.96686100000005
42,-612.4487349999999,86000,509.506989
43,-556.478192,88000,520.9719660000001
44,-512.909489,90000,532.608113
45,-469.09174900000005,92000,544.103171
46,-494.72563899999994,94000,555.572876
47,-431.92484,96000,567.207792
48,-452.92251100000004,98000,578.774632
49,-433.01330199999995,100000,590.3338150000001
50,-438.50925099999995,102000,601.932339
51,-461.31646399999994,104000,613.3914990000001
52,-497.021873,106000,625.03475
53,-642.358513,108000,636.543367
54,-614.941792,110000,652.939507
55,-578.912825,112000,678.0257280000001
56,-665.296925,114000,703.2278200000001
57,-451.962151,116000,728.473947
58,-657.026649,118000,754.160262
59,-438.436466,120000,778.777903
60,-347.66796899999997,122000,803.356013
61,-365.534414,124000,830.103875
62,-530.110805,126000,855.00904
63,-488.88038,128000,884.585725
64,-372.568356,130000,911.270992
65,-399.937818,132000,936.429246
66,-360.71036499999997,134000,1011.766185
67,-466.71101799999997,136000,1036.779741
68,-450.803629,138000,1060.052393
69,-724.562252,140000,1071.113983
70,-457.471326,142000,1082.1917449999999
71,-494.315246,144000,1093.2820960000001
72,-370.12282700000003,146000,1104.2965279999999
73,-356.560253,148000,1115.247144
74,-367.91279,150000,1127.965914
75,-360.476207,152000,1140.72375
76,-370.57048,154000,1152.069348
77,-347.64031,156000,1163.231394
78,-317.868739,158000,1175.710491
79,-835.3748820000001,160000,1187.834166
80,-536.604097,162000,1199.084642
81,-484.97919800000005,164000,1210.3342400000001
82,-505.72701500000005,166000,1221.821289
83,-636.522967,168000,1233.213957
84,-528.6621700000001,170000,1244.535947
85,-618.2853610000001,172000,1255.918612
86,-458.511356,174000,1267.229132
87,-508.288218,176000,1278.53873
88,-511.846839,178000,1289.882678
89,-526.875804,180000,1301.34749
90,-340.746202,182000,1312.6726199999998
91,-445.48485199999993,184000,1323.9203890000001
92,-538.559176,186000,1335.0937509999999
93,-421.33316399999995,188000,1346.243081
94,-777.681279,190000,1357.389642
95,-701.143588,192000,1368.5126539999999
96,-501.44179,194000,1379.645449
97,-741.891339,196000,1390.784139
98,-402.091551,198000,1401.8763880000001
99,-708.0505410000001,200000,1413.0618650000001
100,-409.884371,202000,1424.301428
101,-270.935447,204000,1435.89149
102,-326.781305,206000,1448.071463
103,-406.122707,208000,1459.311952
104,-315.965254,210000,1470.544356
105,-345.893411,212000,1481.796664
106,-644.199296,214000,1493.022748
107,-350.31383,216000,1504.2344460000002
108,-619.761037,218000,1515.4006259999999
109,-616.8338200000001,220000,1526.572167
110,-587.2685730000001,222000,1537.7000039999998
111,-415.88572999999997,224000,1548.85183
112,-639.767565,226000,1560.0098679999999
113,-572.3785740000001,228000,1571.171698
114,-310.155103,230000,1582.3946429999999
115,-332.004611,232000,1593.566132
116,-329.50299900000005,234000,1604.880077
117,-301.73791,236000,1616.138379
118,-313.528638,238000,1627.37682
119,-346.274272,240000,1638.515284
120,-310.71395,242000,1649.72213
121,-290.858159,244000,1660.94256
122,-240.25344900000002,246000,1672.220294
123,-315.418443,248000,1684.248265
124,-735.505039,250000,1695.5065329999998
125,-399.827942,252000,1706.7113160000001
126,-667.503312,254000,1717.940714
127,-411.990642,256000,1729.1819879999998
128,-501.374094,258000,1740.560801
129,-329.594266,260000,1751.9144420000002
130,-288.391633,262000,1763.103264
131,-312.064363,264000,1774.257853
132,-356.77590299999997,266000,1785.359218
133,-647.499456,268000,1796.536643
134,-328.22761,270000,1807.672102
135,-258.901933,272000,1818.8091510000002
136,-296.914304,274000,1829.983252
137,-231.198278,276000,1841.1440260000002
138,-268.962822,278000,1853.1442949999998
139,-285.86963199999997,280000,1864.3181739999998
140,-270.564922,282000,1875.605427
141,-349.021682,284000,1886.992145
142,-266.65614300000004,286000,1898.185396
143,-328.57566099999997,288000,1909.5055719999998
144,-744.351592,290000,1920.70098
145,-332.989536,292000,1931.9801289999998
146,-313.209051,294000,1943.170196
147,-295.246701,296000,1954.3798170000002
148,-374.68292,298000,1965.532371
149,-302.901996,300000,1976.76325
150,-269.482375,302000,1987.9056190000001
151,-262.154918,304000,1999.061535
152,-440.262471,306000,2010.23888
153,-261.049747,308000,2021.3542559999999
154,-226.246894,310000,2032.763593
155,-207.670246,312000,2045.0798899999998
156,-263.198366,314000,2057.158569
157,-211.73399500000002,316000,2068.32447
158,-230.24939500000002,318000,2079.596358
159,-305.639414,320000,2090.7710190000003
160,-773.809235,322000,2101.961307
161,-223.970811,324000,2113.166906
162,-227.671085,326000,2124.418705
163,-223.03870899999998,328000,2135.756941
164,-216.710247,330000,2146.922941
165,-242.492675,332000,2158.158379
166,-785.0032209999999,334000,2169.376909
167,-421.610613,336000,2180.555042
168,-217.706747,338000,2191.7275649999997
169,-226.276746,340000,2202.9469870000003
170,-728.054017,342000,2214.136789
171,-660.549941,344000,2225.3317230000002
172,-222.875273,346000,2236.643045
173,-278.904138,348000,2247.833154
174,-615.5369059999999,350000,2259.108548
175,-665.503759,352000,2270.378267
176,-367.814316,354000,2281.535491
177,-383.108231,356000,2292.73305
178,-696.525897,358000,2303.994145
179,-297.235187,360000,2315.241638
180,-222.87731000000002,362000,2326.453136
181,-757.692853,364000,2337.644758
182,-321.71439399999997,366000,2348.869061
183,-546.688395,368000,2360.147753
184,-204.847364,370000,2371.478299
185,-253.435408,372000,2383.762364
186,-308.650031,374000,2395.2811850000003
187,-315.58908199999996,376000,2406.497104
188,-326.580567,378000,2417.761667
189,-252.281616,380000,2429.172807
190,-253.356258,382000,2440.365166
191,-212.50109799999998,384000,2451.526091
192,-218.511862,386000,2462.706248
193,-193.154166,388000,2473.972374
194,-207.92059799999998,390000,2486.196651
195,-241.950579,392000,2497.496619
196,-254.41721099999998,394000,2508.862139
197,-230.954221,396000,2520.333376
198,-273.857623,398000,2531.590655
199,-714.495008,400000,2542.8812989999997
200,-203.748009,402000,2554.154501
201,-662.646653,404000,2565.3906
202,-297.924628,406000,2576.661645
203,-544.989899,408000,2588.171355
204,-219.02982599999999,410000,2599.573481
205,-221.361305,412000,2610.86824
206,-203.77625600000002,414000,2622.1781309999997
207,-231.816233,416000,2633.526043
208,-202.424489,418000,2645.0178969999997
209,-212.737556,420000,2656.4191969999997
210,-513.85024,422000,2667.85753
211,-175.614228,424000,2679.24753
212,-243.034242,426000,2691.5076010000002
213,-235.128704,428000,2703.979637
214,-201.239182,430000,2716.4520260000004
215,-241.65352799999997,432000,2727.914424
216,-223.933863,434000,2738.975309
217,-221.89911800000002,436000,2750.0459809999998
218,-295.46274900000003,438000,2761.132571
219,-207.971206,440000,2772.3425399999996
220,-257.952679,442000,2783.579552
221,-766.608203,444000,2794.937162
222,-781.732849,446000,2806.1657809999997
223,-224.944569,448000,2817.258184
224,-835.5124959999999,450000,2828.3962850000003
225,-867.244343,452000,2839.486038
226,-841.9246820000001,454000,2850.627032
227,-811.695603,456000,2861.84188
228,-248.33913399999997,458000,2873.009344
229,-228.32037400000002,460000,2884.139927
230,-216.43281299999998,462000,2896.1195559999996
231,-292.251954,464000,2907.653758
232,-751.4915179999999,466000,2919.2063190000003
233,-795.121079,468000,2930.868321
234,-700.329683,470000,2942.553878
235,-412.03992999999997,472000,2954.121016
236,-234.472866,474000,2965.780981
237,-243.182878,476000,2977.692887
238,-591.4222990000001,478000,2989.519449
239,-265.225573,480000,3001.420109
240,-294.43051099999997,482000,3013.234939
241,-249.697964,484000,3025.0956530000003
242,-597.332307,486000,3036.7487260000003
243,-372.46903,488000,3048.527683
244,-246.05616899999998,490000,3060.454861
245,-265.89072999999996,492000,3072.158922
246,-237.882247,494000,3083.953608
247,-260.45451,496000,3095.691664
248,-744.644663,498000,3107.351776
249,-773.584081,500000,3119.262507
250,-749.13691,502000,3131.1320170000004
251,-352.27687099999997,504000,3143.091789
252,-214.16789100000003,506000,3155.2366829999996
253,-328.306144,508000,3167.274955
254,-483.920567,510000,3179.9725510000003
255,-346.689865,512000,3191.971354
256,-595.153099,514000,3203.560777
257,-395.740909,516000,3215.4261300000003
258,-336.47114500000004,518000,3227.307377
259,-158.336893,520000,3239.271808
260,-170.341462,522000,3252.15522
261,-165.79720600000002,524000,3264.141874
262,-267.38840600000003,526000,3275.9172399999998
263,-190.977569,528000,3287.565819
264,-180.42186,530000,3299.226334
265,-276.147195,532000,3310.92483
266,-375.071871,534000,3322.541268
267,-293.007895,536000,3334.292346
268,-223.90395499999997,538000,3345.963338
269,-251.403492,540000,3357.6333210000003
270,-199.780472,542000,3369.3502369999997
271,-252.95810899999998,544000,3381.274489
272,-211.58357,546000,3393.2877049999997
273,-187.667131,548000,3404.6097159999995
274,-196.374029,550000,3415.8500770000005
275,-266.60758500000003,552000,3426.8790240000003
276,-154.376585,554000,3437.914629
277,-500.573663,556000,3449.9046630000003
278,-158.906384,558000,3460.9662700000003
279,-171.600594,560000,3472.028867
280,-252.838854,562000,3483.0954590000006
281,-282.556618,564000,3494.1454310000004
282,-839.506014,566000,3505.211598
283,-819.5032190000001,568000,3516.28715
284,-852.5381550000001,570000,3527.348039
285,-381.044787,572000,3538.450055
286,-169.49416399999998,574000,3549.585868
287,-272.74426800000003,576000,3560.7577560000004
288,-249.392655,578000,3571.9372659999995
289,-772.83824,580000,3583.036157
290,-418.357732,582000,3594.073464
291,-249.17338199999998,584000,3605.1359810000004
292,-519.282827,586000,3616.2471920000003
293,-458.257102,588000,3627.36665
294,-208.511477,590000,3638.4515880000004
295,-218.546259,592000,3649.561132
296,-243.26688,594000,3660.669328
297,-424.053511,596000,3671.7625630000002
298,-275.528937,598000,3682.8103119999996
299,-289.950012,600000,3694.0388479999997
300,-302.905814,602000,3705.2088259999996
301,-413.537715,604000,3716.418115
302,-664.7024190000001,606000,3727.679779
303,-520.250524,608000,3738.843871
304,-379.858696,610000,3750.012974
305,-194.976704,612000,3761.2779140000002
306,-172.305799,614000,3772.431722
307,-176.795059,616000,3783.63815
308,-214.14260499999997,618000,3794.8503590000005
309,-208.947202,620000,3806.0890719999998
310,-226.208609,622000,3817.354332
311,-162.628128,624000,3828.5362590000004
312,-214.79581000000002,626000,3839.647659
313,-169.77756000000002,628000,3850.709831
314,-184.36611100000002,630000,3861.752122
315,-193.416441,632000,3872.8198
316,-163.20761299999998,634000,3883.87825
317,-260.595862,636000,3894.954485
318,-237.897548,638000,3905.994181
319,-205.240734,640000,3917.033735
320,-855.8268,642000,3928.1018689999996
321,-594.459337,644000,3939.158758
322,-303.982062,646000,3950.242588
323,-560.223451,648000,3961.307514
324,-649.614059,650000,3972.417426
325,-218.46398399999998,652000,3983.442787
326,-248.81559700000003,654000,3994.4910200000004
327,-217.770033,656000,4005.531778
328,-220.321128,658000,4016.62164
329,-588.668091,660000,4027.636488
330,-235.18504700000003,662000,4038.777373
331,-233.473683,664000,4050.258497
332,-224.789879,666000,4061.6825619999995
333,-260.404991,668000,4072.9856090000003
334,-423.44678700000003,670000,4084.1961340000003
335,-208.912128,672000,4095.395176
336,-232.568152,674000,4106.541228
337,-196.689226,676000,4117.677242
338,-214.896492,678000,4128.801191
339,-292.479811,680000,4139.926035
340,-208.398647,682000,4151.056492000001
341,-200.535238,684000,4162.161009
342,-200.84276499999999,686000,4173.350017
343,-257.814794,688000,4184.6584920000005
344,-212.580681,690000,4195.99381
345,-124.123341,692000,4207.174864
346,-209.459991,694000,4219.650975
347,-133.48581000000001,696000,4231.05
348,-247.198488,698000,4242.20789
349,-488.81324000000006,700000,4253.5815840000005
350,-364.270608,702000,4264.717925
351,-292.75473700000003,704000,4275.936755
352,-636.109192,706000,4287.16531
353,-387.93897999999996,708000,4298.357968
354,-562.389645,710000,4309.555018
355,-619.556107,712000,4320.774506000001
356,-851.770108,714000,4331.934068
357,-348.770676,716000,4343.211528
358,-163.90663700000002,718000,4354.410635
359,-182.196744,720000,4365.579758
360,-199.119259,722000,4377.03291
361,-223.86351800000003,724000,4388.302006
362,-277.675854,726000,4399.634238000001
363,-251.177725,728000,4411.010277
364,-174.15008799999998,730000,4422.185909000001
365,-198.311432,732000,4433.444829
366,-203.723733,734000,4444.705831
367,-154.615224,736000,4455.978223
368,-128.244029,738000,4467.233871
369,-196.436212,740000,4478.414474
370,-553.186964,742000,4489.574626
371,-193.071508,744000,4500.787164
372,-231.444698,746000,4511.952556
373,-214.94883900000002,748000,4524.197056
374,-239.48186800000002,750000,4535.452001
375,-198.437621,752000,4546.635486
376,-172.001527,754000,4557.986779999999
377,-715.2180450000001,756000,4569.220172
378,-336.61612,758000,4580.35459
379,-355.632786,760000,4591.529377000001
380,-421.502166,762000,4602.6073590000005
381,-282.059369,764000,4613.703354
382,-373.575311,766000,4624.8187960000005
383,-347.500899,768000,4636.385694
384,-274.32944100000003,770000,4647.665609000001
385,-213.02728399999998,772000,4659.017685
386,-597.08341,774000,4670.281479
387,-615.71323,776000,4681.487505
388,-583.725918,778000,4692.825278
389,-889.7489720000001,780000,4704.113454
390,-821.8212599999999,782000,4715.741067
391,-784.9221349999999,784000,4727.167988
392,-744.023613,786000,4738.594327000001
393,-870.227593,788000,4749.802897
394,-882.108753,790000,4761.063578
395,-887.525977,792000,4772.333075
396,-869.4667099999999,794000,4783.862711
397,-917.7522230000001,796000,4795.173425
398,-837.899709,798000,4806.467867
399,-752.702955,800000,4817.75215
400,-796.460183,802000,4829.0008259999995
401,-377.890176,804000,4840.146094
402,-553.755063,806000,4851.283259000001
403,-296.086913,808000,4862.4485
404,-811.435402,810000,4873.716648
405,-778.154392,812000,4884.8994920000005
406,-402.75437,814000,4896.188178
407,-340.167354,816000,4907.502131
408,-408.33545499999997,818000,4918.822383
409,-519.868815,820000,4930.065747
410,-483.57582199999996,822000,4941.380957
411,-659.9438349999999,824000,4952.901344
412,-527.879746,826000,4964.193915999999
