r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1693.194557,2000,12.971919,-0.002807541,0.029595073,-0.15153655,0.027908372,0.14149635,0.14397958,-0.15328526,0.21521284,-0.083439164,-0.04959371
-1530.323269,4000,27.919435,-0.0025319539,0.030851891,-0.17350744,0.026176227,0.1440659,0.14278187,-0.15265404,0.21504742,-0.083552904,-0.061563753
-1596.701516,6000,42.315273,-0.0024657953,0.03200763,-0.18734206,0.025215663,0.14669447,0.14107911,-0.15333307,0.21615863,-0.08489374,-0.06916597
-1468.407833,8000,55.061833,-0.004190835,0.032085862,-0.17352282,0.029024009,0.1479441,0.14765832,-0.15802646,0.21986371,-0.08766809,-0.07670482
-1416.818515,10000,69.08906,-0.0019751282,0.028081987,-0.09894613,0.037438773,0.15344132,0.15494588,-0.16652496,0.21288474,-0.095468685,-0.04262718
-1426.078069,12000,83.317023,0.010332113,0.013692877,-0.111611746,0.04984252,0.14074406,0.18870643,-0.18876028,0.22864397,-0.117188364,-0.040568102
-1250.653354,14000,97.481701,-0.0035208785,0.0062843566,-0.19158897,0.074693955,0.1216809,0.21411704,-0.23404773,0.23952098,-0.1610051,-0.055136308
-934.487969,16000,110.437944,0.0025011587,-0.012360514,-0.21927227,0.07826312,0.103667825,0.20201035,-0.26837605,0.24326193,-0.17127964,-0.009941198
-903.465094,18000,124.1442,0.02817613,-0.037623677,-0.24176772,0.09069532,0.07683367,0.2060048,-0.31243217,0.22290032,-0.18435188,0.033840235
-963.872714,20000,136.905703,0.046761494,-0.061682157,-0.27422184,0.11324829,0.012177952,0.18517211,-0.32741743,0.22810775,-0.22788174,0.0617266
-737.153923,22000,148.124125,0.053577777,-0.04399175,-0.26542956,0.11865047,-0.024814617,0.17046607,-0.32294595,0.247654,-0.25644624,0.07238932
-1110.958386,24000,161.15037,0.03358999,-0.021943914,-0.26332957,0.11263467,-0.0043717627,0.18549284,-0.30137932,0.25763407,-0.2675167,0.05769007
-1484.043021,26000,173.815511,0.015066546,-0.032055605,-0.27707884,0.14202678,-0.0035176629,0.19190797,-0.24605222,0.26499423,-0.26177204,0.04581783
-999.77391,28000,186.250354,-0.011480534,-0.065680645,-0.28531283,0.1501602,0.017307656,0.21005134,-0.20147875,0.2789833,-0.2528326,0.0108229015
-968.672146,30000,197.961426,0.015555286,-0.07988183,-0.30877128,0.14543588,-0.04129389,0.21727334,-0.16388339,0.27422288,-0.29470015,0.00946635
-791.283737,32000,209.061899,0.017482454,-0.07234667,-0.30168548,0.13626051,-0.001965445,0.21497227,-0.16074246,0.23323643,-0.3090622,-0.015043508
-1405.579888,34000,221.408874,-0.032573897,-0.065032214,-0.29350913,0.12467803,0.012759263,0.23061317,-0.16004992,0.19422248,-0.30111352,-0.036314152
-1408.450708,36000,233.698404,-0.07319203,-0.05994906,-0.2883347,0.10435839,0.03807469,0.22813264,-0.19782946,0.19352071,-0.26345766,-0.06933241
-1356.2711,38000,244.97032,-0.094538346,-0.039006557,-0.29423246,0.1122816,0.055000767,0.21111348,-0.14492345,0.17343701,-0.24854626,-0.09083157
-1337.562632,40000,258.73916,-0.10285535,-0.031803127,-0.27665412,0.12093162,0.04456624,0.18949117,-0.086260654,0.18454541,-0.25898644,-0.08866559
-1136.67014,42000,269.994108,-0.09780925,0.006398534,-0.29548588,0.1083218,0.06421697,0.12664829,-0.08772326,0.16174994,-0.23823968,-0.070612
-871.902928,44000,284.078771,-0.08331497,0.01920533,-0.3046138,0.11216034,0.0826856,0.08708324,-0.12675792,0.13054481,-0.21939646,-0.0749258
-1124.797103,46000,297.552003,-0.07877496,0.017766317,-0.29537663,0.097328335,0.15090564,0.05581765,-0.16055898,0.12252574,-0.19997938,-0.10486675
-878.59877,48000,310.035916,-0.04151623,-0.0040248553,-0.28673655,0.111388184,0.17711747,0.07242372,-0.20499688,0.11458447,-0.19245979,-0.10350232
-875.838923,50000,322.054706,-0.049545843,-0.01312485,-0.27589685,0.10619815,0.19128928,0.06736246,-0.20469423,0.117170244,-0.20298594,-0.08440356
-912.403161,52000,333.6286,-0.10838179,0.0050689694,-0.28127217,0.0970774,0.19629163,0.051937815,-0.20304814,0.1443632,-0.21112734,-0.100046515
-747.838144,54000,345.318151,-0.1016556,-0.0148537895,-0.27698877,0.11510364,0.22107928,0.067614496,-0.19653907,0.19970378,-0.24409758,-0.11015446
