,r,l,t
0,-1530.911604,2000,18.031947
1,-1660.047409,4000,32.408964000000005
2,-1663.630785,6000,44.305701
3,-1697.3071539999999,8000,58.00949
4,-1651.279624,10000,71.941951
5,-1532.5581789999999,12000,86.596512
6,-842.0742759999999,14000,100.256174
7,-1563.957539,16000,115.723302
8,-943.7522560000001,18000,128.375526
9,-853.5702869999999,20000,140.01668999999998
10,-1131.6679800000002,22000,151.83319
11,-745.224769,24000,163.460419
12,-959.0493460000001,26000,175.66149199999998
13,-1723.423107,28000,186.413898
14,-1076.729386,30000,197.547827
15,-1087.6137820000001,32000,208.56955200000002
16,-1099.429825,34000,219.489696
17,-939.6835189999999,36000,230.27210099999996
18,-892.074826,38000,241.138863
19,-854.308719,40000,252.199679
20,-944.8761710000001,42000,263.169688
21,-984.424915,44000,274.19594900000004
22,-1408.6243980000002,46000,285.327932
23,-1526.06988,48000,296.493239
24,-1171.167515,50000,307.622944
25,-1317.4230300000002,52000,318.63298599999996
26,-1215.662391,54000,329.544998
27,-1043.369211,56000,340.478825
28,-906.2245230000001,58000,351.4014
29,-824.258656,60000,362.353486
30,-1113.0514859999998,62000,373.152918
31,-823.224282,64000,384.044386
32,-1196.028489,66000,394.931534
33,-843.0695900000001,68000,405.855223
34,-1080.92997,70000,416.85818
35,-850.483986,72000,427.998117
36,-993.559351,74000,439.137188
37,-834.740871,76000,450.28133399999996
38,-898.477124,78000,461.405222
39,-819.082035,80000,472.332798
40,-1034.978184,82000,483.281572
41,-1017.794325,84000,494.204072
42,-896.378125,86000,505.140624
43,-787.549499,88000,516.06785
44,-1000.3996380000001,90000,526.843809
45,-1034.382022,92000,538.1651049999999
46,-1044.174632,94000,549.1599110000001
47,-1109.163061,96000,560.120661
48,-853.556701,98000,571.259512
49,-1185.543606,100000,582.365123
50,-810.619824,102000,593.551907
51,-1015.2592810000001,104000,604.943717
52,-840.317623,106000,615.851406
53,-840.33234,108000,626.76415
54,-801.936019,110000,637.6424509999999
55,-779.53557,112000,648.570118
56,-1227.042374,114000,659.560344
57,-1199.387167,116000,670.401902
58,-913.6070689999999,118000,681.3610940000001
