,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1788.9358379999999,2000,15.315024,-0.13782023,0.050078318,-0.05353673,0.20698024,0.20263086,0.18834317,-0.12300562,0.30407265,0.109618954,0.16305786
1,-1402.284804,4000,33.021518,-0.14111741,0.04909631,-0.049918505999999994,0.20661108,0.20308134,0.19013089,-0.11632001,0.30058327,0.11480149,0.16602084
2,-1498.725071,6000,48.527767,-0.15726706,0.04602458,-0.050451495,0.20569110000000002,0.20246911,0.18817553,-0.11510392,0.29769483,0.11381148,0.16977412
3,-1144.9778789999998,8000,62.774671,-0.14322017,0.04544253,-0.058901638,0.19775674,0.20134445,0.19074422,-0.12355507,0.28508517,0.10975607,0.17617644
4,-1083.364004,10000,78.998141,-0.12503384,0.04748098,-0.06945868,0.18355206,0.19936317,0.19211966,-0.1344865,0.27599746,0.096907884,0.18989836
5,-1591.47714,12000,95.084121,-0.10904364,0.050957485999999996,-0.066177115,0.18067083,0.19484073,0.17828676,-0.13281928,0.26925638,0.08389915,0.20911820000000003
6,-1202.255492,14000,109.840708,-0.06822048,0.060439408,-0.101369195,0.17984416,0.11912451,0.15212883,-0.15285282,0.28178197,0.08600655,0.19336802
7,-1409.604592,16000,124.99776399999999,-0.05017076400000001,0.055336405,-0.12854522,0.20741120000000002,0.030876599999999997,0.14397144,-0.14324625,0.29166618,0.11764768,0.19879138
8,-1281.45171,18000,141.448771,-0.013526224,0.043520505999999994,-0.13987719,0.22204396,-0.0024568520000000003,0.16156733,-0.13682312,0.30094752,0.15798822,0.23284301
9,-1418.801277,20000,158.161201,0.0038082576,0.018609356,-0.14461315,0.23473722,-0.035787962,0.17297298,-0.15800609,0.29185003,0.18676609,0.29526058
10,-1590.868223,22000,173.46416200000002,0.008343389,-0.0005687419,-0.17399508,0.25136486,-0.043626945,0.16346271,-0.16356488,0.27242514,0.20251597,0.29718915
11,-1336.2116529999998,24000,190.62412700000002,-0.00015902141,0.026670127999999998,-0.20994429999999997,0.24747722,-0.012024577,0.17140056,-0.19379503,0.25739145,0.2052478,0.29120013
12,-1313.688426,26000,208.948469,0.031135565,0.042689599999999994,-0.21822017,0.23524143,0.013892645,0.20204361,-0.18366425,0.2061688,0.20876268,0.26117605
