,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-506.33335999999997,2000,12.807976,0.06885461,-0.15207969,0.08002057,0.1622632,-0.108406276,0.1512595,0.08265070599999999,-0.063011914,0.08488960000000001,0.14304803
1,-548.024676,4000,26.278622,0.068223655,-0.1487116,0.08138815,0.15933156,-0.10812999,0.15587457,0.097929694,-0.063130386,0.08498032400000001,0.14794292
2,-1290.50985,6000,37.667895,0.06798101,-0.13539171,0.09424782,0.16371964,-0.117806345,0.18243508,0.11323701,-0.07954215,0.07175062,0.15571794
3,-775.7734019999999,8000,48.989841,0.06229876,-0.12899354,0.10922488,0.16901848,-0.12513135,0.16080493,0.10012230000000001,-0.08698652,0.06405635,0.1509401
4,-630.413508,10000,60.374196999999995,0.05185261,-0.16582827,0.13228874,0.16366531,-0.11710291,0.16940486,0.09250188,-0.089944385,0.06205385,0.13357812
5,-534.925245,12000,72.909176,0.03955029,-0.20247363,0.16285484,0.16803591,-0.10500529,0.15172724,0.11553335,-0.09956480000000001,0.052551974,0.10086010000000001
6,-1145.819193,14000,86.475543,0.026614616,-0.22904351,0.17098261,0.1744217,-0.09960578,0.15747823,0.10793728400000001,-0.090329334,0.062352534,0.093586825
7,-661.182316,16000,100.633878,0.027974764,-0.2325761,0.18279932,0.17238995,-0.10662509,0.15170802,0.11806327,-0.07777344,0.067049265,0.09856939
8,-920.8704019999999,18000,113.094305,0.04889139,-0.19193761,0.17103282,0.17684224,-0.104672074,0.1543503,0.092040546,-0.12510082,0.03889434,0.0998985
9,-507.814667,20000,125.925407,0.10281578,-0.15319596,0.17763926,0.19000743,-0.09744451,0.19645089,0.09687533,-0.09498989599999999,0.019313915,0.11795422
10,-386.28720699999997,22000,139.472473,0.09943822,-0.12444696599999999,0.20128986,0.18060577,-0.14138103,0.21415554,0.13011053,-0.06421471,0.06777906,0.08422999
11,-1049.685493,24000,154.136852,0.07109336,-0.09464544,0.21876875,0.18186882,-0.1406782,0.27303338,0.18589573,-0.07688401,0.092811756,0.090384305
12,-1381.772432,26000,167.36211200000002,0.04101925,-0.082278214,0.21428747,0.21324594,-0.124507405,0.27567205,0.16817439,0.015827827,0.07868178,0.13347696
13,-1126.162223,28000,179.842948,0.028957022000000002,-0.11169102,0.18015228,0.2398359,-0.10240686,0.27319440000000006,0.19224383,0.027149352999999998,0.13083726,0.11858093
14,-1047.008591,30000,191.75993799999998,-0.069331005,-0.13744713,0.17609319,0.24564067,-0.11456645,0.279377,0.19261426,-0.057228882,0.1360349,0.13520479
15,-970.081999,32000,203.341495,-0.08632783,-0.1297713,0.16125505,0.21860686,-0.12397953,0.25767446,0.22912710000000003,-0.14392713,0.14745593,0.15583226
16,-696.4268450000001,34000,214.686777,-0.06305126,-0.1071643,0.17049699,0.2145551,-0.10946101,0.29575586,0.20637517,-0.15902337,0.16356054,0.16246785
17,-835.422955,36000,225.95832799999997,-0.04233318,-0.12362476,0.19147488,0.17326732,-0.09988897,0.28939003,0.21008106,-0.17341584,0.15602691,0.1846451
18,-746.220686,38000,239.26432400000002,0.00680609,-0.11994899,0.22828564,0.1791367,-0.11283605,0.2631667,0.22252466,-0.16261892,0.09734934599999999,0.19593093
19,-737.225254,40000,252.025519,0.048071235,-0.12281646,0.25027573,0.2083319,-0.10648107,0.24621300000000002,0.23435555,-0.10338221,0.057711355,0.18185012
20,-937.6053189999999,42000,263.75187200000005,0.10165001,-0.14349489999999998,0.25377926,0.25151747,-0.12552649,0.24579838,0.25176149999999997,-0.11690596,0.027043762000000002,0.16366585
21,-710.3288660000001,44000,276.941568,0.14764772,-0.18065104,0.23846975,0.27040362,-0.122642815,0.24888782,0.25243387,-0.116278626,-0.0012390643,0.14913471
22,-509.594582,46000,289.968969,0.1781181,-0.20216814,0.21283473,0.27172083,-0.14562525,0.24540989,0.26276445,-0.11294401,-0.013251121000000001,0.119000115
23,-704.844698,48000,302.74667999999997,0.20697165,-0.20448473,0.22696285,0.26319548,-0.18724641,0.23593898,0.27036247,-0.13519746,-0.024570052999999998,0.11466057
24,-938.464725,50000,315.27364500000004,0.20972835,-0.24906147,0.27175745,0.23266019,-0.22112368,0.23163347,0.2866728,-0.11700252400000001,-0.033392586,0.10289684
25,-656.357767,52000,327.46043199999997,0.18196438,-0.23018979,0.31416917,0.22340892,-0.25364733,0.23759894,0.28296947,-0.111942805,-0.059384722,0.10889639999999999
26,-540.7513650000001,54000,340.471389,0.104749106,-0.18769309,0.34678793,0.22683161,-0.31552532,0.25126722,0.28155303,-0.11154427,-0.14147463,0.083989784
27,-957.075128,56000,352.892229,0.058345415,-0.22884837,0.3791812,0.22691168,-0.33953217,0.2607244,0.27991754,-0.14149489,-0.19253701,0.018928063999999998
28,-880.7373630000001,58000,365.748471,0.042646263,-0.26444942,0.39063087,0.22171383,-0.33638078,0.22276585,0.2694828,-0.16094239,-0.20283999,-0.007983571
29,-558.0027769999999,60000,378.314076,-0.012058582,-0.31129616,0.40426147,0.24821134,-0.322273,0.1469695,0.2522902,-0.16395874,-0.18845837,-0.05239121
30,-622.078123,62000,391.563473,-0.03300704,-0.28608322,0.42068252,0.24114738,-0.2700709,0.074312344,0.22295737,-0.1590925,-0.22365716,-0.11192490000000001
31,-756.886153,64000,403.831202,-0.0092339,-0.2688988,0.44030043,0.21385482,-0.2717941,0.056482002,0.19023797,-0.17201789999999997,-0.21300538,-0.13383853
32,-669.510013,66000,415.98533399999997,0.027326945,-0.25243026,0.43724114,0.13979146,-0.28452,0.036574088,0.15832013,-0.19242631,-0.1795322,-0.17116767
33,-540.697275,68000,428.09176399999996,0.036229867,-0.25134304,0.39664018,0.081637956,-0.3159765,0.06561017,0.11699941,-0.24856915,-0.16311173,-0.20241505
34,-708.774716,70000,440.446554,0.014909917,-0.2281784,0.39312199999999997,0.10386809,-0.3219375,0.03199341,0.11087596,-0.28155749999999996,-0.17160232,-0.19662648
35,-691.933401,72000,453.50344400000006,-0.0074951453000000005,-0.17192271,0.3897659,0.10918274,-0.34102547,-0.012416108,0.111107446,-0.28731364,-0.15672906,-0.14147134
36,-212.395658,74000,465.627327,0.049515452,-0.20056029,0.43112227,0.10674058,-0.34139200000000003,-0.024314314,0.09710179,-0.33821094,-0.12629913,-0.051213454000000005
37,-577.038167,76000,479.09552300000007,0.09517822,-0.22038718,0.4447911,0.061480507000000004,-0.33117518,0.0005109225,0.099539526,-0.35416725,-0.10863971,-0.019389603000000002
38,-460.81341,78000,491.128742,0.07742099,-0.18106274,0.4470187,-0.013832715,-0.33823020000000004,0.00328955,0.078409754,-0.374248,-0.035445872999999996,-0.014260693
39,-409.795414,80000,503.019832,0.08422388,-0.21818939999999998,0.46317196,-0.12374135,-0.36736083,-0.023956602,0.08312318,-0.33001223,-0.029638637000000002,-0.045335095
40,-825.273045,82000,515.66267,0.14566510000000002,-0.2678138,0.46263158,-0.19258338,-0.42776614,-0.034937736000000004,0.08453345,-0.37009838,-0.010394203000000001,-0.08436163
41,-504.667417,84000,528.022243,0.17845999999999998,-0.21859692,0.47511709999999996,-0.19962095,-0.39546818,-0.058774285,0.090077065,-0.37644702,-0.08723278,-0.2975297
42,-824.2821150000001,86000,541.486756,0.2274138,-0.23813348,0.47886038,-0.18491858,-0.37170598,-0.06066143,0.08960671,-0.4010551,-0.10697948,-0.33834574
43,-709.529007,88000,554.65152,0.2403992,-0.31001568,0.5005485,-0.115864106,-0.37163743,-0.09963851,0.13239703,-0.3859127,-0.13032241,-0.26896292
44,-1045.434563,90000,566.204615,0.23789941,-0.48079628,0.5065271,-0.11045836,-0.38929212,-0.13056189,0.13032489,-0.33965304,-0.11200799,-0.24330941
45,-1290.34331,92000,578.023197,0.18555291,-0.6620064999999999,0.50937945,-0.080249175,-0.3651962,-0.11545181,0.110252395,-0.30749983,-0.04568074,-0.20519195
46,-569.710696,94000,592.309985,0.13630466,-0.73565984,0.48174825,-0.14836228,-0.3540203,-0.08372411,0.09183974,-0.25857058,0.023764318,-0.17387381
47,-812.494296,96000,604.7764480000001,0.16166328,-0.7705803000000001,0.43733484,-0.19087183,-0.37364858,-0.059054207000000004,0.09285264,-0.19040571,0.041072275,-0.18292858
48,-1179.249606,98000,620.08514,0.16236961,-0.6712090999999999,0.41520548,-0.14432313,-0.36387613,-0.035376467,0.122629054,-0.14903994,0.09348347,-0.15574922
49,-599.128162,100000,633.301178,0.17732058,-0.6274390000000001,0.40831608,-0.1395989,-0.3409311,-0.04902859,0.17128673,-0.113450736,0.13075806,-0.14759746
50,-621.07624,102000,644.688786,0.19262724,-0.4924303,0.42989302,-0.14670981,-0.37347367,-0.034867708,0.17300011,-0.1213104,0.12767185,-0.13653363
51,-499.70272300000005,104000,658.461951,0.24599099,-0.51718193,0.43329448,-0.13493360000000001,-0.32723835,0.0008588988,0.1691756,-0.130116,0.08242083,-0.13118444
52,-637.334443,106000,671.7368280000001,0.26858709999999997,-0.55716765,0.45419246,-0.13803862,-0.32891756,0.07810352,0.18242441,-0.15835327,0.043373074000000005,-0.06846113
53,-1075.1624,108000,684.512971,0.27000266,-0.63893515,0.45108235,-0.11052925,-0.31584638,0.12365262,0.20816858,-0.16839069,-0.046845387999999995,-0.058176115
54,-372.045161,110000,697.420969,0.25786924,-0.67315984,0.47326815,-0.06808817,-0.28599694,0.15346201,0.22502413,-0.16986251,-0.15765420000000002,-0.07850206
55,-523.406794,112000,710.686184,0.26786917,-0.66789186,0.44565576,0.017591828,-0.24724079999999998,0.14182968,0.21502039999999997,-0.17643301,-0.17498808,-0.04980062
56,-202.88267,114000,723.0264400000001,0.31399673,-0.6734353,0.42961264,0.070815,-0.24295598,0.15958981,0.26158336,-0.19718812,-0.15574324,-0.033743214
57,-207.57432,116000,736.583727,0.38644,-0.6813811,0.41717133,0.12745735,-0.25720698,0.18616584,0.27146986,-0.19702637,-0.10908773,-0.017001465
58,-315.987103,118000,748.7924419999999,0.40895370000000003,-0.70902234,0.43264288,0.15314771,-0.24336729999999998,0.24174257,0.26125273,-0.15056273,-0.11711121,-0.019491393
59,-1313.488693,120000,760.936097,0.40609809999999996,-0.7404124,0.4403245,0.14352712,-0.24002169,0.2632949,0.28030488,-0.13612154,-0.08442527,-0.02991435
60,-377.262264,122000,774.1997650000001,0.39274013,-0.7928183000000001,0.42038290000000006,0.13841723,-0.24479629,0.32736546,0.30968162,-0.13481613,-0.045206677,-0.048432052
61,-1292.013464,124000,788.175119,0.3979054,-0.8035513000000001,0.4258652,0.122250706,-0.25750500000000004,0.36265483,0.33307907,-0.14261423,-0.021432287999999997,-0.06486801
62,-343.521127,126000,800.591334,0.39764288,-0.744111,0.4624897,0.076950684,-0.23684405,0.35951609999999995,0.38217527,-0.13698463,-0.04389118,-0.08859323
63,-274.55269300000003,128000,813.007256,0.36450735,-0.8583681000000001,0.4805289000000001,0.040196817,-0.22682069,0.31364298,0.41209954,-0.09167723,-0.0580547,-0.09199995
64,-256.104003,130000,824.940382,0.35309142,-0.9610486999999999,0.50917464,0.05654163,-0.24275897,0.24689911,0.42078558,-0.021139035,-0.047661968,-0.118589446
65,-381.911812,132000,836.933764,0.38250607,-1.0496097,0.5274333000000001,0.036190223,-0.24455322,0.20431854,0.45053640000000006,-0.017364109,-0.05325313,-0.12016155
66,-194.12641499999998,134000,850.2635730000001,0.36181659,-1.0814186000000001,0.5402038,0.011298518,-0.26965815,0.20717339,0.5005683,-0.020241246,-0.022481674,-0.09972644
67,-306.134411,136000,864.5355539999999,0.34777272,-1.0843251,0.5383277,-0.02141308,-0.25932893,0.18960302,0.5320055,-0.037123926,0.013118605,-0.10378202
68,-222.55752900000002,138000,877.258356,0.31807070000000004,-1.0931319,0.52143115,-0.010398955,-0.26619002,0.20353120000000002,0.5458645000000001,-0.036800097999999996,0.022636862,-0.08899713
69,-818.4093849999999,140000,889.826925,0.31553188,-1.1112719,0.5276287,0.00371952,-0.257101,0.23043303,0.54268146,-0.033482555,0.04562909,-0.09454552
70,-379.94230899999997,142000,902.433526,0.28979078,-1.0919403,0.5406518,0.009385579,-0.24178421,0.23622032,0.52916366,-0.009217902,0.05837936,-0.12228214
71,-626.7744240000001,144000,914.4061519999999,0.23937808,-1.1138899,0.5481913,-0.061475552999999995,-0.25650942,0.20814343,0.51268727,-0.029455045,0.07205561,-0.13573062
72,-516.232127,146000,927.7074289999999,0.16495818,-1.1057700000000001,0.5307369000000001,-0.095119774,-0.26035404,0.18192536,0.46970317,-0.040276743,0.07100838400000001,-0.12751324
73,-601.7462889999999,148000,939.942834,0.20685132,-0.9925338,0.5020934,-0.03600256,-0.27268654,0.16607234,0.43058515,-0.053002442999999996,0.04655953,-0.14610116
74,-791.672189,150000,953.198986,0.3252587,-0.9831711,0.462266,-0.02190495,-0.32589737,0.15129371,0.39154726,0.010440216,0.05090315,-0.12028902
75,-273.51634,152000,965.3738119999999,0.35219076,-0.9604060999999999,0.43968537,-0.023087565,-0.34959292,0.15596768,0.38168475,0.029872992999999997,0.057675800000000006,-0.10348989
76,-175.479254,154000,979.2279369999999,0.30362877,-0.8700521999999999,0.45578900000000006,-0.03698558,-0.38805429999999996,0.14849396,0.39819187,-0.026714957999999997,0.08587054,-0.008665906999999999
77,-420.75825199999997,156000,993.1207300000001,0.29185229999999995,-0.732031,0.45162934,-0.07821632,-0.42189744,0.10759458,0.40499565,-0.08653671,0.09751763,0.030940047000000002
78,-559.8939839999999,158000,1006.427144,0.28058952,-0.5368177,0.4428345,-0.09526638,-0.42301005,0.044792477000000004,0.40342698,-0.08515106,0.08498444,0.10641925
79,-808.686791,160000,1018.979223,0.27215853,-0.36087474,0.44864836,-0.10174674,-0.44482309999999997,0.041391525,0.40357122,-0.11456392,0.07673016,0.17638016
80,-505.828983,162000,1032.6321,0.26336855,-0.30509746,0.45409754,-0.07215882,-0.45795777,0.04495135,0.42951033,-0.0781,0.07521175599999999,0.20795383
81,-1579.77944,164000,1045.388388,0.22773439,-0.38466059999999996,0.44222876,-0.069105,-0.48562276,0.05923248,0.4542062,-0.11159593,0.061557107,0.30785015
82,-1270.3421759999999,166000,1057.903058,0.21539587,-0.40542015,0.40785608,-0.124380216,-0.5359289,0.09352139999999999,0.44319287,-0.07790104,0.064060844,0.38789347
83,-1045.530217,168000,1069.312117,0.19381441,-0.42417794,0.368925,-0.19736284,-0.56761813,0.091174096,0.45238742,-0.065960295,0.07005226,0.39451545
84,-590.278371,170000,1082.943953,0.14600123,-0.50718933,0.3769565,-0.21402228,-0.5242279000000001,0.08526668,0.44488224,-0.080393985,0.064382434,0.3457255
85,-393.113885,172000,1096.2463779999998,0.050541468,-0.5834965999999999,0.39054817,-0.21610186,-0.50937897,0.104352705,0.43398365,-0.08267859,0.07757560000000001,0.2973019
86,-1331.458313,174000,1110.075127,0.0001481298,-0.74109536,0.4050275,-0.20602004,-0.5022754,0.12431649,0.4741486,-0.10272939,0.053026866,0.33208206
87,-1352.8146470000002,176000,1124.2347630000002,0.01818756,-0.7531547,0.38995823,-0.21298838,-0.49126202,0.17470112,0.48895574,-0.17574243,0.055611797000000004,0.36415046
