r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1538.24561,2000,14.767033,-0.0052115377,0.055188533,-0.027744109,-0.13449405,-0.008962697,-0.12195489,-0.10659401,-0.16723476,-0.0056636804,0.06879814
-1516.751367,4000,30.894422,-0.0069183735,0.058844548,-0.06450906,-0.16078398,-0.01059729,-0.12067287,-0.12428359,-0.16991106,-0.012724736,0.07429725
-709.539596,6000,44.760781,-0.0054777474,0.044495497,-0.16234346,-0.20592478,-0.026634162,-0.12036252,-0.19930618,-0.16841675,-0.024255415,0.069535926
-1306.054287,8000,57.419151,-0.013398681,0.07388832,-0.19837616,-0.1989557,-0.014764025,-0.1177177,-0.20994635,-0.18397446,-0.036643308,0.0544176
-1277.059845,10000,69.885261,0.0034377235,0.046256997,-0.24478883,-0.16684309,-0.03972498,-0.14821851,-0.110988475,-0.14612558,-0.043216106,0.04202003
-864.284863,12000,83.319693,0.00021335982,0.061766986,-0.24267796,-0.062221665,-0.046722516,-0.126632,-0.11500862,-0.12330296,-0.01138954,0.06287882
-949.076749,14000,96.760464,-0.022826903,0.057662677,-0.31832784,0.027359955,0.045677047,-0.1962069,-0.17661218,-0.1254372,-0.07096565,0.056648787
-953.517936,16000,109.046951,0.02000402,0.03303921,-0.3663721,-0.044127025,0.076370776,-0.22106345,-0.2516926,-0.12513117,-0.14969775,0.051198993
-797.645905,18000,121.87983,0.024775343,0.0150773,-0.4366435,-0.05144382,0.034942277,-0.24813923,-0.2826046,-0.12522902,-0.19906524,0.051604103
-1141.692557,20000,133.629395,0.033657953,0.004493964,-0.4076075,0.01658592,0.018037727,-0.2892184,-0.35198447,-0.10794258,-0.19251785,0.038546305
-1120.83658,22000,144.986319,0.09740251,0.012804014,-0.38790134,0.00899278,0.0057178317,-0.37035578,-0.34991887,-0.07263319,-0.14517239,0.03378218
-1636.078228,24000,156.424904,0.24018551,0.11950407,-0.31460068,-0.027811605,0.016063303,-0.36040017,-0.2699692,-0.037263077,-0.10477671,0.049724836
-1278.02601,26000,167.823496,0.30748636,0.1966605,-0.17697062,-0.00818977,-0.047476064,-0.42810878,-0.18326248,0.0050405147,-0.13971162,0.037066154
-1070.839517,28000,179.250799,0.32352895,0.21636292,-0.060676392,-0.02497499,-0.082767494,-0.5518072,-0.11161477,0.0083636185,-0.152241,-0.001622254
-1587.964275,30000,190.89789,0.31839576,0.2951659,-0.08570133,-0.04717723,-0.1516038,-0.61390597,-0.118999705,-0.0028865791,-0.13975617,-0.029161915
-1102.462405,32000,204.52649,0.3258597,0.21815783,-0.13011955,-0.032166082,-0.20682582,-0.6460935,-0.12897106,-0.06826424,-0.15411349,-0.050833244
-1355.897792,34000,215.97296,0.36750576,0.1917836,-0.14168794,-0.007499274,-0.35054952,-0.63824767,-0.07408323,-0.053013332,-0.09316637,-0.08104302
-1374.251612,36000,228.974923,0.3608877,0.172555,-0.22864069,-0.00058324373,-0.4020237,-0.50090444,-0.076219305,-0.05244087,-0.057611004,-0.106324054
-749.448408,38000,240.969583,0.33831787,0.2088924,-0.28415003,-0.005329738,-0.3909341,-0.4524726,-0.071409166,-0.07625171,-0.03269149,-0.10655208
-1037.365076,40000,252.637535,0.33151376,0.19036399,-0.3693454,-0.01093071,-0.3330817,-0.52658546,-0.090912,-0.08434137,-0.08271214,-0.1336302
-952.822067,42000,265.535216,0.3438106,0.16516526,-0.44089663,-0.04204537,-0.29048312,-0.60352427,-0.09348244,-0.076444216,-0.1420261,-0.16745365
-789.131488,44000,277.256959,0.31806567,0.14381365,-0.500361,-0.05453957,-0.25861022,-0.64807445,-0.06598827,-0.06582803,-0.16364177,-0.15719469
-1666.006797,46000,291.408024,0.3050343,0.1340978,-0.49461102,-0.058450583,-0.25496528,-0.5810387,-0.03418244,-0.032400794,-0.11527209,-0.17970109
-1625.855408,48000,303.794137,0.30180556,0.10965217,-0.42672575,-0.040359817,-0.24283819,-0.42414057,-0.03838782,0.0071504614,-0.07706959,-0.18160951
-1153.816323,50000,315.299746,0.2972059,0.15949719,-0.4175112,-0.016470604,-0.2441431,-0.30665493,-0.07433959,-0.0047203726,-0.0726247,-0.19447859
-1044.989735,52000,328.430022,0.31861046,0.17940456,-0.4849784,-0.0010396848,-0.27203998,-0.27005503,-0.10577605,0.011534249,-0.08908301,-0.22346056
-959.705927,54000,340.956085,0.32150316,0.19928698,-0.48275045,-0.0024700996,-0.28116637,-0.16879763,-0.14064594,-0.005849836,-0.108400635,-0.19563968
-900.9892,56000,353.740023,0.30859107,0.22271127,-0.4907363,0.019805482,-0.2831125,-0.06310459,-0.15757667,-0.023078192,-0.118975095,-0.1866974
-1012.916773,58000,365.738398,0.32026428,0.2401159,-0.50112015,0.07336331,-0.3054023,-0.0553336,-0.159723,-0.03796481,-0.14739795,-0.17114477
-888.863101,60000,377.827636,0.33515692,0.24650398,-0.48396844,0.11292443,-0.32373852,-0.05424137,-0.16122918,0.020997407,-0.13039257,-0.15497749
-777.271121,62000,392.607639,0.32901746,0.3099601,-0.46827456,0.1360242,-0.32094634,-0.09636452,-0.15229002,0.072344914,-0.12486478,-0.1546233
-1079.557599,64000,406.654773,0.34603328,0.3512843,-0.44193858,0.14950426,-0.30476117,-0.1443667,-0.16959248,0.07552915,-0.15015386,-0.13941449
-1063.204031,66000,421.606047,0.33713916,0.4120899,-0.45938382,0.15661968,-0.30455175,-0.14028715,-0.15213574,0.07461912,-0.17822176,-0.12902512
-1117.933509,68000,435.740111,0.36707,0.4277082,-0.42104504,0.20779128,-0.2923761,-0.1086247,-0.14207852,0.118155375,-0.1438597,-0.09839827
-862.615798,70000,449.045416,0.38658953,0.44017798,-0.37515765,0.24303955,-0.27174518,-0.074316956,-0.13895579,0.1268853,-0.13879615,-0.09681663
-1292.754681,72000,462.780087,0.38626888,0.45462814,-0.3304223,0.2680358,-0.24632381,-0.027266497,-0.14344397,0.119985975,-0.12994878,-0.093635485
-1381.685101,74000,476.503501,0.41038904,0.4387951,-0.3474197,0.2752564,-0.2536598,-0.014383005,-0.13367479,0.1720127,-0.10598667,-0.09023194
-945.618916,76000,489.432701,0.4245138,0.46234515,-0.31007951,0.26406798,-0.28764638,-0.04558363,-0.1323439,0.21740375,-0.13720575,-0.060375735
-1078.452484,78000,502.646889,0.4311388,0.4681282,-0.24887082,0.26756135,-0.2779765,-0.048274536,-0.15418522,0.19389898,-0.15439336,-0.036931843
-980.860179,80000,515.093357,0.4253755,0.44202214,-0.21555273,0.26093176,-0.2778725,-0.040537845,-0.1675127,0.21967696,-0.14695297,-0.035028428
-1024.169114,82000,527.498971,0.4327931,0.42308974,-0.21858121,0.26493403,-0.25192094,0.022454292,-0.18569331,0.25650764,-0.12886994,-0.019230144
-908.682039,84000,539.968809,0.43725488,0.40901148,-0.22741522,0.25227046,-0.23432955,0.06667809,-0.19905977,0.26120517,-0.1523609,0.008596793
