r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1847.106745,2000,12.93928,0.022641359,-0.19463636,0.18713447,-0.05074026,0.03263212,0.0049825404,-0.091805235,-0.100894496,0.017540103,-0.1333468
-1632.404287,4000,27.510042,0.02214681,-0.20206602,0.18780568,-0.04867348,0.028077058,0.009993165,-0.0914174,-0.104364075,0.014214754,-0.13479389
-1729.142785,6000,40.13316,0.021058895,-0.20201406,0.18728736,-0.048967507,0.028666874,0.009966304,-0.09313864,-0.110568725,0.030719964,-0.1351763
-1573.884296,8000,51.44031,0.020972427,-0.16948839,0.18338695,-0.053623468,0.03108205,0.0007398785,-0.09424731,-0.10685011,0.072036825,-0.13888201
-1517.222606,10000,64.155853,0.024867253,-0.14983103,0.18643029,-0.07163481,0.031905524,-0.002422262,-0.08531278,-0.11663425,0.087724134,-0.13434954
-932.153216,12000,77.068459,0.04057858,-0.13935733,0.18512282,-0.07558239,0.044052158,-0.007494195,-0.07667444,-0.1284525,0.11414969,-0.13592102
-1161.349484,14000,90.010587,0.0033930894,-0.13158758,0.19123858,-0.06658153,0.038704485,0.005722493,-0.06781104,-0.10516468,0.107068636,-0.1439892
-1709.718727,16000,101.64207,0.009568623,-0.12577005,0.19664764,-0.05924734,0.033048347,0.008108079,-0.07424734,-0.10274725,0.113078296,-0.15010779
-1413.193145,18000,113.110565,-0.016383937,-0.12434627,0.19673254,-0.05880573,0.04534501,0.013859825,-0.07014778,-0.103635594,0.1262045,-0.15504375
-1030.605058,20000,127.040442,-0.048458766,-0.13162813,0.20835525,-0.053195547,0.038904537,0.023350645,-0.064902104,-0.10321094,0.1346929,-0.16643763
-1078.840631,22000,141.097847,-0.062445268,-0.1498394,0.20201929,-0.06456498,0.052903093,0.022884024,-0.06625196,-0.09198079,0.14479887,-0.17330804
-976.879179,24000,153.105109,-0.028456718,-0.15589215,0.19787289,-0.06038483,0.07041472,0.014545169,-0.0917628,-0.094707854,0.15361324,-0.17681214
-1001.800666,26000,166.461028,-0.013298837,-0.13499776,0.20621854,-0.053553537,0.09130273,0.027696185,-0.11346472,-0.10915475,0.15916403,-0.19198096
