,r,l,t
0,-1811.819272,2000,12.791582
1,-1730.876684,4000,26.455343
2,-1550.438951,6000,38.40684
3,-1695.4179800000002,8000,50.101461
4,-1625.9340359999999,10000,60.38450600000001
5,-1591.138211,12000,70.782106
6,-1583.6759359999999,14000,81.569994
7,-1378.411626,16000,92.435541
8,-1518.470299,18000,104.3311
9,-1472.365057,20000,115.521716
10,-1418.275985,22000,126.61993500000001
11,-1486.515442,24000,136.403247
12,-1227.62996,26000,146.167804
13,-1578.9491460000002,28000,157.50008400000002
14,-1518.4966630000001,30000,167.388895
15,-1633.727162,32000,177.57011
16,-1329.732866,34000,187.56884
17,-1358.058733,36000,197.545559
18,-1322.7886230000001,38000,207.306554
19,-1308.2857199999999,40000,217.530289
20,-1336.440172,42000,227.37452000000002
21,-1250.028685,44000,237.39686
22,-1358.997533,46000,247.328483
23,-1249.260556,48000,257.65105800000003
24,-1572.319083,50000,267.62655099999995
25,-1467.218052,52000,277.52297000000004
26,-1463.7657980000001,54000,287.460477
27,-1603.822056,56000,297.96234300000003
28,-1606.71632,58000,307.938562
29,-1195.2191890000001,60000,317.90295
30,-1076.0952,62000,329.469155
31,-1161.584251,64000,341.119641
32,-1469.790756,66000,351.707042
33,-1534.137747,68000,361.951235
34,-1379.106262,70000,372.749082
35,-1623.032155,72000,382.922646
36,-1603.6605029999998,74000,393.06754
37,-1638.356037,76000,403.196282
38,-1430.5098990000001,78000,413.192516
39,-1469.6511169999999,80000,423.796012
40,-1387.540075,82000,434.371717
41,-1294.200585,84000,447.684783
42,-1265.1787960000001,86000,460.0846480000001
43,-1480.3396599999999,88000,472.43201500000004
44,-1449.993516,90000,484.72987699999993
45,-1209.5068720000002,92000,497.120465
46,-1463.3512859999998,94000,509.22143600000004
47,-1092.935652,96000,521.204881
48,-1233.062883,98000,533.175514
49,-1533.788566,100000,545.1352559999999
50,-1303.9431630000001,102000,556.354
51,-1238.725422,104000,568.84542
52,-1411.7816460000001,106000,579.6164719999999
53,-1370.268893,108000,590.012214
54,-1243.237774,110000,600.373308
55,-1534.7460130000002,112000,610.709621
56,-1529.1815210000002,114000,621.1181429999999
57,-1382.735455,116000,631.349435
58,-1448.579013,118000,641.483973
59,-1236.757062,120000,651.6426759999999
60,-1359.341709,122000,662.203435
61,-1264.3305810000002,124000,672.3971809999999
62,-1619.617289,126000,682.607939
63,-1178.61656,128000,692.816189
64,-1079.806718,130000,702.9671900000001
65,-1134.682882,132000,713.178604
66,-1052.834068,134000,723.7598879999999
67,-1076.68398,136000,735.425241
68,-1477.768151,138000,745.638721
69,-1154.123581,140000,755.837179
70,-955.8113109999999,142000,766.011462
71,-1017.606301,144000,777.692083
72,-1245.21696,146000,787.862768
73,-1318.455363,148000,798.0403759999999
74,-1488.911298,150000,808.212804
75,-1472.315353,152000,818.4495360000001
76,-1622.218888,154000,828.703943
77,-1200.569643,156000,838.903867
78,-1100.346578,158000,849.0663189999999
79,-1113.10898,160000,859.3055820000001
80,-989.815651,162000,869.502515
81,-1027.339883,164000,879.711672
82,-926.6938789999999,166000,889.968932
83,-1331.238368,168000,902.375901
84,-1330.3913539999999,170000,912.7003060000001
85,-1014.627769,172000,922.9272470000001
86,-1046.832127,174000,933.218872
87,-958.983207,176000,943.4574130000001
88,-1122.561717,178000,954.0924269999999
89,-1051.2512140000001,180000,964.3373369999999
90,-1019.6886400000001,182000,974.548775
91,-1205.133544,184000,984.794797
92,-1009.7224689999999,186000,995.378182
93,-1508.83274,188000,1005.6051789999999
94,-1587.6340519999999,190000,1015.87105
95,-983.087923,192000,1026.128475
96,-1238.1653789999998,194000,1036.3716789999999
97,-1171.3201390000002,196000,1046.5969699999998
98,-1496.41566,198000,1056.781204
99,-962.839239,200000,1067.059436
100,-1475.076445,202000,1077.9659
101,-973.002125,204000,1088.233971
102,-1401.094705,206000,1098.486099
103,-1206.124881,208000,1108.694215
104,-1148.185841,210000,1118.943092
105,-881.7707199999999,212000,1129.58554
106,-1570.415796,214000,1141.2861380000002
107,-1536.836867,216000,1151.7334560000002
108,-1504.103093,218000,1162.044092
109,-887.359763,220000,1172.6742570000001
110,-1190.477641,222000,1182.9152490000001
111,-1150.257316,224000,1193.19615
112,-952.7780460000001,226000,1203.8056470000001
113,-1061.663835,228000,1214.01203
114,-937.829125,230000,1224.649057
115,-995.406165,232000,1234.8940300000002
116,-1131.681096,234000,1245.118679
117,-1251.803764,236000,1255.743503
118,-1194.390149,238000,1266.0243
119,-1200.806678,240000,1276.306114
120,-1496.075563,242000,1286.607886
121,-1496.774201,244000,1296.851725
122,-1605.203501,246000,1307.5175689999999
123,-1616.125978,248000,1317.784823
124,-1557.8512119999998,250000,1328.002352
125,-1679.294704,252000,1338.253223
126,-1403.644135,254000,1348.502023
127,-1663.0106640000001,256000,1358.8316439999999
128,-1570.900924,258000,1369.087202
129,-1380.0156279999999,260000,1379.338795
130,-1131.812965,262000,1389.558445
131,-1521.284225,264000,1399.8264980000001
132,-1530.633625,266000,1410.080648
133,-1018.7955820000001,268000,1420.33682
134,-1286.531675,270000,1430.608707
135,-1584.959725,272000,1441.244876
136,-1641.307983,274000,1451.8596539999999
137,-1544.3559480000001,276000,1462.1535939999999
138,-1416.283638,278000,1472.413744
139,-1557.8719640000002,280000,1482.656969
140,-1451.186724,282000,1492.966667
141,-1419.421198,284000,1503.241579
142,-1348.550214,286000,1513.468027
143,-929.3061730000001,288000,1523.7336070000001
144,-1092.380891,290000,1533.974109
145,-971.1898960000001,292000,1544.2570349999999
146,-858.5703289999999,294000,1554.550018
147,-997.52679,296000,1566.333903
148,-1166.040124,298000,1576.584777
149,-875.4789699999999,300000,1587.220425
150,-957.278659,302000,1597.507907
151,-1180.685705,304000,1607.795744
152,-962.739743,306000,1618.41758
153,-868.3301869999999,308000,1628.649163
154,-1084.4391779999999,310000,1639.255807
155,-855.40811,312000,1649.484903
156,-1721.7208640000001,314000,1661.288307
157,-1181.176582,316000,1671.53387
158,-1351.26785,318000,1681.809243
159,-916.5567699999999,320000,1692.386302
160,-976.282506,322000,1702.6138440000002
161,-906.3472619999999,324000,1712.8319629999999
162,-1136.3810859999999,326000,1723.097514
163,-986.691515,328000,1733.3774670000003
164,-893.646615,330000,1743.635287
165,-1022.418133,332000,1753.874531
166,-913.833504,334000,1764.1347449999998
167,-849.272416,336000,1774.755422
168,-937.586677,338000,1786.3735780000002
169,-1008.55264,340000,1797.021195
170,-773.242369,342000,1807.2835460000001
171,-1617.5162619999999,344000,1818.801724
172,-912.57365,346000,1829.0942129999999
173,-939.847808,348000,1839.379984
174,-893.1732380000001,350000,1849.664141
175,-1167.977251,352000,1859.963186
176,-1105.680573,354000,1870.6201899999999
177,-967.3840349999999,356000,1880.91169
178,-895.4875099999999,358000,1891.198909
179,-1290.22063,360000,1901.466525
180,-951.8933300000001,362000,1911.8184199999998
181,-873.5611279999999,364000,1922.1022440000002
182,-743.350746,366000,1932.334158
183,-1279.620561,368000,1943.8986940000002
184,-1645.88241,370000,1954.571545
185,-982.0404779999999,372000,1964.9206629999999
186,-1008.977642,374000,1975.2974219999999
187,-948.170923,376000,1985.5875420000002
188,-923.469948,378000,1995.879907
189,-1092.8143189999998,380000,2006.199648
190,-898.3204949999999,382000,2016.494946
191,-1061.897156,384000,2026.852784
192,-1168.225093,386000,2037.1628600000001
193,-1072.2241490000001,388000,2047.807591
194,-922.385933,390000,2058.100417
195,-1266.504417,392000,2068.373176
196,-804.3100820000001,394000,2078.678525
197,-1119.063336,396000,2089.0715609999997
198,-979.286633,398000,2099.654356
199,-925.463241,400000,2109.99115
200,-1563.5851300000002,402000,2120.313764
201,-1067.399577,404000,2130.579929
202,-1058.900259,406000,2140.894946
203,-1023.805567,408000,2151.2337
204,-1118.956355,410000,2161.530104
205,-776.534801,412000,2171.811546
206,-1118.347129,414000,2182.137836
207,-1037.229492,416000,2192.492332
208,-1579.870707,418000,2202.835816
209,-824.3411639999999,420000,2213.343116
210,-1405.07486,422000,2224.28115
211,-1126.894783,424000,2234.615375
212,-983.531281,426000,2244.900956
213,-1541.5287150000001,428000,2255.194114
214,-1259.55988,430000,2265.4627170000003
215,-1597.368539,432000,2276.110628
216,-1457.93366,434000,2286.406474
217,-1239.5119849999999,436000,2296.6925920000003
218,-1185.1271470000002,438000,2306.963288
219,-1189.833667,440000,2317.229413
220,-1495.7972140000002,442000,2327.645078
221,-1274.473831,444000,2337.9814969999998
222,-1614.781744,446000,2348.272923
223,-1671.160737,448000,2358.562996
224,-1024.165203,450000,2368.843797
225,-1612.7645300000001,452000,2379.144761
226,-1394.239541,454000,2389.4480519999997
227,-959.719005,456000,2399.7381370000003
228,-1013.4279029999999,458000,2410.0167579999998
229,-1615.589624,460000,2420.351208
230,-1630.459401,462000,2430.6423219999997
231,-963.8947919999999,464000,2440.948907
232,-964.830335,466000,2451.290588
233,-1156.92541,468000,2461.930584
234,-914.976091,470000,2472.243138
235,-1034.512531,472000,2482.513855
236,-856.9384470000001,474000,2492.771124
237,-907.244777,476000,2503.070163
238,-880.478606,478000,2513.5997859999998
239,-869.2888,480000,2524.625927
240,-844.53764,482000,2534.9561949999998
241,-839.052888,484000,2545.652702
242,-1392.259882,486000,2556.0252379999997
243,-1644.7806779999999,488000,2566.363225
244,-1709.365346,490000,2577.320016
245,-825.255521,492000,2588.157263
246,-898.525135,494000,2599.140983
247,-843.560291,496000,2609.487288
248,-965.112068,498000,2619.835676
249,-1672.575501,500000,2630.248374
250,-899.544574,502000,2640.5781690000003
251,-914.3727460000001,504000,2650.8818929999998
252,-756.192689,506000,2661.1762989999997
253,-1023.985083,508000,2671.467004
254,-969.77491,510000,2681.764489
255,-790.480512,512000,2692.086554
256,-1079.946861,514000,2702.76817
257,-986.1120189999999,516000,2713.0885710000002
258,-1319.732758,518000,2723.389397
259,-1316.5506890000001,520000,2733.710168
260,-990.743457,522000,2744.016602
261,-1090.78563,524000,2754.308729
262,-1126.665449,526000,2764.612554
263,-897.3507710000001,528000,2774.911809
264,-1689.0682780000002,530000,2785.231094
265,-909.3412529999999,532000,2795.499691
266,-1596.838463,534000,2805.767425
267,-889.148112,536000,2816.4301609999998
268,-1166.347023,538000,2826.790602
269,-1079.000149,540000,2837.117608
270,-1018.990164,542000,2847.426288
271,-1563.3148529999999,544000,2857.722429
272,-1435.513473,546000,2868.3959670000004
273,-1447.923159,548000,2879.092914
274,-1384.201912,550000,2889.406226
275,-1244.550735,552000,2899.706002
276,-972.959965,554000,2909.9820870000003
277,-878.2555789999999,556000,2920.663493
278,-974.832943,558000,2931.001843
279,-1014.4546330000001,560000,2941.681853
280,-1547.433025,562000,2952.006243
281,-835.5936059999999,564000,2962.321653
282,-1411.247825,566000,2972.641165
283,-1255.6174210000001,568000,2982.9211370000003
284,-878.460232,570000,2993.2468719999997
285,-1423.743673,572000,3003.8852660000002
286,-1453.927388,574000,3014.540053
287,-957.848731,576000,3024.907045
