,r,l,t
0,-1667.908036,2000,13.452570000000001
1,-1480.467889,4000,26.132788
2,-1613.453227,6000,37.295465
3,-857.6845910000001,8000,47.919277
4,-1587.570682,10000,59.111445999999994
5,-1031.6277710000002,12000,68.994905
6,-1469.698341,14000,79.764837
7,-831.158459,16000,90.854834
8,-1366.118653,18000,103.412447
9,-1559.056423,20000,114.320531
10,-1209.993574,22000,125.66588999999999
11,-802.5285849999999,24000,135.80812
12,-1039.332754,26000,147.56605
13,-978.601767,28000,158.05590800000002
14,-1496.449911,30000,168.22720800000002
15,-1869.7289030000002,32000,178.375626
16,-1498.0371189999998,34000,188.525774
17,-1607.582036,36000,198.57106100000001
18,-1107.935071,38000,208.602376
19,-1791.82234,40000,218.879008
20,-1369.826748,42000,228.912695
21,-716.767075,44000,238.94357599999998
22,-1461.7915369999998,46000,250.448388
23,-1567.05114,48000,260.416701
24,-1685.458831,50000,270.950445
25,-1731.0130239999999,52000,281.038121
26,-1501.811738,54000,292.43100400000003
27,-1528.2594490000001,56000,304.396766
28,-1563.184984,58000,314.382098
29,-1770.557613,60000,324.190488
30,-1358.025823,62000,333.906977
31,-1544.9905390000001,64000,343.659549
32,-1355.7723130000002,66000,353.348387
33,-796.670218,68000,363.038455
34,-1659.358015,70000,372.913254
35,-1037.573029,72000,382.690226
36,-1527.5348490000001,74000,392.360307
37,-1609.569921,76000,402.057636
38,-1174.502049,78000,411.732094
39,-1317.945191,80000,421.414844
40,-930.300226,82000,431.106904
41,-1499.073008,84000,440.791649
42,-662.050564,86000,450.45665499999996
43,-1630.205492,88000,461.39891900000003
44,-1667.06691,90000,471.10832300000004
45,-1722.0340469999999,92000,480.872421
46,-1393.013454,94000,490.544333
47,-1710.756442,96000,500.22126299999996
48,-1565.20839,98000,509.869979
49,-1307.605595,100000,519.552231
50,-1547.836538,102000,529.2189440000001
51,-898.451265,104000,538.880907
52,-941.474497,106000,548.548398
53,-615.688158,108000,558.1982469999999
54,-926.934536,110000,569.320709
55,-684.810116,112000,579.0013150000001
56,-1702.2210309999998,114000,588.660441
57,-1509.6504380000001,116000,598.338177
58,-792.034875,118000,608.211525
59,-1331.921269,120000,619.384734
60,-664.135449,122000,630.142621
61,-1650.836716,124000,639.9944820000001
62,-1512.3663589999999,126000,650.9728709999999
63,-1447.303314,128000,661.311404
64,-1590.1156640000002,130000,671.085388
65,-1178.520169,132000,681.479033
66,-994.16365,134000,691.393203
67,-826.60855,136000,701.360418
68,-867.01281,138000,711.340472
69,-1364.027001,140000,721.333104
70,-1674.826169,142000,731.3933040000001
71,-1088.8513560000001,144000,741.505179
72,-1060.9018800000001,146000,751.719784
73,-1323.7057140000002,148000,762.185073
74,-1260.718361,150000,772.892812
75,-1463.619186,152000,784.215637
76,-1511.7144369999999,154000,794.756083
77,-1553.439008,156000,804.852951
78,-1568.343079,158000,815.6362230000001
79,-1356.822764,160000,826.047083
80,-1520.269424,162000,836.2619440000001
81,-907.670768,164000,847.032355
82,-1214.1777769999999,166000,857.2329980000001
83,-969.429004,168000,867.5950949999999
84,-1077.763694,170000,877.83996
85,-1570.486639,172000,888.227677
86,-1458.48409,174000,898.2186609999999
87,-1851.0231350000001,176000,908.317952
88,-1409.020694,178000,919.043275
89,-1684.322027,180000,929.80527
90,-597.181112,182000,940.1244820000001
91,-1060.025339,184000,952.2240039999999
92,-1481.099233,186000,963.325407
93,-1533.804928,188000,974.459107
94,-1513.642565,190000,985.4804119999999
95,-1049.53027,192000,995.6578210000001
96,-1643.2313609999999,194000,1006.306999
97,-1716.069622,196000,1017.660207
98,-1265.289687,198000,1028.656502
99,-1620.42859,200000,1039.103867
100,-746.659116,202000,1049.2617289999998
101,-1144.725873,204000,1059.590461
102,-1220.232129,206000,1069.309334
103,-1272.949642,208000,1079.9564050000001
104,-1348.545662,210000,1090.866741
105,-734.913569,212000,1100.565421
106,-1413.228276,214000,1110.265284
107,-1512.901948,216000,1120.660304
108,-750.655908,218000,1131.391799
109,-1290.308923,220000,1142.2110189999999
110,-1122.574594,222000,1152.807932
111,-1751.577416,224000,1164.708421
112,-872.132863,226000,1174.462357
113,-940.02684,228000,1184.40701
114,-941.711817,230000,1194.348712
115,-817.007858,232000,1204.241123
116,-1595.4003400000001,234000,1214.098172
117,-1478.1160619999998,236000,1223.868004
118,-1235.11545,238000,1234.057384
119,-1057.004733,240000,1244.300623
120,-1464.988801,242000,1254.2325150000001
121,-1465.092368,244000,1264.202065
122,-1585.456518,246000,1274.1593710000002
123,-1550.390363,248000,1284.723809
124,-1827.725721,250000,1294.6101119999998
125,-1690.08487,252000,1304.416335
126,-1641.257243,254000,1314.247195
127,-988.090384,256000,1324.016024
128,-979.254847,258000,1333.807577
129,-1406.992132,260000,1343.587977
130,-1621.2629949999998,262000,1353.286893
131,-1591.895241,264000,1362.9970150000001
132,-1431.796055,266000,1372.706739
133,-1403.250736,268000,1382.414694
134,-1770.6010579999997,270000,1392.129265
135,-1784.446931,272000,1401.8575859999999
136,-1596.297976,274000,1411.565484
137,-845.060937,276000,1421.28155
138,-1665.7693160000001,278000,1431.895685
139,-1545.456037,280000,1443.356599
140,-855.3520359999999,282000,1454.3934960000001
141,-1797.851768,284000,1465.030276
142,-1428.969467,286000,1476.925168
143,-1560.398711,288000,1488.147418
144,-1051.5650210000001,290000,1499.9670449999999
145,-1447.817973,292000,1510.217312
146,-945.0447119999999,294000,1520.445224
147,-1435.784772,296000,1530.546481
148,-935.375975,298000,1540.605961
149,-1507.847458,300000,1552.078253
150,-1620.6089789999999,302000,1563.297656
151,-1187.709917,304000,1573.52088
152,-928.154192,306000,1585.041467
153,-1051.75348,308000,1598.8989960000001
154,-1108.976354,310000,1611.011149
155,-1143.973511,312000,1623.686494
156,-1120.840206,314000,1635.7778210000001
157,-1351.105952,316000,1646.231659
158,-1246.783493,318000,1656.5676039999998
159,-637.597939,320000,1666.672591
160,-1493.715915,322000,1677.421826
161,-628.486438,324000,1687.478364
162,-1619.5289400000001,326000,1697.551218
163,-1608.461047,328000,1707.831438
164,-1499.089183,330000,1718.00473
165,-1267.366684,332000,1728.215016
166,-756.009713,334000,1738.847964
167,-1762.143079,336000,1748.822366
168,-804.007451,338000,1758.8194190000002
169,-1090.5132039999999,340000,1768.522243
170,-890.7588460000001,342000,1778.309428
171,-777.45265,344000,1788.034356
172,-1298.02206,346000,1797.7553649999998
173,-765.0249190000001,348000,1807.493129
174,-855.00137,350000,1817.256109
175,-1815.42875,352000,1827.146359
176,-1800.779004,354000,1836.9720960000002
177,-1042.473078,356000,1846.7255109999999
178,-902.8162039999999,358000,1857.8750559999999
179,-1360.124437,360000,1868.207601
180,-1203.799875,362000,1879.1301809999998
181,-1508.207107,364000,1889.3447
182,-1438.053023,366000,1899.5166769999998
183,-643.564698,368000,1909.289272
184,-1492.846565,370000,1919.1553010000002
185,-1754.910994,372000,1929.515685
186,-1346.858549,374000,1939.9313120000002
187,-1277.162081,376000,1949.955047
188,-1686.757907,378000,1960.213619
189,-870.123826,380000,1971.379462
190,-1059.6873460000002,382000,1981.4459760000002
191,-1702.1044329999997,384000,1992.6881039999998
192,-1523.6470800000002,386000,2003.501382
193,-819.952983,388000,2014.23078
194,-1118.5081480000001,390000,2024.8375780000001
195,-856.387134,392000,2035.760779
196,-1333.011452,394000,2046.188932
197,-1289.269769,396000,2057.306025
198,-1531.0584609999999,398000,2067.833125
199,-1213.0637689999999,400000,2078.018854
200,-1288.476103,402000,2088.5913760000003
201,-676.916612,404000,2098.7943210000003
202,-982.261542,406000,2109.1594
203,-1511.019088,408000,2119.658206
204,-1449.59815,410000,2130.744344
205,-914.848658,412000,2141.235956
206,-1673.441298,414000,2151.5654600000003
207,-908.4420789999999,416000,2161.5964059999997
208,-844.024273,418000,2171.643246
209,-976.1354230000001,420000,2182.176817
210,-573.793039,422000,2192.9536940000003
211,-1027.898572,424000,2204.6680260000003
212,-978.101483,426000,2214.747609
213,-685.302949,428000,2224.4414309999997
214,-835.363031,430000,2235.244186
215,-1236.355095,432000,2245.502859
216,-1138.5192140000001,434000,2255.391889
217,-1103.7068179999999,436000,2265.453935
218,-1571.995612,438000,2276.1837179999998
219,-1042.744688,440000,2285.887401
220,-815.248656,442000,2297.660232
221,-832.619014,444000,2309.360261
222,-1170.3735140000001,446000,2319.4512760000002
223,-1818.9559179999999,448000,2330.756845
224,-1592.027393,450000,2342.776764
225,-1318.648383,452000,2354.194687
226,-1704.2481850000001,454000,2365.574705
227,-1454.381265,456000,2376.952186
228,-795.783125,458000,2388.330796
229,-969.8343,460000,2399.013572
230,-1181.982924,462000,2410.816672
231,-1015.579251,464000,2423.296077
232,-1391.62023,466000,2434.911
233,-589.9943400000001,468000,2446.4421820000002
234,-1035.268236,470000,2458.413857
235,-1368.281669,472000,2471.544789
236,-1378.246272,474000,2483.869711
237,-979.8554529999999,476000,2495.465869
238,-1437.577142,478000,2509.062718
239,-973.1617289999999,480000,2519.954268
240,-1193.294392,482000,2530.506291
241,-1140.7370859999999,484000,2540.946837
242,-921.8632789999999,486000,2552.208225
243,-1350.571621,488000,2564.597193
244,-1187.077025,490000,2576.971023
