r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1596.001707,2000,13.504993,-0.16441306,-0.195575,0.0867786,-0.07123097,-0.19370411,-0.025277853,-0.015443523,0.20842178,0.020874422,-0.15987344
-1693.108833,4000,28.349288,-0.16349149,-0.19917968,0.089715466,-0.088431,-0.19917676,-0.02549983,-0.007824791,0.20607796,0.014885413,-0.14673859
-1486.108257,6000,41.912783,-0.16633157,-0.19753751,0.083492175,-0.03890153,-0.16403921,-0.024576545,0.004015503,0.20360711,0.0207664,-0.13884746
-1046.881399,8000,55.246071,-0.16312091,-0.18776374,0.074251115,0.04403652,-0.13205451,-0.018901363,0.047305007,0.1977746,0.041043412,-0.12835479
-1545.597871,10000,68.877894,-0.16245688,-0.16981512,0.06893455,0.064480014,-0.10922054,-0.02879751,0.04056551,0.17805065,0.03194566,-0.13274871
-1527.596991,12000,80.731131,-0.14731282,-0.16918513,0.046632808,0.039650913,-0.09765696,-0.030104125,0.033842567,0.17480542,0.020275978,-0.14614013
-295.11212,14000,92.433958,-0.119721614,-0.16908503,0.035936374,0.03251093,-0.09626679,-0.008470849,0.052098036,0.16485353,-0.003766163,-0.14221713
-1495.455119,16000,105.729535,-0.09560905,-0.13283153,0.04380782,0.048556875,-0.08455874,-0.0035892474,0.06356498,0.13717656,-0.018336693,-0.15855744
-1233.417309,18000,118.101096,-0.09180918,-0.1393043,0.04722016,0.06835951,-0.089608796,-0.012884632,0.07703629,0.12139126,-0.016782904,-0.1734265
-599.697612,20000,131.62477,-0.07929456,-0.135542,0.059759587,0.075242124,-0.07947273,-0.0062418687,0.08293587,0.13438497,-0.0141230365,-0.16473006
-860.070036,22000,143.983004,-0.07178316,-0.14683437,0.06569969,0.07994591,-0.076988444,-0.026433846,0.082181096,0.14393885,-0.014466725,-0.15966716
-851.239214,24000,155.866018,-0.07101839,-0.16148585,0.0645508,0.108406164,-0.075151674,-0.02597761,0.09250233,0.12072767,-0.015568321,-0.16654468
-630.211767,26000,167.466612,-0.07393047,-0.15766166,0.060933046,0.12833788,-0.06598892,-0.025582911,0.090281986,0.11556389,-0.007492285,-0.17166263
-868.416225,28000,179.48851,-0.0692436,-0.16369829,0.0659664,0.13068086,-0.061530635,-0.013819683,0.08722936,0.11408285,-0.0082488125,-0.16229355
-693.237363,30000,191.456325,-0.066000834,-0.16929121,0.059986148,0.11261972,-0.05121215,-0.0045754197,0.08580519,0.097378716,-0.010348211,-0.16026932
-815.463577,32000,203.054816,-0.06060712,-0.15508789,0.046650473,0.12731087,-0.058030672,-0.0007007865,0.082391046,0.09485116,-0.006071664,-0.16168597
-559.779702,34000,214.648305,-0.063508116,-0.14261541,0.04656994,0.107339986,-0.055084784,0.0011714983,0.0821874,0.08922295,0.0043189744,-0.1660424
-1325.010927,36000,227.309014,-0.06372537,-0.13661267,0.039284974,0.10570463,-0.051590234,0.013039585,0.07980459,0.08516981,0.0032554294,-0.18916489
-1468.836187,38000,238.921628,-0.086412266,-0.12439372,0.044396147,0.08584734,-0.054543585,0.019515714,0.08464531,0.06543454,0.003473061,-0.2008124
-542.248832,40000,251.117338,-0.10714511,-0.13324054,0.04040582,0.08496584,-0.05857852,0.029731873,0.07521986,0.06052505,0.011025525,-0.1982618
-823.852257,42000,262.634042,-0.12632464,-0.12663412,0.03103194,0.104080744,-0.0586912,0.031629145,0.07741829,0.05722265,0.021429537,-0.19916765
-724.951143,44000,275.693646,-0.11921202,-0.11879271,0.016532686,0.093848534,-0.06834294,0.025994267,0.060658112,0.06311857,0.022165574,-0.21511213
-1593.510112,46000,287.671389,-0.1009174,-0.11982327,0.01085043,0.10043303,-0.06416973,0.023437845,0.04593841,0.082049206,0.016373705,-0.2165818
-617.22747,48000,299.599102,-0.09827858,-0.13107324,-0.0018586941,0.108032465,-0.06068995,0.019117968,0.047583126,0.097476535,0.010317645,-0.23472649
-1087.674943,50000,311.428837,-0.087216064,-0.131547,-0.01835956,0.12678412,-0.06465937,0.011346408,0.05852274,0.10500388,0.013467866,-0.22129312
-624.930837,52000,323.600347,-0.08267316,-0.12027544,-0.025410254,0.16257222,-0.056087803,0.017834583,0.061113447,0.13073264,0.025637254,-0.22488932
-928.258503,54000,335.958273,-0.07966964,-0.111825936,-0.031608596,0.1782411,-0.061497666,0.024632147,0.058681685,0.11958249,0.03693333,-0.20876342
-559.271279,56000,348.309568,-0.06788449,-0.10651134,-0.031343803,0.18391939,-0.071251236,0.027020141,0.061997548,0.11044738,0.038545974,-0.21089403
-1359.77737,58000,360.130119,-0.06641888,-0.084105924,-0.042094152,0.2003048,-0.050117336,0.005512522,0.08052477,0.0930404,0.04314847,-0.23889668
-437.956054,60000,371.743243,-0.058952097,-0.06470921,-0.07278129,0.22561708,-0.021153405,0.0009864423,0.08645976,0.095855,0.056618873,-0.25473776
-480.006081,62000,383.9003,-0.08491597,-0.056743678,-0.087855294,0.26760343,-0.0037540293,-0.011079407,0.09697995,0.08714501,0.059984244,-0.2726281
-281.530997,64000,396.279498,-0.07181629,-0.058945205,-0.11402262,0.28897697,-0.01889327,-0.011101508,0.13029079,0.06511441,0.051982086,-0.2699579
-461.961886,66000,410.128451,-0.07942192,-0.0440731,-0.106602184,0.32385486,-0.035270303,0.00285981,0.17579032,0.06767075,0.034639977,-0.2866628
-251.011804,68000,421.958554,-0.07009538,-0.028026218,-0.0898568,0.33105305,-0.026173685,0.015018871,0.20999256,0.04285118,0.029228302,-0.30912256
-287.766583,70000,435.286237,-0.07482551,-0.0019386156,-0.0644048,0.3322409,0.012728968,0.010544424,0.24181147,0.022706497,0.01737963,-0.34437966
-280.842001,72000,447.073285,-0.094429225,0.007867298,-0.046417728,0.32943875,0.033935398,0.004440057,0.2699321,0.015333278,0.021106264,-0.38501614
-393.344592,74000,458.93985,-0.11524219,0.01851498,-0.03454856,0.2995092,0.032441206,0.009266773,0.28597885,0.012677779,0.027171457,-0.41513133
-370.693533,76000,470.843978,-0.11799585,0.027709069,-0.009129309,0.28767633,0.016843418,0.022157675,0.2805679,-0.02810666,0.031270616,-0.41872793
-375.218476,78000,483.110774,-0.09301321,0.03642692,0.012184004,0.27867165,0.015476888,0.016070224,0.27361274,-0.056705527,0.033520833,-0.43620378
-325.628505,80000,495.952769,-0.08565634,0.037022185,0.027256265,0.2806986,0.0477421,0.0025841799,0.25790128,-0.08094176,0.037513923,-0.44291198
-709.566377,82000,509.924709,-0.053844716,0.027906807,0.039689492,0.28072742,0.068825446,-1.3281147e-05,0.24100575,-0.0958197,0.043630216,-0.48376018
-294.46486,84000,522.221371,-0.05366498,0.03292831,0.04023563,0.28155774,0.08643906,-0.010468706,0.23037724,-0.09658436,0.03656651,-0.47291353
-780.264342,86000,534.759929,-0.063311614,0.022523839,0.04117738,0.2880714,0.08714535,-0.0123586515,0.2319407,-0.08238919,0.04197663,-0.4756297
-925.036726,88000,547.527931,-0.07552568,0.020864153,0.05133779,0.29265055,0.099741206,-0.018619185,0.2342209,-0.08264905,0.043897126,-0.46973053
-868.663137,90000,560.324356,-0.08910447,0.023437688,0.05511689,0.29592252,0.08772008,-0.009358796,0.2243412,-0.096494034,0.047492173,-0.4793263
-784.303409,92000,572.404212,-0.10840178,0.03851867,0.047052972,0.27754882,0.09521037,-0.018962119,0.22485566,-0.09973348,0.034496076,-0.48519903
-822.481177,94000,585.270192,-0.075892255,0.052123263,0.054974247,0.2496529,0.08435935,-0.004993198,0.23498042,-0.096784905,0.01649961,-0.48773915
-783.568034,96000,598.146717,-0.060123034,0.041725118,0.05945005,0.2629546,0.08733543,0.008438202,0.20803408,-0.10446633,0.0026134795,-0.51308477
-793.857351,98000,610.739107,-0.043304436,0.047956873,0.06759971,0.24906155,0.07444305,0.004784774,0.19765162,-0.11344874,-0.020209277,-0.48908252
-462.047112,100000,622.885006,-0.062211823,0.044232495,0.054170977,0.24979508,0.08747698,0.012034646,0.20830016,-0.14830579,-0.02224365,-0.44357106
-584.036576,102000,634.729283,-0.07182361,0.053767808,0.069758534,0.25396284,0.09062931,-0.002068251,0.21112224,-0.16504459,-0.015349712,-0.45760784
-804.943151,104000,646.618955,-0.09966929,0.0725142,0.07135931,0.25344697,0.09578822,0.0055483426,0.21513961,-0.16624743,-0.013352162,-0.49645796
-1597.153824,106000,658.339118,-0.106015444,0.07820142,0.066737674,0.24457014,0.09827799,-0.022607174,0.23163055,-0.17327763,0.0038197371,-0.5358336
-712.09525,108000,670.119367,-0.088160105,0.08796013,0.058911834,0.24147105,0.09998649,-0.03510144,0.23634176,-0.19263145,0.017978344,-0.52539194
-604.138298,110000,682.333125,-0.0718198,0.102508426,0.07778242,0.23147824,0.09165505,-0.057902656,0.25634423,-0.20009753,0.010517694,-0.5365554
-546.910332,112000,695.129234,-0.046576653,0.09738461,0.10807698,0.22968397,0.07969232,-0.0815196,0.24397203,-0.1936178,0.014372574,-0.55150443
-252.092766,114000,707.663332,-0.041238904,0.099121615,0.11483112,0.23371236,0.0692228,-0.107521474,0.2318044,-0.20017952,0.033684053,-0.5477524
-916.477777,116000,721.000685,-0.043364458,0.13250275,0.12481761,0.23377782,0.075857565,-0.115171604,0.2233912,-0.22658588,0.051671274,-0.5341761
-471.993368,118000,733.801684,-0.054242514,0.11971585,0.114192456,0.22982967,0.067243464,-0.12284704,0.20669562,-0.27703372,0.06667499,-0.52309567
-924.842477,120000,746.147185,-0.051355533,0.09198877,0.12169244,0.22141984,0.06322142,-0.16142836,0.1790686,-0.30946016,0.08876383,-0.53862077
-220.815071,122000,758.851044,-0.024712374,0.08174452,0.13040034,0.2106483,0.08667898,-0.16510674,0.14560986,-0.30298814,0.09948767,-0.5830726
-323.903556,124000,772.318861,-0.01386604,0.072361656,0.12430364,0.21209922,0.106639214,-0.16299592,0.11804312,-0.28463772,0.10775926,-0.5897679
-178.595744,126000,784.570424,-0.01597721,0.07604977,0.12554677,0.21813191,0.107284136,-0.18363848,0.10724744,-0.25331163,0.11230459,-0.58102256
-353.333054,128000,798.745293,0.0033169254,0.07601927,0.15853961,0.22442386,0.09638266,-0.23018315,0.13740304,-0.25388283,0.11235873,-0.5777667
-667.045859,130000,811.691996,0.0011903346,0.05994661,0.16966875,0.21743725,0.0740631,-0.21239404,0.15104808,-0.25731668,0.11971989,-0.5928146
-1370.207101,132000,824.733125,0.028715905,0.069345586,0.18528613,0.21171218,0.076510884,-0.19825311,0.15487498,-0.26806617,0.124519244,-0.63170534
-744.582372,134000,838.059414,0.06742836,0.06617788,0.20796639,0.22109388,0.07475242,-0.2102096,0.16459216,-0.28814027,0.13461822,-0.65456
-1469.39308,136000,849.881161,0.1033215,0.04638648,0.22493404,0.21404567,0.09364912,-0.20934637,0.15577431,-0.2937883,0.13419443,-0.6626609
-1094.016062,138000,862.846397,0.10908556,0.033831865,0.23525347,0.19482599,0.11971662,-0.21473627,0.14147227,-0.28425804,0.12508102,-0.691321
-1650.187453,140000,875.889861,0.10669118,0.040652715,0.23109764,0.1877748,0.14794296,-0.20884678,0.122513026,-0.26801088,0.13069637,-0.7310736
-1581.122627,142000,890.241061,0.12886794,0.04210121,0.20742711,0.20476192,0.16579731,-0.22632538,0.114987224,-0.2684056,0.13443501,-0.7498343
-182.764321,144000,903.107126,0.14429644,0.026900318,0.17340119,0.21323843,0.18189843,-0.2638824,0.13432884,-0.27097997,0.1544563,-0.756902
-447.534301,146000,916.476559,0.1494878,0.014984227,0.17302425,0.20440225,0.1894854,-0.29609972,0.14182416,-0.2923572,0.14967476,-0.73639506
-1669.981891,148000,930.348906,0.1436717,0.023399146,0.14261238,0.20271823,0.18767938,-0.28030485,0.18045357,-0.31259567,0.1555155,-0.71718633
-583.420612,150000,943.399196,0.12732063,0.03397991,0.15076928,0.21243685,0.20588893,-0.27681223,0.22839992,-0.31070006,0.15624067,-0.7268856
-203.233354,152000,957.328341,0.11086064,0.057347238,0.14481966,0.19435145,0.20883724,-0.2711808,0.26295158,-0.33016852,0.15904056,-0.72547
-453.253984,154000,970.544409,0.093337595,0.11430992,0.16243798,0.1419482,0.22217041,-0.31413963,0.28664023,-0.35705814,0.12278214,-0.7493498
-709.604597,156000,984.041727,0.05964715,0.15377063,0.19478664,0.10909651,0.21050856,-0.36016548,0.30799425,-0.39064932,0.10052114,-0.7550793
-142.75361,158000,996.739387,0.024224471,0.18419658,0.19652815,0.11432913,0.1729885,-0.40986046,0.29139003,-0.37674358,0.08471646,-0.7550165
-199.073511,160000,1012.449196,-0.0029595334,0.1821481,0.20401484,0.11304748,0.14012489,-0.42376333,0.28453392,-0.3382862,0.07776327,-0.74544734
-133.896502,162000,1026.108815,0.01450603,0.15799017,0.17647837,0.13007067,0.11681243,-0.43402675,0.30256748,-0.35421723,0.0774424,-0.7049464
-324.127836,164000,1041.208497,-0.01581072,0.16317464,0.14216115,0.118576035,0.11467939,-0.43568927,0.30806598,-0.39434218,0.07101879,-0.69471604
-282.96519,166000,1054.769413,-0.045489267,0.17535189,0.14001386,0.12576598,0.10512734,-0.4194226,0.32603326,-0.3669052,0.06597839,-0.7154555
-272.318545,168000,1067.506455,-0.046728786,0.17147444,0.15243366,0.12582447,0.061634667,-0.399189,0.32117075,-0.34441778,0.07441493,-0.6995525
-501.421368,170000,1080.053398,-0.06847713,0.16995259,0.16213694,0.10022478,0.055083483,-0.39037213,0.31873864,-0.34066236,0.07934356,-0.69235975
-252.461931,172000,1093.126716,-0.0684443,0.1659755,0.15068504,0.09073372,0.04648239,-0.41259906,0.31277937,-0.33441478,0.08198297,-0.6705444
-400.841902,174000,1105.853681,-0.060506396,0.16760744,0.12301517,0.08105389,0.019171746,-0.41862252,0.31172982,-0.32358283,0.07674775,-0.6643797
-332.595855,176000,1118.793907,-0.04934526,0.198509,0.13285351,0.09988938,0.0036569522,-0.41398296,0.30594587,-0.34635016,0.061211426,-0.68248135
-410.936603,178000,1132.031835,-0.044827662,0.23131205,0.11938049,0.13179621,-0.007631639,-0.39471167,0.33233473,-0.35006437,0.053852413,-0.7166272
-365.558382,180000,1144.988023,-0.042738356,0.23254597,0.06903082,0.14610498,-0.0022127628,-0.39075634,0.36397237,-0.364323,0.049535856,-0.73593354
-289.036412,182000,1157.878145,-0.039454177,0.21664895,0.016289014,0.16385664,-0.05201801,-0.37925008,0.36469048,-0.40730336,0.053076554,-0.71306723
-228.194095,184000,1170.842674,-0.02880983,0.19069873,-0.048593335,0.1601078,-0.078098565,-0.3883533,0.33946264,-0.41263977,0.07726747,-0.685571
-379.655523,186000,1183.672086,-0.041524466,0.18792221,-0.077830374,0.117348015,-0.09859316,-0.38409707,0.31204027,-0.41665965,0.09942834,-0.6313571
-1044.456077,188000,1196.846685,-0.035255738,0.19040264,-0.1469658,0.1096102,-0.09747707,-0.3594555,0.2920611,-0.44010878,0.10367231,-0.596261
-336.446371,190000,1209.65735,-0.022469122,0.1722597,-0.1883165,0.10997635,-0.1187655,-0.3580916,0.2781924,-0.46154857,0.12446259,-0.6089911
-307.102429,192000,1222.460781,-0.008935661,0.17218609,-0.20788653,0.12793143,-0.105335996,-0.36483863,0.24984095,-0.48900548,0.12532392,-0.5903574
-307.621733,194000,1235.440062,-0.009197764,0.17093237,-0.20087445,0.14264932,-0.0937354,-0.37363437,0.215949,-0.4355936,0.13594857,-0.564335
-181.489732,196000,1248.27401,0.00464759,0.17077918,-0.22441833,0.15257145,-0.043349907,-0.38602266,0.1967233,-0.31814227,0.1416955,-0.57729006
-1379.832758,198000,1261.117741,0.00624965,0.17300123,-0.23595695,0.15765736,-0.060252253,-0.42544308,0.21053597,-0.21887065,0.13856944,-0.57006466
-427.399039,200000,1274.321353,0.012622325,0.15839128,-0.22221382,0.17753407,-0.077429235,-0.451373,0.22235546,-0.15657365,0.14062278,-0.5474147
-138.743528,202000,1286.58782,0.008249889,0.14883386,-0.23613115,0.17100468,-0.08545987,-0.4440878,0.23903169,-0.08904496,0.13887294,-0.53101206
-428.852789,204000,1298.894809,0.012319301,0.13610837,-0.23389865,0.14429303,-0.046738766,-0.42763028,0.23953418,-0.053296115,0.12939279,-0.546525
-1308.195367,206000,1311.861931,0.008862795,0.13472109,-0.28778973,0.12589134,-0.014710451,-0.44374487,0.2761636,-0.071654215,0.13461211,-0.5385347
-369.762914,208000,1326.15263,0.013718165,0.11781705,-0.30791172,0.11537953,0.0019006409,-0.44555748,0.26010054,-0.07955137,0.14194325,-0.53356487
-368.012518,210000,1339.562624,0.016450869,0.097554654,-0.33433518,0.120838836,0.003791426,-0.4666578,0.24354754,-0.06966807,0.14135532,-0.5186887
-937.369249,212000,1351.559266,0.034457617,0.0909224,-0.35974643,0.11939686,-0.0039825523,-0.46576568,0.19594154,-0.08641554,0.14869557,-0.50503415
-354.156198,214000,1364.360242,0.037787322,0.11302123,-0.37674418,0.12308531,-0.016122388,-0.51748544,0.19250435,-0.08019646,0.15285744,-0.47402745
-1526.935225,216000,1376.90939,0.03716535,0.16018705,-0.44019675,0.13313709,-0.016612796,-0.54309547,0.21220931,-0.07227835,0.15500247,-0.47523713
-109.200666,218000,1388.435996,0.025356801,0.19874084,-0.460581,0.11332832,-0.0040738666,-0.52225745,0.24929462,-0.06570018,0.15759829,-0.48037007
-94.287829,220000,1401.83367,0.032856308,0.22583164,-0.49201778,0.1080015,0.0071998704,-0.48541525,0.2699518,-0.052459586,0.14827852,-0.4471991
-160.900467,222000,1415.120747,0.03494704,0.2431994,-0.5093943,0.1077254,0.0061700623,-0.4641279,0.29044104,-0.07663662,0.14228636,-0.42885655
-579.851129,224000,1426.548683,0.041406743,0.24946536,-0.49392462,0.10299392,-0.006113098,-0.43294957,0.29198042,-0.13387397,0.117700405,-0.3910395
-184.849223,226000,1440.510379,0.052069053,0.25455973,-0.45521432,0.08715415,-0.0167946,-0.3936382,0.27891725,-0.16526704,0.1068781,-0.36220846
-246.016558,228000,1453.737792,0.046407875,0.23954505,-0.47608218,0.08767844,-0.021071484,-0.4028393,0.2879943,-0.20174855,0.100678034,-0.31830773
-668.278644,230000,1467.586433,0.049644582,0.22866745,-0.4390746,0.07482331,-0.03101334,-0.38471267,0.28512013,-0.20951544,0.07973341,-0.2927336
-675.013187,232000,1480.415755,0.04657524,0.22402692,-0.44263378,0.07420838,-0.046552293,-0.38875324,0.31153947,-0.17676327,0.0661306,-0.29184976
-185.734519,234000,1492.12009,0.046161883,0.21891396,-0.431063,0.10096456,-0.08616454,-0.3989665,0.3192124,-0.16401069,0.070479505,-0.2979145
-268.401953,236000,1503.734823,0.059110597,0.22356437,-0.4922264,0.12611853,-0.10462381,-0.3914855,0.3303928,-0.12691641,0.07789106,-0.3055508
-1287.332984,238000,1515.318785,0.068742245,0.20781954,-0.51275164,0.13269354,-0.10202299,-0.34338096,0.30524233,-0.14478713,0.07595279,-0.33248174
-140.953908,240000,1526.905963,0.07790016,0.18783408,-0.5263809,0.13275667,-0.14450434,-0.320913,0.31421643,-0.17464036,0.098132424,-0.40762955
-361.062539,242000,1539.06589,0.055367127,0.18165329,-0.5505257,0.1413753,-0.14282916,-0.3022952,0.3160836,-0.23026201,0.09998445,-0.38913614
-208.606948,244000,1550.793854,0.05119102,0.18179125,-0.5813063,0.15865612,-0.11832471,-0.30294648,0.33229667,-0.27763993,0.09670591,-0.3805432
-189.036012,246000,1564.016741,0.04896206,0.18090054,-0.69626963,0.17565104,-0.107669465,-0.27219674,0.32698235,-0.34278545,0.09530791,-0.3948399
-348.360536,248000,1576.254169,0.034354415,0.203366,-0.66909546,0.17871614,-0.112684414,-0.26073167,0.30835977,-0.358129,0.056334484,-0.40334123
-244.750503,250000,1588.500573,0.040798552,0.22239718,-0.6518174,0.21224391,-0.15428364,-0.26685655,0.26308268,-0.38361034,0.02617354,-0.42543375
-425.836517,252000,1601.162918,0.05029553,0.24920699,-0.6309954,0.23241195,-0.15330301,-0.26845697,0.23706593,-0.38104567,0.019926121,-0.39844182
-578.724486,254000,1612.76264,0.03816718,0.23676805,-0.61040205,0.25140187,-0.15396643,-0.2528464,0.17637667,-0.40596735,0.02001565,-0.35242176
-406.105747,256000,1624.858754,0.025997737,0.2147333,-0.5270702,0.24993075,-0.15965283,-0.3298318,0.13107719,-0.42863265,0.026780566,-0.3131688
-386.572872,258000,1637.396552,0.037427157,0.21067286,-0.45720708,0.22407205,-0.18846983,-0.3683602,0.07938069,-0.43744513,0.04241122,-0.28744474
-179.12255,260000,1650.247982,0.03371831,0.2768301,-0.42863864,0.21410058,-0.19685449,-0.34256357,0.070530556,-0.45165965,0.046265896,-0.27211276
-868.656026,262000,1662.93921,0.04671735,0.30989724,-0.46320608,0.2123614,-0.24774961,-0.32859555,0.08760854,-0.4999334,0.050336212,-0.27144417
-1334.181516,264000,1675.778699,0.045837354,0.32165644,-0.49189353,0.18907808,-0.2699204,-0.34574595,0.0925401,-0.49329567,0.06866251,-0.25630352
-116.727078,266000,1688.76401,0.0712436,0.31040224,-0.49443418,0.18613535,-0.21820478,-0.3893944,0.07973371,-0.44539154,0.07554666,-0.2855992
-1003.908624,268000,1701.426724,0.09585046,0.31687075,-0.49313748,0.18748742,-0.21525498,-0.4081736,0.12265883,-0.46178705,0.0765848,-0.30676258
-212.782774,270000,1715.129842,0.113069504,0.31066376,-0.48652825,0.1891511,-0.22128345,-0.41580978,0.14097545,-0.5087461,0.069498226,-0.3352603
-886.053163,272000,1729.033133,0.117677726,0.32119346,-0.5047909,0.19328651,-0.23743296,-0.41297084,0.13039751,-0.54745984,0.07909933,-0.30708024
-153.318756,274000,1742.154424,0.12343366,0.32536533,-0.55846083,0.1959306,-0.23104113,-0.4115038,0.095431596,-0.5784262,0.10187781,-0.29503092
-817.205276,276000,1754.778082,0.11401141,0.32704613,-0.5820355,0.23093519,-0.20261924,-0.4081834,0.0737968,-0.5600971,0.12494113,-0.23223534
-219.954898,278000,1766.971029,0.12235063,0.32954606,-0.56920505,0.22724694,-0.16388439,-0.38590825,0.0807798,-0.5716635,0.13672933,-0.17664555
