,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1563.605009,2000,14.88895,-0.21783659,0.17061278,-0.007736522,0.10607436,0.1939752,-0.21671438,0.049112447,0.07437111,-0.008653609,-0.09716248
1,-1039.240735,4000,31.303235,-0.22205956,0.16505225,-0.013761988,0.10920909,0.19466713,-0.22279328,0.04899301,0.085351,-0.000276957,-0.098477766
2,-379.027075,6000,44.440766,-0.1832946,0.21151452,-0.011009718,0.10202433,0.19835325,-0.18062808,0.05564207,0.09767631,0.016417315,-0.04908445
3,-865.417566,8000,59.113288,-0.1615119,0.24778932,0.005242857,0.099947825,0.2106981,-0.13629766,0.073461905,0.096708715,0.041248124,-0.001670859
4,-1119.357454,10000,71.828418,-0.18185946,0.27008516,-0.021341735,0.094596386,0.19856499,-0.19951715,0.09715507,0.113502085,0.055312697,0.01008621
5,-546.82676,12000,83.791325,-0.16141045,0.27087995,-0.044873144,0.11186466,0.19508469,-0.1816164,0.10998737,0.097064234,0.047789186,0.013387559
6,-612.542782,14000,98.136392,-0.18680798,0.26669127,-0.03338137,0.10633948,0.2011622,-0.11993952,0.11079858,0.09946211,0.048038784,0.01532009
7,-496.357195,16000,111.214261,-0.21266744,0.26328444,-0.037304293,0.11204358,0.21879932,-0.11762808,0.13078469,0.090492114,0.056283135,0.026268369
8,-387.617305,18000,125.896699,-0.20295668,0.24421082,-0.0214665,0.12437804,0.20670055,-0.12434434,0.13231072,0.077742055,0.054917265,0.02600732
9,-779.656508,20000,138.667592,-0.20148188,0.26618445,-0.005603884,0.13013706,0.19753002,-0.13549984,0.13239773,0.084579825,0.06468487,0.024928614
10,-550.948232,22000,151.715188,-0.21454631,0.2719809,-0.019568797,0.109669656,0.18948844,-0.15637316,0.14462784,0.10446153,0.08222244,0.022996088
11,-424.354782,24000,163.845303,-0.2082318,0.2783457,-0.031263936,0.11287986,0.16548552,-0.15386802,0.19105025,0.11590474,0.079814166,0.008105397
12,-753.757444,26000,176.90349,-0.20171133,0.28886065,-0.03419998,0.121015936,0.15406303,-0.12262365,0.16605835,0.104303166,0.07476004,-0.008180821
13,-575.851147,28000,190.235578,-0.22650586,0.30122042,-0.059395913,0.11231993,0.16518313,-0.09275585,0.16014613,0.11200485,0.07110436,-0.024495278
14,-540.944924,30000,202.532142,-0.23914069,0.30811334,-0.08566188,0.08200699,0.15097661,-0.080933765,0.16687398,0.13066582,0.07135149,-0.041602634
15,-1262.034079,32000,215.640188,-0.21022469,0.2879894,-0.11324412,0.06284337,0.13810746,-0.0609425,0.16860104,0.08916914,0.0701427,-0.055366825
16,-1233.516348,34000,228.931742,-0.18081436,0.27577007,-0.1053088,0.05081981,0.12573469,-0.045930844,0.1687915,0.11988825,0.058899295,-0.059326112
17,-993.093526,36000,241.201062,-0.14898837,0.28482082,-0.10331669,0.032630444,0.1004571,-0.018961353,0.18149804,0.13961633,0.05476954,-0.071399994
18,-502.162063,38000,253.27194,-0.1634801,0.30419707,-0.094419636,0.001517378,0.062139045,-0.0166091,0.17060894,0.17587191,0.060379725,-0.07075577
19,-1160.120872,40000,266.512939,-0.17072263,0.30446523,-0.06379781,-0.005941952,0.047265466,-0.033405725,0.14119728,0.21138749,0.087295435,-0.063320376
20,-1440.394809,42000,280.357158,-0.14431342,0.31307602,-0.052180503,0.000640121,0.071456105,-0.041391972,0.14625563,0.22238532,0.09370266,-0.049456246
21,-1619.7203,44000,295.812687,-0.15941708,0.32522088,-0.05422072,-0.007505112,0.110949285,-0.05544473,0.13134006,0.21388213,0.10237879,-0.051508073
22,-796.722717,46000,312.386639,-0.15564348,0.3444206,-0.08178972,-0.006531261,0.12842037,-0.06950141,0.14742981,0.18237117,0.10737281,-0.044333056
23,-865.761821,48000,328.69089,-0.13237329,0.35555437,-0.088885486,-0.009694872,0.13053782,-0.076403365,0.11706774,0.19401658,0.1033165,-0.043919344
24,-447.672647,50000,343.054682,-0.099572025,0.34968716,-0.0803947,-0.019084956,0.12924369,-0.08221607,0.0971776,0.20384805,0.10149699,-0.034435466
25,-398.68788,52000,357.228686,-0.08877016,0.342727,-0.0942791,-0.008766863,0.13631263,-0.08345564,0.06835741,0.20363835,0.11078174,-0.04223416
26,-738.237953,54000,371.312461,-0.07552815,0.355137,-0.09122528,-0.00701313,0.14955263,-0.10623045,0.07206321,0.18487364,0.1198196,-0.035368863
27,-373.163793,56000,385.59994,-0.070942596,0.35070866,-0.08138695,-0.01743511,0.14914434,-0.13241562,0.05616847,0.20510434,0.13961886,-0.021291632
28,-244.251946,58000,401.863144,-0.07095799,0.34471264,-0.06678802,-0.011348657,0.17543694,-0.14880176,0.039853793,0.2171706,0.1677909,-0.015579993
29,-545.431299,60000,417.936079,-0.076215744,0.37401024,-0.055830713,-0.01719301,0.2004439,-0.15655908,0.0500463,0.22654109,0.17691481,-0.007794561
30,-601.299297,62000,432.039746,-0.10657261,0.39065567,-0.042410463,-0.017779877,0.18486497,-0.16761814,0.07328609,0.24456201,0.18525638,-0.000503306
31,-626.00876,64000,446.178684,-0.10169629,0.39327818,-0.028704949,-0.013346466,0.16996561,-0.19099452,0.09052501,0.22497201,0.16995648,0.007303204
32,-754.611157,66000,460.833512,-0.1820866,0.3939862,-0.002187934,0.003474167,0.16861737,-0.21596628,0.11552106,0.23011208,0.1680187,0.00670122
33,-855.187011,68000,473.519859,-0.24009125,0.41757298,-0.008025523,0.005554443,0.1574882,-0.22417729,0.12439325,0.2394334,0.2006066,0.006748575
34,-906.443727,70000,486.063148,-0.25573394,0.43812495,-0.027310522,-0.009276318,0.1633948,-0.21144202,0.11605732,0.24696295,0.22924237,0.007286712
35,-1150.269426,72000,498.410605,-0.2652092,0.43746185,-0.017451927,-0.03087736,0.17458738,-0.21000886,0.1427703,0.22897547,0.25021693,-0.003682224
36,-1091.886714,74000,510.781963,-0.259701,0.44854173,0.004743039,-0.06404458,0.17602643,-0.19500886,0.16515286,0.22888117,0.23055467,-0.000702417
37,-1064.947132,76000,523.217453,-0.23304752,0.45136198,-0.008262625,-0.06947942,0.15375729,-0.20609899,0.14848793,0.23876382,0.21609072,-0.012815537
38,-1166.113563,78000,535.606586,-0.2424459,0.44004712,-0.019014096,-0.069071405,0.13334432,-0.22339483,0.15044779,0.24301709,0.20062256,-0.021443507
39,-663.415474,80000,548.112669,-0.2917109,0.43729421,-0.026046962,-0.05285492,0.13367982,-0.21596664,0.13844505,0.26363245,0.17883602,-0.032330748
40,-1262.38582,82000,560.565638,-0.31252372,0.43247867,-0.030430553,-0.04994268,0.13558447,-0.23463501,0.124020904,0.2874764,0.1635141,-0.032852896
41,-1004.040207,84000,573.986758,-0.26785213,0.406769,-0.042757656,-0.054018304,0.12962438,-0.26646188,0.123811506,0.28463107,0.15146746,-0.047209594
42,-638.212934,86000,587.03344,-0.20309073,0.39604098,-0.057746638,-0.063215606,0.11629216,-0.29778892,0.11483912,0.307659,0.14706568,-0.06198023
