r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1299.35246,2000,16.166663,0.17050108,0.123649344,-0.13525411,-0.19879018,0.15702718,-0.13789046,-0.084495656,0.006614244,-0.040643148,-0.13708559
-1640.40224,4000,33.851914,0.17803834,0.12549932,-0.14779335,-0.19236438,0.15707101,-0.14360707,-0.07991505,0.0034559641,-0.038392853,-0.1340242
-1632.784731,6000,47.072999,0.18330328,0.12047154,-0.12173514,-0.17967562,0.15906352,-0.1617785,-0.080816664,0.001068922,-0.049107283,-0.13796076
-1605.937748,8000,60.01295,0.19327073,0.10939201,-0.0362741,-0.16255797,0.1670881,-0.14346574,-0.07389456,0.013643416,-0.05432435,-0.15410598
-887.172394,10000,72.997137,0.19385408,0.11140522,-0.02907964,-0.15564913,0.17650566,-0.14221025,-0.06875158,0.040493283,-0.06335193,-0.16110748
-985.715438,12000,87.346938,0.18618777,0.12560418,-0.058646798,-0.16586438,0.19247535,-0.15288098,-0.058188327,0.041373238,-0.07055635,-0.16344343
-907.420103,14000,100.300511,0.18436478,0.1346348,-0.08438864,-0.18108833,0.20296527,-0.1258447,-0.05508178,0.023419673,-0.06864781,-0.15936743
-835.201042,16000,113.602478,0.19115062,0.14727232,-0.07966636,-0.18890183,0.2005057,-0.16350923,-0.06783816,0.035616137,-0.058049988,-0.15552549
-1723.181526,18000,128.082573,0.19369692,0.14612797,-0.07199586,-0.20560788,0.19530399,-0.18308637,-0.05157012,0.045871805,-0.037528496,-0.15841872
-904.328081,20000,141.476629,0.20654376,0.14317323,-0.06421482,-0.18836108,0.19427012,-0.19326845,-0.034899037,0.041449998,-0.045219965,-0.17238119
-1361.492242,22000,154.731702,0.2198666,0.15781043,-0.078068554,-0.16065069,0.19876777,-0.22275236,0.010112246,0.092269436,-0.05168669,-0.1817955
-1270.827725,24000,168.118031,0.20177466,0.1685186,-0.09275762,-0.1437405,0.18709517,-0.26225474,0.04171971,0.11418771,-0.05658136,-0.15321894
-1020.54,26000,181.167507,0.20127352,0.16701777,-0.08104094,-0.14309682,0.16642337,-0.24212094,0.015698904,0.12949742,-0.025245951,-0.14793007
-1109.881963,28000,194.213932,0.2165749,0.17420554,-0.0698457,-0.13600248,0.14071983,-0.24802181,-0.014422958,0.12349173,-0.01610543,-0.13203098
-1361.089686,30000,207.381429,0.23029304,0.17411183,-0.050595783,-0.1312301,0.11722844,-0.21396282,-0.01295296,0.112393744,-0.030194052,-0.12492787
-1254.454265,32000,220.398384,0.22943062,0.17897458,-0.027938873,-0.12799527,0.09398743,-0.18731347,0.010433238,0.100582264,-0.0095803775,-0.09849275
-1639.509966,34000,233.478687,0.23353438,0.19220945,-0.034557376,-0.12990817,0.07395594,-0.15794638,0.03335798,0.10219765,0.034976657,-0.08631242
