,r,l,t
0,-1617.150959,2000,19.68599
1,,264000,2867.043278
2,-301.768636,266000,2882.511984
3,-339.936862,268000,2898.926584
4,-304.38167999999996,270000,2911.29473
5,-282.73976899999997,272000,2923.5823
6,-422.025226,274000,2939.414633
7,-602.651288,276000,2953.301747
8,-273.707702,278000,2965.626462
9,-1583.969932,280000,2980.0304
10,-1420.014922,282000,2990.3125019999998
11,-861.778397,284000,3000.562726
12,-314.14882400000005,286000,3011.367033
13,-399.955685,288000,3023.19452
14,-253.55616400000002,290000,3036.4250850000003
15,-238.37541099999999,292000,3049.1336300000003
16,-225.930889,294000,3063.232568
17,-261.767459,296000,3078.409893
18,-238.48586400000002,298000,3090.089871
19,-945.608457,300000,3101.170529
20,-248.87939,302000,3112.165972
21,-281.525415,304000,3124.2040269999998
22,-457.60279,306000,3136.716075
23,-1086.5533779999998,308000,3148.5070100000003
24,-1264.247524,310000,3159.970773
25,-487.74359000000004,312000,3171.180722
26,-257.866865,314000,3182.902193
27,-310.51711,316000,3193.520344
28,-309.102071,318000,3203.7863039999997
29,-259.342347,320000,3214.807213
30,-273.948359,322000,3224.8423399999997
31,-280.153611,324000,3234.833884
32,-299.827338,326000,3244.784513
33,-234.933377,328000,3254.950286
34,-850.2581539999999,330000,3265.117264
35,-266.75616099999996,332000,3275.141988
36,-229.27050899999998,334000,3285.650016
37,-222.000611,336000,3295.7863620000003
38,-220.89586200000002,338000,3308.892434
39,-212.8739,340000,3322.619502
40,-163.867069,342000,3336.0369969999997
41,-1031.158582,344000,3349.123853
42,-243.538944,346000,3359.3703450000003
43,-176.546321,348000,3369.245424
44,-240.83937799999998,350000,3380.17245
45,-1522.192659,352000,3390.295057
46,-265.48184399999997,354000,3402.167122
47,-205.555977,356000,3413.511213
48,-234.598979,358000,3424.361715
49,-284.974279,360000,3435.244891
50,-528.105211,362000,3445.773467
51,-238.04249700000003,364000,3456.5261969999997
52,-217.817891,366000,3467.090493
53,-204.11534,368000,3477.7435520000004
54,-211.247316,370000,3488.882657
55,-225.414389,372000,3498.907679
56,-243.324681,374000,3509.034576
57,-226.517691,376000,3519.560533
58,-207.88036599999998,378000,3530.612474
59,-232.543902,380000,3540.77384
60,-208.015514,382000,3550.863332
61,-209.99417400000002,384000,3560.982667
62,-229.17189100000002,386000,3570.9738810000003
63,-196.376505,388000,3581.265714
64,-181.53311399999998,390000,3591.9358439999996
65,-195.12661599999998,392000,3604.9362060000003
66,-190.096086,394000,3616.486216
67,-169.328892,396000,3626.71774
68,-202.444704,398000,3638.3529909999997
69,-185.952324,400000,3649.826005
70,-190.41364099999998,402000,3662.712205
71,-190.84904,404000,3674.883822
72,-196.26747,406000,3686.096372
73,-197.866445,408000,3698.5395799999997
74,-206.050961,410000,3709.506253
75,-187.2249,412000,3720.289674
76,-144.89451,414000,3731.6091030000002
77,-146.383377,416000,3744.0794560000004
78,-153.558046,418000,3754.1080049999996
79,-192.152714,420000,3764.185012
80,-194.189596,422000,3775.539349
81,-676.981058,424000,3786.4179409999997
82,-182.601705,426000,3797.3403770000004
83,-176.373065,428000,3807.809853
84,-143.19985,430000,3818.906139
85,-196.36301699999999,432000,3831.2142740000004
86,-212.360193,434000,3842.177264
87,-221.871815,436000,3852.248579
88,-181.754731,438000,3862.8216859999998
89,-201.58730500000001,440000,3873.083606
90,-190.554036,442000,3884.0485840000006
91,-146.47856399999998,444000,3895.14242
92,-168.67801599999999,446000,3906.512878
93,-200.140624,448000,3917.8839049999997
94,-177.985355,450000,3928.4259490000004
95,-163.35594,452000,3938.8939609999998
96,-135.74740400000002,454000,3949.1491770000002
97,-150.082795,456000,3960.7154170000003
98,-131.516394,458000,3971.205823
99,-157.18390300000002,460000,3984.70804
100,-207.394095,462000,3995.925568
101,-193.722052,464000,4008.439911
102,-182.88661399999998,466000,4021.566673
103,-165.21674299999998,468000,4032.8716560000003
104,-150.505089,470000,4044.6050520000003
105,-164.569727,472000,4058.398086
106,-160.617243,474000,4069.8995670000004
107,-165.746723,476000,4080.098936
108,-204.554082,478000,4091.017368
109,-140.78700600000002,480000,4102.078671
110,-142.74336399999999,482000,4113.812198
111,-255.56669100000002,484000,4123.991652000001
112,-212.392779,486000,4134.971759
113,-135.377199,488000,4145.664258
114,-177.175748,490000,4156.871668
115,-133.97408000000001,492000,4168.058069
116,-183.881466,494000,4179.251056
117,-185.58401899999998,496000,4190.581533
118,-169.373775,498000,4201.76815
119,-169.722036,500000,4213.074252
120,-149.058129,502000,4224.495699
121,-136.61318500000002,504000,4235.207815
122,-132.909575,506000,4245.261820000001
123,-122.67746299999999,508000,4255.391727
124,-137.89434,510000,4267.0877359999995
125,-118.668824,512000,4277.996281000001
126,-133.448135,514000,4290.143524
127,-121.939177,516000,4300.6719539999995
128,-187.863747,518000,4311.199186
129,-116.219178,520000,4322.253924000001
130,-117.469518,522000,4333.818649
131,-127.12104199999999,524000,4344.930574
132,-121.09742,526000,4355.046727
133,-123.105952,528000,4365.173927000001
134,-134.701224,530000,4375.208028
135,-133.383002,532000,4385.203907
136,-117.25196799999999,534000,4395.869792
137,-125.211809,536000,4408.106246
138,-118.99596499999998,538000,4419.892249
139,-111.06935700000001,540000,4431.107891
140,-110.14743899999999,542000,4443.579212
141,-121.24076399999998,544000,4455.808905
142,-123.00974599999999,546000,4466.331278000001
143,-111.543416,548000,4477.214786
144,-108.963523,550000,4487.949795
145,-109.26705,552000,4500.352153
146,-134.79308400000002,554000,4511.257447
147,-120.080418,556000,4523.467323
148,-117.573127,558000,4534.330679
149,-128.883864,560000,4544.569976
150,-118.261199,562000,4555.896371
151,-104.736807,564000,4567.039274000001
152,-104.702394,566000,4579.230183
153,-107.219676,568000,4591.032996
154,-147.12719199999998,570000,4601.058391
155,-116.74956599999999,572000,4611.132761
156,-120.095118,574000,4621.125584
157,-113.73708700000002,576000,4631.902736999999
158,-139.967763,578000,4643.121851
159,-114.696271,580000,4653.92112
160,-112.151599,582000,4664.664774
161,-122.36934,584000,4675.578823
162,-122.151936,586000,4686.990761
163,-124.844412,588000,4698.027883
164,-118.12551699999999,590000,4708.876763
165,-119.365802,592000,4719.513817
166,-119.19726299999999,594000,4730.132979
167,-121.139458,596000,4741.669211
168,-132.53528,598000,4751.670132
169,-134.248558,600000,4761.861825
170,-228.19526499999998,602000,4772.143349
171,-121.768925,604000,4782.983037
172,-760.185203,606000,4793.12318
173,-478.639299,608000,4803.610657
174,-131.73293,610000,4814.039831
175,-108.643818,612000,4824.805129
176,-120.28989399999999,614000,4835.450021
177,-110.616041,616000,4845.926913
178,-118.026302,618000,4856.875357
179,-130.894501,620000,4867.071119
180,-150.24248899999998,622000,4877.3583770000005
181,-142.279162,624000,4887.445169
182,-133.653372,626000,4897.418396
183,-129.811492,628000,4907.473271
184,-135.64001399999998,630000,4917.632278
185,-126.09451999999999,632000,4927.644858
186,-126.125179,634000,4937.957935
187,-125.211706,636000,4948.545018
188,-109.60459099999999,638000,4958.6339259999995
189,-132.162364,640000,4968.760963000001
190,-121.33369499999999,642000,4978.783849
191,-113.32621100000001,644000,4989.393475
192,-112.730203,646000,5000.467568
193,-178.12360800000002,648000,5010.990846
194,-134.959821,650000,5021.547313
195,-157.337119,652000,5031.969977000001
196,-160.459955,654000,5043.132256
197,-156.186307,656000,5054.025312
198,-120.349372,658000,5065.181407
199,-102.467166,660000,5076.440622
200,-185.55818200000002,662000,5089.458541
201,-129.8252,664000,5100.341075
202,-99.76096,666000,5110.66399
203,-100.943562,668000,5123.100886
204,-111.551296,670000,5133.440162
205,-114.13951599999999,672000,5144.625558
206,-111.988196,674000,5158.173867
207,-120.226684,676000,5168.587358
208,-107.162576,678000,5179.666736
209,-123.845676,680000,5190.535971
210,-138.316752,682000,5201.500023
211,-141.601169,684000,5211.808266
212,-124.876283,686000,5221.842256
213,-145.377997,688000,5232.266864
214,-153.222425,690000,5244.580082
215,-132.577565,692000,5256.364215
216,-135.785433,694000,5266.686281
217,-135.137058,696000,5276.951152000001
218,-122.86613,698000,5288.526075
219,-135.51854699999998,700000,5299.756337
220,-134.175083,702000,5310.88816
221,-131.242712,704000,5321.825832
222,-113.627357,706000,5332.824831
223,-114.608673,708000,5343.6252030000005
224,-121.541334,710000,5354.648625
225,-103.715016,712000,5365.942555
226,-154.39064299999998,714000,5376.216581000001
227,-106.42977900000001,716000,5387.368917
228,-119.23945,718000,5398.522808
229,-121.18831000000002,720000,5409.895084000001
230,-121.922173,722000,5421.329092
231,-143.18651200000002,724000,5432.641294
232,-519.251804,726000,5444.149711999999
233,-127.188533,728000,5456.404939
234,-138.87994,730000,5467.195395000001
235,-117.88010200000001,732000,5479.3092289999995
236,-128.452834,734000,5489.67329
237,-100.90950500000001,736000,5500.432864
238,-129.124304,738000,5511.392495
239,-130.381783,740000,5523.342978
240,-102.285191,742000,5535.433693
241,-141.48920800000002,744000,5547.679081
242,-106.106672,746000,5559.585394
243,-123.388123,748000,5571.806515
244,-137.589028,750000,5585.7885799999995
245,-102.408712,752000,5597.728972999999
246,-155.917855,754000,5609.499479
247,-130.072183,756000,5620.632688000001
248,-108.347175,758000,5631.568825
249,-145.73707199999998,760000,5642.08767
250,-140.625799,762000,5652.148619
251,-218.164142,764000,5662.955101
252,-134.57256,766000,5673.8597469999995
253,-100.493606,768000,5684.9301479999995
254,-130.866054,770000,5695.4198369999995
255,-116.307897,772000,5706.717207
256,-333.77957599999996,774000,5718.248812
257,-104.244161,776000,5729.0793539999995
258,-124.698159,778000,5739.897434
259,-672.2739429999999,780000,5751.862027
260,-227.671948,782000,5763.690085
261,-210.18499,784000,5774.7138270000005
262,-359.238051,786000,5785.1968369999995
263,-174.907769,788000,5795.6095399999995
264,-378.517338,790000,5805.658648
265,-410.307211,792000,5815.555875
266,-420.236692,794000,5825.4016280000005
267,-152.056924,796000,5835.256608
268,-281.293825,798000,5845.049384
269,-419.609221,800000,5854.828188
270,-538.03563,802000,5864.656695000001
271,-148.714666,804000,5874.472963
272,-144.499724,806000,5884.276853
273,-140.3232,808000,5894.1281229999995
274,-329.803383,810000,5903.926796
275,-111.313949,812000,5914.273614
276,-107.935249,814000,5924.511015
277,-99.827055,816000,5934.522245
278,-271.29294500000003,818000,5944.468742
279,-144.962088,820000,5954.575047
280,-117.02202199999999,822000,5964.6604259999995
281,-129.24678400000002,824000,5974.437106
282,-110.465337,826000,5984.427226
283,-109.64843799999998,828000,5994.373149
284,-116.614551,830000,6004.0989979999995
285,-128.678411,832000,6013.863109000001
286,-107.23747,834000,6023.609229
287,-118.968185,836000,6033.3428189999995
288,-112.19032299999999,838000,6043.081061
289,-106.27566100000001,840000,6052.8216299999995
290,-109.18801299999998,842000,6062.567404
291,-124.449595,844000,6072.592557999999
292,-123.374458,846000,6082.327553
293,-101.351186,848000,6092.087783
294,-109.218924,850000,6101.813974000001
295,-111.18181399999999,852000,6111.531659
296,-117.517252,854000,6121.2481179999995
297,-118.32996899999999,856000,6130.975513
298,-116.25494599999999,858000,6140.71519
299,-110.81768000000001,860000,6150.4756560000005
300,-502.24373099999997,862000,6160.20257
301,-439.840657,864000,6169.920972999999
302,-205.553086,866000,6179.668825
303,-318.681903,868000,6189.415204999999
304,-318.32575,870000,6199.1368
305,-160.737022,872000,6208.905226
306,-341.53153,874000,6218.614971
307,-234.59804599999998,876000,6228.562988000001
308,-384.602223,878000,6238.455865999999
309,-157.637233,880000,6248.308309
310,-123.784852,882000,6258.189625999999
311,-291.43897400000003,884000,6267.9475520000005
312,-261.120726,886000,6277.679478
313,-120.954862,888000,6287.429527
314,-156.776249,890000,6297.137728
315,-126.118551,892000,6306.872902
316,-168.080035,894000,6316.599351
317,-148.852435,896000,6326.374527
318,-166.208076,898000,6336.256211999999
319,-197.547401,900000,6345.994439
320,-156.169699,902000,6355.70829
321,-131.961734,904000,6365.428323
322,-129.89899,906000,6375.19914
323,-180.495735,908000,6384.917753
324,-152.470891,910000,6394.692411999999
325,-169.520266,912000,6404.4115409999995
326,-155.467006,914000,6414.110839
327,-134.665422,916000,6423.835279
328,-138.476471,918000,6433.567926
329,-136.541494,920000,6443.261605
330,-162.622319,922000,6453.0132810000005
331,-168.78718700000002,924000,6462.770197
332,-203.526779,926000,6472.495911999999
333,-173.120614,928000,6482.200941
334,-168.829022,930000,6491.959195
335,-149.583583,932000,6501.680961999999
336,-178.222733,934000,6511.396548
337,-679.2806519999999,936000,6521.133594
338,-178.974556,938000,6530.8799659999995
339,-227.89182599999998,940000,6540.589717
340,-256.713733,942000,6550.593004
341,-212.594088,944000,6560.313802000001
342,-238.90594700000003,946000,6570.024393
343,-190.582197,948000,6582.3113299999995
344,-192.036665,950000,6593.741379
345,-270.800508,952000,6607.216914
346,-299.415084,954000,6617.967255
347,-316.332109,956000,6628.927735
348,-207.689004,958000,6640.129001
349,-212.09001899999998,960000,6650.923158
350,-213.46067799999997,962000,6662.284616
351,-219.542875,964000,6673.03809
352,-210.64487000000003,966000,6684.01349
353,-213.11542400000002,968000,6697.243882
354,-202.644871,970000,6708.776275
355,-217.471603,972000,6719.102685
356,-193.402974,974000,6729.125405
357,-214.682629,976000,6739.884563
358,-148.463796,978000,6750.8645400000005
359,-226.643462,980000,6762.82446
360,-147.16645,982000,6773.343968000001
361,-150.106272,984000,6784.109098000001
362,-168.79003,986000,6795.778888
363,-172.177606,988000,6805.935698
364,-233.40312000000003,990000,6815.9234799999995
365,-204.178515,992000,6825.972084
366,-181.915889,994000,6835.948195999999
367,-215.69152799999998,996000,6845.979074
368,-182.765623,998000,6856.041204000001
369,-181.529232,1000000,6866.060337000001
