,r,l,t
0,-1658.631357,2000,19.471059
1,-1684.994584,4000,36.909683
2,-1625.500119,6000,50.556022
3,-1786.23998,8000,66.77984000000001
4,-1422.818658,10000,80.52748000000001
5,-1412.5461289999998,12000,96.568634
6,-745.962225,14000,113.42251999999999
7,-716.396253,16000,130.62801399999998
8,-871.974823,18000,147.921078
9,-1217.263065,20000,162.776092
10,-683.106112,22000,176.339993
11,-740.645635,24000,192.160576
12,-760.222259,26000,205.892726
13,-796.91134,28000,217.951477
14,-865.6192980000001,30000,230.472153
15,-655.186555,32000,242.73548599999998
16,-696.893375,34000,256.84182200000004
17,-670.507872,36000,269.805951
18,-765.0402190000001,38000,281.949204
19,-931.7840970000001,40000,295.193226
20,-926.6441179999999,42000,309.764887
21,-790.473401,44000,325.992112
22,-805.844305,46000,341.70181099999996
23,-1264.619258,48000,356.287263
24,-929.0040339999999,50000,372.778284
25,-908.121419,52000,387.88800000000003
26,-667.364149,54000,403.68415
27,-1153.491964,56000,418.870202
28,-772.5073679999999,58000,434.267108
29,-1408.360693,60000,448.191234
30,-757.6709480000001,62000,461.973107
31,-1251.334834,64000,475.841193
32,-859.283493,66000,490.496849
33,-922.6897849999999,68000,504.831985
34,-951.1812130000001,70000,519.808504
35,-919.738517,72000,534.757542
36,-918.087549,74000,549.046756
37,-913.161978,76000,563.3638129999999
38,-1072.346592,78000,580.374514
39,-1104.7799109999999,80000,594.631444
40,-1123.351063,82000,608.945746
41,-760.351318,84000,623.630413
42,-920.534925,86000,637.641092
43,-1050.6449949999999,88000,652.941903
44,-837.6387639999999,90000,668.455159
45,-856.6962279999999,92000,683.5052059999999
46,-870.0322970000001,94000,696.3298110000001
47,-903.375307,96000,710.846536
48,-704.690924,98000,725.608579
49,-799.3356150000001,100000,742.098559
50,-983.2180390000001,102000,757.992754
51,-969.314624,104000,772.2485849999999
52,-970.5817089999999,106000,788.330834
53,-783.590496,108000,803.049537
54,-1005.720817,110000,818.820575
55,-1098.537909,112000,835.080596
56,-1097.7006900000001,114000,849.6238900000001
57,-1359.935718,116000,866.572073
58,-1516.034651,118000,881.6943539999999
59,-1058.3386,120000,896.7227460000001
60,-837.305614,122000,910.9032779999999
61,-1013.255369,124000,925.384374
62,-1382.774284,126000,940.797301
63,-986.311518,128000,955.9987160000001
64,-713.0341099999999,130000,970.755508
65,-1089.884051,132000,986.100123
66,-1086.6891890000002,134000,1000.862167
67,-679.935112,136000,1014.947566
68,-810.509865,138000,1030.1060630000002
69,-673.438996,140000,1045.319953
70,-856.3845449999999,142000,1059.814347
71,-836.755674,144000,1074.197693
72,-735.052176,146000,1089.197382
73,-735.377634,148000,1104.027836
74,-1260.3360810000001,150000,1119.0829199999998
75,-890.1026410000001,152000,1132.658884
76,-1075.980787,154000,1144.993918
77,-929.251953,156000,1157.459081
78,-923.030408,158000,1170.045376
79,-919.8190810000001,160000,1182.309745
80,-1065.669866,162000,1194.695011
81,-826.5036259999999,164000,1206.9917269999999
82,-1153.847585,166000,1219.277609
83,-1543.4755699999998,168000,1231.716421
84,-551.6538889999999,170000,1244.184869
85,-783.470047,172000,1258.496242
86,-1186.1005699999998,174000,1270.9128210000001
87,-930.6124779999999,176000,1283.435912
88,-987.2507720000001,178000,1295.932912
89,-555.936855,180000,1308.475154
90,-823.0961269999999,182000,1321.055288
91,-719.952486,184000,1333.390062
92,-983.542859,186000,1345.6586539999998
93,-853.4937,188000,1357.988869
94,-1209.406185,190000,1370.263886
95,-741.932137,192000,1382.582952
96,-1357.175507,194000,1395.054458
97,-1699.863549,196000,1407.605119
98,-1560.9189789999998,198000,1420.058919
99,-1051.839305,200000,1434.6335279999998
100,-1419.907393,202000,1449.865787
101,-929.9009390000001,204000,1464.513719
102,-1117.646069,206000,1479.998353
103,-902.1052589999999,208000,1496.0243990000001
104,-1654.8068,210000,1510.069767
105,-1617.224938,212000,1524.11171
106,-1172.750348,214000,1538.069792
107,-1685.982782,216000,1552.341771
108,-1371.185569,218000,1567.765998
109,-1208.508949,220000,1583.474907
110,-1194.6492369999999,222000,1598.455005
111,-1323.780057,224000,1610.797508
112,-1519.34734,226000,1626.862553
113,-1460.493512,228000,1642.2950640000001
114,-889.2420490000001,230000,1657.863619
115,-1533.058241,232000,1674.095351
116,-1261.074576,234000,1690.0636129999998
117,-1089.196097,236000,1704.666187
118,-1631.834765,238000,1720.9571460000002
119,-1214.00522,240000,1736.42645
120,-1092.9099820000001,242000,1752.651273
121,-489.233332,244000,1765.5887899999998
122,-1162.42002,246000,1779.704966
123,-954.854059,248000,1795.603475
124,-1068.568271,250000,1810.327905
125,-817.369607,252000,1824.343774
126,-1005.6432199999999,254000,1838.3101559999998
127,-1360.267732,256000,1852.204634
128,-711.837121,258000,1866.0219339999999
129,-849.687275,260000,1879.8507940000002
130,-1614.727914,262000,1893.6832370000002
131,-1388.5810390000001,264000,1907.522112
132,-1096.192452,266000,1921.484479
133,-1560.857212,268000,1935.360889
134,-1231.982585,270000,1949.3308960000002
135,-1145.059588,272000,1963.380618
136,-1048.121643,274000,1977.401805
137,-1555.087039,276000,1991.4009899999999
138,-852.088483,278000,2005.763188
139,-954.31714,280000,2021.3833079999997
140,-1534.856905,282000,2036.828489
141,-547.874502,284000,2049.626651
142,-661.389599,286000,2061.9436170000004
143,-889.1343210000001,288000,2074.102785
144,-676.3919980000001,290000,2086.306571
145,-509.87474800000007,292000,2098.512228
146,-861.2193699999999,294000,2110.819496
147,-1127.159682,296000,2123.177332
148,-927.868983,298000,2135.428969
149,-1142.142842,300000,2147.823045
150,-998.517947,302000,2160.112
151,-1075.553868,304000,2172.399975
152,-877.6722560000001,306000,2184.7051469999997
153,-1182.505998,308000,2196.980804
154,-1127.282696,310000,2209.1818949999997
155,-1023.115057,312000,2221.307878
156,-810.592358,314000,2233.534619
157,-653.7522769999999,316000,2245.805327
158,-392.19739599999997,318000,2257.999704
159,-717.050874,320000,2271.7457329999997
160,-793.9697769999999,322000,2283.967711
161,-1230.5631779999999,324000,2296.203626
162,-1200.955145,326000,2308.387059
163,-986.6310289999999,328000,2320.5750780000003
164,-989.773158,330000,2332.9286
165,-1140.844427,332000,2345.173932
166,-822.15993,334000,2357.4954390000003
167,-777.9678150000001,336000,2369.717752
168,-904.511502,338000,2381.98457
169,-838.248962,340000,2394.295165
170,-507.92013899999995,342000,2406.44535
171,-899.543907,344000,2418.7218390000003
172,-799.0386599999999,346000,2430.92668
173,-897.343864,348000,2443.0747890000002
174,-461.167314,350000,2455.264114
