,r,l,t
0,-1690.101534,2000,19.011948999999998
1,-1791.9480039999999,4000,35.469436
2,-1276.789581,6000,49.229785
3,-1599.883734,8000,64.72496899999999
4,-1785.5066379999998,10000,81.348237
5,-1699.2323149999997,12000,96.275812
6,-1579.588224,14000,110.440405
7,-1631.408358,16000,124.25223100000001
8,-1764.338204,18000,138.521629
9,-1716.753314,20000,152.81938200000002
10,-1733.0022179999999,22000,167.099226
11,-1593.372917,24000,181.020969
12,-1690.306677,26000,194.76361200000002
13,-1663.543157,28000,209.641487
14,-1848.264298,30000,224.699983
15,-1639.4529619999998,32000,239.581556
16,-1517.2577820000001,34000,254.72446800000003
17,-1703.3793899999998,36000,269.787709
18,-1601.499977,38000,284.87867400000005
19,-1394.5423759999999,40000,299.913171
20,-1478.857469,42000,314.999078
21,-1649.022448,44000,330.19191
22,-1724.921247,46000,345.650431
23,-1275.814608,48000,361.182247
24,-1514.200353,50000,378.440869
25,-1594.072279,52000,393.22851
26,-1164.777662,54000,407.626602
27,-1435.462921,56000,426.069509
28,-1403.636733,58000,441.515245
29,-1575.092326,60000,456.649308
30,-1290.703684,62000,471.55515599999995
31,-1630.1166460000002,64000,486.58140099999997
32,-1551.824572,66000,502.420941
33,-786.909896,68000,517.499185
34,-1229.351243,70000,537.571419
35,-712.362489,72000,555.5076740000001
36,-1555.930691,74000,572.4899839999999
37,-1218.594906,76000,587.5218
38,-746.595169,78000,602.752664
39,-822.755784,80000,618.0419509999999
40,-1514.8735060000001,82000,633.298857
41,-927.4810859999999,84000,648.765607
42,-1491.1072869999998,86000,665.770432
43,-683.6578860000001,88000,683.163616
44,-659.0957,90000,700.839137
45,-752.894281,92000,718.195289
46,-640.5448389999999,94000,733.367212
47,-1630.184358,96000,750.322276
48,-682.790838,98000,765.803681
49,-1609.040319,100000,783.619638
50,-700.253657,102000,800.043211
51,-1617.560248,104000,815.5144230000001
52,-1178.084607,106000,830.4910980000001
53,-787.4277940000001,108000,846.40496
54,-1594.734476,110000,861.0173609999999
55,-877.486258,112000,876.086524
56,-1144.848023,114000,890.886142
57,-1455.744268,116000,905.803131
58,-1061.354857,118000,920.6138619999999
59,-547.417357,120000,935.9181699999999
60,-1076.501884,122000,952.2084800000001
61,-953.843516,124000,968.634231
62,-981.329863,126000,985.849016
63,-726.239021,128000,1001.0122859999999
64,-1070.336331,130000,1015.6079179999999
65,-1305.6450519999999,132000,1030.1950279999999
66,-1106.7737869999999,134000,1045.452045
67,-1087.739548,136000,1059.740401
68,-1210.64929,138000,1074.0869089999999
69,-1115.8687300000001,140000,1088.38422
70,-1159.897021,142000,1103.214306
71,-1425.7872029999999,144000,1117.639768
72,-1059.765525,146000,1132.08488
73,-815.054625,148000,1146.493516
74,-681.66471,150000,1160.8186210000001
75,-1535.7148109999998,152000,1175.249279
76,-1348.136004,154000,1189.554996
