,r,l,t
0,-1714.366352,2000,11.949144
1,-1494.597736,4000,24.27111
2,-1093.064537,6000,35.30488
3,-1679.4306329999997,8000,46.234146
4,-800.174216,10000,57.23064599999999
5,-1223.9934119999998,12000,68.48795
6,-1197.587014,14000,78.534274
7,-1085.579012,16000,88.568603
8,-1153.499768,18000,98.858521
9,-1366.046924,20000,108.99566000000002
10,-1151.505693,22000,119.08044199999999
11,-971.5818609999999,24000,129.129413
12,-672.742078,26000,139.182423
13,-926.722634,28000,150.493374
14,-652.937022,30000,160.541848
15,-1351.277032,32000,171.844682
16,-1145.385378,34000,181.932946
17,-792.958634,36000,192.021431
18,-1151.226661,38000,202.133745
19,-1024.303336,40000,212.23430499999998
20,-1123.003757,42000,222.294234
21,-1286.369359,44000,232.371694
22,-916.7815400000001,46000,242.462581
23,-864.419114,48000,252.55344300000002
24,-679.689479,50000,262.669911
25,-801.940251,52000,272.749931
26,-804.090384,54000,282.873971
27,-729.305667,56000,293.00784500000003
28,-711.4051969999999,58000,303.115065
29,-756.060534,60000,313.192819
30,-793.848626,62000,323.288318
31,-967.2297369999999,64000,333.403667
32,-941.4976869999999,66000,343.555967
33,-686.160566,68000,353.683723
34,-656.570317,70000,363.850513
35,-732.605411,72000,373.948391
36,-685.567119,74000,384.060653
37,-729.992208,76000,394.159044
38,-787.291503,78000,404.277061
39,-766.661739,80000,414.41281000000004
40,-715.319633,82000,424.514159
41,-815.210509,84000,434.59354299999995
42,-947.97963,86000,444.704244
43,-1053.531657,88000,454.86522
44,-1160.273615,90000,464.990433
45,-704.716259,92000,475.14187699999997
46,-1533.531853,94000,485.29623899999996
47,-704.458754,96000,495.45523899999995
48,-1292.728827,98000,505.578413
49,-1353.097601,100000,515.754411
50,-1231.762183,102000,525.935837
51,-1201.982012,104000,536.207941
52,-752.5840139999999,106000,546.3696160000001
53,-1266.651366,108000,556.500007
54,-795.3063179999999,110000,566.605149
55,-1018.641952,112000,576.757846
56,-1591.287726,114000,586.939207
57,-571.671191,116000,597.1423580000001
58,-779.253198,118000,608.752584
59,-752.673806,120000,618.999347
60,-750.4443160000001,122000,629.269983
61,-873.7405650000001,124000,639.5076889999999
62,-1190.135353,126000,649.746625
63,-1076.9526939999998,128000,659.902892
64,-1392.746765,130000,670.017541
65,-1271.9491050000001,132000,680.2111769999999
66,-738.9871820000001,134000,690.358343
67,-771.856187,136000,700.556496
68,-633.9281950000001,138000,710.715411
69,-725.587468,140000,720.843972
70,-660.2151190000001,142000,730.987775
71,-843.296366,144000,741.1517610000001
72,-866.3618869999999,146000,751.266429
73,-409.516835,148000,761.4070849999999
74,-1048.826321,150000,772.800483
75,-779.28634,152000,782.9765769999999
76,-503.103029,154000,793.131484
