,r,l,t
0,-1542.822057,2000,16.554727
1,-1624.673322,4000,32.817484
2,-1738.035975,6000,45.031664
3,-1096.664307,8000,57.700022
4,-903.3361560000001,10000,70.66049699999999
5,-1169.076196,12000,85.277326
6,-1502.578541,14000,95.373036
7,-1524.8980279999998,16000,105.660735
8,-1600.254065,18000,115.75326399999999
9,-1627.120738,20000,125.48678600000001
10,-1134.8801529999998,22000,135.21363
11,-1233.8899529999999,24000,145.205754
12,-1275.3584019999998,26000,155.24178799999999
13,-952.8554130000001,28000,164.90034599999998
14,-1536.180767,30000,174.886884
15,-1388.141014,32000,184.516062
16,-999.770102,34000,194.18361299999998
17,-1554.582242,36000,203.889859
18,-1276.594297,38000,213.599139
19,-1542.8966300000002,40000,223.251316
20,-1391.331331,42000,233.00465099999997
21,-1122.5886289999999,44000,242.68915
22,-1142.358244,46000,252.496419
23,-1487.050002,48000,262.262622
24,-995.0909730000001,50000,271.959053
25,-825.762908,52000,281.63325299999997
26,-892.5209130000001,54000,292.905815
27,-1128.7800730000001,56000,302.794493
28,-1149.63129,58000,315.59139300000004
29,-1529.555611,60000,325.82726099999996
30,-809.573213,62000,335.949287
31,-879.0559509999999,64000,347.512975
32,-1008.0058529999999,66000,357.51468900000003
33,-925.925147,68000,367.511735
34,-1065.8037160000001,70000,377.49714900000004
35,-1213.980945,72000,387.502088
36,-1486.593672,74000,397.476744
37,-1091.44624,76000,407.440045
38,-1259.064466,78000,417.36222999999995
39,-643.716967,80000,427.295246
40,-692.857806,82000,438.661786
41,-691.503564,84000,448.887578
42,-1127.791651,86000,458.92768600000005
43,-1104.772492,88000,468.878525
44,-821.401134,90000,478.813757
45,-978.0715359999999,92000,488.76925199999994
46,-1124.667452,94000,498.766207
47,-1107.102184,96000,508.779185
48,-1447.5194099999999,98000,518.779908
49,-967.232493,100000,528.801899
50,-1126.681231,102000,538.7611099999999
51,-1250.340064,104000,548.75873
52,-1359.148363,106000,558.743925
53,-834.948174,108000,568.721002
54,-1666.817009,110000,578.689162
55,-1004.400752,112000,588.658666
56,-1174.784046,114000,598.604918
57,-704.082425,116000,608.589385
58,-865.212521,118000,618.568878
59,-1258.625281,120000,628.51409
60,-1033.237663,122000,638.4301389999999
61,-937.5324810000001,124000,648.448684
