,r,l,t
0,-1633.4853050000002,2000,15.982917
1,-1675.66055,4000,30.185903000000003
2,-1562.4581759999999,6000,41.702121999999996
3,-1385.894554,8000,53.376155000000004
4,-1378.936899,10000,64.390348
5,-1380.1746679999999,12000,75.317265
6,-1694.776547,14000,85.104386
7,-1660.801819,16000,95.055456
8,-1530.383292,18000,106.771829
9,-1269.918871,20000,117.696152
10,-1210.992229,22000,131.491775
11,-1699.8550890000001,24000,144.037318
12,-1671.845438,26000,156.30908200000002
13,-759.900085,28000,169.400901
14,-1634.7485900000001,30000,183.55381
15,-1676.4742210000002,32000,197.60284099999998
16,-1084.352061,34000,212.50788300000002
17,-1497.525083,36000,225.296098
18,-1616.354179,38000,237.741439
19,-1720.363981,40000,249.52542000000003
20,-1721.200404,42000,261.766296
21,-1317.8355490000001,44000,273.52353700000003
22,-1658.271225,46000,284.72276600000004
23,-1682.416264,48000,297.361309
24,-1425.504567,50000,309.99733100000003
25,-1680.656453,52000,320.760469
26,-1813.6766530000002,54000,333.114528
27,-1746.369391,56000,344.069806
28,-1625.827959,58000,356.671717
29,-1756.1869359999998,60000,367.352292
30,-1442.906825,62000,379.17398399999996
31,-1648.146514,64000,391.49535699999996
32,-1645.873603,66000,403.843099
33,-1379.59336,68000,415.090213
34,-1436.427719,70000,427.454867
35,-1146.544003,72000,439.254495
36,-1678.324846,74000,450.37827599999997
37,-1529.1467699999998,76000,461.59362400000003
38,-1761.2810350000002,78000,473.46128600000003
39,-1702.2034649999998,80000,485.449306
40,-1577.355087,82000,496.429344
41,-1710.751334,84000,507.01991399999997
42,-1411.084507,86000,518.567327
43,-1663.182444,88000,530.23555
44,-1663.15431,90000,541.9465309999999
45,-1708.6649300000001,92000,552.9153259999999
46,-1563.139357,94000,564.822853
47,-1391.862586,96000,575.773495
48,-1488.478375,98000,585.835572
49,-1511.091897,100000,597.3061230000001
50,-1519.957375,102000,608.971628
51,-1536.858031,104000,620.581746
52,-1496.068767,106000,632.153113
53,-1532.20263,108000,642.667274
54,-1198.245036,110000,653.350163
55,-1433.8009789999999,112000,663.3234
56,-1683.3075629999998,114000,673.803167
57,-1002.4202939999999,116000,683.980333
58,-942.537212,118000,695.477869
59,-643.110052,120000,706.89086
60,-1319.5885130000001,122000,719.059051
61,-1715.1829539999999,124000,729.714232
62,-1529.600117,126000,739.867677
63,-950.996366,128000,750.577866
64,-1074.6427130000002,130000,761.161706
65,-1215.459423,132000,772.506275
66,-1417.142636,134000,785.788534
67,-1675.0959460000001,136000,797.61497
68,-1486.124544,138000,809.1857349999999
69,-1536.271148,140000,822.5756709999999
70,-1681.003561,142000,835.416832
71,-1636.6578,144000,848.4857509999999
72,-1791.443861,146000,861.6476949999999
73,-1712.071343,148000,875.134183
