,r,l,t
0,-1790.8472780000002,2000,14.04969
1,-1777.0902620000002,4000,27.077583
2,-1712.1879059999999,6000,39.018183
3,-1665.077948,8000,50.403115
4,-1653.0055710000001,10000,61.72006700000001
5,-1462.903409,12000,73.132522
6,-1718.8094,14000,84.669038
7,-1733.9543859999999,16000,94.533137
8,-1507.8536960000001,18000,104.538494
9,-1405.745005,20000,114.45554399999999
10,-1621.3003039999999,22000,125.747105
11,-1505.651501,24000,135.669814
12,-1468.8494759999999,26000,145.622863
13,-1633.5859779999998,28000,155.526352
14,-1533.988613,30000,165.414651
15,-1346.766188,32000,175.31218700000002
16,-1594.785016,34000,186.62279099999998
17,-1548.604031,36000,196.55833700000002
18,-1456.944707,38000,206.54224299999998
19,-1413.6966029999999,40000,216.48102200000002
20,-1080.92545,42000,226.40488599999998
21,-1240.981934,44000,237.706523
22,-1103.425295,46000,247.76266600000002
23,-1571.002326,48000,257.721318
24,-1599.8736689999998,50000,267.677991
25,-1215.215968,52000,277.669898
26,-1426.096322,54000,287.654878
27,-1572.747512,56000,297.598575
28,-1517.687547,58000,307.59443999999996
29,-1297.3493939999998,60000,317.625108
30,-1405.507321,62000,327.648034
31,-1506.812254,64000,337.614373
32,-1220.679066,66000,347.617498
33,-1399.55015,68000,357.57274
34,-1519.580648,70000,367.543402
35,-1592.061199,72000,377.51617200000004
36,-1563.049949,74000,387.548186
37,-1398.501795,76000,397.546054
38,-1431.1466710000002,78000,407.54202200000003
39,-1364.51358,80000,417.543815
40,-1477.514107,82000,427.538695
41,-1569.90788,84000,437.541621
42,-1196.469117,86000,447.557428
43,-1427.058683,88000,457.67934699999995
44,-1403.001828,90000,467.72256699999997
45,-1141.693446,92000,477.735453
46,-1235.230895,94000,487.80257400000005
47,-1324.099921,96000,498.01877300000007
48,-1328.990177,98000,508.300391
49,-1367.293022,100000,518.7587269999999
50,-1359.155882,102000,528.951179
51,-1326.92404,104000,539.870803
52,-1319.09301,106000,549.998948
