,r,l,t
0,-1354.407064,1000,8.134774
1,-1441.668493,2000,17.537879999999998
2,-1139.904661,3000,24.10069
3,-1301.6809460000002,4000,31.842342
4,-1216.726497,5000,38.131122
5,-748.4961059999999,6000,43.575846000000006
6,-1371.809725,7000,50.081378
7,-885.72381,8000,55.342665000000004
8,-963.648704,9000,60.82891600000001
9,-1011.582217,10000,66.103075
10,-1151.0376410000001,11000,72.39000899999999
11,-868.2878199999999,12000,79.007766
12,-853.997351,13000,85.157228
13,-989.712921,14000,91.061598
14,-1233.716534,15000,96.430788
15,-1383.938442,16000,101.887834
16,-1430.926267,17000,107.409203
17,-1542.564469,18000,112.841301
18,-1251.2001300000002,19000,118.297904
19,-1643.342426,20000,123.578556
20,-1646.425154,21000,129.02866
21,-1655.782784,22000,135.014937
22,-1758.333319,23000,141.530318
23,-1008.061991,24000,147.625904
24,-1184.703377,25000,153.643494
25,-1785.069448,26000,159.376608
26,-1428.359104,27000,165.427053
27,-1377.71493,28000,171.217797
28,-756.405862,29000,176.87278500000002
29,-989.297428,30000,182.908431
30,-1072.603722,31000,189.372325
31,-1484.39849,32000,195.037668
32,-1419.783914,33000,200.885806
33,-1641.158169,34000,206.59915
34,-1630.7463109999999,35000,212.53984100000002
35,-1565.459468,36000,218.46353
36,-1394.9125960000001,37000,224.354939
37,-1483.267288,38000,230.215444
38,-1299.278238,39000,236.06111099999998
39,-1286.856463,40000,242.11322400000003
40,-1167.907383,41000,249.4563
41,-1123.9539539999998,42000,255.479858
42,-823.419932,43000,261.498855
43,-1171.693718,44000,267.389068
44,-1141.90022,45000,273.414035
45,-1079.4724039999999,46000,279.44960699999996
46,-1304.048758,47000,285.530475
47,-1352.376695,48000,291.832339
48,-1047.827125,49000,297.207831
49,-1254.26921,50000,302.56894700000004
50,-854.492854,51000,308.368108
51,-1272.07814,52000,314.774053
52,-1539.4661210000002,53000,321.141459
53,-1484.8478220000002,54000,328.57502
54,-1443.97359,55000,336.579978
55,-1423.093517,56000,344.377359
56,-1451.817788,57000,350.972287
57,-1290.1629679999999,58000,356.776798
58,-1006.0270830000001,59000,363.240742
59,-1379.377584,60000,369.44572400000004
60,-1635.079359,61000,375.447054
61,-1468.285443,62000,381.734581
62,-959.416997,63000,388.33930899999996
63,-1556.942678,64000,395.117548
64,-1575.832467,65000,401.964586
65,-1231.697242,66000,408.358655
66,-1467.381159,67000,415.371345
67,-1247.239841,68000,420.795879
68,-1378.233043,69000,427.034447
69,-1463.91399,70000,433.47580700000003
70,-1150.523547,71000,439.698257
71,-1284.235999,72000,446.07559299999997
72,-1115.4029289999999,73000,453.022599
73,-1227.7911980000001,74000,459.354113
74,-1031.628545,75000,465.40750499999996
75,-786.397104,76000,471.53358499999996
76,-1104.9842119999998,77000,477.744569
77,-1628.8504050000001,78000,483.872751
78,-1696.162316,79000,490.092103
79,-1040.053431,80000,495.91552699999994
80,-1088.981198,81000,501.910288
81,-919.6542400000001,82000,508.013201
82,-1216.412842,83000,513.860047
83,-1231.126076,84000,519.842871
84,-911.743377,85000,526.064109
85,-883.776845,86000,531.863342
86,-801.146433,87000,538.142242
87,-1332.201932,88000,544.46518
88,-1000.984266,89000,550.243039
89,-835.327872,90000,556.000535
90,-1074.813365,91000,562.110634
91,-878.1448140000001,92000,568.454064
92,-892.443288,93000,574.485231
93,-959.264427,94000,580.123769
94,-934.446764,95000,585.689675
95,-1031.9719300000002,96000,591.349679
96,-822.825067,97000,597.509503
97,-1197.403717,98000,603.787437
98,-1105.776493,99000,609.726007
99,-1337.9284089999999,100000,615.81149
100,-1025.552859,101000,621.905618
101,-846.5308769999999,102000,628.3165389999999
102,-730.494692,103000,634.485487
103,-756.3956019999999,104000,641.428329
104,-734.9716490000001,105000,647.3733030000001
105,-598.511814,106000,653.6541490000001
106,-1118.459386,107000,661.315596
107,-846.5990619999999,108000,667.282874
108,-1111.756049,109000,672.958459
109,-1039.228713,110000,678.586154
110,-1105.417269,111000,684.255817
111,-1234.3475740000001,112000,690.603569
112,-1057.8327359999998,113000,697.639715
113,-1094.034028,114000,704.390873
114,-1086.622066,115000,710.622349
115,-920.433515,116000,716.789582
116,-1015.9904130000001,117000,723.03427
117,-1033.838485,118000,729.1710419999999
118,-1009.1403439999999,119000,735.385176
119,-796.0642330000001,120000,741.408368
120,-882.1991830000001,121000,747.695945
121,-915.441518,122000,753.7586660000001
122,-1671.9258710000001,123000,759.646963
123,-858.4982460000001,124000,765.365195
124,-803.717254,125000,771.041125
125,-792.708951,126000,777.0664469999999
126,-809.585644,127000,783.423442
127,-918.515132,128000,789.637367
128,-698.3535320000001,129000,795.549868
129,-868.8391949999999,130000,801.351845
130,-908.998016,131000,807.780486
131,-850.882881,132000,813.716426
132,-607.844915,133000,819.594594
133,-806.117933,134000,825.893575
134,-850.839025,135000,832.210704
135,-899.2004720000001,136000,838.563312
136,-778.9582379999999,137000,844.9509410000001
137,-863.407167,138000,851.2370380000001
138,-1272.076766,139000,857.9886640000001
139,-1166.302764,140000,863.942048
140,-1581.406508,141000,870.3973589999999
141,-970.805443,142000,876.4266980000001
142,-986.267455,143000,882.5255300000001
143,-846.4616679999999,144000,888.366541
144,-831.9421570000001,145000,894.155677
145,-845.7218369999999,146000,900.3936449999999
146,-1287.708748,147000,906.0557380000001
147,-1072.712016,148000,912.546999
148,-890.5062849999999,149000,918.7022820000001
149,-1267.6184,150000,924.826876
150,-1003.124088,151000,930.9707470000001
151,-989.4219109999999,152000,937.146179
152,-948.3946300000001,153000,943.9303470000001
153,-1248.771755,154000,950.2324070000001
154,-1616.105634,155000,956.418273
155,-1024.964601,156000,962.8016220000001
156,-980.1442089999999,157000,969.113547
157,-1042.309263,158000,975.2642199999999
158,-1179.525049,159000,981.575992
159,-1011.6643849999999,160000,988.037232
160,-1485.400161,161000,994.344208
161,-1721.2364579999999,162000,1000.680918
162,-1764.577345,163000,1007.115973
163,-889.781433,164000,1012.7162529999999
164,-819.361101,165000,1018.132656
165,-1291.49151,166000,1023.824284
166,-1552.968642,167000,1030.364585
167,-859.987494,168000,1036.477499
168,-942.2575699999999,169000,1042.376005
169,-782.216768,170000,1048.593518
