,r,l,t
0,-1735.745266,2000,13.794557000000001
1,-1544.496675,4000,26.910556
2,-1532.921642,6000,38.429722999999996
3,-1427.921815,8000,49.693063
4,-1465.4639140000002,10000,60.939083
5,-1412.9813570000001,12000,70.66927199999999
6,-1545.688367,14000,81.940451
7,-1606.113003,16000,91.740176
8,-1497.586454,18000,101.39291300000001
9,-1355.038332,20000,111.07566000000001
10,-1647.890715,22000,122.141943
11,-1451.399652,24000,132.06696200000002
12,-1348.285716,26000,142.071447
13,-1615.723142,28000,153.22222
14,-1525.319164,30000,163.200998
15,-1409.4321519999999,32000,173.07495
16,-1558.291166,34000,182.794528
17,-1489.216852,36000,192.633241
18,-1500.359421,38000,202.538977
19,-1572.221215,40000,212.30301400000002
20,-1376.006465,42000,222.198456
21,-1472.37024,44000,231.916915
22,-1448.906042,46000,241.61917799999998
23,-1577.040455,48000,251.33402599999997
24,-1484.04483,50000,261.01088500000003
25,-1579.747179,52000,270.73058399999996
26,-1610.056647,54000,280.577682
27,-1529.912212,56000,290.252801
28,-1441.0834929999999,58000,299.93109100000004
29,-1551.63438,60000,309.609794
30,-1647.325789,62000,319.31879100000003
31,-1508.581063,64000,329.019021
32,-1488.673489,66000,338.696639
33,-1512.9541609999999,68000,348.36692400000004
34,-1645.954558,70000,358.077889
35,-1511.793527,72000,367.73891499999996
36,-1464.3742220000001,74000,377.47609500000004
37,-1343.890908,76000,387.164788
38,-1454.960405,78000,398.375514
39,-1357.917469,80000,408.130552
40,-1469.868495,82000,417.869029
41,-1436.650774,84000,427.57350099999996
42,-1445.406574,86000,437.289109
43,-1509.366796,88000,447.037078
44,-1412.333833,90000,456.75571900000006
45,-1512.245095,92000,466.44086799999997
46,-1540.263156,94000,476.166041
47,-1552.023791,96000,485.85634000000005
48,-1576.843631,98000,495.55727800000005
49,-1449.568368,100000,505.26114
50,-1441.614066,102000,514.969117
51,-980.62634,104000,524.674884
52,-1532.312165,106000,535.777485
53,-1385.152808,108000,545.66804
54,-1347.521051,110000,555.39862
55,-1529.7219380000001,112000,565.120295
56,-1434.695017,114000,574.842517
57,-1696.6924809999998,116000,584.5493610000001
58,-1343.60265,118000,594.2927900000001
59,-1628.406254,120000,603.9949889999999
60,-1425.1013679999999,122000,613.71943
61,-1451.238666,124000,623.458444
62,-1324.785666,126000,633.259117
63,-1423.072052,128000,642.968504
64,-1508.192373,130000,652.666245
65,-1474.2879369999998,132000,662.333578
66,-1407.71306,134000,672.013105
67,-1354.093929,136000,681.730189
68,-1219.2480189999999,138000,691.439705
69,-1237.5850460000001,140000,701.161431
70,-1207.2456619999998,142000,710.886615
71,-1184.672825,144000,720.599334
72,-1312.3064359999998,146000,730.314695
73,-1283.01795,148000,740.015717
74,-1213.379962,150000,749.7415110000001
75,-1385.8505380000001,152000,759.457397
76,-1482.5173619999998,154000,769.742262
77,-1389.45115,156000,779.492087
78,-1461.995019,158000,789.294343
79,-1476.4670640000002,160000,799.093221
80,-1490.501876,162000,808.831235
81,-1474.127784,164000,818.633812
82,-1344.013393,166000,828.5464099999999
83,-1429.66285,168000,838.8935849999999
84,-1356.360415,170000,854.7330910000001
85,-1332.53591,172000,867.4478539999999
86,-1379.838146,174000,880.298891
87,-1190.469416,176000,892.9514939999999
88,-1177.1222050000001,178000,907.8809269999999
89,-1285.96959,180000,923.293072
90,-1395.902193,182000,941.854382
91,-1504.027028,184000,960.708149
92,-1275.997524,186000,977.230799
93,-1200.4024769999999,188000,994.155215
94,-1239.682635,190000,1010.23716
95,-1301.162795,192000,1029.73745
96,-1254.067036,194000,1046.9688119999998
97,-1143.686395,196000,1063.868572
98,-1191.760315,198000,1080.462068
99,-1144.147554,200000,1097.290403
100,-1226.269634,202000,1114.215823
101,-1468.724797,204000,1131.568383
102,-1263.563026,206000,1148.358115
103,-1183.1068539999999,208000,1165.316204
104,-1345.537432,210000,1184.426181
105,-1124.88009,212000,1201.173393
106,-1367.791593,214000,1218.127692
107,-1053.185898,216000,1235.170776
108,-1129.151955,218000,1252.077591
109,-1122.452354,220000,1268.676159
110,-1482.683015,222000,1285.502539
111,-1128.311891,224000,1302.294149
112,-1269.7843699999999,226000,1319.274207
113,-1063.498603,228000,1336.6113300000002
114,-1346.9057380000002,230000,1353.3778929999999
115,-1190.588027,232000,1370.1245
116,-1122.865626,234000,1386.9282289999999
117,-1479.2494960000001,236000,1403.661139
118,-1676.373248,238000,1420.548102
119,-1286.364807,240000,1437.2747869999998
120,-1501.797006,242000,1454.156571
121,-1599.109591,244000,1471.2165
122,-1359.1242300000001,246000,1487.915655
123,-1625.192065,248000,1504.674375
124,-1415.9199529999999,250000,1521.6453980000001
125,-1664.778033,252000,1538.0704560000001
126,-1694.7777190000002,254000,1554.752757
127,-1341.034608,256000,1571.740073
128,-1472.898353,258000,1588.281175
129,-1501.984259,260000,1605.3651289999998
130,-1571.581985,262000,1622.885385
131,-1571.473385,264000,1639.7097119999999
132,-1273.6658439999999,266000,1656.875366
133,-1276.118441,268000,1673.454034
134,-1004.023527,270000,1690.2841329999999
135,-1317.33995,272000,1706.901532
136,-1027.7293960000002,274000,1723.670398
137,-975.4769029999999,276000,1740.6090149999998
138,-1363.454354,278000,1760.269838
139,-983.591369,280000,1777.324304
140,-989.34147,282000,1794.176437
141,-941.4814759999999,284000,1811.1130010000002
142,-1305.429815,286000,1830.479966
143,-1387.7199890000002,288000,1847.5970320000001
144,-1508.85846,290000,1864.4803920000002
145,-1520.837123,292000,1881.3965699999999
146,-1723.7559170000002,294000,1898.4495559999998
147,-1233.129844,296000,1915.6286289999998
148,-1759.783277,298000,1932.5689960000002
149,-1666.403866,300000,1949.2112719999998
150,-1202.166194,302000,1965.934675
151,-1026.017655,304000,1982.6929870000001
152,-1020.0576580000001,306000,1999.489347
153,-878.1312800000001,308000,2016.5724739999998
154,-1228.788762,310000,2036.1398600000002
155,-1065.101139,312000,2053.6268410000002
156,-815.62446,314000,2070.728354
157,-962.4524560000001,316000,2090.159603
158,-1563.893529,318000,2107.61854
159,-1759.709452,320000,2124.648159
160,-1449.0336929999999,322000,2143.761332
161,-751.410472,324000,2160.237921
162,-748.4563,326000,2179.6787489999997
163,-963.1537289999999,328000,2198.996968
164,-911.401198,330000,2216.2074239999997
165,-1578.6133550000002,332000,2233.461906
