,r,l,t
0,-1711.6652579999998,2000,14.008095999999998
1,-1356.657727,4000,30.709952
2,-1591.087725,6000,42.913851
3,-1422.152081,8000,53.739986
4,-1575.144489,10000,64.966988
5,-1057.688981,12000,75.843305
6,-1296.783515,14000,87.738129
7,-838.5364940000001,16000,98.571046
8,-1674.1867320000001,18000,110.834579
9,-919.999342,20000,121.411898
10,-907.4417550000001,22000,132.371102
11,-916.545537,24000,143.339581
12,-875.2821119999999,26000,153.866962
13,-881.310782,28000,164.76248700000002
14,-1074.150929,30000,175.64173799999998
15,-885.0238199999999,32000,186.28422700000002
16,-511.30335599999995,34000,197.149806
17,-876.365961,36000,209.240691
18,-1101.817433,38000,219.891491
19,-1136.8950929999999,40000,230.376396
20,-670.932304,42000,241.29288799999998
21,-1083.746016,44000,252.34192599999997
22,-1015.960694,46000,263.43866299999996
23,-1289.696735,48000,274.4548
24,-1246.7074220000002,50000,286.904091
25,-1137.521677,52000,298.66497599999997
26,-1163.882998,54000,309.69598199999996
27,-798.6851280000001,56000,319.416436
28,-899.154276,58000,331.10609500000004
29,-777.108884,60000,344.436063
30,-766.683257,62000,356.081113
31,-872.2283140000001,64000,369.583614
32,-734.582367,66000,380.199504
33,-595.500779,68000,390.241284
34,-695.585188,70000,401.922007
35,-784.42904,72000,412.024904
36,-1123.7534640000001,74000,423.305884
37,-957.709519,76000,434.68907800000005
38,-1179.063499,78000,445.998759
39,-1168.141766,80000,456.21556200000003
40,-683.2290690000001,82000,466.692439
41,-873.121781,84000,480.71486699999997
42,-747.768918,86000,494.62477300000006
43,-824.958854,88000,505.04585999999995
44,-753.376542,90000,515.286008
45,-845.8615380000001,92000,526.1957070000001
46,-1135.673811,94000,536.864137
47,-881.200836,96000,548.012539
48,-824.447602,98000,559.688545
49,-1328.49696,100000,572.854779
50,-1681.771334,102000,585.225072
51,-851.341856,104000,596.5021389999999
52,-1414.27412,106000,608.738943
53,-1230.563436,108000,622.1918459999999
54,-1344.067692,110000,634.821424
55,-1344.704244,112000,645.8751599999999
56,-883.608425,114000,657.365243
57,-1270.7459119999999,116000,668.6284820000001
58,-806.2955929999999,118000,680.443227
59,-990.755697,120000,691.005307
60,-884.441336,122000,701.107554
61,-864.6697859999999,124000,711.725967
62,-1204.3501410000001,126000,721.9745780000001
63,-1546.2962949999999,128000,732.172243
64,-1327.7148730000001,130000,745.181966
65,-756.113354,132000,755.977061
66,-1026.484349,134000,766.375083
67,-1315.007648,136000,777.242351
68,-874.2861630000001,138000,788.381846
69,-1283.615386,140000,799.560978
70,-1072.25755,142000,811.062972
71,-1233.872755,144000,822.89811
72,-908.53705,146000,835.071587
73,-1449.996929,148000,846.3486130000001
74,-656.954806,150000,857.4894929999999
75,-993.506401,152000,868.280036
76,-933.521853,154000,878.9114400000001
77,-1024.771124,156000,889.540782
78,-958.719825,158000,900.630658
79,-733.749741,160000,912.156863
80,-886.143958,162000,923.1966560000001
81,-672.368363,164000,933.8906109999999
82,-737.2324269999999,166000,945.636609
83,-820.412562,168000,956.8863699999999
84,-845.9931119999999,170000,967.9114310000001
85,-1064.149247,172000,978.946385
86,-589.547956,174000,990.4361859999999
87,-693.660707,176000,1002.1268880000001
88,-556.623027,178000,1013.3441429999999
89,-878.5099949999999,180000,1026.081241
90,-890.0918640000001,182000,1037.9834130000002
91,-746.1498019999999,184000,1048.745014
92,-718.783017,186000,1059.330631
93,-796.6976070000001,188000,1069.689279
94,-711.4677379999999,190000,1080.67745
95,-781.488863,192000,1091.665894
96,-804.271431,194000,1104.273269
97,-775.374853,196000,1115.0795039999998
98,-896.188242,198000,1126.576854
99,-963.446223,200000,1138.3330039999998
100,-1038.274878,202000,1149.799958
101,-840.8163490000001,204000,1160.425017
102,-702.3238690000001,206000,1171.040145
103,-1110.447893,208000,1180.98468
104,-660.235482,210000,1191.217958
105,-482.686709,212000,1201.79338
106,-1458.389711,214000,1213.075505
107,-585.0758030000001,216000,1223.128215
108,-519.192768,218000,1233.789714
109,-1281.723561,220000,1243.7980289999998
110,-717.603677,222000,1253.772311
111,-1526.786537,224000,1265.180128
112,-1603.1020130000002,226000,1275.8235849999999
113,-907.2875,228000,1286.668541
114,-821.151339,230000,1298.375835
115,-1011.697801,232000,1309.327261
116,-442.275871,234000,1322.20526
117,-892.789133,236000,1334.579007
118,-780.23185,238000,1345.239871
119,-553.97322,240000,1356.9923919999999
120,-373.245162,242000,1368.409952
121,-754.7875889999999,244000,1381.079259
122,-688.132428,246000,1392.670087
123,-918.385792,248000,1403.9000640000002
124,-522.744149,250000,1415.022363
125,-592.50649,252000,1427.5732970000001
126,-1119.275394,254000,1440.371781
127,-929.619302,256000,1451.420818
128,-718.8703370000001,258000,1462.356077
129,-1052.288936,260000,1474.335286
130,-991.176333,262000,1485.230744
131,-742.82371,264000,1496.8780869999998
132,-487.38722699999994,266000,1509.646384
133,-470.52699900000005,268000,1521.979458
134,-592.576335,270000,1535.5743
135,-1130.39986,272000,1548.44703
136,-1223.812704,274000,1559.477485
137,-489.124678,276000,1570.2134210000002
138,-560.913748,278000,1581.209517
139,-619.571141,280000,1592.344882
140,-555.1174179999999,282000,1603.525941
141,-417.769113,284000,1614.2784869999998
142,-415.576775,286000,1624.917759
143,-722.291202,288000,1635.6286890000001
144,-746.822963,290000,1646.3715220000001
145,-894.199312,292000,1656.799492
146,-490.143794,294000,1667.100058
147,-875.025982,296000,1678.3111010000002
148,-797.43093,298000,1689.5293589999999
149,-863.5058869999999,300000,1701.054487
150,-485.851824,302000,1712.180559
151,-377.075334,304000,1723.3618800000002
152,-393.489863,306000,1734.6779
153,-445.72123,308000,1745.5994460000002
154,-542.519655,310000,1757.105884
155,-632.2854440000001,312000,1768.087264
156,-295.171018,314000,1778.8405899999998
157,-490.28423399999997,316000,1791.526968
158,-543.609513,318000,1803.140682
159,-408.582518,320000,1813.780232
160,-322.957929,322000,1824.487866
161,-524.427499,324000,1836.1438280000002
162,-535.641579,326000,1846.626609
163,-823.7768,328000,1859.4295489999997
164,-1534.82368,330000,1871.3999600000002
165,-872.95878,332000,1882.496744
166,-1429.193726,334000,1893.246159
167,-363.899753,336000,1904.3304440000002
168,-1582.0864589999999,338000,1915.3693660000001
169,-406.213191,340000,1926.213241
170,-1633.150582,342000,1937.433754
171,-1093.846581,344000,1948.488585
172,-325.053148,346000,1959.163597
173,-492.60611500000005,348000,1970.0388710000002
174,-516.215762,350000,1980.923684
175,-876.4176359999999,352000,1991.9134219999999
176,-425.758783,354000,2001.83829
177,-356.039959,356000,2011.699959
178,-1237.734012,358000,2021.7102510000002
179,-390.35789700000004,360000,2031.786691
180,-1175.503959,362000,2042.108213
