,r,l,t
0,-1513.2065220000002,2000,16.552745
1,-1292.1298960000001,4000,30.998084000000002
2,-1361.216831,6000,43.873419
3,-1431.9312109999998,8000,55.379502
4,-1589.466333,10000,66.833399
5,-1680.593163,12000,78.565083
6,-1602.7240869999998,14000,90.022812
7,-1469.52872,16000,101.539458
8,-1373.085973,18000,113.07018000000001
9,-1681.807361,20000,124.696504
10,-1607.131499,22000,136.239366
11,-1591.467651,24000,148.07978500000002
12,-1538.543683,26000,159.533191
13,-1702.068536,28000,170.980436
14,-1737.433222,30000,182.39368100000002
15,-1414.599607,32000,193.751623
16,-1280.255384,34000,205.2827
17,-1643.090439,36000,218.39136200000002
18,-1510.3133599999999,38000,229.866188
19,-1234.094933,40000,241.34654300000003
20,-1383.658823,42000,254.165471
21,-1273.894759,44000,265.708746
22,-1604.9309859999998,46000,277.428068
23,-1658.7130869999999,48000,288.919607
24,-1691.972779,50000,300.41098
25,-1026.5703740000001,52000,312.00071099999997
26,-1174.6399609999999,54000,324.835389
27,-1752.9055030000002,56000,336.62792
28,-1752.2990140000002,58000,348.18215699999996
29,-1354.520473,60000,359.740073
30,-1621.323738,62000,371.269967
31,-1719.490245,64000,382.77520899999996
32,-1711.796628,66000,394.856207
33,-1246.600956,68000,406.45491699999997
34,-1556.744132,70000,418.1703
35,-1369.255261,72000,429.74821799999995
36,-1786.441073,74000,441.28109400000005
37,-1453.860436,76000,452.818318
38,-1457.3385859999999,78000,464.433727
39,-972.413006,80000,476.301651
40,-1665.710375,82000,489.213959
41,-1624.0156980000002,84000,500.799879
42,-1695.9328649999998,86000,512.3597980000001
43,-1668.7231800000002,88000,523.946062
44,-1582.6937599999999,90000,535.683143
45,-1199.1599529999999,92000,547.54727
46,-979.846818,94000,559.373464
47,-1477.118598,96000,571.2622980000001
48,-1799.444498,98000,583.1200719999999
49,-1684.083295,100000,594.971871
50,-786.649616,102000,606.684517
51,-877.881685,104000,619.613988
52,-1436.876739,106000,631.247218
53,-1009.0476789999999,108000,642.872451
54,-1507.345319,110000,654.482869
55,-1384.827753,112000,666.345047
56,-1059.58494,114000,677.962281
57,-1253.627665,116000,689.559701
58,-835.769017,118000,701.190539
59,-1278.273878,120000,712.803183
60,-1413.559918,122000,724.76226
61,-872.318235,124000,736.403156
62,-1091.679829,126000,748.1226379999999
63,-1634.864128,128000,759.832403
64,-1218.205692,130000,771.652433
65,-949.8300869999999,132000,783.8290900000001
66,-1679.2396850000002,134000,795.737073
67,-1801.404022,136000,807.417152
68,-1281.0889029999998,138000,819.1258190000001
69,-1462.328193,140000,830.777521
70,-1675.417396,142000,842.459008
71,-1097.322436,144000,854.4059199999999
72,-1100.943647,146000,866.066756
73,-932.323677,148000,877.679942
74,-821.067288,150000,889.252907
75,-841.492768,152000,901.090693
76,-1453.429066,154000,912.8805140000001
77,-1301.362626,156000,924.2449960000001
78,-1022.623631,158000,935.875329
79,-1520.277255,160000,947.4957509999999
80,-1553.859029,162000,959.122918
81,-1095.446585,164000,970.763158
82,-808.827395,166000,983.345825
83,-1481.399344,168000,995.3678259999999
84,-1643.084394,170000,1007.104024
85,-1103.542119,172000,1018.8448970000001
86,-1100.026288,174000,1030.627199
87,-1627.135311,176000,1042.287253
88,-1594.920543,178000,1054.148129
89,-1222.0458820000001,180000,1065.748644
90,-1191.648166,182000,1077.350733
91,-1322.305981,184000,1088.977259
92,-1591.756054,186000,1100.575787
93,-1616.0244460000001,188000,1112.581184
94,-1266.7747650000001,190000,1124.205772
95,-1048.923397,192000,1136.00851
96,-1645.809028,194000,1147.747099
97,-1648.625049,196000,1159.41931
98,-1303.33564,198000,1171.044395
99,-1430.094478,200000,1182.6192939999999
