,r,l,t
0,-1638.1282310000001,2000,67.053122
1,-1664.754825,4000,132.505292
2,-1577.0218109999998,6000,175.513276
3,-1488.460709,8000,225.397685
4,-1049.485187,10000,274.903814
5,-990.845814,12000,324.556921
6,-1141.099986,14000,374.297558
7,-862.529325,16000,416.105289
8,-791.872618,18000,466.65499400000004
9,-1655.506569,20000,518.1000230000001
10,-983.0462029999999,22000,561.825263
11,-914.5786099999999,24000,604.26933
12,-877.8807929999999,26000,646.5269519999999
13,-1297.40336,28000,689.403196
14,-855.3785039999999,30000,733.696358
15,-1360.109224,32000,776.559583
16,-1549.881448,34000,818.085393
17,-1179.044794,36000,860.791984
18,-864.744489,38000,904.1676380000001
19,-1098.81456,40000,948.6430019999999
20,-934.825097,42000,992.441499
21,-1477.030827,44000,1035.2233449999999
22,-1112.585318,46000,1078.300043
23,-1071.1981859999999,48000,1121.8116009999999
24,-895.795709,50000,1164.154394
25,-1372.373543,52000,1207.920264
26,-991.621725,54000,1252.0674210000002
27,-900.747217,56000,1295.5674900000001
28,-917.074486,58000,1338.290295
29,-1274.649937,60000,1380.746418
30,-1211.90226,62000,1424.265496
31,-1184.644685,64000,1467.404821
32,-1176.552146,66000,1510.731319
33,-941.7883439999999,68000,1553.362656
34,-867.3876560000001,70000,1596.062229
35,-809.693071,72000,1638.350926
36,-740.019231,74000,1683.096684
37,-784.718021,76000,1734.682327
38,-1426.461097,78000,1779.4274710000002
39,-852.8178230000001,80000,1822.4619079999998
40,-1042.037145,82000,1865.113082
41,-1081.913543,84000,1907.0557989999998
42,-1630.473107,86000,1951.126098
43,-1700.954334,88000,1995.466843
44,-1472.013189,90000,2039.6806620000002
45,-1664.608582,92000,2083.1495170000003
46,-1225.865916,94000,2126.3221329999997
47,-930.6299849999999,96000,2169.543307
48,-1028.611983,98000,2212.3963519999998
49,-1182.620536,100000,2256.5018
50,-682.028649,102000,2301.349957
51,-1421.154415,104000,2350.814676
52,-736.537826,106000,2394.206118
53,-1101.2636289999998,108000,2437.7836829999997
54,-1146.6580470000001,110000,2480.9903280000003
55,-750.309215,112000,2523.962497
56,-1568.465158,114000,2567.404418
57,-759.0381160000001,116000,2611.29857
58,-1048.897199,118000,2656.299102
59,-1680.465456,120000,2700.939638
60,-853.381728,122000,2744.913365
61,-1360.963248,124000,2788.912774
62,-1316.014784,126000,2833.032213
63,-792.059028,128000,2875.820277
64,-882.88425,130000,2918.93399
65,-781.245713,132000,2962.410908
66,-1158.724001,134000,3006.942862
67,-1192.027733,136000,3049.8233800000003
68,-745.5553629999999,138000,3092.383496
69,-1112.149743,140000,3135.965284
70,-970.807081,142000,3179.700021
71,-892.780118,144000,3222.778488
72,-1241.669254,146000,3265.926197
73,-1262.721218,148000,3309.103807
74,-871.515992,150000,3353.307457
75,-1376.5450970000002,152000,3396.991115
76,-1045.1508939999999,154000,3440.4205119999997
77,-885.9258369999999,156000,3483.726143
78,-1048.955483,158000,3526.989282
79,-1108.401985,160000,3570.2631030000002
80,-860.8703429999999,162000,3612.747167
81,-1052.730564,164000,3655.5879210000003
82,-843.925691,166000,3697.976069
83,-895.825115,168000,3741.7761229999996
84,-1086.878923,170000,3786.5759329999996
85,-1559.991905,172000,3830.102705
86,-1260.965555,174000,3874.2844689999997
87,-1531.300104,176000,3918.932841
88,-902.317442,178000,3961.8712689999998
89,-1119.457537,180000,4005.343753
90,-1565.053886,182000,4049.638774
91,-1297.669548,184000,4093.919243
92,-1172.176288,186000,4137.1998539999995
93,-1425.706862,188000,4180.828144
94,-1640.606283,190000,4225.025729999999
95,-1163.037848,192000,4269.639051
96,-876.475477,194000,4313.506731
97,-1311.164231,196000,4356.24484
98,-1480.651416,198000,4400.022223
99,-776.922392,200000,4444.858025
100,-1012.1555480000001,202000,4488.634161
101,-811.914003,204000,4531.975012
102,-713.675209,206000,4575.293229
103,-1538.420736,208000,4619.232345
104,-713.712966,210000,4662.852796
105,-938.054542,212000,4706.839896
106,-1352.559291,214000,4751.2014229999995
107,-1199.119351,216000,4795.642626
108,-826.587621,218000,4840.245369
