,r,l,t
0,-1758.8904280000002,2000,14.570034
1,-1254.618332,4000,27.064080999999998
2,-1523.2818109999998,6000,37.720246
3,-1504.675133,8000,48.260020000000004
4,-1462.6965109999999,10000,59.615317000000005
5,-1384.751362,12000,70.693469
6,-1592.4516720000001,14000,82.066427
7,-1469.897296,16000,92.883973
8,-1449.621088,18000,103.613957
9,-1576.5548199999998,20000,113.739181
10,-1285.997686,22000,124.70664199999999
11,-1231.891277,24000,135.435945
12,-1221.065186,26000,147.555133
13,-883.724634,28000,159.315925
14,-958.769217,30000,170.699172
15,-1141.863885,32000,180.931546
16,-1194.122153,34000,191.023078
17,-1441.261931,36000,200.891449
18,-1291.965256,38000,210.63423799999998
19,-1191.0502060000001,40000,220.402471
20,-1322.6653099999999,42000,230.174698
21,-1062.523391,44000,239.918531
22,-895.640697,46000,249.718956
23,-924.1496539999999,48000,259.786005
24,-821.27197,50000,269.896817
25,-1008.838941,52000,281.011141
26,-874.813432,54000,290.911006
27,-1022.7630019999999,56000,300.71171200000003
28,-1132.9162039999999,58000,310.633033
29,-1342.2256220000002,60000,320.5251
30,-1433.156864,62000,330.334131
31,-940.9166359999999,64000,340.189886
32,-951.109542,66000,350.156323
33,-1026.80898,68000,360.00588999999997
34,-1118.244885,70000,369.85730099999995
35,-1274.3805300000001,72000,379.901319
36,-912.510961,74000,389.811155
37,-1329.676333,76000,399.856798
38,-968.578916,78000,410.333681
39,-1488.604632,80000,421.593175
40,-1497.931369,82000,433.031407
41,-1505.0953539999998,84000,443.028567
42,-1365.287554,86000,453.705271
43,-1276.591983,88000,465.06050199999993
44,-1283.4099939999999,90000,476.331678
45,-1507.915631,92000,487.595806
46,-1599.2443269999999,94000,498.44091900000006
47,-1643.811651,96000,508.26482599999997
48,-891.343881,98000,518.629017
49,-1597.237897,100000,529.031774
50,-1019.723018,102000,539.371147
51,-852.4386789999999,104000,550.381012
52,-1627.670962,106000,560.312849
53,-1001.5299039999999,108000,570.186492
54,-1083.937504,110000,579.974151
55,-1470.741387,112000,589.735032
56,-1545.20895,114000,600.264978
57,-1118.798405,116000,611.51285
58,-1184.660824,118000,621.833983
59,-1185.361078,120000,632.712561
60,-1241.764698,122000,642.740514
61,-1088.496666,124000,653.442636
62,-1571.869075,126000,664.373721
63,-942.256691,128000,674.904327
64,-1289.265892,130000,685.061375
65,-896.695886,132000,694.859083
66,-1210.9972189999999,134000,704.8081559999999
67,-1052.663251,136000,715.437104
68,-1259.144151,138000,730.674459
69,-1209.191853,140000,743.6226780000001
70,-1243.874339,142000,755.435874
71,-1331.6706570000001,144000,765.471817
72,-1109.973602,146000,775.277278
73,-1141.910407,148000,785.22411
74,-1115.5457880000001,150000,794.897609
75,-1229.3989279999998,152000,804.626005
76,-1352.705981,154000,814.377041
77,-1139.7520240000001,156000,824.159973
78,-1123.406267,158000,834.796576
79,-1185.656838,160000,846.1451099999999
80,-1111.0811210000002,162000,856.1188300000001
81,-1018.841825,164000,865.9848710000001
82,-1222.9731789999998,166000,876.8151949999999
83,-1035.516603,168000,886.575743
84,-1127.753559,170000,896.419615
85,-1354.846104,172000,907.288098
86,-1097.918721,174000,920.5624349999999
87,-1120.4075990000001,176000,932.915247
88,-1283.7334050000002,178000,945.6832630000001
89,-1076.507345,180000,957.459944
90,-1140.1496439999999,182000,971.317847
91,-1143.155692,184000,982.6564689999999
92,-1412.8964119999998,186000,993.919756
93,-1386.845039,188000,1004.3920410000001
94,-1374.519956,190000,1014.45945
95,-1570.510446,192000,1024.840428
96,-1727.46607,194000,1037.7686410000001
97,-1273.441902,196000,1052.354216
98,-1218.490146,198000,1063.537484
99,-1206.8694449999998,200000,1074.824834
100,-1286.9248910000001,202000,1088.881076
101,-1116.719814,204000,1102.858167
102,-1268.5871869999999,206000,1113.540458
103,-1351.3520839999999,208000,1125.8679849999999
104,-964.6465699999999,210000,1135.939446
105,-1111.807076,212000,1145.774703
106,-1513.305643,214000,1157.371235
107,-1101.9368650000001,216000,1168.741326
108,-1315.2952,218000,1181.9397179999999
109,-1394.948748,220000,1193.413525
110,-1196.634596,222000,1205.066632
111,-1071.12876,224000,1216.335637
