r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1528.152872,2000,15.634568,0.20540331,-0.08978576,0.066006556,-0.21292253,0.06359819,0.1686186,-0.017123064,-0.019143607,0.16706327,-0.19264852
-1694.549714,4000,28.558306,0.21542473,-0.074184135,0.052541703,-0.21253465,0.08280982,0.18727213,0.0049200966,0.050904892,0.15155056,-0.19920093
-1419.606035,6000,38.633709,0.21612488,-0.06290845,0.024698978,-0.20502846,0.096904434,0.22220536,0.024816288,0.10901417,0.1024258,-0.2020455
-1440.985431,8000,51.892432,0.24104983,-0.08104235,-0.009670911,-0.1738543,0.10439182,0.27997273,0.04373317,0.15465474,0.04886521,-0.19699787
-1290.385001,10000,64.687587,0.27105808,-0.118321456,-0.01932655,-0.1275022,0.14785506,0.31895623,0.051539343,0.20304242,0.017998025,-0.20350966
-1255.636551,12000,76.507821,0.34079868,-0.13554388,-0.043599583,-0.13311589,0.1667238,0.32988846,0.06466045,0.28512555,-0.033446874,-0.19754271
-1031.871058,14000,88.617371,0.34463274,-0.1713969,-0.0026219776,-0.18128751,0.13357271,0.3471868,0.12091229,0.36031866,0.000476583,-0.2595881
-846.56977,16000,100.743964,0.29847103,-0.16819416,-0.006195637,-0.1516025,0.1649964,0.3286908,0.17906594,0.3850875,0.016094277,-0.27072027
-775.320052,18000,115.014934,0.22531015,-0.17669754,0.023770077,-0.01957941,0.15829375,0.27504957,0.22868566,0.36598235,0.010050552,-0.25454298
-801.431379,20000,128.529744,0.23075195,-0.11503975,0.052913953,0.110645816,0.2327938,0.2276239,0.2159141,0.32139575,0.05811541,-0.31848818
-791.333389,22000,140.554323,0.2915109,-0.061150696,-0.05843054,0.14848137,0.24059623,0.20290051,0.23924956,0.34674436,0.029281287,-0.34864244
-813.576871,24000,152.891094,0.32849017,-0.025485836,-0.078158505,0.21279125,0.23235048,0.19413252,0.24562208,0.30824795,0.0039739194,-0.35701963
-895.95732,26000,165.134904,0.346499,-0.035649285,-0.05176748,0.23680215,0.18745853,0.18138614,0.24131341,0.26834124,-0.0047441954,-0.3525767
-709.904766,28000,177.229448,0.37003988,-0.07336436,-0.0776973,0.21192296,0.18062899,0.16319932,0.23865022,0.25873008,0.01317955,-0.3713303
-1268.271677,30000,191.30097,0.36386585,-0.13218911,-0.11876531,0.19669132,0.20529409,0.16387817,0.22521858,0.2630069,0.0009861432,-0.3830424
-982.158167,32000,202.140615,0.36669362,-0.14822125,-0.12244629,0.19809021,0.22130024,0.1785128,0.23336695,0.27032784,0.0008747261,-0.34460747
-1729.198666,34000,212.469976,0.35440454,-0.12665157,-0.10743829,0.20844468,0.22640872,0.16790672,0.24078073,0.25677758,-0.002196608,-0.34089804
-827.529093,36000,224.919872,0.367868,-0.16474104,-0.03914094,0.17783263,0.23435909,0.17402679,0.23174927,0.24795946,0.006792677,-0.34925628
-779.320604,38000,235.692169,0.37129256,-0.14439523,-0.026887733,0.17885639,0.25287852,0.18252176,0.2285837,0.23240206,-0.028036762,-0.35099995
-799.020716,40000,247.858388,0.38843644,-0.1296961,-0.0012162912,0.16107975,0.24717534,0.18721378,0.23901719,0.21694866,-0.07719742,-0.34991044
-719.194795,42000,260.341799,0.4043192,-0.13208656,0.0008356017,0.17458534,0.24064854,0.19949032,0.2468642,0.21552457,-0.12877516,-0.36295933
-1242.708278,44000,271.492778,0.44417182,-0.10251307,0.025110936,0.18048452,0.22916394,0.20842165,0.24839106,0.21659213,-0.19488764,-0.34944665
-1412.156579,46000,282.419554,0.47050735,-0.073554404,0.06629921,0.21837564,0.22633587,0.2135333,0.23888583,0.23281297,-0.23577529,-0.33713692
-1367.995945,48000,293.477708,0.48935023,-0.045305993,0.120563634,0.2136009,0.21218103,0.21196595,0.237941,0.24050416,-0.25314876,-0.32655928
-1845.625145,50000,304.345879,0.49828985,-0.041853298,0.14560406,0.21958919,0.2202766,0.20045209,0.23733917,0.25287727,-0.2563488,-0.33042
-737.638104,52000,315.156084,0.51362556,-0.037359282,0.17692155,0.22953105,0.21832103,0.1940523,0.233602,0.26278785,-0.25508738,-0.31851932
-1001.216519,54000,325.764268,0.5214098,-0.014636947,0.23716132,0.23220128,0.22355486,0.18893635,0.22919784,0.2662438,-0.22107555,-0.3215169
-798.653693,56000,336.056721,0.51170075,0.06569219,0.2573088,0.2072644,0.2304693,0.19033906,0.21915956,0.27469575,-0.2298916,-0.3280566
-929.752176,58000,346.264152,0.5100762,0.10929529,0.26769066,0.19374827,0.23509885,0.18319291,0.21684,0.26476172,-0.26541904,-0.33398902
-874.595512,60000,356.455658,0.49564415,0.12918028,0.27897608,0.18890423,0.24979219,0.17135614,0.21649395,0.26000926,-0.2641752,-0.32839885
-745.972587,62000,368.787818,0.4918689,0.1522481,0.298533,0.16187665,0.27031967,0.15758187,0.20934604,0.2601928,-0.26115662,-0.32293662
-810.523134,64000,380.906466,0.4943659,0.15211673,0.29940256,0.1525171,0.27781683,0.15878908,0.20281832,0.2641321,-0.26716465,-0.32219696
-863.750737,66000,391.172108,0.49897373,0.1479082,0.29495442,0.17112914,0.27661905,0.16335964,0.20151429,0.26966116,-0.2601822,-0.32404128
-1059.097931,68000,401.368019,0.5002817,0.16044763,0.30774084,0.1872834,0.2897811,0.16864796,0.19074552,0.2812048,-0.2936719,-0.3234577
-881.69239,70000,411.435487,0.5181548,0.17651387,0.30037066,0.19563916,0.28648448,0.1825646,0.20657782,0.27289155,-0.31178337,-0.3309408
