,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1743.1402239999998,2000,14.373885999999999,-0.17587705,0.17022957,0.042404134,-0.028443001000000002,-0.039666142,0.19052294,0.077101454,0.08106385,0.11683457,-0.08718139999999999
1,-2458.745867,4000,30.24675,-0.19226816,0.1622805,0.06977201,-0.029940782000000003,-0.118976,0.19639485,0.081154555,0.10608698,0.14418773,-0.10005861
2,-2338.368457,6000,42.075410999999995,-0.19033895,0.17300053,0.07615972,-0.08600358,-0.14560308,0.121849775,0.08344459,0.0815602,0.124948785,-0.11205293
3,-2372.331678,8000,54.212722,-0.22266917,0.18789995,0.08570908,-0.102074526,-0.14460996,0.051444303,0.09596596,0.08549718,0.13521870000000002,-0.1037307
4,-1069.933245,10000,66.88389699999999,-0.19052026,0.18814382,0.050061575999999997,-0.07746359,-0.095250584,0.018887763999999998,0.06552936,0.08646369,0.152928,-0.1519937
5,-985.5263550000001,12000,81.22868000000001,-0.25867048,0.18962835,0.06778717,-0.07719728,-0.093625925,0.04674996,0.031652287,0.13236839,0.16820192,-0.1866094
6,-962.54894,14000,95.28885600000001,-0.22878094,0.16191673,0.032739006,-0.07889014,-0.10379835,0.04901881,0.04494817,0.10433109,0.15978348,-0.1459055
7,-2306.6583570000003,16000,107.78630600000001,-0.16615,0.15725045,-0.006124919300000001,-0.08225782,-0.11004772,0.04952178,0.09527735,0.08168929,0.14686553,-0.16174318
8,-1516.231448,18000,119.421094,-0.16400637,0.11085465,-0.0024660705,-0.034001622,-0.14927720000000003,0.10377198,0.114868365,0.07236812,0.15691395,-0.09806801
9,-2433.564073,20000,130.486104,-0.14599243,0.10253226,-0.006319913000000001,-0.028743057000000002,-0.1829615,0.11930353,0.09971719,0.07202544,0.16320243,-0.022887473999999998
10,-2402.527208,22000,141.617262,-0.15566453,0.10698169,-0.0036633909,-0.07358149,-0.20552146,0.113370866,0.06673134,0.073311195,0.18141328,-0.021426965
11,-2676.827436,24000,152.436041,-0.17458238,0.1114702,-0.012042663,-0.108017534,-0.19451386,0.090224154,0.11508702,0.07610655,0.16054906,-0.023150603999999998
12,-2870.488807,26000,163.71698700000002,-0.17443521,0.11177491,-0.026400957000000003,-0.10973178,-0.19173938,0.100397624,0.12773815,0.056951165,0.16470866,-0.02184671
13,-3338.507786,28000,175.043786,-0.15297244,0.10631218,-0.031901623999999996,-0.11031173,-0.18870652,0.13317658,0.13631082,0.033977892,0.17621711,-0.041229922
14,-1703.063823,30000,186.845099,-0.12966049,0.116135314,-0.018604368,-0.10797234,-0.20841214,0.15309781,0.13369915,0.034855198,0.18918039,-0.06306561
15,-2954.504196,32000,198.209871,-0.1201344,0.105179675,-0.033177357000000005,-0.09596913,-0.21718965,0.19209127,0.123684116,0.027303189,0.18735044,-0.09090091
16,-2721.198786,34000,209.63456599999998,-0.09864585,0.09830664,-0.02988167,-0.09669612,-0.2564775,0.21214096,0.13332911,0.07815799,0.18391947,-0.11727687
17,-2904.200974,36000,220.993777,-0.094973326,0.102642305,-0.025653005,-0.10440492,-0.27287227,0.20799679,0.12088475,0.12921952,0.17628041,-0.13490334
18,-3163.872664,38000,232.657748,-0.12297771,0.06699721,-0.04202668,-0.094790556,-0.20425656,0.21751867,0.13199632,0.13891086,0.13696243,-0.095776305
