r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-968.949464,2000,13.067173,0.047257874,-0.20333868,0.18943094,0.1603463,-0.0742029,0.17909193,0.037851095,-0.17012984,-0.18980484,0.053830795
-1526.106441,4000,28.10335,0.04360796,-0.23246823,0.189576,0.16577032,-0.07543176,0.18095921,0.028054366,-0.16143195,-0.21898876,0.05036993
-1299.162532,6000,39.32316,0.041294914,-0.23791876,0.19399364,0.16158412,-0.07776375,0.19356385,0.023484187,-0.16600335,-0.22024916,0.05070632
-1736.712115,8000,50.849696,0.043297313,-0.19242096,0.19710362,0.16432935,-0.08061003,0.20585074,0.018848976,-0.17993772,-0.17242454,0.048068445
-1514.079993,10000,62.74618,0.06067087,-0.1622492,0.19348918,0.17254847,-0.09391292,0.20888636,0.018938009,-0.2168132,-0.074449375,0.047552444
-694.976594,12000,74.019408,0.07742561,-0.1605625,0.18935294,0.16621596,-0.10056053,0.20140263,0.010488023,-0.19345048,-0.061103556,0.050119836
-1549.41376,14000,86.782316,0.07035428,-0.17136775,0.19728196,0.16706328,-0.081794344,0.20723759,0.007179304,-0.18905155,-0.050124127,0.037995018
-1177.136338,16000,98.244596,0.06921411,-0.20767947,0.18942688,0.15771319,-0.053493425,0.22295223,0.011656513,-0.24029139,-0.12085315,0.04724829
-1228.675451,18000,110.20068,0.073278196,-0.22765042,0.18159325,0.14512041,-0.049231663,0.23356186,-0.006136971,-0.25680164,-0.14080568,0.069717996
-947.935879,20000,122.013898,0.07829399,-0.23081055,0.1643507,0.12567213,-0.034941874,0.23946804,-0.025616791,-0.28249806,-0.1381756,0.07757191
-1363.1395,22000,134.891837,0.07259151,-0.22816648,0.16596088,0.13222903,-0.038418032,0.24492787,-0.044860628,-0.27816823,-0.11649458,0.0901188
-1587.09541,24000,147.930321,0.051055223,-0.24528706,0.13901804,0.16383056,-0.052433975,0.2441019,-0.044018622,-0.2500996,-0.10863785,0.096744776
-1428.0318,26000,160.294693,0.03371317,-0.2521967,0.12134433,0.19142084,-0.06491916,0.24411102,-0.049866386,-0.22108485,-0.121079855,0.09630038
-1222.274469,28000,173.62218,0.013658045,-0.21439947,0.11675329,0.21611993,-0.050682355,0.25641865,-0.036907315,-0.20086063,-0.12696336,0.08138969
-907.002404,30000,186.784522,-0.014130987,-0.21026595,0.1334351,0.22671111,-0.048178054,0.24152125,-0.053137157,-0.20767315,-0.117665954,0.097657636
-839.694489,32000,199.969538,-0.022299143,-0.23908058,0.13018508,0.22002473,-0.043604437,0.22182064,-0.04058622,-0.21448003,-0.09359911,0.11290272
-981.943218,34000,215.563861,-0.02665096,-0.26368147,0.13207734,0.20091514,-0.025657764,0.20825681,-0.04400808,-0.21859156,-0.08499549,0.12800063
-1305.872191,36000,231.582302,-0.023823295,-0.27245775,0.12963006,0.16738676,-0.014851006,0.22131756,0.008193467,-0.2260745,-0.08945089,0.12195373
-714.515924,38000,245.293435,-0.014054536,-0.27650464,0.14246161,0.13988061,-0.01516392,0.24008758,0.010265297,-0.22566308,-0.07440193,0.13614412
-1576.810784,40000,260.152059,-0.015008751,-0.2781058,0.124600664,0.12966627,-0.023961397,0.24576896,0.008950787,-0.21983281,-0.078761876,0.1498011
-1092.164105,42000,274.726461,-0.02227772,-0.2792149,0.13082108,0.14779796,-0.02009585,0.23859999,0.0017805779,-0.2011328,-0.08289014,0.16487767
-1310.106196,44000,288.017452,-0.011439461,-0.253535,0.11000708,0.15556876,-0.009278826,0.23342109,0.0046058656,-0.18559602,-0.085074335,0.177126
-797.399113,46000,300.883442,0.007466959,-0.22617276,0.10176071,0.1452177,-0.0021885766,0.2245067,0.0076992204,-0.18077762,-0.07170613,0.1932161
-946.784752,48000,313.805717,0.016049797,-0.19774392,0.0980048,0.1330179,0.0026543709,0.20844749,0.03018423,-0.17640743,-0.079053015,0.1908135
-1321.924287,50000,326.642347,0.030714627,-0.20791434,0.1038766,0.11378341,0.00654885,0.20453061,0.056370974,-0.16910027,-0.07156236,0.20229973
-888.369791,52000,339.937823,0.027054608,-0.1737287,0.11013372,0.11215368,0.0051076203,0.21656187,0.06363997,-0.17560346,-0.07748996,0.20387834
-1315.754147,54000,352.837034,0.021231247,-0.20277557,0.122490965,0.11518348,-0.0068816044,0.21814534,0.07898439,-0.18929262,-0.074984,0.20886512
-835.787206,56000,366.068915,0.015570723,-0.23260337,0.09277902,0.11452725,-0.014826566,0.22700258,0.07099826,-0.21032882,-0.015848042,0.22060078
-1518.578355,58000,379.127722,0.0021225407,-0.2469538,0.10584247,0.11534946,-0.007150776,0.21923931,0.06283624,-0.17478813,0.07434874,0.24556032
-963.706267,60000,391.934,-0.00043004335,-0.27993712,0.110577606,0.10422969,0.013424985,0.23599541,0.03273254,-0.18270516,0.05335148,0.25786424
