,r,l,t
0,-1541.911766,2000,14.3885
1,-1256.03596,4000,29.381197999999998
2,-1703.723108,6000,41.61825
3,-1494.790436,8000,52.63598399999999
4,-1579.842109,10000,64.250182
5,-1126.4232060000002,12000,75.512955
6,-960.195863,14000,87.868166
7,-939.192839,16000,100.42455600000001
8,-839.959177,18000,112.19501299999999
9,-1437.671903,20000,124.66243100000001
10,-903.788458,22000,135.617013
11,-1255.353955,24000,146.228667
12,-1265.116213,26000,157.49866699999998
13,-1234.87518,28000,168.89967099999998
14,-1572.74451,30000,180.31823500000002
15,-959.065034,32000,191.60116299999999
16,-1314.2828849999999,34000,201.66362800000002
17,-887.6534849999999,36000,211.54769199999998
18,-1018.115857,38000,221.447606
19,-1212.796043,40000,232.479881
20,-931.356225,42000,244.636134
21,-954.976962,44000,255.696725
22,-943.221512,46000,265.95350099999996
23,-1241.964708,48000,277.600602
24,-1166.133966,50000,289.161619
25,-902.515366,52000,300.239621
26,-1495.0321880000001,54000,311.352323
27,-1018.0074529999999,56000,322.548802
28,-1015.278983,58000,332.502045
29,-1550.144618,60000,342.414556
30,-1116.066782,62000,352.281083
31,-899.81244,64000,363.829711
32,-1035.8675289999999,66000,375.722996
33,-1256.360658,68000,386.692045
34,-893.5006089999999,70000,397.8315
35,-1770.2235030000002,72000,407.66401099999996
36,-1136.130785,74000,418.062231
37,-1058.191605,76000,429.59518099999997
38,-1489.531826,78000,441.559125
39,-1499.247529,80000,451.79507699999994
40,-1475.626757,82000,463.692435
41,-967.183617,84000,474.96202900000003
42,-1165.418288,86000,485.48825300000004
43,-1199.1248560000001,88000,495.988633
44,-1250.7605019999999,90000,506.430747
45,-1059.2757869999998,92000,516.2034309999999
46,-923.796566,94000,526.944773
47,-928.9652980000001,96000,536.87123
48,-1169.0893720000001,98000,546.684531
49,-1324.2158539999998,100000,556.4896219999999
50,-1014.377202,102000,566.240438
51,-1234.6487849999999,104000,576.064358
52,-1267.739844,106000,585.851882
53,-1025.935707,108000,595.593435
54,-1209.1855130000001,110000,606.9194150000001
55,-947.201692,112000,617.770856
56,-1141.708441,114000,629.122116
57,-1188.1375369999998,116000,639.726395
58,-1132.258819,118000,649.702203
59,-1234.917064,120000,659.452263
60,-1646.960626,122000,669.987259
61,-1255.732901,124000,679.776345
62,-1238.261008,126000,691.554885
63,-896.623866,128000,702.319436
64,-1262.814093,130000,713.366238
65,-1041.337834,132000,723.13785
66,-1158.2125369999999,134000,732.916108
67,-1056.091364,136000,742.70827
68,-896.421659,138000,752.493425
69,-1506.530945,140000,764.216742
70,-1564.922775,142000,775.483427
71,-1044.632691,144000,786.943973
72,-1116.110573,146000,796.844184
73,-1660.447648,148000,807.460106
74,-1293.40788,150000,817.4880459999999
75,-1124.079354,152000,827.736503
76,-1212.489194,154000,837.760228
77,-1105.546291,156000,847.834514
78,-901.5123,158000,857.766927
79,-828.836792,160000,867.534482
80,-1175.544599,162000,878.675996
81,-1306.426642,164000,888.856244
82,-1013.4786039999999,166000,898.651024
83,-1273.49933,168000,908.462164
84,-1644.821878,170000,918.2980650000001
85,-1142.618442,172000,928.07399
86,-959.650472,174000,937.9838570000001
87,-1540.4922689999999,176000,947.839183
88,-897.6987640000001,178000,957.605316
89,-1350.2622529999999,180000,967.6203220000001
90,-857.1710529999999,182000,977.5482380000001
91,-1132.013117,184000,987.316965
92,-969.9137310000001,186000,997.0899720000001
93,-1093.032919,188000,1006.868005
94,-1021.6979259999999,190000,1017.0199220000001
95,-1547.2403570000001,192000,1029.075709
96,-1083.85112,194000,1039.406409
97,-1161.954804,196000,1049.193162
98,-1146.4419890000001,198000,1058.971596
99,-1120.952266,200000,1068.754948
100,-1336.240632,202000,1078.523052
101,-1166.106315,204000,1088.189447
102,-1378.120316,206000,1097.905972
103,-1431.561458,208000,1107.564268
104,-1709.930446,210000,1117.2392619999998
105,-1763.5130989999998,212000,1127.2153
106,-1042.175129,214000,1137.337323
107,-1540.795786,216000,1147.18205
108,-849.913274,218000,1158.902766
109,-1188.0822269999999,220000,1170.3387460000001
110,-1417.788133,222000,1180.0564
111,-997.368711,224000,1189.7669859999999
112,-1220.056249,226000,1199.463405
113,-1020.526867,228000,1209.12239
