,r,l,t
0,-1658.942709,2000,16.811069
1,-1502.48596,4000,32.116949
2,-1759.6400629999998,6000,44.209274
3,-1709.176293,8000,54.615038
4,-1466.7250080000001,10000,64.702321
5,-1417.942491,12000,76.108563
6,-1561.335874,14000,87.902148
7,-1458.638352,16000,98.15411
8,-1338.918295,18000,108.59575900000002
9,-974.824584,20000,120.405721
10,-1460.233184,22000,132.178792
11,-936.7499140000001,24000,142.48632
12,-1617.119257,26000,154.952049
13,-1475.7598679999999,28000,165.602895
14,-1111.619078,30000,175.933895
15,-1083.4304339999999,32000,186.091105
16,-1130.397334,34000,196.500504
17,-1091.123386,36000,206.724438
18,-987.6347900000001,38000,216.88045699999998
19,-1174.508212,40000,227.078841
20,-1367.316823,42000,237.276521
21,-1153.862453,44000,247.435181
22,-1217.6053769999999,46000,257.585011
23,-1094.010425,48000,267.702396
24,-1080.693599,50000,277.881511
25,-1170.082434,52000,288.081223
26,-898.592563,54000,298.720032
27,-861.2117220000001,56000,310.293615
28,-1269.1041400000001,58000,321.876111
29,-954.906485,60000,332.139387
30,-1056.117574,62000,342.390353
31,-1237.669909,64000,352.678407
32,-1497.2082289999998,66000,362.939214
33,-1076.060595,68000,373.165818
34,-1238.4961039999998,70000,383.39502799999997
35,-1118.152809,72000,393.65121899999997
36,-948.387413,74000,403.88003599999996
37,-1494.448667,76000,414.191139
38,-1027.402173,78000,424.462362
39,-858.607884,80000,434.71948899999995
40,-1155.602395,82000,446.35047599999996
41,-1282.082733,84000,456.68962
42,-1083.52066,86000,466.99764500000003
43,-725.691999,88000,477.34845199999995
44,-936.697942,90000,489.084745
45,-1179.689431,92000,499.431184
46,-1171.455142,94000,509.725817
47,-751.472279,96000,520.098478
48,-707.302521,98000,530.537506
49,-949.454683,100000,542.393791
50,-1076.8964460000002,102000,552.787379
51,-1052.082038,104000,563.200457
52,-1029.770785,106000,573.669008
53,-941.173706,108000,584.096771
54,-1073.592781,110000,594.856285
55,-810.2663570000001,112000,605.301244
56,-1525.085637,114000,615.8454230000001
57,-1212.607168,116000,626.460708
58,-806.638278,118000,637.060915
59,-1519.733595,120000,647.494745
60,-1221.644632,122000,657.968839
61,-1470.973575,124000,668.396082
62,-1068.766704,126000,679.03171
63,-726.947492,128000,689.492061
64,-1183.024575,130000,699.881292
65,-1153.97442,132000,710.476812
66,-847.0224019999999,134000,721.0086719999999
67,-1230.6812439999999,136000,731.4518559999999
68,-734.4017660000001,138000,741.915452
69,-994.883409,140000,752.339882
70,-1358.143725,142000,762.7115349999999
71,-1374.4447400000001,144000,773.182937
72,-1432.765436,146000,783.6346570000001
73,-1078.1964449999998,148000,794.127926
74,-830.812488,150000,804.567212
75,-1301.621852,152000,815.01243
76,-740.13142,154000,825.489071
77,-795.8102190000001,156000,836.1120129999999
78,-687.288175,158000,846.530149
79,-751.27648,160000,858.426866
80,-690.0789120000001,162000,869.001113
81,-684.068845,164000,879.594464
82,-806.143094,166000,891.5695289999999
83,-1284.0804560000001,168000,902.1069130000001
84,-1121.887972,170000,912.567223
85,-827.819932,172000,922.9895849999999
86,-1233.4310130000001,174000,933.459293
87,-1205.275261,176000,943.8424970000001
88,-623.502534,178000,954.3189699999999
89,-1033.5777039999998,180000,966.143018
90,-1377.482307,182000,976.5439789999999
91,-688.678402,184000,986.9523119999999
92,-1533.161987,186000,997.370806
93,-1237.853582,188000,1007.7616210000001
94,-1025.845698,190000,1018.2275099999999
95,-819.9744509999999,192000,1028.666591
96,-956.7183869999999,194000,1039.134182
97,-1025.1087730000002,196000,1049.845525
98,-1078.115537,198000,1060.305288
99,-739.476906,200000,1070.860082
100,-1097.888077,202000,1081.4448630000002
101,-975.897919,204000,1091.879108
102,-829.056694,206000,1102.252383
103,-698.712152,208000,1112.633826
104,-620.6913490000001,210000,1123.0352
105,-999.4945349999999,212000,1134.954753
106,-1055.311324,214000,1145.432475
107,-1577.5990789999998,216000,1155.8010199999999
108,-802.4224370000001,218000,1166.246933
109,-1044.5864609999999,220000,1176.9281839999999
110,-837.581795,222000,1187.625965
111,-769.149092,224000,1198.368443
112,-1038.791924,226000,1208.81318
113,-924.01329,228000,1219.1858630000002
114,-951.1172789999999,230000,1229.653642
115,-1507.0078529999998,232000,1240.131196
116,-1554.541797,234000,1250.591228
117,-1386.683883,236000,1261.106565
118,-748.927146,238000,1271.577037
119,-1446.564335,240000,1282.063132
120,-978.596692,242000,1292.52557
121,-1088.5346789999999,244000,1303.1754119999998
122,-1379.34059,246000,1313.855032
123,-1182.183367,248000,1324.598333
124,-875.9968,250000,1335.004647
125,-1027.2353380000002,252000,1345.397899
126,-1171.349625,254000,1355.873467
127,-1161.5398890000001,256000,1366.547156
128,-645.692242,258000,1377.179253
129,-784.504282,260000,1387.809998
130,-686.185817,262000,1398.217047
131,-1312.1041460000001,264000,1408.6641630000001
132,-892.3418730000001,266000,1419.128081
133,-1133.114976,268000,1429.647075
134,-871.9343210000001,270000,1440.146592
135,-822.573466,272000,1450.5921039999998
136,-1766.6759510000002,274000,1461.010711
137,-1310.390935,276000,1471.478464
138,-1069.317497,278000,1481.9016869999998
139,-1005.8058380000001,280000,1492.3628210000002
140,-1034.905792,282000,1502.864392
141,-1434.6601890000002,284000,1513.263639
142,-1679.20313,286000,1523.7730390000002
143,-1436.1524880000002,288000,1534.208842
144,-1160.022258,290000,1544.6641220000001
145,-1107.946781,292000,1555.337386
146,-1369.688464,294000,1566.065756
147,-1386.276538,296000,1576.8184820000001
148,-1515.6147720000001,298000,1588.5769970000001
149,-1315.692884,300000,1599.24344
150,-611.883783,302000,1609.677003
151,-831.649772,304000,1621.542902
152,-1487.164986,306000,1632.0072480000001
153,-1637.068701,308000,1642.525235
154,-1571.065525,310000,1652.9579310000001
155,-1483.370047,312000,1663.335988
156,-1663.456229,314000,1673.822063
157,-1435.817844,316000,1684.2412379999998
158,-1326.992267,318000,1694.6803109999998
159,-1417.105269,320000,1705.081864
160,-1464.335301,322000,1715.562967
161,-1563.7790810000001,324000,1726.2084149999998
162,-1569.7769720000001,326000,1737.103529
163,-698.623709,328000,1747.620829
164,-1561.1508119999999,330000,1758.118291
165,-1600.936557,332000,1768.5919850000002
166,-1104.5706630000002,334000,1779.073974
167,-1427.212864,336000,1789.536382
168,-1057.616684,338000,1800.143945
169,-932.5787619999999,340000,1810.6579960000001
170,-1572.162401,342000,1821.13925
171,-1295.2397369999999,344000,1831.600622
172,-1348.308599,346000,1842.1057280000002
173,-1607.0488679999999,348000,1852.636077
174,-1539.332977,350000,1863.1592190000001
175,-1277.889211,352000,1873.6805579999998
176,-1508.8640699999999,354000,1884.182675
177,-1393.022935,356000,1894.969878
178,-917.0566,358000,1905.7580510000003
179,-516.764304,360000,1916.383468
180,-458.240159,362000,1928.346639
181,-619.982341,364000,1940.291047
182,-892.4446710000001,366000,1950.794176
183,-963.2889029999999,368000,1961.329763
184,-776.2900179999999,370000,1971.8503239999998
185,-1401.392725,372000,1982.450759
186,-1265.275621,374000,1993.02499
187,-883.153112,376000,2003.634743
188,-1188.682743,378000,2014.1270000000002
189,-675.9673,380000,2024.654695
190,-1610.844906,382000,2035.186102
191,-1196.798188,384000,2045.719135
