,r,l,t
0,-1064.1027199999999,2000,83.39799599999999
1,-1598.79499,4000,143.029045
2,-1570.971249,6000,186.77441399999998
3,-635.371043,8000,228.763344
4,-774.641446,10000,277.815574
5,-963.176132,12000,320.760102
6,-647.332167,14000,364.089372
7,-846.811874,16000,405.816612
8,-691.141299,18000,448.22691799999996
9,-677.178197,20000,489.96079800000007
10,-732.6824389999999,22000,531.660839
11,-733.71285,24000,573.382645
12,-763.782232,26000,615.204817
13,-868.4555859999999,28000,657.328047
14,-774.042495,30000,698.6338099999999
15,-793.0613030000001,32000,740.198764
16,-648.101326,34000,781.886052
17,-764.072039,36000,823.597698
18,-772.561743,38000,865.249153
19,-673.132637,40000,907.1081369999999
20,-546.14908,42000,949.312317
21,-763.8743599999999,44000,998.8284970000001
22,-793.6869059999999,46000,1040.973242
23,-778.7845179999999,48000,1083.368921
24,-845.085295,50000,1124.910889
25,-734.3737269999999,52000,1169.106861
26,-625.42763,54000,1212.346025
27,-838.301918,56000,1255.297212
28,-796.902783,58000,1298.684112
29,-639.746312,60000,1341.1341300000001
30,-1076.919507,62000,1383.040032
31,-974.373996,64000,1424.37775
32,-1082.957231,66000,1466.752802
33,-830.907098,68000,1508.204877
34,-696.850321,70000,1550.969676
35,-718.764764,72000,1593.3953179999999
36,-1026.506754,74000,1635.8175099999999
37,-1262.051627,76000,1678.925369
38,-1067.479151,78000,1722.3494420000002
39,-972.4675060000001,80000,1764.7676170000002
40,-1035.977603,82000,1807.9627039999998
41,-801.748752,84000,1850.405676
42,-1307.737825,86000,1892.8109829999999
43,-918.519549,88000,1934.5934670000001
44,-862.097923,90000,1977.339121
45,-843.377701,92000,2020.539377
46,-1074.383485,94000,2062.8536480000002
47,-1085.931817,96000,2106.0103870000003
48,-714.953538,98000,2148.897096
49,-721.532178,100000,2192.597189
