,r,l,t
0,-1720.9217820000001,2000,13.599598
1,-1616.119463,4000,27.865077000000003
2,-1576.990992,6000,40.676705
3,-1788.9646100000002,8000,54.91325500000001
4,-1618.6812929999999,10000,67.163601
5,-1624.526748,12000,78.411188
6,-1503.286193,14000,88.92614
7,-769.8756559999999,16000,103.178489
8,-658.420422,18000,115.98867299999999
9,-1145.637197,20000,128.094004
10,-689.401839,22000,141.04333300000002
11,-627.147147,24000,153.241218
12,-1377.564031,26000,165.153492
13,-694.4315809999999,28000,178.312676
14,-656.8822809999999,30000,192.246413
15,-774.8100900000001,32000,204.135658
16,-680.953546,34000,216.898115
17,-665.436254,36000,229.855002
18,-637.79158,38000,241.758612
19,-796.103709,40000,253.23117000000002
20,-852.660023,42000,264.34692
21,-654.6976440000001,44000,275.08846
22,-717.172472,46000,286.735043
23,-698.957816,48000,298.81566200000003
24,-902.750052,50000,310.18012200000004
25,-767.153731,52000,321.010476
26,-773.300359,54000,332.044781
27,-1109.2352019999998,56000,344.353477
28,-843.6096220000001,58000,356.240884
29,-881.719515,60000,367.440687
30,-688.162602,62000,378.297249
31,-686.757431,64000,389.795151
32,-786.828172,66000,401.507567
33,-592.74222,68000,411.87354700000003
34,-772.566497,70000,425.631824
35,-679.259992,72000,436.890243
36,-638.128178,74000,447.153309
37,-678.933237,76000,457.80616399999997
38,-654.928377,78000,469.870441
39,-887.7234960000001,80000,482.123968
40,-643.8638950000001,82000,492.59294400000005
41,-1174.02452,84000,503.224891
42,-969.150435,86000,513.6973889999999
43,-905.347799,88000,523.7217009999999
44,-956.3860050000001,90000,533.77445
45,-951.829127,92000,543.8565629999999
46,-804.677311,94000,554.4545469999999
47,-1171.272952,96000,566.728001
48,-1494.475506,98000,577.5094320000001
49,-781.691871,100000,587.966647
50,-556.992904,102000,598.927992
51,-1237.1087630000002,104000,612.984965
52,-652.555289,106000,625.304752
53,-778.421151,108000,635.621277
54,-1289.832425,110000,645.92971
55,-676.739113,112000,656.386392
56,-768.19133,114000,666.510545
57,-747.9083360000001,116000,676.725262
58,-669.420077,118000,687.4554509999999
59,-704.883381,120000,697.500637
60,-696.7273650000001,122000,708.239963
61,-809.03058,124000,721.210538
62,-603.475968,126000,732.423412
63,-827.835582,128000,743.963582
64,-747.146338,130000,755.721628
65,-854.485307,132000,767.909278
66,-1351.537464,134000,780.2138679999999
67,-910.182307,136000,792.396369
68,-789.955604,138000,803.5398299999999
