,r,l,t
0,-1766.9348149999998,2000,13.470288
1,-1626.559292,4000,26.297715000000004
2,-1512.544857,6000,38.973929
3,-1601.132106,8000,50.267944
4,-1441.559989,10000,60.379511
5,-1530.198434,12000,71.994905
6,-1317.990849,14000,81.701462
7,-1446.0706910000001,16000,93.243113
8,-1312.576542,18000,103.056929
9,-1700.635306,20000,114.21330400000001
10,-1595.5889789999999,22000,124.27278000000001
11,-1109.076059,24000,134.264479
12,-1639.840032,26000,145.57123700000002
13,-1551.34448,28000,155.35845
14,-1619.783436,30000,165.132676
15,-1384.367543,32000,174.865275
16,-1065.873742,34000,184.67371200000002
17,-1505.811351,36000,196.076322
18,-1362.723698,38000,206.04368
19,-1250.268288,40000,216.02209700000003
20,-1205.76388,42000,225.818201
21,-1603.0204310000001,44000,235.59382999999997
22,-1301.2673550000002,46000,245.384911
23,-1285.468996,48000,255.16528300000002
24,-1332.920627,50000,264.924297
25,-1168.559728,52000,274.742472
26,-1490.550126,54000,284.576548
27,-1395.390262,56000,294.472828
28,-1287.087577,58000,304.299729
29,-1415.382293,60000,314.090917
30,-1483.08612,62000,324.452227
31,-1563.677556,64000,337.45237099999997
32,-1555.771941,66000,350.722727
33,-1294.777289,68000,362.43761800000004
34,-1345.4757869999999,70000,375.0412
35,-927.992188,72000,386.042864
36,-880.922624,74000,399.05669
37,-1073.575035,76000,412.089266
38,-699.974321,78000,423.90671900000007
39,-1205.889749,80000,436.74771
40,-704.533996,82000,448.67731799999996
41,-1236.24665,84000,460.176191
42,-920.7581640000001,86000,471.934029
43,-1084.242125,88000,483.44563
44,-1345.9675320000001,90000,495.71699800000005
45,-1409.554161,92000,507.84344699999997
46,-907.5158640000001,94000,519.7113059999999
47,-808.371446,96000,531.278399
48,-705.260862,98000,543.360807
49,-978.478802,100000,555.247176
50,-1612.64637,102000,564.998253
51,-1018.563375,104000,575.219603
52,-1563.9706199999998,106000,587.1177309999999
53,-1677.4943759999999,108000,599.264833
54,-1162.161932,110000,610.824826
55,-785.245533,112000,622.332372
56,-1336.992967,114000,634.626838
57,-1282.017327,116000,646.0397780000001
58,-1277.579999,118000,656.869839
59,-1709.213111,120000,668.1062360000001
60,-802.122071,122000,678.5525349999999
61,-984.639511,124000,688.5874570000001
62,-1024.7513470000001,126000,701.727221
63,-1047.697365,128000,712.008708
64,-765.830893,130000,722.9046950000001
65,-834.785542,132000,732.803637
66,-1389.027294,134000,743.4816969999999
67,-1628.220008,136000,755.681607
68,-1139.212283,138000,766.832189
69,-1297.118181,140000,779.0218769999999
70,-1445.553713,142000,790.68262
71,-1140.425468,144000,801.815383
72,-1275.883943,146000,814.16343
73,-1486.570501,148000,825.192086
74,-1126.822817,150000,836.433688
75,-1044.209145,152000,848.001677
76,-678.137988,154000,861.7962550000001
77,-768.899333,156000,876.1556210000001
78,-698.5128070000001,158000,888.248497
79,-706.678803,160000,899.458201
80,-775.4928309999999,162000,909.610524
81,-1504.202067,164000,919.8385300000001
82,-1730.5098239999998,166000,931.101433
83,-1464.011899,168000,942.779817
84,-1652.1964449999998,170000,953.1932439999999
85,-863.26937,172000,963.8536369999999
86,-617.48985,174000,975.746053
87,-745.649746,176000,988.5820630000001
88,-902.793826,178000,998.76405
89,-573.432476,180000,1008.7139400000001
90,-1458.710624,182000,1019.840543
91,-1083.094531,184000,1029.944958
92,-1119.751657,186000,1039.9572560000001
93,-1324.751139,188000,1049.884197
94,-1068.283858,190000,1059.882773
95,-722.134153,192000,1069.700374
96,-830.0212230000001,194000,1079.5601800000002
97,-1281.924026,196000,1089.388649
98,-963.561777,198000,1099.199771
99,-991.2523359999999,200000,1108.987001
100,-1402.391735,202000,1118.8095230000001
101,-1160.308031,204000,1128.6163060000001
102,-1323.483289,206000,1138.420896
103,-1445.482593,208000,1148.231648
104,-1282.971364,210000,1158.04005
105,-1624.143733,212000,1167.832301
106,-552.434628,214000,1177.701669
107,-936.6031310000001,216000,1188.872388
108,-1084.944477,218000,1198.793609
109,-608.1269629999999,220000,1208.657687
110,-481.13992699999994,222000,1218.484186
111,-444.42717400000004,224000,1229.6996609999999
112,-530.877706,226000,1240.985162
113,-895.4556449999999,228000,1250.80791
114,-478.87632,230000,1260.811251
115,-1402.547788,232000,1270.674979
116,-1127.917205,234000,1280.4987310000001
117,-499.840583,236000,1290.3325539999998
118,-1548.67399,238000,1300.199764
119,-1199.0100730000001,240000,1310.011713
120,-980.6699710000001,242000,1319.818886
121,-1520.722127,244000,1329.657285
122,-1142.7380380000002,246000,1339.4824529999999
123,-1666.880556,248000,1349.294223
124,-1162.321798,250000,1359.137804
125,-1670.9452529999999,252000,1368.954336
126,-579.3212179999999,254000,1378.769032
127,-1581.7104960000001,256000,1388.577799
128,-1587.188623,258000,1398.472084
129,-1153.305509,260000,1408.2612880000001
130,-1018.900665,262000,1418.057536
131,-1205.362962,264000,1427.840185
132,-1664.9718599999999,266000,1437.609541
133,-1717.4696219999998,268000,1447.404578
134,-1707.6792510000002,270000,1457.20734
135,-1567.6328800000001,272000,1466.981628
136,-1276.204473,274000,1476.798665
137,-1192.697118,276000,1486.558336
138,-887.397927,278000,1496.332046
139,-1614.952039,280000,1506.150762
140,-624.2895639999999,282000,1515.926613
141,-597.2458730000001,284000,1525.707355
142,-1036.0594800000001,286000,1535.5424779999998
143,-564.508116,288000,1545.434487
144,-1576.600447,290000,1555.281999
145,-1384.198652,292000,1565.092433
146,-1654.223641,294000,1574.869905
147,-1051.9731689999999,296000,1584.641765
148,-1557.133966,298000,1594.427439
149,-1284.8885970000001,300000,1604.229709
150,-1465.868467,302000,1613.988187
151,-1460.725247,304000,1623.772459
152,-1219.108941,306000,1633.543975
153,-1567.723197,308000,1643.3535160000001
154,-1547.24966,310000,1653.137341
155,-1691.413674,312000,1662.91067
156,-1665.595284,314000,1672.691849
157,-1586.125,316000,1682.487175
158,-1672.045645,318000,1692.247281
159,-1574.148719,320000,1702.019594
160,-1181.528288,322000,1711.7855309999998
161,-1648.325282,324000,1721.5974629999998
162,-1696.803583,326000,1731.372007
163,-1544.581598,328000,1741.141115
164,-1208.3614630000002,330000,1750.955809
165,-1561.943467,332000,1760.7333989999997
166,-1471.3249230000001,334000,1770.5129949999998
167,-1448.728952,336000,1780.3128329999997
168,-1259.292048,338000,1790.08166
169,-1639.028732,340000,1799.8681329999997
170,-1252.131648,342000,1809.618227
171,-1561.364207,344000,1819.3970100000001
172,-826.499542,346000,1829.175282
173,-1141.667648,348000,1838.962203
174,-1640.87415,350000,1848.76096
175,-1520.466494,352000,1858.5610780000002
176,-1277.9720109999998,354000,1868.373482
177,-536.563863,356000,1878.1534829999998
178,-620.347241,358000,1888.0045940000002
179,-809.865999,360000,1897.808271
180,-1067.33941,362000,1907.572252
181,-1583.335485,364000,1917.329721
182,-1210.518697,366000,1927.154978
183,-1092.18633,368000,1936.9185949999999
184,-1051.0832779999998,370000,1946.712101
185,-732.814743,372000,1956.513704
186,-1240.38115,374000,1966.271993
187,-710.573506,376000,1976.047995
188,-626.1565929999999,378000,1985.844794
189,-1515.745268,380000,1995.600614
190,-1544.933084,382000,2005.358778
191,-581.500587,384000,2015.1365280000002
192,-513.613035,386000,2024.8914109999998
