r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1646.241058,2000,15.200426,0.012016117,0.21290235,-0.2148818,0.2746316,0.21115643,-0.0027907363,0.29691845,-0.21344669,-0.10058034,-0.07675495
-1753.650329,4000,35.009828,0.013680546,0.20704533,-0.23898834,0.2813804,0.20469007,-0.034102917,0.2935308,-0.21091612,-0.104727775,-0.053134523
-1501.493689,6000,53.322358,0.012317,0.21246186,-0.21957494,0.29483506,0.21708244,-0.035079885,0.27005312,-0.19880983,-0.060743567,-0.058989823
-1434.568325,8000,74.656549,0.0071634497,0.20676863,-0.19429807,0.28748357,0.23099919,0.020542948,0.2708712,-0.19128564,-0.05103603,-0.066573165
-1202.839424,10000,93.595144,0.02420153,0.19404194,-0.18720645,0.26954022,0.23408078,0.03048268,0.26652646,-0.21794952,-0.045631263,-0.031203091
-885.344445,12000,113.031865,0.047826637,0.19012725,-0.19630574,0.25820217,0.23420057,0.026263142,0.29993427,-0.26491374,-0.068414256,0.081190005
-950.238569,14000,131.669032,0.043464147,0.16419722,-0.1344721,0.23723242,0.23428708,0.016716355,0.31085685,-0.30553654,-0.054920502,0.08135845
-848.186489,16000,147.638196,0.040378638,0.10399216,-0.05202098,0.21870895,0.22977798,0.048518818,0.31756657,-0.37395507,-0.054415382,0.110404715
-1278.897317,18000,165.981192,0.06798522,0.085619554,-0.05758396,0.17859463,0.15220031,0.06696463,0.32672668,-0.43340507,-0.053503636,0.17151102
-1357.927693,20000,181.51378,0.083173305,0.15190369,-0.071105994,0.22531578,0.07793203,-0.006433421,0.29344687,-0.4917764,-0.061490644,0.22354804
-1312.867033,22000,195.759629,0.0069909594,0.16718632,0.081543505,0.18483225,0.09483668,-0.056632064,0.31438237,-0.54919726,-0.0693179,0.17779945
-1803.39146,24000,209.834201,0.01379353,0.14344713,0.023117937,0.11530613,0.09779649,0.003928448,0.29214877,-0.55317414,-0.09512009,0.14258951
-1539.224121,26000,224.067011,0.013334143,0.13418436,0.00841631,0.1204969,0.15172766,0.028208196,0.2539784,-0.5130766,-0.110967904,0.18924089
-1585.738526,28000,238.273678,0.0062427623,0.14227925,-0.036651187,0.09762426,0.17240433,0.033252507,0.22433123,-0.4413815,-0.07422015,0.19355161
-1305.662357,30000,252.491915,0.03518759,0.16200475,-0.055929683,0.077419624,0.23862244,0.009230603,0.2112794,-0.38865232,-0.11399211,0.14519478
-1696.935635,32000,266.533583,0.04059229,0.1732112,-0.030027691,0.03439194,0.28950384,-0.019774536,0.19507892,-0.38172287,-0.14137734,0.08003667
-1632.164742,34000,280.626066,0.032056015,0.16406496,-0.0063107396,0.06410402,0.28596213,-0.023075312,0.21742885,-0.35226867,-0.15377854,0.078149095
-969.688855,36000,294.755079,0.05275084,0.15807816,0.004721667,0.106010824,0.3112901,-0.0406035,0.22179973,-0.33414343,-0.16780545,0.055744126
-889.705217,38000,308.885966,0.08072136,0.13595854,0.016580889,0.07036242,0.34286192,-0.043903373,0.2215643,-0.29914835,-0.2114757,0.027088448
-953.376936,40000,323.02657,0.08138288,0.13317542,0.024991073,0.07617763,0.3569308,-0.039208017,0.21002486,-0.32655656,-0.2282325,0.028294662
-886.95172,42000,337.086051,0.116038896,0.13781786,0.015825652,0.08705891,0.38454452,-0.046809874,0.18458378,-0.35748634,-0.24506322,0.03766577
-874.520341,44000,351.179587,0.15723851,0.15122914,0.049931224,0.11056454,0.40973887,-0.033216216,0.18434101,-0.3450085,-0.23961194,0.036299486
-907.49582,46000,365.276717,0.14923985,0.16079412,0.094387576,0.15563352,0.43666133,0.0024495143,0.18422462,-0.35296005,-0.22003065,0.02775738
-822.163348,48000,379.402264,0.14483352,0.15890114,0.11500917,0.16355242,0.45418143,0.017448084,0.16245472,-0.33451983,-0.20074646,0.004484918
-904.490335,50000,394.83422,0.1539871,0.16079149,0.07521542,0.16604125,0.44223842,0.01980093,0.14483857,-0.32620654,-0.14379287,-0.008436991
-1160.09206,52000,408.960173,0.1785416,0.14569448,0.0551601,0.12904418,0.42063484,0.002432591,0.11915648,-0.3190185,-0.13387573,-0.015843114
-1161.0808,54000,423.174111,0.16868252,0.13248074,0.12465358,0.13958912,0.40360418,-0.0030078865,0.11494971,-0.28007048,-0.2001541,-0.020225521
-1748.410016,56000,437.33825,0.1423471,0.13732399,0.14792898,0.1638534,0.41566965,-0.0010921535,0.094157666,-0.25786263,-0.27406394,-0.020945588
-1336.243531,58000,451.475078,0.13267793,0.12311216,0.15008476,0.19355558,0.42280665,0.02078064,0.111579396,-0.26742455,-0.29416835,-0.012884132
