r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1799.107975,2000,16.307027,0.06600797,-0.02345198,0.31571808,-0.28506815,0.23986998,-0.12869743,-0.32361838,-0.09745166,0.27067426,0.1332573
-1621.397816,4000,34.990745,0.065864615,-0.02430754,0.31455362,-0.26988456,0.24143158,-0.13097835,-0.32512376,-0.09501352,0.2675874,0.13173872
-1550.559033,6000,52.245187,0.06731821,-0.023082403,0.2951107,-0.2561972,0.24545361,-0.1343976,-0.31912857,-0.10192001,0.2652547,0.13428527
-1399.370998,8000,69.146183,0.06698769,-0.025869772,0.27996337,-0.25373122,0.2472001,-0.107975446,-0.31437844,-0.09868159,0.26747125,0.13250002
-1065.708876,10000,85.247097,0.11336278,-0.009912942,0.25922734,-0.22737877,0.28045404,-0.038556132,-0.22512534,-0.0946242,0.27038902,0.099584594
-682.988269,12000,101.090629,0.20503856,-0.008480651,0.28961843,-0.23569913,0.3046658,0.005093736,-0.066449076,-0.081575446,0.26108912,0.09253887
-1206.847772,14000,117.927208,0.21755694,-0.04223831,0.30357185,-0.16660276,0.31585422,0.037701614,-0.029634913,-0.07674188,0.26856688,0.051498704
-1112.529804,16000,133.158872,0.19338702,-0.13416778,0.24721166,-0.09589458,0.23721287,0.005230642,0.053223323,-0.087773085,0.28059047,0.011326551
-1290.526043,18000,148.086132,0.15683122,-0.18368977,0.21289028,-0.09780557,0.19975223,0.03003109,0.00857747,-0.09872637,0.31041774,0.015111163
-836.49158,20000,163.105502,0.11405241,-0.207698,0.1791896,-0.105770715,0.17090373,0.05592366,0.090541266,-0.097611025,0.2962877,0.021430718
-1656.38347,22000,178.556401,0.15511912,-0.13895923,0.13672645,-0.11493232,0.26246962,0.08555541,0.17396568,-0.13768569,0.24720998,-0.049606804
-1108.998811,24000,194.157892,0.1599952,-0.13065633,0.14214072,-0.11074199,0.2658686,0.082375236,0.13541731,-0.19470876,0.19384146,-0.09026948
-1201.657971,26000,209.732816,0.20284903,-0.121135004,0.15233079,-0.1405853,0.26832044,0.068583176,0.012582325,-0.25473344,0.14896339,-0.06503105
-754.39521,28000,225.50496,0.17104591,-0.12941402,0.14102346,-0.08003356,0.2513005,0.08479109,-0.031995635,-0.295774,0.15468106,-0.013291824
-700.375074,30000,241.12263,0.14287713,-0.11921557,0.08882309,-0.060977105,0.298883,0.04063864,-0.02591592,-0.3055919,0.16969432,-0.019963715
-680.371652,32000,258.264039,0.12585866,-0.068397515,0.059843432,-0.0019893507,0.2861966,0.057391495,0.021446832,-0.33451238,0.18413182,-0.006117872
-910.846461,34000,275.838367,0.14634526,-0.044520777,0.07187431,-0.059101246,0.26078478,0.04533473,0.042311896,-0.3349748,0.20399693,-0.03836975
-1287.156222,36000,292.290207,0.14936724,-0.044343382,0.096294925,-0.13592379,0.23803143,0.0320106,0.0061189053,-0.33671597,0.23583385,-0.07003951
-1300.779472,38000,308.58507,0.14980115,-0.031051528,0.081394404,-0.115784965,0.1950134,0.00092058233,0.027529994,-0.31590113,0.2522534,-0.093424655
-1035.390516,40000,324.564665,0.16705321,-0.024403213,0.065076195,-0.10561975,0.1869159,-0.006191605,0.052328248,-0.3223371,0.26472983,-0.10777942
-1471.70187,42000,339.673332,0.17373806,-0.058318228,0.062021937,-0.06554885,0.18425734,0.0095617445,0.112125374,-0.32268313,0.3064379,-0.15394987
-1278.365371,44000,354.679446,0.18272853,-0.07734755,0.024958603,-0.069675565,0.17643932,0.008359428,0.13551193,-0.36816886,0.32929984,-0.19176552
-1648.494199,46000,369.839102,0.17498249,-0.095336236,0.015074422,-0.13085763,0.18273354,0.009238075,0.18628894,-0.40345916,0.3561255,-0.15061802
-1177.539719,48000,385.150609,0.18420114,-0.11870722,0.034642916,-0.15948066,0.15908948,-0.016367381,0.1835224,-0.4146587,0.39167637,-0.13962412
-908.64752,50000,400.290004,0.22703046,-0.09031761,0.005026787,-0.14548035,0.12798047,-0.028209826,0.17979655,-0.43816477,0.4192741,-0.1265586
-1421.153919,52000,415.311568,0.24074993,-0.07101952,-0.029348517,-0.15149432,0.10966698,-0.036180604,0.19707526,-0.4507098,0.45363554,-0.048312422
-1125.309711,54000,430.162321,0.23314378,-0.07569951,-0.014355951,-0.14898813,0.098676585,-0.06203481,0.20840958,-0.4539727,0.47302803,-0.032280914
-1202.683839,56000,445.006763,0.24756017,-0.07030397,0.013660036,-0.115381576,0.08388156,-0.10718263,0.19319953,-0.48298952,0.49216092,-0.010156825
-798.443052,58000,459.923491,0.29156607,-0.0769599,0.033124883,-0.08784297,0.073071666,-0.14047493,0.17188218,-0.5033691,0.48736808,0.00753334
-1018.386726,60000,476.777325,0.30266157,-0.06318737,0.056391064,-0.090662375,0.06754319,-0.1500607,0.13168961,-0.51214045,0.501528,0.030039396
-968.853402,62000,492.889619,0.30084002,-0.04251318,0.047812235,-0.100846335,0.04871216,-0.16904555,0.10626368,-0.50051993,0.5189118,0.019171353
-754.127361,64000,508.960031,0.30340517,-0.040108815,0.06012362,-0.111516155,0.05562817,-0.19857304,0.09873004,-0.47587076,0.5229333,0.002337939
-799.733778,66000,524.789271,0.31540528,-0.04137693,0.09540116,-0.105961196,0.04323634,-0.20565617,0.107750274,-0.4807245,0.51280606,0.0025196124
-899.378084,68000,541.636194,0.3099423,-0.04259088,0.12404386,-0.12245553,0.061902042,-0.16741292,0.11177901,-0.47699958,0.51656944,0.002752721
-807.311143,70000,559.248677,0.29799923,-0.053444218,0.0948795,-0.14416611,0.07997047,-0.15080711,0.13155977,-0.46108603,0.51330644,0.0052040294
-698.026002,72000,575.933798,0.2719593,-0.067789495,0.080054335,-0.1601716,0.08027109,-0.15321006,0.14150602,-0.43695834,0.5062102,-0.0063986336
-938.73272,74000,593.087266,0.27936125,-0.055490255,0.040377323,-0.15538734,0.08934771,-0.15156423,0.14499713,-0.42341575,0.49913836,-0.046107177
-1161.188856,76000,608.789707,0.2786443,-0.060546167,-0.00043475835,-0.14051688,0.11885521,-0.15881701,0.1560405,-0.4186734,0.50402284,-0.08260144
-1130.849496,78000,624.402683,0.25537798,-0.09369654,-0.10052102,-0.10742236,0.15672687,-0.12948473,0.15681757,-0.44835708,0.51425,-0.078990094
-920.024215,80000,641.648793,0.24698424,-0.07502946,-0.17253372,-0.071231246,0.16961269,-0.10617493,0.19932914,-0.4781606,0.5167809,-0.06278827
-725.96976,82000,657.798751,0.26267347,-0.047141675,-0.23346817,-0.09254656,0.20596749,-0.11082845,0.2909023,-0.49501538,0.50742793,-0.06431266
-619.878109,84000,675.196358,0.28817934,-0.036694035,-0.2899168,-0.09552382,0.25426894,-0.14709608,0.3211099,-0.5101444,0.51634413,-0.07890178
-622.157714,86000,692.615435,0.31189358,-0.01092115,-0.31449914,-0.102451816,0.26508904,-0.16370685,0.33860523,-0.505254,0.5277991,-0.06973318
-728.854816,88000,710.209903,0.34005627,0.01933167,-0.3059914,-0.12070962,0.28129357,-0.18080445,0.34948662,-0.4764956,0.52185243,-0.057670366
