,r,l,t
0,-1566.2796560000002,2000,14.767755
1,-1275.241435,4000,30.930909999999997
2,-1534.948826,6000,44.25428
3,-1706.062516,8000,56.373647999999996
4,-1628.999409,10000,69.006726
5,-1610.214602,12000,80.018896
6,-1104.731534,14000,90.031267
7,-1316.366286,16000,102.77906999999999
8,-1042.877282,18000,112.607427
9,-954.192707,20000,125.680043
10,-1281.534759,22000,138.78430500000002
11,-1470.676778,24000,150.159998
12,-1692.8409629999999,26000,162.853325
13,-1329.1800289999999,28000,174.96340700000002
14,-902.3071779999999,30000,186.820799
15,-1111.984176,32000,200.6654
16,-1247.085567,34000,211.45276099999998
17,-1585.483835,36000,221.602258
18,-1568.36913,38000,231.684796
19,-1689.3830649999998,40000,241.57149700000002
20,-1633.925444,42000,251.47787999999997
21,-921.4229130000001,44000,261.401683
22,-832.576918,46000,271.22745299999997
23,-1140.797975,48000,282.34139700000003
24,-1674.0903150000001,50000,292.154952
25,-984.1894279999999,52000,302.004214
26,-925.0237109999999,54000,311.82613100000003
27,-1074.358659,56000,321.63538900000003
28,-1316.251879,58000,331.432826
29,-876.485466,60000,341.24009900000004
30,-1240.727535,62000,351.060573
31,-1121.17826,64000,360.87594
32,-1050.203508,66000,370.754484
33,-1218.41481,68000,380.549748
34,-1714.434516,70000,390.368754
35,-1075.088416,72000,400.197066
36,-1021.667844,74000,409.993459
37,-1075.412515,76000,419.801385
38,-867.871159,78000,429.643978
39,-1111.938275,80000,439.52063799999996
40,-1269.008482,82000,449.35952199999997
41,-1050.3861,84000,459.212103
42,-1007.23585,86000,469.033854
43,-1277.750212,88000,478.89450999999997
44,-1658.3266019999999,90000,488.73613600000004
45,-1072.113461,92000,498.54829299999994
46,-949.632974,94000,508.35160199999996
47,-1645.0587990000001,96000,518.2209190000001
48,-910.8531439999999,98000,528.04268
49,-1180.250014,100000,537.9102839999999
50,-1388.920811,102000,547.732038
51,-1507.700985,104000,557.571994
52,-1702.2142210000002,106000,567.4260780000001
53,-1385.1161880000002,108000,577.245497
54,-1257.60942,110000,587.11725
55,-1693.607864,112000,596.948172
56,-1157.794383,114000,606.762801
57,-1309.585386,116000,616.609876
58,-842.18572,118000,626.440107
