,r,l,t
0,-1758.7265960000002,2000,16.260365
1,-1326.447539,4000,32.026936
2,-1483.717584,6000,43.507037
3,-1259.0037869999999,8000,53.510442000000005
4,-1487.0390710000001,10000,65.02820200000001
5,-1549.5648039999999,12000,75.039808
6,-1476.030049,14000,84.93921800000001
7,-1681.801616,16000,94.842929
8,-1590.420235,18000,105.433001
9,-1521.7908289999998,20000,119.317805
10,-1312.48822,22000,131.312037
11,-1405.761268,24000,141.425167
12,-1211.684203,26000,152.986853
13,-1066.3086369999999,28000,166.003983
14,-1082.45616,30000,178.952374
15,-1543.3797880000002,32000,190.569727
16,-1142.104988,34000,201.965582
17,-761.2640769999999,36000,213.906501
18,-1702.153752,38000,226.893913
19,-629.674771,40000,238.89443799999998
20,-1132.533163,42000,252.49582400000003
21,-1041.289856,44000,264.51215299999996
22,-1264.962253,46000,276.08457599999997
23,-875.441617,48000,287.669781
24,-858.103986,50000,298.25383700000003
25,-1084.65581,52000,308.257318
26,-1309.0937789999998,54000,318.112908
27,-1075.555617,56000,328.29497599999996
28,-1234.0444630000002,58000,338.090761
29,-1135.8078070000001,60000,347.842594
30,-1372.505845,62000,357.924287
31,-965.209035,64000,367.86132799999996
32,-1223.825351,66000,377.62487200000004
33,-1564.1903439999999,68000,387.726926
34,-1039.932221,70000,399.473621
35,-1343.637868,72000,410.994652
36,-1299.507261,74000,422.48804
37,-1339.857941,76000,434.12571900000006
38,-1186.12543,78000,445.82509000000005
39,-1048.758556,80000,457.35718399999996
40,-1192.5209029999999,82000,468.411645
41,-1210.783011,84000,480.60118099999994
42,-1243.7881550000002,86000,492.178434
43,-1340.415306,88000,504.14991299999997
44,-902.763976,90000,515.733874
45,-1309.6194150000001,92000,527.289404
46,-1170.407512,94000,539.063826
47,-990.8445019999999,96000,550.9033450000001
48,-1126.109203,98000,563.326782
49,-1113.3916689999999,100000,575.077575
50,-1105.859778,102000,586.6765230000001
51,-1003.3888929999999,104000,598.1984150000001
52,-1195.034885,106000,609.789759
53,-1215.858853,108000,621.355692
54,-1298.6448619999999,110000,633.4149610000001
55,-729.24888,112000,645.080974
56,-1147.271667,114000,656.593571
57,-955.434752,116000,668.178106
58,-683.861047,118000,679.69002
59,-611.214195,120000,691.188367
60,-888.2321099999999,122000,704.38829
61,-852.995775,124000,716.020954
62,-673.510505,126000,727.564442
63,-818.577365,128000,739.076662
64,-539.750731,130000,750.61775
65,-1101.553217,132000,763.546127
66,-497.28182400000003,134000,775.397866
67,-1220.03057,136000,788.344204
68,-1014.1191949999999,138000,799.888116
69,-1285.039342,140000,811.521216
70,-648.251493,142000,823.115362
71,-566.485263,144000,834.64166
72,-895.716256,146000,846.353881
73,-1406.648343,148000,857.9275279999999
74,-1580.148224,150000,869.9158199999999
75,-1013.672599,152000,881.4933869999999
76,-832.811282,154000,893.0540960000001
77,-751.5975480000001,156000,904.8995859999999
78,-618.6027429999999,158000,916.482235
79,-1559.5032390000001,160000,928.4399990000001
80,-1650.7502,162000,940.192938
81,-660.477946,164000,952.0461339999999
82,-1477.747621,166000,963.7611109999999
83,-852.326538,168000,975.368374
84,-630.2641679999999,170000,987.3323029999999
85,-815.975741,172000,998.8887789999999
86,-952.901688,174000,1010.551283
87,-1425.87654,176000,1022.175569
88,-984.623877,178000,1034.033564
89,-943.0969640000001,180000,1045.62048
90,-1649.8515220000002,182000,1057.219101
91,-871.518368,184000,1068.834279
92,-889.904717,186000,1080.456854
93,-1063.526469,188000,1092.600842
94,-1150.074439,190000,1104.889565
95,-839.345367,192000,1116.822485
96,-795.959517,194000,1127.7074289999998
97,-548.082646,196000,1140.779021
98,-746.461716,198000,1154.554409
99,-690.8313860000001,200000,1167.386702
100,-617.2235599999999,202000,1179.082641
101,-1100.644059,204000,1190.9117390000001
102,-512.546515,206000,1202.628971
103,-1051.105823,208000,1214.220825
104,-645.995046,210000,1225.919027
105,-1343.477869,212000,1237.54744
106,-1649.722732,214000,1250.3124480000001
107,-578.007319,216000,1261.784836
108,-556.540112,218000,1274.233658
109,-1348.568814,220000,1285.909315
110,-445.057756,222000,1297.672598
111,-439.863761,224000,1310.693628
112,-564.490045,226000,1323.807435
113,-626.04936,228000,1335.446965
114,-1163.2198210000001,230000,1347.052608
115,-490.977537,232000,1358.82174
116,-1426.27825,234000,1370.521076
117,-677.0070440000001,236000,1382.1473720000001
118,-517.800911,238000,1393.808117
119,-561.375631,240000,1405.469196
120,-599.333316,242000,1417.289928
121,-424.957901,244000,1429.1811089999999
122,-416.04520499999995,246000,1442.1770689999998
123,-770.124872,248000,1455.390898
124,-696.713413,250000,1467.088755
125,-452.63183499999997,252000,1478.726284
126,-414.387583,254000,1490.656921
127,-430.683254,256000,1503.6504009999999
128,-456.234484,258000,1515.282798
129,-388.51698500000003,260000,1526.9014359999999
130,-525.289745,262000,1540.038319
131,-393.370622,264000,1551.992516
132,-392.84907400000003,266000,1563.679497
133,-403.72488799999996,268000,1574.946897
134,-820.5405509999999,270000,1586.987149
135,-1269.458149,272000,1598.788999
136,-447.183321,274000,1610.457381
137,-782.125012,276000,1620.824066
138,-485.18866399999996,278000,1630.757494
139,-772.7352139999999,280000,1640.668064
140,-1408.309013,282000,1650.555965
141,-491.891884,284000,1660.414626
142,-1371.0612529999999,286000,1670.48809
143,-1270.519415,288000,1680.803705
144,-489.50960499999997,290000,1690.6713489999997
145,-591.476916,292000,1700.5399730000001
146,-635.039913,294000,1710.452451
147,-556.834217,296000,1720.32772
148,-933.2922769999999,298000,1730.1936699999999
