r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1749.694944,2000,15.889575,-0.02618765,0.15343376,-0.11861714,0.021337735,-0.20473191,0.13228047,0.1462485,0.16904914,0.13979095,0.11903535
-1582.432568,4000,34.660777,-0.03780748,0.15479332,-0.122864954,0.03554909,-0.20195235,0.14227755,0.13663422,0.15199608,0.14465532,0.11082763
-1705.559989,6000,52.034865,-0.047155272,0.15364432,-0.12188863,0.05600555,-0.17382781,0.1187619,0.14175293,0.14099577,0.14249818,0.110256106
-1576.387784,8000,66.088766,-0.022914167,0.1621775,-0.122073404,0.057093117,-0.16092627,0.10662626,0.15340777,0.13207802,0.14852884,0.11120463
-1693.950954,10000,81.766353,0.015351866,0.16574019,-0.11650808,0.04192757,-0.17197105,0.09141061,0.15862218,0.13289249,0.17944296,0.10560634
-1673.146834,12000,96.380835,0.0077256453,0.17187585,-0.124197304,0.03895588,-0.1834748,0.07824867,0.13037601,0.12645607,0.22062871,0.1104352
-1585.170498,14000,110.315183,-0.019691072,0.17422487,-0.11380288,0.02751943,-0.2010412,0.06884056,0.1182076,0.14399105,0.19412589,0.14160034
-1736.024336,16000,124.160598,-0.019036207,0.17012547,-0.11394177,0.019270087,-0.20397227,0.055942282,0.1272567,0.13393342,0.18461776,0.1464428
-1089.909652,18000,137.994145,-0.00087308086,0.17989762,-0.10943788,0.016786259,-0.21672589,0.050476573,0.15162855,0.12313917,0.17468145,0.16115245
-1608.056601,20000,153.146957,-0.0004974212,0.18015762,-0.12712502,0.012224693,-0.22261752,0.040649977,0.17011005,0.10548129,0.18220109,0.16277434
-920.365052,22000,167.481324,0.011340786,0.16815583,-0.14220501,0.004301042,-0.24698715,0.04030414,0.17537747,0.11523987,0.17894317,0.16089125
-859.413486,24000,183.809504,0.025552902,0.16548823,-0.1820575,0.01659585,-0.24882522,0.04047939,0.17000525,0.12816961,0.1716221,0.16384497
-941.534545,26000,199.320048,0.036012042,0.16923878,-0.18077852,0.030746654,-0.24352494,0.038095146,0.16370645,0.13785887,0.16339038,0.16424027
-1547.632398,28000,213.272687,0.034574676,0.17847216,-0.16796377,0.035541557,-0.24263301,0.029225295,0.15538563,0.12274876,0.1501489,0.16279657
-1422.266432,30000,227.308003,0.0005023365,0.18671107,-0.16581945,0.030137066,-0.23944399,0.03831112,0.16217868,0.11670065,0.1302949,0.1637579
-1454.120767,32000,242.164394,-0.021225605,0.19788784,-0.17217724,0.01388676,-0.24152315,0.058175907,0.15197605,0.12488933,0.11000005,0.16157205
-882.993977,34000,256.165226,-0.031207561,0.18566687,-0.19241253,0.012853127,-0.22560328,0.05226763,0.16788736,0.16011986,0.08858924,0.1805873
-870.782145,36000,270.143294,-0.03577241,0.16617623,-0.20104823,0.029247569,-0.21193697,0.045057528,0.17312458,0.15134947,0.099416725,0.16759199
-822.467475,38000,284.140049,-0.01958245,0.17178069,-0.16519645,0.064988695,-0.1825996,0.04377173,0.16145185,0.14313133,0.12019559,0.17130464
-735.182074,40000,300.156132,-0.030593004,0.1881623,-0.13667566,0.07226138,-0.1776907,0.067888364,0.15938416,0.12499972,0.12454568,0.17933954
-1163.777659,42000,314.960635,-0.04236152,0.19246536,-0.12730312,0.08592517,-0.17786792,0.0700897,0.15209661,0.14042538,0.12972534,0.18251693
-1050.890071,44000,329.35098,-0.017400626,0.19204274,-0.110127404,0.09236578,-0.17521386,0.07082083,0.12857568,0.15314461,0.12439609,0.17089476
-1064.911919,46000,343.285151,-0.012248411,0.17845218,-0.105117925,0.1031348,-0.17975035,0.0505397,0.12193943,0.17045632,0.11176487,0.18812801
-1161.759691,48000,357.056627,-0.0013332475,0.17150623,-0.10478294,0.10753848,-0.18280692,0.05539149,0.11885222,0.17262845,0.13549554,0.20226476
-1269.632139,50000,371.982865,0.025797896,0.14757,-0.10449657,0.12074787,-0.21050794,0.051779073,0.1219379,0.17125164,0.1484377,0.2202537
-1194.166203,52000,388.490942,0.051803917,0.10945072,-0.10980083,0.12151048,-0.2218377,0.03969273,0.1319813,0.17733967,0.16090919,0.24111198
-770.470908,54000,400.999728,0.064789936,0.074582286,-0.12258482,0.13227761,-0.23298135,0.034621395,0.14885141,0.17149466,0.14373174,0.25719187
-855.925887,56000,415.410681,0.056955878,0.041031495,-0.13803954,0.13825299,-0.24579494,0.029727511,0.16484009,0.17128229,0.14020307,0.27401158
-957.846884,58000,428.212005,0.054504994,0.020170143,-0.14755905,0.1460049,-0.25566685,0.039861158,0.17800938,0.1597949,0.14087686,0.28647205
-990.7713,60000,442.325949,0.052170515,0.009500575,-0.13807155,0.14112456,-0.2571098,0.034792546,0.18935627,0.16778968,0.14263104,0.29279664
-982.744853,62000,456.287508,0.042613927,0.004771534,-0.12341031,0.12603591,-0.26142135,0.031767264,0.2010163,0.18863522,0.14281903,0.29714984
-1327.519487,64000,469.660904,0.061189953,0.0062936223,-0.103848845,0.1208135,-0.28705838,0.023325067,0.1963286,0.24258909,0.16051386,0.2961943
-869.152846,66000,483.775695,0.054454632,0.028396863,-0.105731584,0.10394081,-0.30565014,0.027365502,0.19149865,0.27971154,0.1432788,0.29060674
-767.94562,68000,497.882528,0.04263346,0.04826004,-0.13750283,0.09120273,-0.29302725,0.013510639,0.18084347,0.32743898,0.15273343,0.30672774
-1080.37403,70000,511.834491,0.05450146,0.03903583,-0.1594438,0.078718185,-0.3009626,-0.00057512405,0.17234488,0.3637429,0.15390423,0.32313904
-826.343246,72000,525.787041,0.06449331,0.066799834,-0.19251858,0.06966344,-0.2652303,-0.0109152915,0.14788717,0.39587754,0.15614657,0.32922617
-1296.173188,74000,539.524254,0.0607333,0.1078641,-0.20831096,0.054702852,-0.22502565,-0.007661394,0.1454359,0.40005618,0.15700072,0.3552675
-1088.047701,76000,552.664452,0.054536957,0.12208477,-0.22523028,0.064316265,-0.21453148,-0.0295224,0.1455392,0.36737913,0.15413497,0.36246032
-870.561247,78000,566.564382,0.061880816,0.14206527,-0.1889986,0.07614434,-0.20648271,-0.05792233,0.14286311,0.3419375,0.17074634,0.36047053
-848.594431,80000,580.977977,0.060967576,0.16089648,-0.19319372,0.07443692,-0.21427268,-0.06494235,0.145845,0.3374402,0.17570513,0.3658714
-1057.129616,82000,596.276641,0.07804689,0.14784376,-0.19551922,0.09128338,-0.19084382,-0.08162747,0.12951288,0.3392971,0.14347172,0.3855232
-1015.01164,84000,610.862872,0.08386891,0.14527777,-0.17957482,0.094274975,-0.16447406,-0.102292955,0.11737629,0.3689732,0.118091255,0.3885595
-855.555412,86000,625.796354,0.07604177,0.1504165,-0.17783959,0.094477914,-0.16374515,-0.10803573,0.11368142,0.35435063,0.10834953,0.39092574
-794.093847,88000,639.702452,0.07419045,0.15509602,-0.14249977,0.07885771,-0.16077414,-0.1328622,0.09872456,0.31321752,0.095689826,0.39973363
-822.184188,90000,654.22243,0.06004321,0.16003929,-0.13814454,0.060209394,-0.15715636,-0.15352629,0.087164775,0.3070033,0.038671013,0.41908488
-1071.133038,92000,668.609123,0.04136938,0.16978797,-0.13243942,0.037298813,-0.17811704,-0.16625102,0.090317406,0.3141501,0.009958597,0.4203521
-1630.119298,94000,682.251286,0.03694219,0.15569751,-0.1222673,0.028910926,-0.1846842,-0.18928362,0.06873156,0.29165095,-0.0067205527,0.43007442
-974.2577,96000,697.681845,0.023833143,0.17430931,-0.12493475,0.0318441,-0.18821478,-0.20573425,0.06887371,0.32996005,-0.02290383,0.40568495
-841.460216,98000,712.000229,0.015993468,0.17559311,-0.13454936,0.03158766,-0.19207273,-0.2420893,0.08096923,0.3349505,0.02533444,0.41380346
-1076.978188,100000,725.272311,0.00438598,0.17776243,-0.123978905,0.0108097,-0.18981597,-0.2502155,0.09558224,0.33633342,-0.008346018,0.42028835
-1457.742633,102000,738.521728,-0.005648899,0.1834886,-0.1387324,0.009378487,-0.1980701,-0.25775152,0.09745676,0.36084104,-0.048767652,0.43064144
-1031.354623,104000,752.40844,0.0004608519,0.17422223,-0.145143,0.03146616,-0.1896291,-0.2721886,0.08065932,0.36462787,-0.09214132,0.43854508
-889.657843,106000,766.639532,0.022900963,0.18798438,-0.14857474,0.052523494,-0.19513778,-0.25847194,0.06888949,0.3724686,-0.12820053,0.4350989
-1608.198254,108000,779.912472,0.040190063,0.18541194,-0.14729303,0.084457055,-0.1930424,-0.2585531,0.065658204,0.35436758,-0.15223962,0.45605788
-1300.662533,110000,793.11735,0.023172826,0.19566296,-0.14922686,0.08996469,-0.18818079,-0.24404527,0.07879828,0.35768798,-0.14851041,0.4756298
-1471.076242,112000,806.298604,0.016045382,0.20121028,-0.16861781,0.0771444,-0.16828626,-0.2337754,0.08327169,0.37562457,-0.17080708,0.4849839
