,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1830.359789,2000,14.48838,-0.32504672,0.14187811,0.18774569,-0.14226824,0.29205054,-0.19870578,0.23298931,0.16850214,0.058447275,0.13772187
1,-1488.384113,4000,31.731673999999998,-0.32794657,0.12147266400000001,0.20133328,-0.12933356,0.28615966,-0.20403484,0.22056341,0.15646604,0.06278651,0.11848637
2,-1710.858868,6000,47.705815,-0.31474736,0.112360604,0.21069966,-0.12679975,0.27202220000000005,-0.18729353,0.19828110000000002,0.22363923,0.05848654,0.11202074599999999
3,-1856.1548059999998,8000,62.26951999999999,-0.25318720000000006,0.07913477,0.22416092,-0.11518973,0.31732923,-0.10951479,0.17399022,0.22893195,0.055435367,0.10281339
4,-1396.858658,10000,77.04740600000001,-0.26387632,0.052933898,0.21011347,-0.113347106,0.3070733,-0.113758355,0.15468472,0.28035936,0.05146315,0.10857972
5,-1306.180896,12000,93.177616,-0.39908522,0.03209457,0.19665968,-0.058977842,0.25830660000000005,-0.026968707999999997,0.14640552,0.2761627,0.043784413,0.10507501
6,-1606.948032,14000,109.21051200000001,-0.41358948,0.03576088,0.17385264,-0.10596204,0.25510879999999997,-0.04779769,0.16791904,0.26779374,0.06501809,0.09514737
7,-1390.100181,16000,123.892248,-0.39021793,-0.034461528,0.1609926,-0.13026948,0.27318707,-0.04205438,0.24819349999999998,0.31572940000000005,0.046242077,0.059051614
8,-1786.2733420000002,18000,138.80269199999998,-0.41401884,-0.076815635,0.10652905,-0.15187550000000002,0.2883362,-0.028889105,0.26432994,0.29624847,0.05628223,0.057070244000000006
9,-1521.80686,20000,153.678488,-0.4243947,-0.07707239,0.035100624,-0.11441213,0.30611113,-0.079328835,0.29815274,0.2859575,0.053608157000000004,0.07957405599999999
10,-1388.905433,22000,168.624785,-0.39468600000000004,-0.05865143,0.0646602,-0.111080654,0.28201818,-0.10358856,0.30592498,0.28668028,0.08755546,0.09429829
11,-1259.699155,24000,183.551893,-0.40291744,-0.031676676,0.09034587,-0.13728864,0.26419565,-0.10450812,0.32086372,0.3419313,0.07314461,0.100042015
12,-1318.2639960000001,26000,199.737922,-0.4066059,-0.036077912999999996,0.06582669,-0.15237665,0.24366026,-0.13470012,0.31845862,0.32914829999999995,0.05161374,0.08305285
13,-1413.242823,28000,214.86729100000002,-0.4228327,-0.09728747,0.06292816,-0.16103049,0.24446777,-0.15315546,0.32304898,0.3342483,0.04240881,0.06408513
14,-1472.13686,30000,230.60662000000002,-0.4428735,-0.10734819,0.0600572,-0.16944072,0.23877157,-0.13429305,0.3475508,0.34040457,0.04542124,0.08376702
15,-1319.376657,32000,246.64638599999998,-0.43781695,-0.08821232,0.038178383999999996,-0.17335473,0.23033091,-0.11667297,0.34372798,0.36201522,0.041830722,0.091299675
16,-1356.958239,34000,262.798661,-0.4406633,-0.05177578,0.0037328509999999997,-0.17591932,0.23982872,-0.15203142,0.33942792,0.36510673,0.04307932,0.1291844
