,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1857.7461210000001,2000,15.609982,-0.18158646,0.30281132,0.25811860000000003,0.04478532,0.20525903,0.19219102,-0.29583487,-0.19072902,0.12543136,0.12459873
1,-1821.0951489999998,4000,33.538467,-0.09960049,0.31167606,0.23042527,0.050294057,0.21054545,0.17562535,-0.31334716,-0.19554345,0.12457853,0.067045294
2,-1828.583068,6000,50.036082,-0.07149501,0.31309694,0.22257558,0.04963583,0.1999743,0.14437601,-0.32901552,-0.23788059,0.12548466,0.04113461
3,-1805.00536,8000,64.902863,-0.057706575999999996,0.30789837,0.22428851,0.064598635,0.18897371,0.2694647,-0.21925347,-0.2667137,0.10389902,0.05342619
4,-1843.484216,10000,81.181278,-0.07309781,0.28913748,0.23122285,0.093337215,0.201006,0.368185,-0.1284693,-0.28262568,0.07754358,0.08238499
5,-1859.1700309999999,12000,97.734187,-0.14080532,0.27482474,0.24564844,0.061681014000000006,0.18136229,0.5485081,-0.08147548,-0.30900076,0.08764753,0.12573579
6,-1901.911528,14000,114.57108600000001,-0.14958970000000002,0.2624312,0.23581281,0.04814118,0.13078937,0.5452153000000001,-0.04132389,-0.35852972,0.06988288,0.14630567
7,-1839.806141,16000,130.221866,-0.16691084,0.28229147,0.22102743,0.08468464,0.12227819999999999,0.5369371000000001,-0.12216562,-0.39220127,0.07884893,0.14870942
8,-1734.537035,18000,146.055097,-0.18860692,0.27685687,0.25116682,0.09712336,0.12871073,0.5643347,-0.20345806,-0.4546317,0.0896448,0.18451387
9,-1828.32502,20000,163.264333,-0.16564351,0.25178218,0.25676337,0.09481903,0.09866254,0.56263804,-0.20707735,-0.49964747,0.09341011,0.23748448
10,-1853.280576,22000,179.170096,-0.1931136,0.19655637,0.25087118,0.109770276,0.08439603,0.5873381,-0.21363938,-0.5163049,0.117298104,0.21134366
11,-1787.4117079999999,24000,194.780622,-0.19081144,0.18571597,0.23345605,0.1155191,0.0679892,0.5870739,-0.2052504,-0.50431013,0.15359814,0.22153887
12,-1799.034647,26000,210.57561,-0.11015589,0.20958175,0.23304354,0.11317745,0.05162529,0.54409385,-0.23516412,-0.49333,0.17138259,0.22070345
13,-1581.1250929999999,28000,226.017484,-0.13858588,0.22322224,0.20877032,0.1442915,0.035907544,0.5487906,-0.23564598,-0.48284388,0.17699058,0.23421325
14,-1880.23975,30000,242.951092,-0.13844484,0.23989415,0.2032662,0.118528865,0.04164033,0.5557641999999999,-0.2730539,-0.46773377,0.18658672,0.22450894
15,-1539.324221,32000,258.567934,-0.1480586,0.22247568,0.20546682,0.09343807,0.06715986,0.56566614,-0.26941767,-0.45124114,0.22118437,0.21149866
16,-1611.266552,34000,276.444947,-0.16972813,0.21282877,0.22187957,0.09285813,0.07528460000000001,0.5775011999999999,-0.25579965,-0.43361953,0.20990044,0.20551325
17,-1581.491969,36000,294.2213,-0.17058165,0.21318249999999997,0.23336545,0.06819024,0.081700884,0.5825461,-0.22313684,-0.42923424,0.20922892,0.1983019
18,-1555.547519,38000,311.340671,-0.16438068,0.22873373,0.24326731,0.07175041,0.09133495400000001,0.5726872,-0.19090928,-0.43291137,0.22513023,0.19888964
19,-1679.70053,40000,327.141551,-0.16181432,0.24198453,0.25556475,0.08449215,0.105679736,0.5524558,-0.17908065,-0.44105095,0.2493011,0.22337724
20,-1747.11965,42000,343.611901,-0.15143266,0.24378477,0.25304198,0.10659638,0.11017327,0.54641646,-0.18756679,-0.44862196,0.26661354,0.23125449
21,-1494.761039,44000,361.381681,-0.1450028,0.23401733,0.23885718,0.08776602,0.12542173,0.5456503,-0.19504721,-0.4484035,0.27073926,0.24210425
22,-1457.591701,46000,378.792613,-0.14303010000000002,0.24083704,0.23751873,0.08628776,0.12555517,0.54829705,-0.22028574,-0.44813225,0.25364146,0.24464414
23,-1631.823764,48000,396.460995,-0.13473794,0.2478371,0.23606329,0.08753526,0.12226472,0.542855,-0.23325035,-0.4471718,0.26274994,0.23941134
24,-1588.284613,50000,413.02346,-0.13721707,0.25082415,0.23237626,0.093046986,0.1105414,0.5378384,-0.23313896,-0.45167340000000006,0.25985410000000003,0.23369052
25,-1672.374652,52000,429.560878,-0.14478418,0.24584182,0.22736584,0.09719323,0.11274638,0.53842044,-0.26343146,-0.45692357,0.23468797,0.23730153
26,-1587.376017,54000,445.396971,-0.15240552,0.24980010000000002,0.22802511,0.09244632,0.11760957,0.5366693,-0.297931,-0.4631313,0.2421571,0.24034186
27,-1629.865985,56000,461.12109100000004,-0.1485485,0.25197613,0.23040979,0.09400967,0.1211986,0.53348905,-0.3102857,-0.46201283,0.24519278,0.24338199
28,-1573.539863,58000,476.49193499999996,-0.16048016,0.24987492,0.2413187,0.101948425,0.13848671,0.5265814999999999,-0.32460558,-0.45810834,0.24200270000000002,0.24378096
29,-1492.060709,60000,492.20089400000006,-0.16348282,0.24681322,0.24267559,0.11504904,0.1456354,0.5335156,-0.3473467,-0.45446244,0.26174194,0.2395431
30,-1492.1194699999999,62000,509.663705,-0.16634306,0.23895802,0.24721618,0.12509988,0.15103485,0.5344477,-0.3382146,-0.4599278,0.25876220000000005,0.23523387
31,-1439.395886,64000,527.381196,-0.16475685,0.23232035,0.25929168,0.12518863,0.15403305,0.5395460999999999,-0.30892593,-0.46041049999999994,0.26358134,0.23422286
32,-1621.115516,66000,547.4744929999999,-0.16133301,0.23119435,0.2618859,0.11960897,0.15298653,0.54113185,-0.26966038,-0.4579594,0.24930042,0.24045646
33,-1857.8469719999998,68000,563.387736,-0.16686231,0.23505549,0.25995898,0.111945346,0.15422447,0.54431784,-0.24488722,-0.46108687,0.23772449999999998,0.23749971
