r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1722.455531,2000,19.901375,-0.14850368,0.15958057,-0.04698203,0.08914435,-0.20521131,-0.06238983,0.037348002,0.061353944,0.198358,-0.20007034
-1660.605137,4000,46.54688,-0.15569799,0.1541429,-0.051012628,0.07161828,-0.20793909,-0.063528635,0.033609886,0.060095984,0.19285627,-0.20418766
-1457.763104,6000,67.570744,-0.18249504,0.14412183,-0.055734187,0.12057903,-0.1954355,-0.07732706,0.032950114,0.05155675,0.17118295,-0.21929093
-1786.881825,8000,88.576496,-0.20847641,0.13429344,-0.07433642,0.18832277,-0.25055408,-0.08651851,0.04174406,0.040488917,0.15748286,-0.22833441
-1889.021436,10000,107.478041,-0.21901418,0.13863975,-0.05753108,0.1674374,-0.26907256,-0.056338143,0.022830393,0.0529469,0.16190001,-0.23088047
-1698.226404,12000,126.39052,-0.24908407,0.12657674,-0.06611848,0.1084737,-0.30130652,-0.06786413,-0.009374333,0.027408246,0.1581068,-0.24065861
-1816.887937,14000,145.462557,-0.23345122,0.12764806,-0.0629712,0.11834093,-0.28514227,-0.080485076,-0.02509618,-0.026825348,0.14870046,-0.2605162
-1776.462783,16000,164.515266,-0.21043918,0.13064033,-0.06015724,0.112932555,-0.23356022,-0.07867958,-0.019568432,-0.0450895,0.11594405,-0.26528206
-1600.218882,18000,183.69939,-0.18421598,0.121805504,-0.042748462,0.092651226,-0.2112116,-0.0840701,-0.020600928,-0.05903304,0.101409,-0.26575732
-1782.708107,20000,203.535918,-0.19223835,0.12313373,-0.010883476,0.08519805,-0.23307441,-0.13065125,-0.03861651,-0.044089384,0.08029425,-0.26622048
-1724.778397,22000,223.767321,-0.22342607,0.121452734,-0.024170553,0.0635063,-0.23373951,-0.15869656,-0.0328493,-0.019977678,0.09416271,-0.2562471
-1857.521107,24000,245.857079,-0.24736522,0.12668741,-0.018834522,0.09303015,-0.2398951,-0.19324686,-0.057135593,0.0051516914,0.1022829,-0.24716395
-1833.195971,26000,266.653451,-0.23481408,0.13360137,0.03345942,0.10588425,-0.23124091,-0.20335771,-0.0350199,0.012123233,0.0901893,-0.23197713
-1689.997572,28000,287.795034,-0.26610437,0.13040964,0.030717835,0.11423967,-0.20773149,-0.19555528,-0.038454905,0.009832888,0.095070906,-0.24200417
-1758.079412,30000,310.352942,-0.2762557,0.10235174,0.031148765,0.10958708,-0.18804124,-0.1441858,-0.053796656,0.022536682,0.115969695,-0.26302966
-1665.733117,32000,330.497233,-0.25501275,0.09404369,0.058628548,0.09200574,-0.17070763,-0.10743763,-0.058604043,0.026196495,0.13723992,-0.26827273
-1409.060727,34000,351.281078,-0.23468225,0.11567986,0.091279805,0.09613111,-0.17092007,-0.112139344,-0.076055385,0.025824903,0.1470267,-0.28453684
-1494.951813,36000,374.378056,-0.24642806,0.116661705,0.105315365,0.11037419,-0.18352145,-0.13051635,-0.0916834,0.036618207,0.1805599,-0.28820875
-1576.834363,38000,395.569219,-0.2570686,0.12331648,0.086898044,0.124916844,-0.19474311,-0.12884124,-0.10529237,0.053109884,0.17920758,-0.26296863
-1778.537993,40000,417.34771,-0.2558976,0.11690292,0.079509065,0.16531295,-0.19926657,-0.13866672,-0.12130547,0.063532494,0.1689734,-0.24108844
-1624.856637,42000,438.827606,-0.27096814,0.11126943,0.1129074,0.16824774,-0.17753334,-0.15352283,-0.15517616,0.06100741,0.14430887,-0.23484439
-1364.978029,44000,460.013975,-0.25906572,0.08888137,0.12708944,0.17946815,-0.15971622,-0.1936232,-0.19560854,0.06060212,0.13590689,-0.22242941
-1639.013792,46000,486.173887,-0.25164568,0.07527923,0.11601088,0.15591292,-0.13866293,-0.21787491,-0.2424521,0.050315563,0.121115886,-0.22009028
-1486.679407,48000,508.480466,-0.23281,0.08638225,0.13502008,0.14386818,-0.13552976,-0.17170088,-0.24983247,0.0761307,0.08275084,-0.18458669
-1624.801895,50000,529.615529,-0.21987227,0.08801832,0.16555886,0.11448911,-0.13594396,-0.18669568,-0.27701998,0.06438586,0.097807884,-0.13314569
-1671.400582,52000,550.612139,-0.2022101,0.08299257,0.14478579,0.10990418,-0.10546761,-0.21463524,-0.28735846,0.0459946,0.11995409,-0.07881322
-1725.268703,54000,575.725638,-0.16914259,0.07781429,0.08992525,0.11390556,-0.081383914,-0.23992,-0.3536097,0.048219662,0.13549973,-0.05045128
-1196.051582,56000,597.653889,-0.15251204,0.079723075,0.06481311,0.10534984,-0.08552499,-0.25238034,-0.374655,0.05566407,0.122184135,-0.06360711
-1319.028109,58000,619.785666,-0.13930991,0.09416002,0.065071836,0.10216514,-0.091485105,-0.23035803,-0.37864262,0.044144776,0.12015159,-0.04627369
-1371.672946,60000,641.074447,-0.15055366,0.0906187,0.048972357,0.11888165,-0.08052852,-0.21408056,-0.37376845,0.039139383,0.11377454,-0.036709573
-1390.868446,62000,663.052423,-0.14383492,0.10314314,0.061635114,0.10406263,-0.087629005,-0.19149013,-0.3903327,0.0134517085,0.10612192,-0.019778553
-1677.294504,64000,684.44303,-0.14925826,0.10274169,0.08536062,0.06265454,-0.0982178,-0.17820637,-0.40163556,0.0034938625,0.11555362,-0.0075386493
-1287.785512,66000,704.586078,-0.1559826,0.09518471,0.07427053,0.020501032,-0.09421954,-0.17569287,-0.3789895,0.012464189,0.14782357,0.0057223276
-1344.096397,68000,724.377303,-0.13137132,0.09505458,0.08206783,0.009901604,-0.110852495,-0.1820992,-0.37861866,0.01425597,0.17166056,-0.0024364213
-1612.806198,70000,745.892269,-0.117748514,0.09924143,0.07570688,0.015639128,-0.111494936,-0.1860068,-0.38447857,-0.010115242,0.24464263,-0.021723632
-1162.720804,72000,766.487824,-0.13030277,0.07272907,0.12397856,-0.0054424456,-0.08043241,-0.1868587,-0.4150128,-0.00039686725,0.22722587,-0.042801455
-1306.612774,74000,788.324545,-0.13233484,0.07081729,0.1471807,-0.026471933,-0.08344049,-0.18435992,-0.43323737,0.0007008953,0.22254491,-0.036413137
-1095.176646,76000,809.96238,-0.13096097,0.04058713,0.15552393,-0.015142248,-0.079756275,-0.17106394,-0.4381782,-0.01800505,0.22816573,-0.040276002
-1813.910742,78000,833.601861,-0.13234656,0.051119152,0.15089306,-0.029771004,-0.083601244,-0.1641687,-0.4414722,-0.027481573,0.25512394,-0.041716445
-1031.292628,80000,854.365565,-0.10059131,0.08225856,0.15549512,-0.010626562,-0.10072926,-0.15628481,-0.4272463,-0.027656922,0.26464415,-0.049192566
-1385.571427,82000,875.990137,-0.07544511,0.10255395,0.1415738,0.047885545,-0.106028385,-0.14537047,-0.41057014,-0.010085371,0.2889807,-0.056874566
-1575.23823,84000,895.908104,-0.053886488,0.13316205,0.13691467,0.114950195,-0.10876206,-0.15998368,-0.38217515,0.014779644,0.27271727,-0.09366743
-1565.246856,86000,917.555728,-0.08015556,0.15764594,0.13324875,0.14741771,-0.11067245,-0.15150069,-0.36643264,0.021993281,0.29285946,-0.09587738
-1775.93535,88000,937.466775,-0.17023848,0.1745684,0.13830741,0.17134579,-0.12361796,-0.11945754,-0.35087314,0.031059837,0.28761768,-0.10010342
-1400.96854,90000,957.679025,-0.20948097,0.18160097,0.1345872,0.20097472,-0.10919803,-0.0989894,-0.3259069,0.034284946,0.28548762,-0.11037376
-1532.81864,92000,978.240001,-0.27942097,0.13729998,0.14845449,0.23098056,-0.10898026,-0.087903544,-0.31613216,0.02993932,0.28169098,-0.10987221
-1389.837568,94000,998.85828,-0.3120317,0.12946068,0.14052121,0.2282171,-0.10971359,-0.0735117,-0.2944142,0.0403299,0.28518847,-0.1186547
-1419.161854,96000,1019.365694,-0.30705,0.14261027,0.120793976,0.24153212,-0.11633751,-0.063525915,-0.28936383,0.051758803,0.2956022,-0.11970296
-1756.736727,98000,1040.025958,-0.27946085,0.15402237,0.1169238,0.25224206,-0.118142284,-0.07349275,-0.3072299,0.07258835,0.2878439,-0.12468407
-1463.683439,100000,1060.430129,-0.28710693,0.1535991,0.14317325,0.28207415,-0.15558878,-0.092553176,-0.3033898,0.06533816,0.32000744,-0.13833268
-1468.177619,102000,1081.350252,-0.25991344,0.13905722,0.14613461,0.3005847,-0.1492493,-0.08847647,-0.28013426,0.03838624,0.31719756,-0.11655348
-1371.697851,104000,1103.213431,-0.20490088,0.124430075,0.13525987,0.29144278,-0.15221687,-0.07904964,-0.28608853,0.032936446,0.3034601,-0.121487744
-1568.756479,106000,1123.928622,-0.10966882,0.11098875,0.14901209,0.29562736,-0.14991526,-0.0805818,-0.25024956,0.038520057,0.2897799,-0.12993981
-1291.455952,108000,1144.974871,-0.061165184,0.09803631,0.17869723,0.30023712,-0.13320857,-0.08033021,-0.2523815,0.023065103,0.30496755,-0.14385411
-1461.795627,110000,1165.613982,-0.07858086,0.07681292,0.20681256,0.29294997,-0.13020304,-0.062241532,-0.21824972,0.003548899,0.30197635,-0.13172328
