,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-4727.142246,2000,14.536164000000001,-0.045388628,0.22991726,0.109032825,-0.255474,0.044436800000000005,-0.096604094,0.037417587,0.12504838,0.08015301,-0.19288169
1,-3784.42234,4000,30.868725,-0.003937948,0.2143513,0.10441992,-0.23775467,0.06599916,0.04386713,0.055213884000000005,0.109148525,0.08093678,-0.17135176
2,-5595.160352,6000,46.604348,-0.011833965,0.2531661,0.09972905,-0.22951373,0.07056147,0.019484354,0.13473499,0.114783935,0.094521105,-0.13475205
3,-4498.3832600000005,8000,60.784666,0.025307601000000002,0.26445657,0.12774165,-0.22483905,0.0760773,0.07907021,0.15270458,0.14018978,0.081448466,-0.10640323
4,-6074.1841030000005,10000,76.438321,-0.00189368,0.25698760000000004,0.17519629,-0.24384734,0.08286462,0.12967207,0.17212099,0.1621872,0.058191485999999994,-0.122608215
5,-5861.684101,12000,93.94703,-0.061610597999999996,0.21972579999999997,0.1709795,-0.25538296,0.092660345,0.15091942,0.15026751,0.18377803,0.049411755,-0.1192087
6,-3480.647225,14000,108.93233899999998,-0.055626128,0.18183856,0.16392219,-0.32091108,0.13295025,0.12959976,0.18824203,0.18597488,0.023124214,-0.109091245
7,-3104.131266,16000,126.242974,-0.07031832,0.18467052,0.16401261,-0.33680487,0.15615255,0.12233551,0.17740916,0.18898016,0.032821286,-0.08501105
8,-4988.096633,18000,142.84030800000002,-0.044996275999999995,0.1942834,0.1709417,-0.32146373,0.17397046,0.10695098,0.16400644,0.19437873,0.033874537999999996,-0.07816619400000001
9,-3655.932192,20000,157.832548,-0.014515874,0.20635527,0.16480274,-0.28977415,0.13975291,0.05971622,0.17639542,0.17079286,0.007480869,-0.064626694
10,-8572.2721,22000,172.474164,-0.0006812682,0.21656194,0.17364004,-0.21757218,0.17063747,-0.0009130157000000001,0.21459514,0.123478405,0.019420106,-0.07394336
11,-4521.009513,24000,186.894288,-0.0006921115600000001,0.23675409,0.17606595,-0.16670239,0.21120043,-0.008350653000000001,0.22850862,0.108615085,0.052164275,-0.08762644
12,-4021.8390280000003,26000,201.194553,-0.00527283,0.27101055,0.16928147,-0.14740781,0.19360344,-0.010495252,0.23723356,0.10203201,0.027600158,-0.07257621
13,-5135.165556,28000,215.76064900000003,-0.02396208,0.26558309999999996,0.17289314,-0.15331756,0.20188814,0.012579198,0.25006039999999996,0.09590107,0.021521152999999998,-0.054599
14,-3647.3618869999996,30000,230.007721,-0.0023054304,0.26298487,0.15846516,-0.14504772,0.19742638,0.00019075633999999998,0.26085144,0.096259,-0.0011321186,-0.05478769
15,-3713.0365939999997,32000,243.977695,-0.008621821,0.26385206,0.16080682,-0.15466963,0.23045613,0.0031597195000000002,0.26931122,0.10205558,-0.03160696,-0.051634025
16,-3610.2908729999995,34000,258.082222,-0.041693818,0.28156805,0.1640531,-0.15546821,0.23868228,-0.009590135,0.27565828,0.10281118,-0.037880186,-0.05428104
17,-3720.9618520000004,36000,272.259871,-0.09200549,0.29778028,0.16692548,-0.15780075,0.23725675,0.005014673,0.2619045,0.10344908,-0.035377162999999996,-0.062585294
18,-3728.209768,38000,286.729787,-0.13581793,0.30825347,0.1584786,-0.18008849,0.22042999,0.013171723,0.26345453,0.04635749,-0.03273376,-0.062695116
19,-3666.2827119999997,40000,301.114666,-0.17101736,0.3086503,0.12681279,-0.18029614,0.25164026,0.01646045,0.25547227,0.013347205,-0.048370887,-0.060935712999999996
20,-4852.832493999999,42000,315.726468,-0.18038829,0.31282917,0.11928919,-0.15861605,0.30324320000000005,0.018249935,0.24006565,0.0038978115000000003,-0.057535507,-0.05471811
21,-4457.985682,44000,332.338369,-0.17461008,0.30661550000000004,0.12732127,-0.17431562,0.34238290000000005,0.026471566000000002,0.24013633,-0.02765064,-0.06489378,-0.052041445
22,-7966.021675,46000,350.58367799999996,-0.18298689,0.30630982,0.13224706,-0.20309909,0.37692645,0.03555939,0.23011544,-0.03947548,-0.061042994,-0.046595655
23,-4198.642246,48000,367.992479,-0.20463316,0.30207232,0.13353562,-0.21192527,0.40499714,0.027408244,0.22667387,-0.039627362,-0.06015976,-0.039163098
24,-2906.8648559999997,50000,382.603231,-0.23508678,0.29756427,0.12229965,-0.21379836,0.4248152,0.020621683000000002,0.23608662,-0.047079504,-0.057603046,-0.0391538
25,-5034.9950770000005,52000,398.8853,-0.27047193,0.30448613,0.12500239999999999,-0.21177138,0.41750157,0.014616501499999998,0.24219061,-0.042656593,-0.060231785999999995,-0.030279126
26,-5684.998056,54000,413.459314,-0.2894509,0.32034332,0.12584163,-0.19197948,0.42705542,0.020816866,0.24917217,-0.028169371000000002,-0.0796157,-0.026126476000000003
27,-7225.853556,56000,428.336934,-0.33025584,0.32366624,0.110588804,-0.17202954,0.43306512,0.02819926,0.2692897,-0.017810483999999998,-0.09619976,-0.01627348
28,-7753.581978,58000,443.50975700000004,-0.35083875,0.32957345,0.090996325,-0.13430943,0.43873405,0.06296626,0.29822109999999996,-0.034483917,-0.093124524,-0.028980596
29,-6242.865317,60000,458.491251,-0.36116713,0.33232870000000003,0.06823078,-0.107856214,0.45502424,0.08631096,0.33318764,-0.04119327,-0.09598591,-0.047545843
30,-8118.964798,62000,473.29283,-0.3796029,0.3259742,0.07413862,-0.11560681,0.4294297,0.0977792,0.34328020000000004,-0.054044858,-0.10885442,-0.049758863
31,-8597.790554000001,64000,488.51931900000005,-0.35802203,0.31433168,0.06914429999999999,-0.14416666,0.40611368,0.11275594,0.35813686,-0.04240998,-0.08783254,-0.05025808
32,-8352.127386,66000,503.14949,-0.37228695,0.30963573,0.059547055999999994,-0.11532468,0.42941937,0.1331822,0.34418803,-0.003908468,-0.06928448,-0.061797976
33,-5946.591421,68000,517.774191,-0.39981163,0.30532035,0.04496879,-0.098469995,0.43445218,0.14775755,0.34134159999999997,0.039574485,-0.07030844,-0.088076636
34,-5734.585722,70000,534.526172,-0.44776640000000006,0.3031888,0.014635927,-0.09915621,0.37573552,0.1762268,0.3151134,0.14447682,-0.084835775,-0.102928996
35,-7087.803043000001,72000,552.147335,-0.45823056,0.30573446,0.0014593366,-0.07941604,0.37235194,0.16515155,0.3216095,0.21790157,-0.105931185,-0.102484554
36,-7412.243159999999,74000,569.0755280000001,-0.47724637,0.30952466,-0.0034149821999999996,-0.09723916,0.34271076,0.16638692,0.32007107,0.23132913,-0.086926214,-0.11953542
37,-1661.38966,76000,586.34793,-0.50205344,0.30520192,-0.019549444,-0.11146683,0.35017067,0.17045970000000002,0.3168233,0.29729444,-0.07215676,-0.11938052
38,-1182.259209,78000,604.663755,-0.52383256,0.30261612,-0.030134236000000002,-0.09105223400000001,0.3680007,0.16961367,0.29949316,0.34033778,-0.07936981,-0.11792298400000001
39,-3618.335235,80000,623.2394730000001,-0.54159576,0.30159917,-0.02923435,-0.08051983,0.39589068,0.16992123,0.2943436,0.30482584,-0.08059598,-0.12627465
40,-2157.0160760000003,82000,641.031815,-0.54855514,0.30147004,-0.007381768,-0.07294097,0.4126508,0.17405216,0.27804083,0.26863852,-0.07708144,-0.13822913
41,-994.6552710000001,84000,657.067688,-0.5532357,0.29412436,0.018321505,-0.054214347,0.40435162,0.17218308,0.2574261,0.28700805,-0.08635626,-0.13983406
42,-2525.068087,86000,673.986955,-0.5556304,0.30377156,0.02445415,-0.03581499,0.37642992,0.18124953,0.24976203,0.287116,-0.10166149599999999,-0.14404370000000002
43,-3510.260046,88000,689.08308,-0.567579,0.304019,0.034507904,-0.024993977,0.34341308,0.19162576,0.26866868,0.27201492,-0.12770662,-0.13887799
44,-4427.042879,90000,703.803301,-0.57011867,0.28955490000000006,0.04564041,-0.01174018,0.336802,0.18575396,0.27784169999999997,0.25853977,-0.13932844,-0.14461474
45,-3818.450114,92000,718.8726740000001,-0.57813585,0.27905816,0.041034702,-0.0095650125,0.35524762,0.18027249,0.27634594,0.25323579999999996,-0.12035370599999999,-0.15178457
46,-3683.866829,94000,734.036355,-0.5875457,0.26417926,0.04854398,-0.009860953,0.3505415,0.18127352,0.2508486,0.26144886,-0.12376506,-0.16692942
47,-1634.052616,96000,750.108957,-0.59305584,0.25528982,0.056117605,-0.01882444,0.36323598,0.19845426,0.24213909,0.27992895,-0.12228291,-0.16008699999999998
48,-4836.630383,98000,766.575355,-0.57895553,0.2440034,0.06123142,-0.01847504,0.37731358,0.23553261,0.23319104,0.32837883,-0.1200988,-0.15735504
49,-4636.804461,100000,783.703871,-0.57002676,0.23481729999999998,0.069109775,-0.030544851,0.39337546,0.24811183,0.248092,0.31652385,-0.11083217,-0.16245376
50,-4863.009051,102000,800.005898,-0.5687509,0.2284609,0.08803379,-0.023548022000000002,0.4078055,0.24986196,0.25434518,0.31304136,-0.10483541,-0.1645366
51,-4382.991211,104000,817.416805,-0.56596357,0.23364013,0.10321194,-0.018001853,0.38807532,0.24041945,0.2612364,0.3372087,-0.09813416,-0.16257681
52,-3903.9542939999997,106000,832.788026,-0.5785376,0.23501028,0.098971,-0.0073869795999999995,0.37624615,0.23209609,0.2618584,0.35431558,-0.09407699,-0.15653676
53,-4953.400943,108000,848.713716,-0.56498796,0.23612753,0.11836109,-0.0036964882,0.3296577,0.2220198,0.2643402,0.34214327,-0.08670158,-0.15065652
54,-4967.894687,110000,866.755847,-0.5594752,0.23386464,0.12607217,0.0097478675,0.29923590000000005,0.21667199,0.26894614,0.3596856,-0.09002391,-0.15917942
55,-3383.534164,112000,884.747293,-0.55746454,0.22752064,0.1284184,0.014475426999999999,0.29846647,0.21585293,0.2660923,0.38259307,-0.09428155,-0.15327962
56,-3223.130368,114000,900.801833,-0.55280477,0.23477161,0.11474923,0.008117522,0.30804077,0.2114511,0.28505751,0.38772729999999994,-0.09372788,-0.15079613
57,-3436.357253,116000,915.8352550000001,-0.5443422,0.25956893,0.09422958,-0.005726157,0.3894519,0.20953105,0.2922679,0.3990821,-0.09423905,-0.14396007
58,-3637.9565869999997,118000,932.9706970000001,-0.5343323,0.25905135,0.06761932,-0.0065693627,0.44198626,0.19773206,0.3064354,0.41279545,-0.110148735,-0.13041015
59,-5258.348554,120000,950.97564,-0.53778964,0.23880103,0.056480754,-0.024357904,0.47784367,0.21135876,0.29841256,0.41733724,-0.093232654,-0.12877986
60,-6892.041537,122000,968.740358,-0.53158253,0.19670439999999997,0.0459904,-0.005995439399999999,0.51665556,0.23056653,0.31574586,0.40821534,-0.053962223,-0.11841418599999999
61,-4781.2197320000005,124000,984.649994,-0.53071165,0.19530159,0.02316299,0.015786987,0.52888775,0.22266854,0.33522552,0.39438579999999995,-0.021085696,-0.13488418
62,-4415.490142000001,126000,1000.2006869999999,-0.5218299,0.17223948,0.03269315,0.02876479,0.56447315,0.22726838,0.3312405,0.38105616,-0.008609142,-0.14065559
63,-3016.593651,128000,1019.5560300000001,-0.5205119,0.14917225,0.049571175,0.03321383,0.57753086,0.23707052,0.30781168,0.3452659,-0.003678307,-0.1467886
64,-3144.785989,130000,1036.806345,-0.51936597,0.11805223,0.052423317000000004,0.03246778,0.5808621999999999,0.23996587,0.28186166,0.32502326,0.005537739,-0.14167912
65,-3814.13035,132000,1054.271677,-0.5240178,0.11984379,0.03819827,0.032012865,0.579788,0.23163046,0.26667795,0.31404808,0.005456553,-0.15126611
66,-4018.9113049999996,134000,1071.5513779999999,-0.528783,0.12440925,0.036116794,0.041330057999999996,0.5757116999999999,0.20506331,0.26065707,0.33045359999999996,0.00568659,-0.16770954
67,-4014.514694,136000,1088.904007,-0.5414399999999999,0.13263473,0.029706697999999997,0.052812252000000004,0.5668776999999999,0.19670656,0.24652457,0.33116072,0.007012694,-0.18081102
68,-3856.8425049999996,138000,1106.224412,-0.53912437,0.13151826,0.023452347000000002,0.05277188,0.5550086,0.21464169,0.23653539999999998,0.30899227,0.004863687,-0.18497796
69,-3351.87095,140000,1121.459123,-0.544121,0.13935685,0.022953599999999998,0.045403328,0.5526289000000001,0.22876428,0.24052145,0.28926244,-0.009034186999999999,-0.16911952
70,-3045.7400199999997,142000,1135.593306,-0.5425625,0.17018314,0.018145585,0.04471438,0.54277515,0.24353515,0.24946144,0.27107322,-0.012879951,-0.17190114
71,-3063.221825,144000,1149.43164,-0.5411701,0.19191833,0.016385553,0.04400024599999999,0.5323321,0.2741955,0.2534051,0.26673526,-0.036641706,-0.20996697
72,-3014.203375,146000,1163.1710380000002,-0.5724819999999999,0.2302283,0.0140165,0.048096642,0.51509756,0.24961863,0.26013225,0.25991446,-0.09972940400000001,-0.25402027
73,-3023.5680859999998,148000,1177.058546,-0.5885164,0.22003667,0.0020161578,0.054271787,0.49138516,0.21910886,0.26645613,0.17633769,-0.13590218,-0.35503933
74,-3186.663393,150000,1191.0841699999999,-0.5853246999999999,0.26579246,-0.00813753,0.036653634,0.46632618,0.17664844,0.30069456,0.11667492,-0.14209464,-0.46440867
75,-5683.481985,152000,1205.663601,-0.56544656,0.30511427,-0.021226875,0.03058643,0.4497208,0.18518858,0.28441468,0.10335008,-0.21512714,-0.39387807
76,-7082.557623999999,154000,1220.6054589999999,-0.49792299999999995,0.25937182,-0.008200629000000001,0.04922183,0.42623577,0.27473990000000004,0.24309853,0.10111292,-0.24549294,-0.30735523
77,-7200.853409,156000,1235.206124,-0.46981326,0.2586817,-0.017637163,0.094722845,0.43122995,0.31743082,0.17710486,0.09675228599999999,-0.21230158,-0.33071090000000003
78,-6348.03812,158000,1249.982606,-0.48646018,0.29945809999999995,-0.047440025999999996,0.118840456,0.43610612,0.32587656,0.11396153,0.11474446,-0.24079357,-0.30457592
79,-6130.586596,160000,1265.4843210000001,-0.49245325,0.33196142,-0.03424525,0.11501647,0.52580667,0.3839422,0.029883895,0.20060237,-0.22647105,-0.23638019
80,-3468.3424990000003,162000,1280.311604,-0.5122417,0.29487637,-0.034548674,0.105083875,0.5212346999999999,0.43794945,-0.00017429512999999998,0.2882647,-0.19304404,-0.09628805
81,-6445.725489,164000,1295.445248,-0.5429285,0.09554132,-0.14480439,0.12037709,0.49193072,0.5412707,0.046657465,0.32793444,-0.18055223,0.053686637
82,-5708.991993,166000,1310.47986,-0.44141406,0.00027252037999999994,-0.22680509,0.16731223,0.47656092,0.58178425,0.0111463405,0.34027696,-0.08018328,0.018951496
83,-5607.9108479999995,168000,1325.8390570000001,-0.41447520000000004,-0.06840883,-0.25238442,0.25520325,0.47252205,0.59446335,-0.039021265,0.33270700000000003,0.011501795,-0.048498414000000004
84,-6709.375607,170000,1341.911759,-0.3229743,-0.19853520000000002,-0.22710679999999997,0.32581502,0.48928119999999997,0.56290656,-0.07127002,0.34160495,0.010554758000000001,-0.04317263
85,-5376.628197999999,172000,1357.108144,-0.19488655,-0.27033338,-0.19405603,0.3508637,0.4565686,0.521368,-0.13548587,0.42472246,-0.0035702111,-0.019585185
86,-3604.335572,174000,1371.3825880000002,-0.13860178,-0.18048705,-0.18273728,0.32675138,0.4414255,0.5365191,-0.14565209,0.4702647,-0.062811546,-0.04105033
87,-5707.651909,176000,1386.1608800000001,-0.19568379,-0.15335302,-0.22193398,0.34442747,0.470261,0.54149866,-0.1544961,0.43175307,-0.058428827999999995,0.0035784207
88,-4540.794215999999,178000,1400.16324,-0.11509515,-0.16134119,-0.18442813,0.28711495,0.47140370000000004,0.52059495,-0.12604623,0.43913436,0.016029555,-0.0109598925
