r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1099.676997,2000,16.43584,-0.12931895,0.115007535,-0.08019208,0.1053067,0.21957901,-0.20539944,-0.13226297,0.18181908,-0.041371964,-0.2542396
-1207.204844,4000,36.425778,-0.1366854,0.113713145,-0.083133034,0.0876445,0.21412407,-0.22074385,-0.13326296,0.17442651,-0.047817647,-0.26069462
-1218.590342,6000,51.331848,-0.14068326,0.09666205,-0.07744728,0.059193518,0.20856729,-0.24315232,-0.11741497,0.16581312,-0.060744993,-0.2541766
-1217.881215,8000,66.244611,-0.11141339,0.093414,-0.054820925,0.06423275,0.18902609,-0.22261158,-0.1116915,0.2253923,-0.010580941,-0.25308284
-1197.134118,10000,81.260157,-0.11494928,0.11846467,-0.05984658,0.1489457,0.16410525,-0.1543269,-0.14991991,0.3284199,0.04971978,-0.25040218
-1160.750923,12000,96.787136,-0.12815838,0.114957474,-0.052205034,0.17542046,0.157402,-0.11072979,-0.18643633,0.33980218,0.077555254,-0.2530081
-1208.818253,14000,112.704911,-0.07424366,0.11964968,-0.04175343,0.18677127,0.19995205,-0.115004994,-0.19818589,0.32370827,0.15549164,-0.24184483
-1184.789922,16000,128.259291,-0.08073577,0.1404206,-0.02933218,0.23044358,0.19347635,-0.109084874,-0.20016222,0.31888103,0.18383855,-0.23522797
-1206.240006,18000,143.942247,-0.07995618,0.14171492,-0.045681063,0.2570636,0.1726414,-0.0841987,-0.22153069,0.32745436,0.17458694,-0.20667985
-1160.599009,20000,159.09844,-0.077562444,0.16783175,-0.07385511,0.28940043,0.14807811,-0.05289707,-0.19806795,0.33946034,0.12073334,-0.18451257
-1130.235767,22000,174.297213,-0.099342965,0.15924634,-0.08284075,0.2585309,0.14241101,-0.040208235,-0.17250079,0.3238277,0.09526688,-0.14969824
-885.558201,24000,189.69531,-0.11156341,0.19337456,-0.07644679,0.21899086,0.14693137,-0.0528906,-0.17418246,0.31515223,0.116530254,-0.13502932
-1020.231896,26000,207.755722,-0.092738844,0.22094683,-0.09125897,0.2521502,0.14768589,-0.042730805,-0.1479803,0.30564946,0.11682941,-0.10399087
-797.589994,28000,222.927327,-0.10037856,0.23014729,-0.07607589,0.27756664,0.13917424,-0.06387473,-0.1539407,0.29917023,0.116923355,-0.098986365
-745.655051,30000,241.099945,-0.11173033,0.23641148,-0.09827313,0.3416878,0.16480991,-0.09603676,-0.159889,0.25492007,0.0966316,-0.1263628
-894.638924,32000,260.324105,-0.11987161,0.24076603,-0.11797969,0.3827609,0.1265055,-0.120600685,-0.17985241,0.26436472,0.08242534,-0.14154187
-1148.974737,34000,277.268656,-0.052918937,0.19883291,-0.10337351,0.3184959,0.14775318,-0.102240466,-0.20727864,0.25297126,-0.0257561,-0.0546809
-1209.158023,36000,295.069505,-0.05607861,0.19666946,-0.14810237,0.34903765,0.12201776,-0.003954829,-0.14283355,0.25045592,-0.061229303,-0.09717107
-920.697552,38000,311.281776,-0.091867685,0.17475823,-0.13265224,0.300491,0.14264426,0.06290904,-0.17254683,0.27558884,-0.05749796,-0.11395492
-1085.550106,40000,327.847936,-0.09758796,0.15873702,-0.10485211,0.25687626,0.14789253,0.113642916,-0.24701548,0.30747598,-0.03612575,-0.10877117
-811.775144,42000,344.954073,-0.14734994,0.17968322,-0.11016713,0.28913495,0.20081216,0.07243117,-0.30464026,0.31767523,0.01866067,-0.096987754
-1109.714035,44000,361.979312,-0.17265499,0.21599537,-0.1157748,0.3507473,0.23796621,0.05662628,-0.28532055,0.34214604,0.054154254,-0.118234105
-964.045152,46000,378.971327,-0.113940224,0.2559047,-0.06406579,0.3277915,0.25875324,0.082740866,-0.30339146,0.3262783,0.06350162,-0.06591556
-1116.364202,48000,397.424876,-0.043729074,0.29692122,0.0040837303,0.3014393,0.25611338,0.09853967,-0.3197966,0.31058836,0.09810211,-0.007174853
-1030.250121,50000,414.990913,-0.04232745,0.32627124,0.006330048,0.33066425,0.23264103,0.13045384,-0.19085214,0.25975364,0.21737754,0.0594016
-1017.186783,52000,431.832348,-0.080414504,0.32324338,0.0030713803,0.34496313,0.23774527,0.12953344,-0.05417423,0.27674273,0.27754778,0.066428415
-1194.256911,54000,448.292109,-0.124799654,0.32781714,-0.038842473,0.37603092,0.2497937,0.098234534,0.015882518,0.31725085,0.31021202,0.10229233
-1154.50487,56000,465.889738,-0.15438992,0.33286124,-0.033481024,0.34945685,0.21367034,0.08826593,0.049531274,0.33980373,0.35595825,0.13927492
-862.765074,58000,482.893666,-0.19458677,0.28335625,0.009421557,0.36011258,0.23050578,0.15284744,0.08580982,0.37502763,0.380922,0.15630856
-720.247257,60000,499.769337,-0.15923265,0.22903897,0.012035709,0.40056145,0.34783223,0.18164462,0.14891466,0.38484725,0.39051792,0.18016014
-807.412815,62000,517.222501,-0.14818989,0.12667558,0.038489193,0.3949463,0.2644093,0.15857008,0.18412966,0.3858612,0.40372923,0.085902356
-1029.89301,64000,533.025531,-0.13518111,0.029851321,0.0382134,0.43096998,0.21397299,0.14948659,0.15517072,0.34839466,0.45867056,0.10955611
-1019.213752,66000,550.125608,-0.14953159,-0.026939018,-0.022216434,0.47076073,0.18960789,0.17994927,0.11881779,0.33081713,0.51762974,0.14341217
-757.357503,68000,565.540131,-0.17644888,-0.10314426,-0.14145736,0.44873947,0.14838545,0.2635035,0.14331648,0.3374162,0.47844765,0.14746583
-724.146315,70000,581.564692,-0.17168497,-0.25129277,-0.16451284,0.45726153,0.1489225,0.35309982,0.12709545,0.3459623,0.36447674,0.27759418
-1117.616841,72000,599.071868,-0.18852475,-0.34358376,-0.119230196,0.49374312,0.18732879,0.36636823,0.16824001,0.32062185,0.34188586,0.21171442
-1230.934943,74000,616.353942,-0.1476841,-0.34585357,-0.078199856,0.53472096,0.19976485,0.33861244,0.19181645,0.32607037,0.29057688,0.04045971
-1168.635811,76000,631.86808,-0.1468881,-0.34407297,-0.08994201,0.5125821,0.16177662,0.32516435,0.16979213,0.40176105,0.14908238,0.021650039
-1073.825264,78000,647.559363,-0.14463632,-0.3124384,-0.056575973,0.45699987,0.1580929,0.25090918,0.1633251,0.3711705,0.16709769,0.06816292
-1065.718472,80000,663.69479,-0.043078527,-0.25550404,-0.15572566,0.43027228,0.028324006,0.21540447,0.18928233,0.3523008,0.21675813,0.26894903
-928.937858,82000,679.861055,0.0590392,-0.18936059,-0.21173404,0.4167129,0.026630793,0.21167427,0.17352185,0.36197448,0.20483789,0.30310848
-992.487834,84000,695.905985,0.08541897,-0.24636334,-0.14737268,0.3024241,-0.0007828956,0.15602301,0.19233553,0.36843213,0.18691848,0.51344913
-1056.183022,86000,710.810732,0.12948577,-0.24329337,-0.09934745,0.31547984,-0.045814525,0.14994995,0.20414142,0.31819728,0.10191423,0.5317835
-1040.269787,88000,725.375691,0.06682075,-0.23670109,-0.14265572,0.39517975,-0.22190444,0.14501417,0.1923349,0.44472364,0.058941502,0.35650513
-1039.517685,90000,740.343014,0.009818223,-0.24826737,-0.13418815,0.46867996,-0.3263379,0.11221407,0.18360205,0.49814707,0.06079373,0.2461733
-998.853467,92000,756.581735,-0.040155847,-0.25810397,-0.12256802,0.479002,-0.39034444,0.1794492,0.18865637,0.49162248,0.072661854,0.18085311
-1003.33675,94000,773.369666,-0.105014846,-0.27179053,-0.15208434,0.43330345,-0.3298092,0.18668829,0.18419883,0.46519867,0.07977501,0.33591467
-934.206593,96000,788.420777,-0.18678707,-0.24455474,-0.15311787,0.37075415,-0.2659378,0.16922355,0.1924482,0.43125015,0.083641276,0.5288884
-936.704089,98000,804.16344,-0.2584239,-0.23156191,-0.18431997,0.3459516,-0.10076946,0.22117278,0.1631658,0.4076573,0.09377072,0.57435226
-1077.716965,100000,819.424532,-0.27214625,-0.13156465,-0.25112244,0.38754633,-0.08191133,0.21801896,0.09180853,0.33941,0.140744,0.613283
-892.642705,102000,836.004706,-0.2758047,-0.0569867,-0.29379317,0.458919,-0.09778637,0.17899482,0.0581312,0.28793353,0.17208211,0.63346404
-931.956954,104000,852.25713,-0.2839103,-0.05772634,-0.3121827,0.4945181,-0.059940502,0.103838354,0.0907888,0.21710368,0.18872166,0.63929
-891.497956,106000,867.418058,-0.31473857,-0.05107106,-0.33622527,0.48229715,-0.10805825,0.053996846,0.11496742,0.15942758,0.18891425,0.6524805
-1021.548877,108000,882.37027,-0.30978295,0.019178895,-0.356635,0.4122616,-0.13807407,0.06455206,0.13633914,0.14586687,0.1689414,0.6367033
-1116.280007,110000,897.624786,-0.30693096,0.026059521,-0.45151576,0.41969353,-0.111515746,0.035960726,0.13604552,0.15688083,0.163475,0.6029065
-1085.422061,112000,913.604141,-0.29630795,0.05812537,-0.5004073,0.48651218,-0.18074213,0.027611341,0.13291985,0.17936777,0.12807502,0.58911
-1073.769562,114000,930.713764,-0.2771491,0.067530535,-0.4622158,0.5207484,-0.27058452,0.037845436,0.07894445,0.17115256,0.09950889,0.5911875
-1050.698775,116000,946.970818,-0.30202284,0.06600394,-0.2989367,0.533871,-0.35856414,-0.012203665,0.082994714,0.21119991,0.051991597,0.60824484
-1151.69049,118000,963.55128,-0.28582817,0.058054946,-0.14817926,0.5429882,-0.4361046,0.0038881428,0.05964441,0.20061588,0.0015091691,0.6145376
-1145.500696,120000,980.493975,-0.30468714,0.0982887,-0.23227629,0.622788,-0.5828211,0.03431188,-0.018526554,0.21252069,-0.012265013,0.6890278
-1189.346001,122000,995.162575,-0.3035427,0.10374363,-0.21181922,0.68088824,-0.67028326,0.033785265,-0.030499317,0.2449893,-0.04266489,0.67704725
-1134.969419,124000,1011.911843,-0.35604784,0.09835154,-0.12751636,0.65358675,-0.5880405,-0.07064123,-0.022506533,0.26863033,-0.07065188,0.621551
-1102.009499,126000,1026.877203,-0.379512,0.065223075,-0.046698786,0.62513304,-0.70552456,-0.093885146,0.0057134028,0.24029754,-0.061737537,0.59333813
-1062.613314,128000,1042.095568,-0.37564975,0.044394355,-0.028991375,0.6143521,-0.74316156,-0.07563377,0.028085072,0.2200835,-0.046278786,0.49804956
-1082.784981,130000,1056.981841,-0.3761675,0.021413788,-0.01814337,0.58211243,-0.71146697,-0.0331381,0.039985467,0.20081973,-0.04410308,0.40181267
-919.298349,132000,1074.27269,-0.40009955,-0.017274346,0.0044516586,0.4953819,-0.5142912,-0.03594595,0.081742615,0.19144693,-0.023728652,0.3539589
-1185.382223,134000,1089.089554,-0.35760465,-0.06450198,0.038013753,0.4177953,-0.53500926,-0.07646273,0.08352105,0.20707746,0.00864813,0.4365594
-1229.99872,136000,1103.495223,-0.39000916,-0.03767911,0.050486185,0.39126292,-0.4965322,-0.050642937,0.07488872,0.25919163,0.006700955,0.4867719
-1252.236384,138000,1118.064145,-0.41214952,-0.02303302,0.04080896,0.41230813,-0.42121375,-0.044647448,0.072090685,0.2925214,-0.0150347315,0.5138745
-985.680059,140000,1133.405549,-0.41033804,-0.021727765,0.03340178,0.5065877,-0.4427237,-0.025656862,0.091603965,0.26331142,-0.035639595,0.57459015
-1040.484781,142000,1148.050534,-0.38946354,-0.04685088,0.07315386,0.53306204,-0.55665654,-0.116799645,0.10930131,0.23534267,-0.040936932,0.60463965
-1002.237798,144000,1162.665617,-0.39639348,-0.053060018,0.14028016,0.5521875,-0.5615412,-0.17942841,0.11939296,0.22250886,-0.06594577,0.60861284
-988.360777,146000,1177.407741,-0.40062276,-0.040583674,0.12636176,0.5815536,-0.6075949,-0.087038964,0.11646362,0.24219097,-0.096997485,0.5799301
-875.662011,148000,1194.461178,-0.3898026,-0.014237199,0.10764642,0.5576724,-0.61191845,0.033289205,0.122346334,0.22968918,-0.127367,0.544208
-1222.720786,150000,1212.358715,-0.3775515,-0.026117934,0.091911785,0.5474043,-0.6642606,0.07840093,0.12942205,0.25692514,-0.15919468,0.497843
-1238.596869,152000,1229.778308,-0.34939414,-0.0585631,0.115504086,0.59344184,-0.6741088,0.1397491,0.13693786,0.24521728,-0.14169861,0.4507644
-987.357958,154000,1246.528797,-0.32845062,-0.06306695,0.1563193,0.6158034,-0.66938496,0.13397531,0.13802819,0.22194837,-0.14919902,0.4418134
-961.902732,156000,1263.068729,-0.3002032,-0.04706981,0.18548675,0.5936041,-0.66025895,0.066596866,0.111877464,0.2407018,-0.15085134,0.45909426
-1044.659102,158000,1279.344525,-0.27515736,-0.06661692,0.22423431,0.6112833,-0.6991394,0.020278942,0.13038258,0.2597284,-0.15932429,0.46705198
-940.464781,160000,1295.821084,-0.2531708,-0.044662178,0.2141916,0.6136563,-0.73503107,0.045517065,0.1408259,0.26769343,-0.16702625,0.4502863
-973.638078,162000,1312.248187,-0.20703593,-0.02229471,0.20356075,0.600255,-0.74815637,0.0075468044,0.15020782,0.29381937,-0.1591532,0.44574353
-1005.055733,164000,1329.193054,-0.18418805,-0.012785046,0.20521528,0.5895723,-0.8090393,0.055376887,0.14626543,0.3581777,-0.14007404,0.44714883
-829.797789,166000,1346.332617,-0.15748781,-0.03547112,0.23370329,0.621604,-0.87459105,0.10415561,0.16673574,0.39552674,-0.12860417,0.41645306
