,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1899.5588280000002,2000,13.349951,0.34377486,0.43172994,0.1099595,-0.09529514,0.008581904,0.39367902,-0.30216244,0.08683039,0.16719697,-0.123000674
1,-1803.106468,4000,22.777434,0.29386118,0.40129894,0.123395465,-0.17667702,0.104065634,0.36095536,-0.29307887,0.0935835,0.1315989,0.03371489
2,-1810.0047309999998,6000,31.283873999999997,0.31225914,0.4143375,0.09751326,-0.18700035,0.061790305999999996,0.34178194,-0.27736416,0.11306406,0.16048945,0.07231979
3,-1794.3608239999999,8000,39.748257,0.27230385,0.43393204,0.03943069,-0.10130327,0.03141516,0.37171265,-0.32183406,0.09290276,0.24078874,0.14790933
4,-1828.570575,10000,48.558788,0.31046197,0.45895192,0.035628367,-0.19208442,0.09788722,0.35057193,-0.40456682,0.09937442,0.17903483,0.22637053
5,-1811.168045,12000,57.534282999999995,0.59088093,0.5337173000000001,0.06041636,-0.123279005,-0.025288857999999997,0.36109123,-0.31265768,0.0080667995,0.14370327,0.4576965
6,-1763.52636,14000,66.571138,0.5588576999999999,0.503901,0.1719393,-0.008594224000000001,-0.18562497,0.53851384,-0.042289562999999995,-0.07196602,0.028781116000000002,0.5708736999999999
7,-1843.431548,16000,75.264607,0.5751423999999999,0.46071530000000005,0.19694544,-0.0049775387,-0.28976268,0.41711262,0.14991367,-0.12319227,0.08203031,0.5052532000000001
8,-1804.168087,18000,84.097192,0.5380314,0.39128104,0.22090416,-0.084776,-0.31977972,0.3791498,0.25055006,-0.13837181,0.16033733,0.48058912
9,-1248.5012980000001,20000,92.742418,0.512008,0.30430713,0.24469393,-0.13003671,-0.28895944,0.38829005,0.26499113,-0.14188156,0.17778687,0.39867216
10,-1811.6871440000002,22000,101.48700799999999,0.4311142,0.19289935,0.32526663,-0.18962397,-0.22249548,0.33840457,0.29743066,-0.05991184,0.18140094,0.3503917
11,-1782.365699,24000,110.00600700000001,0.3663181,0.17261481,0.3613188,-0.18643136,-0.19704936,0.28984457,0.2887161,0.0051504057,0.11444769,0.37511736
12,-1730.301413,26000,118.691308,0.3556532,0.15988238,0.36493587,-0.22211568,-0.16926266,0.2852828,0.28152937,0.07878669,0.16010542,0.31139523
13,-1766.469595,28000,127.35049599999999,0.31979743,0.17025669,0.4092212,-0.22935076,-0.16806144,0.28208083,0.27044985,0.037749942,0.16432992,0.24364541
14,-1723.931881,30000,135.675792,0.3986592,0.22771905,0.44970379999999993,-0.19496161,-0.16693984,0.21458460000000001,0.19366647,-0.043054443,0.16767074,0.22798587
15,-1731.960462,32000,144.21334,0.45400897,0.22662376,0.5177444999999999,-0.21415451,-0.14872418,0.13717301,0.18164539999999998,-0.078859836,0.14421524,0.25503272
16,-1621.13275,34000,152.72704,0.464574,0.19909254,0.5800284000000001,-0.1836795,-0.15083253,-0.001962776,0.13558373,-0.12262849,0.056040738,0.3000556
