,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1848.644819,2000,16.59479,-0.0072232419999999995,0.24232197,0.054411900000000006,-0.12771443,-0.02196437,0.17062275,-0.18954971,-0.21815784,0.22319624,0.1105282
1,-1699.83798,4000,38.150962,-0.0005293149,0.24190012,0.05057003,-0.12524585,-0.027019223,0.16338870000000003,-0.16981004,-0.17455202,0.26150206,0.124556474
2,-1718.9674559999999,6000,55.716439,0.0461776,0.24063599,0.05087517,-0.10627458,-0.051026817,0.1299582,-0.2012808,-0.12994082,0.24944483,0.09142321
3,-1787.4061769999998,8000,73.293658,0.06756302,0.20598885,0.05983066,-0.072188966,-0.051962346,0.10894344,-0.20067078,-0.15866771,0.3540402,0.15818045
4,-1781.469054,10000,89.814477,0.005591571,0.11996256,0.09188289,-0.10360076,0.025647765,0.08327357,-0.15678565,-0.13038737,0.4035605,0.17350934
5,-1687.6143989999998,12000,107.135699,-0.038637433,0.04207274,0.05367465,0.06365554,0.082174934,0.10569687,-0.08630942,-0.0902922,0.35970855,0.21794173
6,-1787.147925,14000,125.7649,0.007499129,-0.04144595,0.061869435,0.13127257,0.09943403,0.12512276,-0.038038816,-0.07259798,0.22816914,0.29391044
7,-1725.5639609999998,16000,141.78344199999998,0.09248163599999999,-0.060777585999999995,0.05053287,0.13346812,0.12256435,0.13142699,-0.11924665400000001,-0.08975306,0.19479601,0.25550002
8,-1791.44298,18000,159.83964,0.08468935,-0.041905653,0.03568357,0.17595638,0.1476159,0.15437376,-0.13798638,-0.06590434,0.2864753,0.27101678
9,-1846.554625,20000,176.488216,0.08567326,-0.053765513,0.06417961,0.10053755,0.107648015,0.11652884,-0.07325019,-0.042184737,0.30329525,0.24662724
10,-1622.271819,22000,193.175388,0.108524576,-0.100216635,0.09343304,0.087229155,0.10461626,0.06774583,-0.08529847,-0.031856194,0.3030124,0.22073594
11,-1676.891534,24000,212.88727999999998,0.13376068,-0.19642365,0.052643925,0.03626583,0.06618587,0.07217219999999999,-0.046155485999999996,-0.04649413,0.29466856,0.2189471
12,-1655.199152,26000,231.06975099999997,0.17136401,-0.19268212,0.0005230793599999999,-0.07085306,-0.023047214,0.05230403,-0.077755615,0.0098152,0.30638117,0.23485114
